Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0frKt739Ov9vvKS3JRu5Vi,"Perfect Day - Chris Lord Alge Mix","Legally Blonde","Hoku",2001-01-01,206666,50,nn931tyd9qwm6tv7f7850ejvs,2023-06-20T23:19:28Z,"","A&M",0.544,0.918,8,-5.197,1,0.0594,0.0193,0,0.0631,0.774,155.705,4
2kRFrWaLWiKq48YYVdGcm8,"Everything In Its Right Place","Kid A","Radiohead",2000-10-02,251426,71,nn931tyd9qwm6tv7f7850ejvs,2023-06-20T22:38:17Z,"art rock,alternative rock","XL Recordings",0.296,0.463,5,-11.412,0,0.0449,0.705,0.0482,0.0954,0.0629,123.943,5
39LLxExYz6ewLAcYrzQQyP,"Levitating","Future Nostalgia","Dua Lipa",2020-03-27,203807,74,nn931tyd9qwm6tv7f7850ejvs,2023-06-20T22:39:05Z,"pop","Warner Records",0.695,0.884,6,-2.278,0,0.0753,0.0561,0,0.213,0.914,103.014,4
1nFtiJxYdhtFfFtfXBv06s,"Something In The Way","Nevermind (Remastered)","Nirvana",1991-09-26,232146,67,nn931tyd9qwm6tv7f7850ejvs,2023-06-20T22:39:44Z,"grunge,rock","Geffen",0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4
4y1LsJpmMti1PfRQV9AWWe,"Girls Just Want to Have Fun","She's So Unusual","Cyndi Lauper",1983-10-14,238266,79,nn931tyd9qwm6tv7f7850ejvs,2023-06-20T22:43:46Z,"","Portrait",0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,4
0o2xJzgw5gsrSbwWzSoxRF,"We Are Born When We Die","Shall Noise Upon","Apollo Sunshine",2008-08-05,152813,0,nn931tyd9qwm6tv7f7850ejvs,2023-06-20T22:53:19Z,"","Headless Heroes",0.218,0.352,5,-13.523,1,0.0322,0.846,0.977,0.231,0.0687,102.809,4
6naxalmIoLFWR0siv8dnQQ,"Oops!...I Did It Again","Oops!... I Did It Again","Britney Spears",2000-05-16,211160,79,nn931tyd9qwm6tv7f7850ejvs,2023-06-20T22:53:37Z,"pop","Jive",0.751,0.834,1,-5.444,0,0.0437,0.3,0.0000177,0.355,0.894,95.053,4
6BJXuY0lY0EUtSDCgkYnqE,"Goodbye (with Soap & Skin)","The Devil's Walk","Apparat,Soap&Skin",2011-09-27,269490,36,nn931tyd9qwm6tv7f7850ejvs,2023-06-20T22:58:36Z,"idm,glitch","Mute",0.469,0.449,1,-14.377,0,0.0512,0.444,0.565,0.334,0.19,87.111,4
22sLuJYcvZOSoLLRYev1s5,"Material Girl","Celebration (double disc version)","Madonna",2009-09-18,240280,70,nn931tyd9qwm6tv7f7850ejvs,2023-06-20T23:10:59Z,"","Warner Records",0.742,0.883,0,-3.419,1,0.0329,0.335,0.00000751,0.0964,0.978,136.506,4
1we2UifyzGe2tgvTVFTwD4,"If I Had A Heart","Fever Ray","Fever Ray",2009-01-13,227493,0,nn931tyd9qwm6tv7f7850ejvs,2023-06-20T23:04:02Z,"art pop","Mute",0.416,0.226,4,-16.066,1,0.0288,0.756,0.696,0.109,0.146,170.103,4
6KOEK6SeCEZOQkLj5M1PxH,"California Gurls","Teenage Dream","Katy Perry,Snoop Dogg",2010-01-01,234653,72,nn931tyd9qwm6tv7f7850ejvs,2023-06-20T23:11:24Z,"pop,g-funk,west coast hip hop,gangster rap,hip hop,rap","Capitol Records",0.789,0.753,0,-3.71,1,0.0537,0.0038,0,0.18,0.403,125.007,4
