Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
741UUVE2kuITl0c6zuqqbO,"Barbie World (with Aqua) [From Barbie The Album]","Barbie World (with Aqua) [From Barbie The Album]","Nicki Minaj,Ice Spice,Aqua",2023-06-23,109750,69,1246701399,2023-07-06T20:49:44Z,"europop,eurodance","Atlantic Records",0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,4
1vYXt7VSjH9JIM5oRRo7vA,"Dance The Night - From Barbie The Album","Dance The Night (From Barbie The Album)","Dua Lipa",2023-05-25,176579,79,1246701399,2023-07-06T20:49:55Z,"pop","Atlantic Records",0.671,0.845,11,-4.93,0,0.048,0.0207,0,0.329,0.775,110.056,4
4i6cwNY6oIUU2XZxPIw82Y,"Karma (feat. Ice Spice)","Midnights (The Til Dawn Edition)","Taylor Swift,Ice Spice",2023-05-26,201493,60,1246701399,2023-07-06T20:50:01Z,"","Taylor Swift",0.615,0.626,8,-6.548,1,0.0778,0.0574,0,0.596,0.0705,89.984,4
3qoftcUZaUOncvIYjFSPdE,"Bejeweled","Midnights","Taylor Swift",2022-10-21,194165,73,1246701399,2023-07-06T20:50:03Z,"","Taylor Swift",0.687,0.551,7,-9.202,1,0.0787,0.0593,0.000143,0.09,0.443,163.994,4
5GUZiPY2HnJMk6ZMpevpMS,"Stars Are Blind (Paris' Version) [feat. Kim Petras]","Stars Are Blind (Paris' Version) [feat. Kim Petras]","Paris Hilton,Kim Petras",2023-06-02,259594,36,1246701399,2023-07-06T20:50:19Z,"","11:11 Media LLC",0.744,0.646,2,-5.604,1,0.0305,0.000865,0,0.0531,0.53,102.029,4
6I9VzXrHxO9rA9A5euc8Ak,"Toxic","In The Zone","Britney Spears",2003-11-13,198800,81,1246701399,2023-07-06T20:51:12Z,"pop","Jive",0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,4
0frKt739Ov9vvKS3JRu5Vi,"Perfect Day - Chris Lord Alge Mix","Legally Blonde","Hoku",2001-01-01,206666,50,1246701399,2023-07-06T20:51:23Z,"","A&M",0.544,0.918,8,-5.197,1,0.0594,0.0193,0,0.0631,0.774,155.705,4
39LLxExYz6ewLAcYrzQQyP,"Levitating","Future Nostalgia","Dua Lipa",2020-03-27,203807,74,1246701399,2023-07-06T20:51:32Z,"pop","Warner Records",0.695,0.884,6,-2.278,0,0.0753,0.0561,0,0.213,0.914,103.014,4
4y1LsJpmMti1PfRQV9AWWe,"Girls Just Want to Have Fun","She's So Unusual","Cyndi Lauper",1983-10-14,238266,79,1246701399,2023-07-06T20:51:39Z,"","Portrait",0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,4
6naxalmIoLFWR0siv8dnQQ,"Oops!...I Did It Again","Oops!... I Did It Again","Britney Spears",2000-05-16,211160,79,1246701399,2023-07-06T20:51:46Z,"pop","Jive",0.751,0.834,1,-5.444,0,0.0437,0.3,0.0000177,0.355,0.894,95.053,4
22sLuJYcvZOSoLLRYev1s5,"Material Girl","Celebration (double disc version)","Madonna",2009-09-18,240280,70,1246701399,2023-07-06T20:51:51Z,"","Warner Records",0.742,0.883,0,-3.419,1,0.0329,0.335,0.00000751,0.0964,0.978,136.506,4
6KOEK6SeCEZOQkLj5M1PxH,"California Gurls","Teenage Dream","Katy Perry,Snoop Dogg",2010-01-01,234653,72,1246701399,2023-07-06T20:51:59Z,"pop,g-funk,west coast hip hop,gangster rap,hip hop,rap","Capitol Records",0.789,0.753,0,-3.71,1,0.0537,0.0038,0,0.18,0.403,125.007,4
7G0tY4ErguYZpP6nQ6Qcnc,"Malibu","Malibu","Kim Petras",2020-05-07,191808,45,1246701399,2023-07-06T20:52:06Z,"","Republic Records",0.627,0.838,2,-4.352,1,0.183,0.0247,0.000383,0.223,0.536,120,4
6EJiVf7U0p1BBfs0qqeb1f,"Cut To The Feeling","Cut To The Feeling","Carly Rae Jepsen",2017-05-26,207959,56,1246701399,2023-07-06T20:52:12Z,"","Silent Records IGA",0.71,0.909,2,-2.777,1,0.0639,0.0135,0.00123,0.303,0.648,115.001,4
5VxmI3IdgAxWVvUnJoLuY2,"Speed Drive (From Barbie The Album)","Speed Drive (From Barbie The Album)","Charli xcx",2023-06-29,117809,67,1246701399,2023-07-06T20:52:26Z,"hyperpop,art pop","Atlantic Records",0.652,0.879,0,-6.405,1,0.0784,0.00284,0.0896,0.0918,0.789,173.925,4
