Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7bfocP7GYoLOutUYpTI8tx,"Welcome To Japan","Comedown Machine","The Strokes",2013-03-25,230826,58,1174085702,2023-07-01T05:55:50Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.705,0.666,2,-7.23,0,0.0303,0.00233,0.0149,0.174,0.646,124.032,4
2TTYIwTM2iLC1YOyHuhRMt,"Lucky","Oops!... I Did It Again","Britney Spears",2000-05-16,206226,64,1174085702,2023-07-01T07:09:12Z,"pop","Jive",0.765,0.791,8,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026,4
48veRDsAEBOJJnVnnabV99,"That Joke Isn't Funny Anymore","Meat Is Murder","The Smiths",1985-02-11,297586,54,1174085702,2023-07-01T07:12:38Z,"new wave,madchester,jangle pop","WM UK",0.165,0.709,1,-7.409,0,0.0564,0.0167,0.000257,0.286,0.338,57.02,4
0C4ejWmOTMv8vuYj85mf8m,"S&M","Loud","Rihanna",2010-11-16,243533,70,1174085702,2023-07-01T07:13:31Z,"","Def Jam Recordings",0.767,0.682,1,-5.02,1,0.042,0.0113,0.00016,0.104,0.833,127.975,4
51Z2IzJvLCnZaIpBV0IYRr,"Wave Of Mutilation","Doolittle","Pixies",1989-04-17,123906,54,1174085702,2023-07-01T07:14:15Z,"alternative rock","4AD",0.587,0.811,5,-10.824,1,0.0328,0.000135,0.472,0.0901,0.75,132.727,4
4ZtFanR9U6ndgddUvNcjcG,"good 4 u","SOUR","Olivia Rodrigo",2021-05-21,178146,80,1174085702,2023-07-01T07:14:46Z,"","Olivia Rodrigo PS",0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,4
0WTCo2nNtSRCrGCiQuZO8d,"Bang Bang Bang Bang","Ribbed Music for the Numb Generation","Sohodolls",2009-03-30,181640,59,1174085702,2023-07-01T07:16:47Z,"","A&G Records",0.725,0.58,10,-7.112,0,0.03,0.543,0,0.106,0.369,94.008,4
1M6VHCglQ2PLWeAsyhgEUH,"detonate","how i'm feeling now","Charli xcx",2020-05-15,219426,51,1174085702,2023-07-01T07:17:28Z,"hyperpop,art pop","Atlantic Records UK",0.648,0.74,5,-6.188,1,0.0364,0.45,0.000145,0.104,0.68,140.026,4
6EOKwO6WaLal58MSsi6U4W,"Eleanor Rigby","Yellow Submarine Songtrack","The Beatles",2014-01-01,125226,59,1174085702,2023-07-01T10:22:11Z,"classic rock,psychedelic rock","EMI Catalogue",0.521,0.301,4,-7.118,0,0.0356,0.836,0,0.398,0.621,137.382,4
6AQbmUe0Qwf5PZnt4HmTXv,"Boy's a liar Pt. 2","Boy's a liar Pt. 2","PinkPantheress,Ice Spice",2023-02-03,131013,71,1174085702,2023-07-01T10:22:19Z,"bedroom pop","Warner Records",0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,4
6JgHKt0WwdwlXIht6M0mqa,"I'm So Tired","Instrument Soundtrack","Fugazi",1999-04-01,118933,63,1174085702,2023-07-01T10:23:24Z,"post-hardcore,punk,noise rock,hardcore punk","Dischord Records",0.328,0.13,6,-15.094,1,0.0307,0.892,0.0129,0.122,0.169,78.454,4
3NYm3ZimuJNb0Z0px5OEwO,"Marechià","Bar Mediterraneo","Nu Genea,Célia Kameni",2022-05-13,264296,52,1174085702,2023-07-01T10:23:34Z,"italo disco,italo dance,french jazz","NG Records licensed to Carosello Records",0.719,0.832,1,-7.412,0,0.0366,0.124,0.0726,0.0697,0.961,110.077,4
6etwirSInfuJrSOlogS6Sh,"American Boy","Shine","Estelle,Kanye West",2008-03-28,284733,77,1174085702,2023-07-01T10:25:12Z,"rap","Woah Dad!",0.693,0.729,0,-2.99,1,0.378,0.171,0,0.07,0.521,117.848,4
5HQEmiV2lKnSO6qa2fsR7x,"I'm Not In Love","The Original Soundtrack","10cc",1975,366640,70,1174085702,2023-07-01T10:25:55Z,"art rock,glam rock","EMI",0.404,0.523,4,-15.7,1,0.0575,0.685,0.000498,0.282,0.164,133.738,4
5LxvwujISqiB8vpRYv887S,"I Want You Back","Diana Ross Presents The Jackson 5","The Jackson 5",1969-12-18,176333,74,1174085702,2023-07-01T10:26:12Z,"motown,christmas","UNI/MOTOWN",0.469,0.538,8,-13.559,1,0.0575,0.305,0.000114,0.37,0.885,196.606,4
0W35nxtHtFlseSojmygEsf,"War Pigs","Paranoid (2009 Remastered Version)","Black Sabbath",1970-09-18,474400,3,1174085702,2023-07-01T10:26:40Z,"metal,heavy metal,rock,stoner rock,hard rock,doom metal,classic rock","Sanctuary Records",0.464,0.612,9,-12.019,1,0.0591,0.116,0.00559,0.171,0.496,91.499,4
2w6JXokk0F8i241Y8C0Mn6,"Honey, Honey","Waterloo","ABBA",1974,175000,62,1174085702,2023-07-01T10:26:49Z,"","Polar Music International AB",0.474,0.804,5,-7.763,1,0.0473,0.309,0.00000181,0.552,0.757,140.507,4
3ITvhrRB5TlEks19k9qy2k,"Jackie Down The Line","Skinty Fia","Fontaines D.C.",2022-04-22,241093,63,1174085702,2023-07-01T10:27:18Z,"post-punk","Partisan Records",0.547,0.88,7,-4.562,1,0.0442,0.0102,0,0.0884,0.44,134.981,4
7o7E1nrHWncYY7PY94gCiX,"Video Killed The Radio Star","The Age Of Plastic","The Buggles",1980-01-10,252773,68,1174085702,2023-07-01T10:27:24Z,"","Universal-Island Records Ltd.",0.682,0.679,1,-11.548,1,0.0755,0.103,0.00831,0.204,0.251,131.157,4
0F6pFZDlQSiQBWsjQZFbTH,"Daydream","The Fantastic Sound Of","Gunter Kallmann Choir",2010-03-26,199733,61,1174085702,2023-07-01T10:28:02Z,"","Polydor",0.514,0.444,5,-8.85,0,0.0238,0.236,0.0000025,0.473,0.524,75.337,4
1W5XugQJGhnSATMI5n002M,"Idioteque","Kid A","Radiohead",2000-10-02,309093,59,1174085702,2023-07-01T10:29:09Z,"art rock,alternative rock","XL Recordings",0.615,0.931,3,-7.8,1,0.273,0.0352,0.0000223,0.0915,0.525,137.544,3
5wznxkB792LjSRdbZ1J1zo,"Sweet About Me","Lessons To Be Learned","Gabriella Cilmi",2008-01-01,202133,55,1174085702,2023-07-01T10:29:19Z,"","Universal-Island Records Ltd.",0.671,0.701,6,-5.035,1,0.0288,0.0607,0.0000027,0.163,0.585,131.977,4
2Ua0LbHaSRmtvEsRHr9WR8,"Atom Bomb Baby","Atom Bomb Baby","The Five Stars",2015-12-02,136727,43,1174085702,2023-07-01T10:30:21Z,"moroccan chaabi","O.L.D Ltd",0.49,0.615,7,-6.041,1,0.0327,0.578,0,0.298,0.913,80.459,4
1TolpeI4o3EQzWRFHiPnH3,"Tattattira","S.U.N.S.H.I.N.E.","Rancore,DJ Myke",2015-07-16,225639,28,1174085702,2023-07-01T10:30:27Z,"","Arcadia Records",0.791,0.857,1,-5.906,1,0.241,0.259,0,0.27,0.644,103.088,4
2a1iMaoWQ5MnvLFBDv4qkf,"High and Dry","The Bends","Radiohead",1995-03-13,257480,75,1174085702,2023-07-01T10:31:14Z,"art rock,alternative rock","XL Recordings",0.419,0.383,4,-11.782,1,0.0256,0.0724,0.0176,0.0896,0.35,87.568,4
2z4U9d5OAA4YLNXoCgioxo,"What the Hell","Goodbye Lullaby (Expanded Edition)","Avril Lavigne",2011-03-08,220706,71,1174085702,2023-07-01T10:31:21Z,"","Epic",0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976,4
7KjiWiriOQtZREMvc8wkyU,"i know nothing","i know nothing","slowthai",2022-11-09,186757,20,1174085702,2023-07-01T10:32:08Z,"grime","Method",0.386,0.617,9,-8.719,0,0.366,0.103,0,0.107,0.546,123.586,4
38UYeBLfvpnDSG9GznZdnL,"Tormenta (feat. Bad Bunny)","Cracker Island","Gorillaz,Bad Bunny",2023-02-24,193463,65,1174085702,2023-07-01T10:32:15Z,"reggaeton,trap latino,urbano latino,latin","Parlophone UK",0.644,0.771,0,-6.475,1,0.0509,0.464,0.00162,0.382,0.316,94.997,4
2Y0iGXY6m6immVb2ktbseM,"Little Dark Age","Little Dark Age","MGMT",2018-02-09,299960,75,1174085702,2023-07-01T10:34:08Z,"indie,indietronica","Columbia",0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4
4y5bvROuBDPr5fuwXbIBZR,"Paper Rings","Lover","Taylor Swift",2019-08-23,222400,74,1174085702,2023-07-01T10:34:14Z,"","Taylor Swift",0.811,0.719,9,-6.553,1,0.0497,0.0129,0.0000136,0.0742,0.865,103.979,4
5tgc6cgQ1hQw0zS1fOddP4,"Sometimes","The Other Side","Ruth Radelet",2022-10-07,232291,11,1174085702,2023-07-01T10:37:32Z,"","Ruth Radelet",0.446,0.656,1,-7.837,1,0.027,0.0137,0.0125,0.202,0.298,75.997,4
288NVD4jOmqw2yukQ0y77i,"the stage","forevher","Shura",2019-08-16,277245,33,1174085702,2023-07-01T10:37:38Z,"","Secretly Canadian",0.642,0.476,10,-8.918,0,0.0272,0.00172,0.00269,0.732,0.686,97.506,4
7f9I5WdyXm5q1XqnSYgQZb,"Brianstorm","Favourite Worst Nightmare","Arctic Monkeys",2007-04-22,172866,65,1174085702,2023-07-01T10:38:05Z,"indie,garage rock,indie rock","Domino Recording Co",0.42,0.974,1,-4.706,1,0.191,0.0000815,0.00155,0.0871,0.463,165.182,4
2dDzrUEDCKXaLViMPa1jo5,"In My Dreams","Isolation","Kali Uchis",2018-04-06,201000,49,1174085702,2023-07-01T10:38:11Z,"","EMI",0.606,0.839,0,-5.115,1,0.0297,0.0195,0.0000196,0.15,0.907,165.951,4
1BLOVHYYlH4JUHQGcpt75R,"Ode To The Mets","The New Abnormal","The Strokes",2020-04-10,351786,66,1174085702,2023-07-01T10:38:39Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.426,0.617,1,-5.423,0,0.0289,0.341,0.181,0.101,0.201,92.002,4
2Y9JMc04myJYtrESxloIWk,"Sirvia","Ok Computer Però Trap","Pippo Sowlo",2019-06-14,156228,33,1174085702,2023-07-01T10:38:43Z,"","Universal Music Italia srL.",0.689,0.77,2,-5.734,1,0.0515,0.655,0,0.114,0.377,86.033,4
3ZSBXMcdSXbTnsivHfkb1e,"I Dreamed I Dream","Sonic Youth","Sonic Youth",1981-03-14,314040,34,1174085702,2023-07-01T10:39:09Z,"noise rock,grunge,alternative rock,post-punk,shoegaze","Squeaky Squawk",0.683,0.534,9,-7.814,0,0.0294,0.2,0.406,0.109,0.437,126.608,4
5jXzG56pDO74wRBG7GBoyf,"Near DT, MI","Schlagenheim","black midi",2019-06-21,140466,40,1174085702,2023-07-01T10:40:33Z,"noise rock,post-punk,math rock,art rock","Rough Trade",0.324,0.762,2,-6.238,1,0.0382,0.000523,0.182,0.0555,0.196,99.831,4
6Nle9hKrkL1wQpwNfEkxjh,"Chanel","Chanel","Frank Ocean",2017-03-10,210285,77,1174085702,2023-07-01T10:40:39Z,"","Blonded",0.776,0.503,0,-5.732,0,0.237,0.874,0,0.112,0.473,110.134,4
2Mb0UmjVuMQ1Pgcyko9dW3,"Almost Blue","Chet Baker In Tokyo (The Complete Concert)","Chet Baker",2019-02-22,475026,0,1174085702,2023-07-01T10:41:01Z,"jazz,cool jazz,vocal jazz","CHET BAKER ESTATE",0.367,0.0488,0,-23.242,1,0.0345,0.933,0.463,0.684,0.0778,107.552,3
0AZb6ryK8LsFcvY1jWHO61,"Sunshine, Lollipops And Rainbows","Lesley Gore Sings Of Mixed-Up Hearts","Lesley Gore",1963-11-01,96000,56,1174085702,2023-07-01T10:41:07Z,"","Mercury Records",0.675,0.64,7,-8.742,1,0.0544,0.652,0,0.461,0.965,119.7,4
754WgEesWgssZG3XzU9XcG,"Nuclear","Man On The Rocks","Mike Oldfield",2014-01-01,303986,50,1174085702,2023-07-01T10:45:03Z,"progressive rock,new age,symphonic rock","EMI",0.402,0.525,5,-6.456,0,0.0301,0.0345,0.000287,0.134,0.31,135.104,4
0DwVfCYLrVXgvejYbWwZAd,"Break It Off","Break It Off","PinkPantheress",2021-06-04,95317,61,1174085702,2023-07-01T10:45:18Z,"bedroom pop","Parlophone UK",0.544,0.888,6,-5.003,0,0.116,0.00311,0.0000078,0.076,0.746,171.69,4
4kaqSJ6tMhVM2ne1mvRU8g,"Burn","Criminal","The Soft Moon",2018-02-02,200260,26,1174085702,2023-07-01T10:51:18Z,"cold wave,darkwave,post-punk,ebm,witch house,industrial,deathrock","Sacred Bones Records",0.551,0.963,10,-4.521,1,0.0675,0.0179,0.000102,0.084,0.771,138.005,4
5qn15Hs4s26YaNd5UWVe00,"Fiamme negli occhi","Fiamme negli occhi","Coma_Cose",2021-03-03,206001,46,1174085702,2023-07-01T10:51:29Z,"","Asian Fake",0.683,0.606,7,-6.473,1,0.0305,0.0353,0.00000123,0.131,0.7,104.018,4
5NA6KErStFT0zPk1VJiSWI,"Sincer (feat. Lele Blade & Icy Subzero)","Sincer (feat. Lele Blade & Icy Subzero)","Yung Snapp,Lele Blade,Icy Subzero",2023-05-05,221204,35,1174085702,2023-07-01T10:51:47Z,"canzone napoletana,neomelodico,italian trap","WM Italy",0.568,0.648,2,-7.86,0,0.17,0.442,0,0.107,0.292,166.041,4
