Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5Z8A2y3IxNvkRzEMxWu01u,"Ti voglio","Io Fuori","Ornella Vanoni",1977-01-01,349462,46,jjrb7psii115ttf0fj7l2u4gj,2023-09-11T16:20:00Z,"italian singer-songwriter,italo dance,italo disco","NAR International",0.632,0.727,7,-7.341,0,0.05,0.0263,0.000114,0.32,0.824,118.253,4
7k3GCVkMErhkoHmsfAykHU,"Cosmic Starts - Mixed","Desert Hut (DJ Mix)","YannaY",2021-03-15,309489,10,jjrb7psii115ttf0fj7l2u4gj,2023-09-08T20:40:57Z,"organic house,afro house","Valeron",0.633,0.7,7,-11.846,1,0.0316,0.0528,0.845,0.0928,0.481,111.996,4
59DBFv5MOW0M4KSF78rHw7,"Vuela, Vuela (Voyage, Voyage)","10 De Colección","Magneto",2007-06-19,264173,57,jjrb7psii115ttf0fj7l2u4gj,2023-08-06T15:54:00Z,"latin pop","Sony Music Latin",0.652,0.742,5,-11.983,0,0.0287,0.000157,0.00098,0.0634,0.855,124.891,4
3pf96IFggfQuT6Gafqx2rt,"Sunny","Take The Heat Off Me","Boney M.",1976,242240,66,jjrb7psii115ttf0fj7l2u4gj,2023-10-23T18:51:44Z,"disco","MCI",0.647,0.868,0,-6.427,0,0.106,0.088,0.124,0.129,0.804,121.82,4
3XFM2jBRJZXcxzTJAJ7UrY,"Haven't You Heard - Joey Negro Disco Mix Edit","Joey Negro presents 30 Years of Z Records","Patrice Rushen,Dave Lee",2020-05-29,321002,18,jjrb7psii115ttf0fj7l2u4gj,2023-08-07T00:14:23Z,"post-disco,jazz funk,disco,disco house,nu disco,funky house","Z Records",0.896,0.441,6,-9.533,0,0.0544,0.106,0.0758,0.0725,0.847,124.973,4
28TbRayU38hCt7vYvRbHM4,"Rhinestone Heart","STARFUCKER","Slayyyter",2023-09-22,149918,39,jjrb7psii115ttf0fj7l2u4gj,2023-09-29T00:51:31Z,"hyperpop","FADER LABEL – NEW RELEASES",0.663,0.763,6,-5.136,1,0.0353,0.231,0,0.159,0.528,110.989,4
2tnVG71enUj33Ic2nFN6kZ,"Ride It","Ride It","Regard",2019-07-26,157605,78,jjrb7psii115ttf0fj7l2u4gj,2023-09-04T01:19:58Z,"","Ministry of Sound Recordings",0.88,0.751,7,-4.258,0,0.0874,0.177,0.0000643,0.106,0.884,117.948,4
2aPBXmhHvtatmnd6k64OK5,"Eyes Like Pearls","Move Through The Dawn","The Coral",2018-08-17,166323,17,jjrb7psii115ttf0fj7l2u4gj,2023-09-05T02:16:07Z,"britpop","Ignition Records Ltd",0.519,0.84,7,-7.384,1,0.0408,0.045,0.0000498,0.234,0.707,126.04,4
76fdtNvwn6hkOmBvgOom7L,"Parfum thérémine","Odyssée - EP","L'Impératrice",2015-10-12,304993,48,jjrb7psii115ttf0fj7l2u4gj,2023-09-04T00:20:24Z,"french house,french pop","microqlima",0.662,0.591,6,-10.907,0,0.033,0.454,0.878,0.105,0.204,102.045,4
0CQcUsyDEfKsHWDDF3h2C1,"Discoproof","Discoproof","La Roux,Chromeo",2023-08-25,232258,39,jjrb7psii115ttf0fj7l2u4gj,2023-09-04T00:05:10Z,"nu disco,alternative dance","23 Recordings",0.655,0.898,3,-2.653,0,0.162,0.38,0.00000508,0.097,0.401,123.973,4
6fX9YxRBOwiaHdFfwCi1K9,"I Wanna Dance with Somebody (Who Loves Me) - InVersions 80s","I Wanna Dance with Somebody (Who Loves Me) - InVersions 80s","L'Impératrice",2021-05-25,206272,34,jjrb7psii115ttf0fj7l2u4gj,2023-09-05T01:44:12Z,"french house,french pop","microqlima",0.975,0.435,6,-10.083,1,0.126,0.34,0.0000881,0.221,0.824,110.029,4
29MOOOmMRPeWyPwKQFoF5t,"I Feel Love","I Feel Love","Sam Smith",2019-11-01,254453,59,jjrb7psii115ttf0fj7l2u4gj,2023-09-04T01:02:11Z,"soft pop","PLG - Capitol",0.719,0.707,0,-7.418,1,0.0417,0.00643,0.201,0.064,0.259,126.015,4
0XUg4SXrxxtNi2llt84eHL,"Rock'n Roll","Rock'n Roll","Espanto",2012-11-21,273059,27,jjrb7psii115ttf0fj7l2u4gj,2023-09-04T01:08:01Z,"latin alternative","Austrohúngaro",0.603,0.686,11,-9.461,1,0.0402,0.00446,0.186,0.131,0.465,119.945,4
3c2UJ9MmoWR5ofOb8uYqeL,"Ken Makes a Discovery","Barbie (Score from the Original Motion Picture Soundtrack)","Mark Ronson,Andrew Wyatt",2023-08-04,93894,28,jjrb7psii115ttf0fj7l2u4gj,2023-08-07T00:23:58Z,"","WaterTower Music",0.578,0.601,0,-8.913,1,0.0367,0.0311,0.951,0.108,0.182,110.164,4
0UODoj6stYv542c7NB9MNd,"Le départ","Odyssée - EP","L'Impératrice",2015-10-12,119633,57,jjrb7psii115ttf0fj7l2u4gj,2023-09-04T00:13:38Z,"french house,french pop","microqlima",0.539,0.736,11,-10.608,0,0.036,0.0613,0.934,0.0734,0.503,110,3
2La21GqU4fKTQLcfLxTeoz,"Agitations tropicales","Odyssée - EP","L'Impératrice",2015-10-12,248892,64,jjrb7psii115ttf0fj7l2u4gj,2023-09-04T00:13:43Z,"french house,french pop","microqlima",0.76,0.401,1,-9.537,0,0.0674,0.564,0.259,0.0977,0.619,115.989,4
4HEpz9QQ8uOViMf6K8tucK,"Young In California","Young In California","Paco Versailles",2023-07-21,237954,35,jjrb7psii115ttf0fj7l2u4gj,2023-09-04T00:05:21Z,"nu disco","Paco Versailles",0.717,0.812,1,-5.932,0,0.034,0.0703,0.326,0.263,0.413,114.979,4
1ZiAZR4p9WmRU9FUGCcuCD,"Sunny","Player One","Tentendo,Jordan Dennis",2022-09-02,193271,43,jjrb7psii115ttf0fj7l2u4gj,2023-09-02T00:32:45Z,"","Sidekick Music",0.846,0.612,4,-6.179,0,0.0538,0.226,0.00373,0.146,0.881,121.999,4
5CSKbHjpqborGnlzagyaDo,"Love Again","Future Nostalgia (The Moonlight Edition)","Dua Lipa",2021-02-11,258004,62,jjrb7psii115ttf0fj7l2u4gj,2023-09-02T00:14:30Z,"pop","Warner Records",0.659,0.667,11,-4.668,0,0.0339,0.00173,0.0000285,0.1,0.468,115.982,4
1lK5iIMKifrxERzS3iimJH,"Breathe on Me","In The Zone","Britney Spears",2003-11-13,223760,51,jjrb7psii115ttf0fj7l2u4gj,2023-09-03T23:59:15Z,"pop","Jive",0.709,0.565,5,-6.395,0,0.0471,0.00209,0.0125,0.0901,0.571,112.203,4
1HteYUSXKUMm6A8vdZid7p,"Tension","Tension","Kylie Minogue",2023-08-31,216453,0,jjrb7psii115ttf0fj7l2u4gj,2023-09-03T21:56:45Z,"dance pop","BMG Rights Management (UK) Limited",0.784,0.673,5,-6.096,1,0.0439,0.27,0.156,0.087,0.693,120.032,4
1q4BCQssFe74UJmnWt5lov,"Lipstick","Lipstick","Charlie Puth",2023-08-18,208421,50,jjrb7psii115ttf0fj7l2u4gj,2023-08-18T11:41:47Z,"soft pop,pop","Atlantic Records",0.783,0.451,5,-9.195,1,0.0607,0.36,0.00000211,0.0975,0.622,92.483,4
4WI0iKq8iHKZMQw0ZxH652,"Disco Dangerous","Slugs of Love","Little Dragon",2023-07-07,166125,32,jjrb7psii115ttf0fj7l2u4gj,2023-07-08T15:58:56Z,"trip hop","Ninja Tune",0.778,0.362,0,-8.717,1,0.0572,0.0867,0.0401,0.0771,0.333,118.012,4
3k0DJq2HdWJqnqor8NX0ac,"Padam Padam","Padam Padam","Kylie Minogue",2023-05-18,166266,8,jjrb7psii115ttf0fj7l2u4gj,2023-07-08T15:59:31Z,"dance pop","BMG Rights Management (UK) Ltd",0.746,0.622,5,-7.923,1,0.241,0.201,0.00113,0.104,0.719,128.101,4
3xIMkM5LgbVDkpO74O3Np3,"Rush","Rush","Troye Sivan",2023-07-13,156391,25,jjrb7psii115ttf0fj7l2u4gj,2023-07-30T16:37:03Z,"","EMI Recorded Music Australia Pty Ltd",0.728,0.841,10,-7.682,0,0.0567,0.00242,0.0000909,0.106,0.402,125.991,4
7mMphGdi3iDSHwKEe9oXNF,"Maquillada en la Cama","Maquillada en la Cama","Juliana Gattas",2023-08-01,218663,23,jjrb7psii115ttf0fj7l2u4gj,2023-08-01T23:53:38Z,"","Sony Music Argentina",0.836,0.671,5,-5.53,0,0.0346,0.00297,0.000372,0.148,0.459,119.986,4
79kbKtYtvrxWq2Zig0gtBK,"Mi vida en llamas (feat. Buscabulla)","Mi vida en llamas (feat. Buscabulla)","Alex Anwandter,Buscabulla",2023-04-24,288624,28,jjrb7psii115ttf0fj7l2u4gj,2023-07-08T16:20:34Z,"latin indie,latin alternative,electropop","Alex Anwandter",0.72,0.803,0,-4.581,0,0.0317,0.0294,0.000128,0.441,0.561,114.998,4
