Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2saqoMezIZZBKh75WjMp0k,"Atomic Cocktail","Here comes... Slim Gaillard","Slim Gaillard",1943-12-23,161653,28,125618849,2023-09-02T23:42:49Z,"swing music,boogie-woogie","Universal Digital Enterprises",0.787,0.267,5,-13.359,1,0.223,0.95,0.636,0.0992,0.527,123.166,4
777zXDJpBufzttU4AJ2dGO,"I Don't Want To Set The World On Fire","The Anthology","The Ink Spots",1998-06-16,181066,65,125618849,2023-09-02T23:24:14Z,"adult standards","Geffen",0.445,0.146,5,-16.064,1,0.0333,0.962,0.0000105,0.249,0.332,86.637,4
7cv28LXcjAC3GsXbUvXKbX,"I Will Survive - Single Version","20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor","Gloria Gaynor",2000-01-01,198066,63,125618849,2023-09-04T14:33:17Z,"disco","Polydor",0.777,0.725,0,-8.681,1,0.05,0.0131,0.00805,0.246,0.529,116.669,4
5NN5MQyE3Lo91zAEHpGa7S,"Two Tribes","Welcome To The Pleasuredome","Frankie Goes To Hollywood",1984-10-20,208133,52,125618849,2023-09-03T00:00:04Z,"synthpop,hi-nrg","ZTT Records",0.54,0.621,7,-13.164,1,0.0368,0.00293,0.00282,0.367,0.193,130.202,4
0SHdSdMOxZqzMWZyBrjcQM,"Boom Boom (Out Go The Lights) - Live","Pat Travers Band...Live! Go For What You Know","Pat Travers Band",1979-01-01,305713,30,125618849,2023-09-04T13:24:54Z,"southern rock","Polydor",0.289,0.847,6,-13.065,0,0.0599,0.00208,0.00713,0.754,0.519,172.591,4
0KzAbK6nItSqNh8q70tb0K,"Where Is My Mind?","Death to the Pixies","Pixies",1997-10-06,229226,71,125618849,2023-09-02T23:47:24Z,"alternative rock","4AD",0.513,0.442,4,-13.529,1,0.0343,0.00731,0.000838,0.0878,0.243,81.201,4
2PneNdtypG6XcgmWmGd9FI,"These Boots Are Made for Walkin'","Boots","Nancy Sinatra",2021-09-17,167786,57,125618849,2023-11-11T23:54:50Z,"","Boots Enterprises, Inc.",0.742,0.427,9,-10.523,1,0.11,0.395,0.00000142,0.119,0.335,82.579,4
2bdcFXS61ey6x6Y1andx0F,"99 Red Balloons","99 Luftballons","Nena",1984-08-21,230666,53,125618849,2023-12-01T01:09:33Z,"neue deutsche welle,schlager,german pop","BMG Rights Management GmbH",0.709,0.49,4,-6.935,1,0.0526,0.0689,0,0.114,0.566,96.985,4
7aQjPecQdIuNd1sz3KCDhD,"Lovefool","First Band On The Moon (Remastered)","The Cardigans",1996-01-01,193953,79,125618849,2023-09-04T13:25:44Z,"","Universal Music AB",0.704,0.636,9,-6.029,1,0.0252,0.0344,0,0.35,0.89,111.845,4
4EfZ2eaFjn1MQbKZD8urIz,"The Future's So Bright, I Gotta Wear Shades","Greetings From Timbuk 3","Timbuk 3",1986-01-01,204240,42,125618849,2023-09-02T23:41:24Z,"","I.R.S. Records",0.648,0.688,7,-13.139,1,0.0431,0.0489,0.0362,0.478,0.963,157.954,4
0Xl2pAlIRE6ANULPdEI7fx,"Pink","Nine Lives","Aerosmith",1997-03-18,235473,61,125618849,2023-09-02T23:52:01Z,"classic rock,rock","Aerosmith P&D - Sony",0.473,0.768,0,-4.708,1,0.037,0.00994,0,0.145,0.826,171.669,4
7IPzEPRs8Y3j0hieZ4wdYf,"Uranium Fever","Presenting Elton Britt","Elton Britt",1955-12-03,139133,49,125618849,2023-09-02T23:31:10Z,"traditional country","Universal Digital Enterprises",0.79,0.505,3,-8.247,1,0.143,0.837,0,0.0591,0.909,118.89,4
1VKPiQJnV15flF5B3zeocD,"You Dropped A Bomb On Me","The Gap Band IV","The Gap Band",1982-01-01,312906,57,125618849,2023-09-02T23:19:22Z,"quiet storm,funk","Island Mercury",0.786,0.627,9,-11.177,1,0.0339,0.00737,0.00186,0.181,0.831,126.461,4
3dUMuxNadGxCE3qXuhCwqa,"Dance Apocalyptic","The Electric Lady","Janelle Monáe",2013-09-06,205200,37,125618849,2023-09-02T23:20:14Z,"alternative r&b","Bad Boy/Wondaland",0.578,0.777,0,-7.572,1,0.243,0.261,0.00318,0.223,0.65,205.749,4
