Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7aVUykGDZCRyLRKCQrtrbx,"Barbie & Ken","Barbie & Ken","Scene Queen,Set It Off",2022-08-25,135000,56,ztu3tots4m0caggqi05349wt5,2023-07-26T21:06:00Z,"emo","Hopeless Records",0.686,0.691,8,-4.511,0,0.0558,0.00345,0.00000702,0.0597,0.509,104.016,4
1uAXWqVuVOSDqE4lJvY4Ae,"Pink G-String","Pink G-String","Scene Queen",2022-07-14,127391,41,ztu3tots4m0caggqi05349wt5,2023-07-26T21:06:03Z,"","Hopeless Records",0.644,0.932,7,-4.088,1,0.0818,0.0112,0,0.322,0.92,138.076,4
32ljWqOxw3ckyuaUc882F6,"Pink Panther","Bimbocore","Scene Queen",2022-04-29,142018,51,ztu3tots4m0caggqi05349wt5,2023-07-26T21:06:07Z,"","Hopeless Records",0.669,0.853,11,-3.98,1,0.0749,0.00357,0.0594,0.132,0.476,109.035,4
1hSpR6T2VyCtZh9pXCLSUy,"Pretty In Pink","Bimbocore","Scene Queen",2022-04-29,153882,40,ztu3tots4m0caggqi05349wt5,2023-07-26T21:06:09Z,"","Hopeless Records",0.602,0.805,0,-5.155,1,0.0424,0.00166,0.0054,0.561,0.197,84.994,4
6xeMsEEUC7lhZc9xLty606,"Pink Rover","Bimbocore","Scene Queen",2022-04-29,118863,52,ztu3tots4m0caggqi05349wt5,2023-07-26T21:06:32Z,"","Hopeless Records",0.495,0.725,1,-5.19,1,0.0627,0.000589,0.0217,0.429,0.419,198.238,4
0fQlpBKc3AJPmoudVpmDje,"Pink Paper","Bimbocore","Scene Queen",2022-04-29,133483,33,ztu3tots4m0caggqi05349wt5,2023-07-26T21:06:48Z,"","Hopeless Records",0.63,0.782,8,-5.662,1,0.0564,0.00788,0.00000243,0.1,0.454,89.036,4
5ZrDlcxIDZyjOzHdYW1ydr,"Barbie Girl","Aquarium (Special Edition)","Aqua",1997-01-01,197960,73,ztu3tots4m0caggqi05349wt5,2023-07-26T21:06:56Z,"europop,eurodance","Universal Music A/S",0.812,0.879,1,-10.998,0,0.0397,0.017,0.224,0.365,0.962,129.991,4
03uQyt8Bdnt2paQgCWZl5v,"Apex Predator","Mean Girls (Original Broadway Cast Recording)","Barrett Wilbert Weed,Erika Henningsen",2018-05-18,194280,47,ztu3tots4m0caggqi05349wt5,2023-07-26T21:07:03Z,"musicals","Atlantic Records",0.656,0.804,0,-4.35,1,0.0894,0.091,0,0.297,0.489,111.96,4
741UUVE2kuITl0c6zuqqbO,"Barbie World (with Aqua) [From Barbie The Album]","Barbie World (with Aqua) [From Barbie The Album]","Nicki Minaj,Ice Spice,Aqua",2023-06-23,109750,69,ztu3tots4m0caggqi05349wt5,2023-07-26T21:07:15Z,"europop,eurodance","Atlantic Records",0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,4
11C4y2Yz1XbHmaQwO06s9f,"Dance The Night","Barbie The Album","Dua Lipa",2023-07-21,176579,67,ztu3tots4m0caggqi05349wt5,2023-07-26T21:09:24Z,"pop","Atlantic Records",0.671,0.845,11,-4.93,0,0.048,0.0207,0,0.329,0.775,110.056,4
