Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
777zXDJpBufzttU4AJ2dGO,"I Don't Want To Set The World On Fire","The Anthology","The Ink Spots",1998-06-16,181066,65,6zvpscb361kn4yn5p7nj5tv2h,2023-07-01T08:38:19Z,"adult standards","Geffen",0.445,0.146,5,-16.064,1,0.0333,0.962,0.0000105,0.249,0.332,86.637,4
5ZrDlcxIDZyjOzHdYW1ydr,"Barbie Girl","Aquarium (Special Edition)","Aqua",1997-01-01,197960,73,31t6wlxcwpfp6etubrcebr637hke,2023-07-01T08:44:24Z,"europop,eurodance","Universal Music A/S",0.812,0.879,1,-10.998,0,0.0397,0.017,0.224,0.365,0.962,129.991,4
2Pi0rY9FcbaecqO0AyhXbu,"I'll Never Smile Again","The Seventeen Number Ones","Tommy Dorsey,Frank Sinatra,The Pied Pipers",1990-07-17,189466,59,6zvpscb361kn4yn5p7nj5tv2h,2023-07-01T08:45:22Z,"big band,swing music,adult standards,christmas,vocal jazz,jazz","RCA Classics",0.34,0.144,0,-16.383,1,0.0285,0.993,0.776,0.418,0.0655,85.399,4
2gam98EZKrF9XuOkU13ApN,"Promiscuous","Loose","Nelly Furtado,Timbaland",2006-01-01,242293,83,31t6wlxcwpfp6etubrcebr637hke,2023-07-01T08:46:35Z,"","Mosley / Geffen",0.808,0.97,10,-6.098,0,0.0504,0.0573,0.0000617,0.154,0.868,114.328,4
417c6vlCzP6ZpGm224tkXh,"Atom Bomb Baby","Presenting The Five Stars","The Five Stars",1957-02-11,136746,44,6zvpscb361kn4yn5p7nj5tv2h,2023-07-01T08:48:28Z,"moroccan chaabi","Universal Digital Enterprises",0.515,0.616,7,-6.119,1,0.0309,0.628,0,0.379,0.911,81.006,4
4fixebDZAVToLbUCuEloa2,"Womanizer","Circus (Deluxe Version)","Britney Spears",2008-12-02,224400,77,31t6wlxcwpfp6etubrcebr637hke,2023-07-01T08:51:57Z,"pop","Jive",0.724,0.695,11,-5.226,1,0.0622,0.073,0,0.0889,0.235,139,4
7IPzEPRs8Y3j0hieZ4wdYf,"Uranium Fever","Presenting Elton Britt","Elton Britt",1955-12-03,139133,49,6zvpscb361kn4yn5p7nj5tv2h,2023-07-01T09:02:55Z,"traditional country","Universal Digital Enterprises",0.79,0.505,3,-8.247,1,0.143,0.837,0,0.0591,0.909,118.89,4
4KTtYhxFtFL7mBwnjkKfLm,"Glamorous","The Dutchess","Fergie,Ludacris",2006-09-13,246573,68,31t6wlxcwpfp6etubrcebr637hke,2023-07-01T09:03:41Z,"southern hip hop","Will I Am / Fergie LP1",0.81,0.755,0,-6.408,1,0.199,0.291,0,0.0857,0.625,130.991,4
7coH7f2P7SiLxmo95b5QHX,"Ain't That A Kick In The Head - 1997 - Remastered","Dino: The Essential Dean Martin","Dean Martin",2004,144693,0,6zvpscb361kn4yn5p7nj5tv2h,2023-07-01T09:05:06Z,"christmas,adult standards,big band,swing music","Capitol Records",0.659,0.345,6,-7.893,0,0.0555,0.616,0,0.299,0.725,132.241,4
66ZcOcouenzZEnzTJvoFmH,"The Sweet Escape","The Sweet Escape","Gwen Stefani,Akon",2006-01-01,246466,72,31t6wlxcwpfp6etubrcebr637hke,2023-07-01T09:14:49Z,"","Interscope",0.756,0.769,1,-3.502,1,0.0344,0.191,0,0.178,0.73,119.961,4
5XCnwboYd7RhDoc0Hb0Qlt,"Midnight In A Madhouse","Spinnin' The Webb","Chick Webb",1994-01-01,150040,29,6zvpscb361kn4yn5p7nj5tv2h,2023-07-01T19:43:59Z,"swing music,big band,jazz,jazz blues","GRP",0.509,0.423,0,-10.567,0,0.0565,0.824,0.895,0.211,0.76,204.273,4
3UQmoVQJqBYauTZLVPs3uo,"Luxurious","Love. Angel. Music. Baby. (Deluxe Version)","Gwen Stefani",2004-11-12,264920,64,31t6wlxcwpfp6etubrcebr637hke,2023-07-02T05:54:42Z,"","Interscope",0.811,0.726,0,-3.995,1,0.0813,0.154,0,0.116,0.665,131.025,4
3zp4IJHgH511UfUGCoLbPt,"These Foolish Things","Too Marvellous for Words (1936-1937)","Carroll Gibbons,The Savoy Hotel Orpheans",2011-01-01,188066,38,6zvpscb361kn4yn5p7nj5tv2h,2023-07-02T07:21:35Z,"big band","Birr's Ballroom Classics",0.606,0.091,2,-22.845,1,0.0469,0.987,0.797,0.113,0.592,108.043,4
