Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1vYXt7VSjH9JIM5oRRo7vA,"Dance The Night - From Barbie The Album","Dance The Night (From Barbie The Album)","Dua Lipa",2023-05-25,176579,79,michaelswope044,2023-08-03T19:11:05Z,"pop","Atlantic Records",0.671,0.845,11,-4.93,0,0.048,0.0207,0,0.329,0.775,110.056,4
0GjEhVFGZW8afUYGChu3Rr,"Dancing Queen","Arrival","ABBA",1976,230400,82,12160844974,2023-08-03T19:12:24Z,"","Polar Music International AB",0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,4
2grjqo0Frpf2okIBiifQKs,"September","The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",1978-11-23,215093,71,12160844974,2023-08-03T19:13:15Z,"disco","Columbia/Legacy",0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,4
6ztstiyZL6FXzh4aG46ZPD,"Boogie Wonderland","I Am","Earth, Wind & Fire,The Emotions",1979-06,288293,75,12160844974,2023-08-03T19:13:18Z,"disco","Columbia/Legacy",0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,4
5KgbyD2lQQlIupAaPjgiXg,"Night Fever - From Saturday Night Fever Soundtrack","Greatest","Bee Gees",1979-01-01,212253,73,12160844974,2023-08-03T19:13:21Z,"disco","Bee Gees Catalog",0.733,0.795,1,-7.224,0,0.0249,0.0263,0.000952,0.083,0.892,109.121,4
2xiOdusRnZezQok1RgLNeS,"You Should Be Dancing","Children Of The World","Bee Gees",1976-01-01,256493,67,12160844974,2023-08-03T19:13:23Z,"disco","Bee Gees Catalog",0.682,0.716,0,-10.911,1,0.0333,0.0182,0.168,0.337,0.963,123.011,4
6HIVJXpdvp1C1ubfnkFnz8,"Celebration - Single Version","Collected","Kool & The Gang",2018-05-25,218786,61,12160844974,2023-08-03T19:13:27Z,"disco,funk","Mercury Records",0.824,0.837,1,-7.124,1,0.054,0.0216,0.00944,0.123,0.947,121.143,4
3mRM4NM8iO7UBqrSigCQFH,"Stayin' Alive - From Saturday Night Fever Soundtrack","Greatest","Bee Gees",1979-01-01,285373,76,12160844974,2023-08-03T19:13:48Z,"disco","Bee Gees Catalog",0.703,0.827,10,-7.179,0,0.0343,0.032,0.00636,0.179,0.944,103.564,4
5IKLwqBQG6KU6MP2zP80Nu,"We Are Family - 1995 Remaster","We Are Family (1995 Remaster)","Sister Sledge",1995,216733,66,12160844974,2023-08-03T19:14:03Z,"disco,philly soul","Rhino Atlantic",0.784,0.893,7,-5.153,0,0.0923,0.3,0.0000157,0.272,0.819,118.738,4
3koCCeSaVUyrRo3N2gHrd8,"Let's Groove","Raise!","Earth, Wind & Fire",1981-11-14,339320,75,12160844974,2023-08-03T19:14:14Z,"disco","Legacy Recordings",0.869,0.648,11,-8.698,0,0.0633,0.121,0.0000217,0.126,0.9,125.035,4
