Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2tQG2nFEHhWsH05kFKlC4A,"Barbie World (with Aqua)","Barbie The Album","Nicki Minaj,Ice Spice,Aqua",2023-07-21,109750,51,31lwyxvelo3n7ikxs2vmg54ukaga,2023-09-06T22:53:02Z,"europop,eurodance","Atlantic Records",0.759,0.579,0,-8.398,1,0.248,0.514,0.0014,0.237,0.736,144.025,4
5Pt5PdAOOXLdYiXAIl68K6,"WATATI (feat. Aldo Ranks)","Barbie The Album","KAROL G,Aldo Ranks",2023-07-21,166882,45,31lwyxvelo3n7ikxs2vmg54ukaga,2023-09-06T22:53:24Z,"reggaeton,latin,urbano latino","Atlantic Records",0.893,0.851,3,-5.342,0,0.0979,0.145,0.0000649,0.319,0.959,110.002,4
6932XE7HnGtDvB0kgMDPdZ,"Angel","Barbie The Album","PinkPantheress",2023-07-21,123820,45,31lwyxvelo3n7ikxs2vmg54ukaga,2023-09-07T03:15:47Z,"bedroom pop","Atlantic Records",0.676,0.693,2,-6.322,1,0.0548,0.18,0.108,0.194,0.617,115.015,4
6J1SjVyNDzkZ3sF85Ndd3B,"Faneto","Back From The Dead 2","Chief Keef",2015-06-16,206654,0,31lwyxvelo3n7ikxs2vmg54ukaga,2023-09-07T03:17:59Z,"drill","RBC Records",0.849,0.755,1,-7.4,0,0.363,0.346,0,0.0564,0.393,144.188,4
5fwSHlTEWpluwOM0Sxnh5k,"Pepas","Pepas","Farruko",2021-06-24,287120,76,31lwyxvelo3n7ikxs2vmg54ukaga,2023-09-07T03:17:59Z,"reggaeton,trap latino,latin","Sony Music Latin",0.762,0.766,7,-3.955,1,0.0343,0.00776,0.0000698,0.128,0.442,130.001,4
437XuvOD7TbrhjUcrJPO8D,"Panoramic (feat. Sage The Gemini, Show Banga)","Panoramic (feat. Sage The Gemini & Show Banga) - Single","GetItDmac",2013-05-21,159500,43,31lwyxvelo3n7ikxs2vmg54ukaga,2023-09-07T03:17:59Z,"hyphy","Triple Vision Music Group",0.846,0.504,11,-8.552,0,0.223,0.00165,0.00000414,0.0933,0.492,97.502,4
03tqyYWC9Um2ZqU0ZN849H,"No Hands (feat. Roscoe Dash & Wale)","Flockaveli","Waka Flocka Flame,Roscoe Dash,Wale",2010-10-01,263773,74,31lwyxvelo3n7ikxs2vmg54ukaga,2023-09-07T03:17:59Z,"","Asylum/Warner Records",0.76,0.595,1,-6.366,1,0.0391,0.00544,0,0.241,0.361,131.497,4
1xzBco0xcoJEDXktl7Jxrr,"Mo Bamba","MUDBOY","Sheck Wes",2018-10-05,183906,73,31lwyxvelo3n7ikxs2vmg54ukaga,2023-09-07T03:17:59Z,"","Cactus Jack Records/ G.O.O.D. Music/ Interscope Records",0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,4
0cBRmV3NkhS3FWwuyyB68d,"Freak Hoe","Freak Hoe","Speaker Knockerz",2013-01-18,165373,52,31lwyxvelo3n7ikxs2vmg54ukaga,2023-09-07T03:17:59Z,"","Speaker Knockerz",0.794,0.871,11,-6.797,0,0.0632,0.1,0,0.384,0.729,89.997,4
4tcPIwy0UvLYjhXLrMyx89,"Pump It Up","Pump It Up","Endor",2020-03-12,150635,61,31lwyxvelo3n7ikxs2vmg54ukaga,2023-09-07T03:17:59Z,"tech house","Armada Music",0.898,0.893,1,-7.255,1,0.225,0.207,0.0000933,0.061,0.653,129.047,4
