Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
741UUVE2kuITl0c6zuqqbO,"Barbie World (with Aqua) [From Barbie The Album]","Barbie World (with Aqua) [From Barbie The Album]","Nicki Minaj,Ice Spice,Aqua",2023-06-23,109750,69,daisyrain323,2023-09-21T02:10:30Z,"europop,eurodance","Atlantic Records",0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,4
2yjlYDiNiQkdxVqTlaSrlX,"Super Freaky Girl","Queen Radio: Volume 1","Nicki Minaj",2022-08-26,170977,66,daisyrain323,2023-09-21T02:10:39Z,"","Republic Records",0.951,0.878,2,-2.565,1,0.211,0.0509,0.0000161,0.321,0.923,133.014,4
1vYXt7VSjH9JIM5oRRo7vA,"Dance The Night - From Barbie The Album","Dance The Night (From Barbie The Album)","Dua Lipa",2023-05-25,176579,79,daisyrain323,2023-09-21T02:10:48Z,"pop","Atlantic Records",0.671,0.845,11,-4.93,0,0.048,0.0207,0,0.329,0.775,110.056,4
2IGMVunIBsBLtEQyoI1Mu7,"Paint The Town Red","Paint The Town Red","Doja Cat",2023-08-04,231750,77,daisyrain323,2023-09-21T02:10:54Z,"","Kemosabe Records/RCA Records",0.868,0.538,5,-8.603,1,0.174,0.269,0.00000334,0.0901,0.732,99.968,4
2TfSHkHiFO4gRztVIkggkE,"Sugar, We're Goin Down","From Under The Cork Tree","Fall Out Boy",2005-05-03,229093,76,daisyrain323,2023-09-21T02:11:27Z,"emo,pop punk,emo pop","Island Records",0.494,0.842,7,-4.784,1,0.0843,0.00579,0,0.122,0.574,162.011,4
1yjY7rpaAQvKwpdUliHx0d,"Still into You","Paramore","Paramore",2013-04-05,216013,78,daisyrain323,2023-09-21T02:11:42Z,"pop punk,emo,emo pop","Fueled By Ramen",0.602,0.923,5,-3.763,1,0.044,0.0098,0,0.0561,0.765,136.01,4
1Vp4St7JcXaUoJcIahtf3L,"The New Workout Plan","The College Dropout","Kanye West",2004-02-10,322800,61,daisyrain323,2023-09-21T02:12:50Z,"rap","Roc-A-Fella",0.704,0.792,2,-4.831,1,0.198,0.00981,0,0.365,0.646,118.022,4
5VxmI3IdgAxWVvUnJoLuY2,"Speed Drive (From Barbie The Album)","Speed Drive (From Barbie The Album)","Charli xcx",2023-06-29,117809,67,31ksrgvypmywftzfujvffhuuoi7q,2023-09-21T02:12:59Z,"hyperpop,art pop","Atlantic Records",0.652,0.879,0,-6.405,1,0.0784,0.00284,0.0896,0.0918,0.789,173.925,4
5ECxiK4Vigo1yRRmAoZc1f,"Silk Chiffon","MUNA","MUNA,Phoebe Bridgers",2022-06-24,206586,60,31ksrgvypmywftzfujvffhuuoi7q,2023-09-21T02:13:04Z,"","Dead Oceans",0.622,0.739,8,-6.219,1,0.0441,0.0156,0,0.111,0.435,97.017,4
2Zo1PcszsT9WQ0ANntJbID,"Feather","emails i can’t send fwd:","Sabrina Carpenter",2023-03-17,185552,83,31ksrgvypmywftzfujvffhuuoi7q,2023-09-21T02:13:08Z,"","Island Records",0.791,0.694,6,-4.332,0,0.0335,0.0736,0.00000175,0.0958,0.826,123.508,4
66zv9VF3nnL1UrsDRJQU9r,"Just That Girl","Another Cinderella Story (Original Motion Picture Soundtrack)","Drew Seeley",2008-08-26,197786,48,daisyrain323,2023-09-21T02:13:13Z,"","Razor & Tie",0.693,0.947,11,-5.72,1,0.0628,0.0112,0.00000473,0.0693,0.91,114.99,4
4i2qxFEVVUi8yOYoxB8TCX,"Midnight Sky","Plastic Hearts","Miley Cyrus",2020-11-27,223280,69,daisyrain323,2023-09-21T02:13:35Z,"","RCA Records Label",0.699,0.805,4,-5.535,0,0.0345,0.00161,0.00177,0.249,0.232,109.976,4
5WnfnSpuNEGXyEt78PBA6d,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)","Revenge Of The Dreamers III","Dreamville,Bas,JID,Guapdad 4000,Reese LAFLARE,Jace,Mez,Smokepurpp,Buddy,Ski Mask The Slump God",2019-07-05,217866,60,daisyrain323,2023-09-21T02:13:38Z,"","Dreamville/Interscope Records",0.642,0.647,7,-6.312,0,0.428,0.517,0,0.0649,0.664,120.749,4
6gTJaPuj8DT8RjuDJyBgzP,"Don't","x (Wembley Edition)","Ed Sheeran",2013,219840,57,daisyrain323,2023-09-21T02:13:40Z,"soft pop","Atlantic Records UK",0.806,0.608,1,-7.008,1,0.0659,0.0113,0,0.635,0.849,95.049,4
3fvsxmytTns1ApIWBqfANZ,"Temptation (feat. Poppy Baskcomb)","Temptation (feat. Poppy Baskcomb)","Jess Bays,Poppy Baskcomb",2022-02-18,172197,63,daisyrain323,2023-09-21T02:13:41Z,"house,stutter house,drum and bass","Good Company",0.744,0.703,3,-8.111,0,0.048,0.0195,0.00449,0.141,0.819,125.023,3
7ro0hRteUMfnOioTFI5TG1,"WHERE SHE GOES","WHERE SHE GOES","Bad Bunny",2023-05-18,231704,74,daisyrain323,2023-09-21T02:13:42Z,"reggaeton,trap latino,urbano latino,latin","Rimas Entertainment LLC",0.652,0.8,9,-4.019,0,0.0614,0.143,0.629,0.112,0.234,143.978,4
