Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
65zLNCRs7lDEkah5vuNZDt,"I Melt with You","Nouvelle vague","Nouvelle Vague,Silja",2004-05-11,240880,0,hohltown143,2023-06-14T00:40:38Z,"lounge","Kwaidan",0.786,0.512,1,-9.069,1,0.0273,0.659,0.136,0.132,0.612,119.971,4
1vYXt7VSjH9JIM5oRRo7vA,"Dance The Night - From Barbie The Album","Dance The Night (From Barbie The Album)","Dua Lipa",2023-05-25,176579,79,hohltown143,2023-06-12T11:33:55Z,"pop","Atlantic Records",0.671,0.845,11,-4.93,0,0.048,0.0207,0,0.329,0.775,110.056,4
6Dbjbkuzp4QEudONcqFNsi,"yoga","eat ya veggies","bbno$,Rebecca Black",2021-10-08,157440,0,hohltown143,2023-06-14T01:43:34Z,"meme rap,hyperpop","bbno$",0.76,0.756,4,-6.353,0,0.201,0.0384,0,0.876,0.868,118.026,4
0LatWThfKUOdIj3x6V6xKu,"Dub Be Good to Me","Let Them Eat Bingo","Beats International,Norman Cook",1990,217626,18,hohltown143,2023-06-14T02:30:31Z,"big beat,breakbeat","Rhino/Elektra",0.866,0.315,7,-17.73,1,0.0609,0.000926,0.0311,0.123,0.695,95.906,4
2qsQ8eVDPmobZpvDxQCVQu,"Barbie Tingz","Barbie Tingz","Nicki Minaj",2018-04-12,191699,58,hohltown143,2023-06-12T11:30:52Z,"","Nicki Minaj/Cash Money",0.917,0.679,6,-6.083,1,0.266,0.0867,0,0.588,0.453,102.449,4
5jC1JPiJlvTGmPh0md76eO,"Dolls Kill - feat. ELLE TERESA　Tokyo Girls Anthem Remastered","Tokyo Girls Anthem","FEMM,Elle Teresa",2021-12-17,189492,3,hohltown143,2023-06-12T11:30:46Z,"j-dance,j-pop,j-rap,j-r&b","MAXIMUM 10",0.927,0.677,11,-7.118,1,0.122,0.108,0.00155,0.0544,0.819,144.042,4
4ieCzIuNJAzTcDDu3DX2VC,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Phoenix (Deluxe Edition)","Rita Ora,Bebe Rexha,Charli xcx,Cardi B",2018-11-23,221153,42,hohltown143,2023-06-14T01:10:02Z,"hyperpop,art pop","Atlantic Records UK",0.728,0.69,8,-4.344,0,0.0524,0.0164,0,0.104,0.415,94.028,4
6yG6BVVcJbYRa45oiCfoG9,"This Hell","Catch Me In The Air","Rina Sawayama",2022-06-27,236078,11,hohltown143,2023-06-14T02:06:06Z,"","Dirty Hit",0.628,0.85,9,-3.709,0,0.0373,0.0047,0.00000481,0.124,0.472,120.995,4
38iU2jg98IZZEIJPrP7aWD,"Till the World Ends","Femme Fatale (Deluxe Version)","Britney Spears",2011-03-28,237946,63,hohltown143,2023-06-14T00:32:01Z,"pop","Jive",0.693,0.705,8,-5.747,1,0.0665,0.0228,0,0.202,0.45,131.951,4
3dUMuxNadGxCE3qXuhCwqa,"Dance Apocalyptic","The Electric Lady","Janelle Monáe",2013-09-06,205200,38,hohltown143,2023-06-14T01:45:38Z,"alternative r&b","Bad Boy/Wondaland",0.578,0.777,0,-7.572,1,0.243,0.261,0.00318,0.223,0.65,205.749,4
56Y3RbWAzciF44Rua5Q2K9,"Paris Is Burning","Ladyhawke","Ladyhawke",2008-01-01,229066,30,hohltown143,2023-06-11T23:01:38Z,"","Universal Music Australia Pty. Ltd.",0.592,0.891,9,-3.489,0,0.0508,0.0227,0,0.144,0.744,122.987,4
3WXhshrs1fzwF3rQE399Gq,"Kill V. Maim","Art Angels","Grimes",2015-11-06,246006,60,hohltown143,2023-06-14T01:55:27Z,"art pop,indietronica","4AD",0.578,0.947,11,-2.431,0,0.0359,0.00744,0.0816,0.105,0.456,134.033,4
5fBx0CyspbLYEO073IHxGN,"XXXO","/\/\ /\ Y /\","M.I.A.",2010-07-12,174226,33,hohltown143,2023-06-11T23:00:42Z,"","XL Recordings",0.678,0.953,7,-3.841,1,0.0423,0.00192,0.000575,0.22,0.676,119.981,4
78M2x5ojbdTmUOpWrbijG3,"Under the Bridge","All Saints","All Saints,Nelle Hooper",1997,301066,41,hohltown143,2023-06-14T02:23:04Z,"","London Records",0.717,0.564,6,-7.752,0,0.0551,0.0452,0.000464,0.0897,0.728,85.996,4
5l0nX3AhmmF717aKSs8qSH,"Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks)","Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks)","Miley Cyrus,Stevie Nicks",2020-11-06,220636,47,hohltown143,2023-06-12T11:31:58Z,"","RCA Records Label",0.681,0.737,4,-5.246,0,0.0384,0.0291,0.00000716,0.0856,0.278,109.95,4
5QIbR39hAEDIOkr4ggh4xc,"Atomic","Eat To The Beat","Blondie",1979-09-28,280324,57,hohltown143,2023-06-11T22:51:40Z,"","Chrysalis\EMI Records (USA)",0.596,0.824,4,-4.893,0,0.0361,0.051,0.131,0.0586,0.786,135.171,4
5XPij5M7YKZxHJDpCgrZX9,"Fujiyama Mama - Remastered","Don't Follow Me I'm Lost Too (Expanded) [Remastered]","Pearl Harbour",1980-09-04,130206,3,hohltown143,2023-12-21T21:26:53Z,"psychobilly,rockabilly","Blixa Sounds",0.462,0.953,2,-11.562,1,0.0598,0.00339,0.000835,0.129,0.883,168.182,4
4VXpAnz8dzJSvMlQtfNRee,"It's A Disaster","Oh No","OK Go",2005-01-01,201426,25,hohltown143,2023-12-21T21:28:16Z,"","Capitol Records",0.273,0.899,9,-2.254,0,0.0722,0.000119,0.177,0.0676,0.527,200.29,4
3DBErzKR7FVxLJvdzGlCLx,"Can't Get Blue Monday out of My Head","Fever","Kylie Minogue",2001-10-01,241466,44,hohltown143,2023-06-14T01:29:42Z,"dance pop","Parlophone UK",0.753,0.528,9,-8.582,0,0.0624,0.0385,0.624,0.0693,0.903,126.007,3
