Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0m9aEPQaH04pYzwfF1JlSH,"It's Your Touch","The Black Ghosts","The Black Ghosts",2009-01-25,235386,16,31lq4uw273tilwa3z4kkps43adfu,2023-08-04T12:12:09Z,"","Southern Fried Records",0.73,0.835,0,-5.168,1,0.129,0.255,0,0.164,0.507,132.958,4
44AL9Xok81qGEOZdPQpUnM,"Bang Bang Bang (feat. MNDR)","Record Collection","Mark Ronson,The Business Intl,MNDR",2010-09-21,233626,45,31lq4uw273tilwa3z4kkps43adfu,2023-08-04T12:12:23Z,"indietronica","Columbia",0.734,0.822,7,-2.446,1,0.047,0.0186,0.000146,0.283,0.898,92.935,4
5TIVr1YDRbTmVoPDZRbGDN,"bbq","bbq","Madge",2023-03-17,122352,30,31lq4uw273tilwa3z4kkps43adfu,2023-08-04T12:12:29Z,"hyperpop","Menadgerie",0.853,0.453,1,-10.524,1,0.0316,0.00178,0.0443,0.341,0.432,102.011,4
3LklW07tvdx2AHsgfi1Mng,"I Wish","I Wish","Skee-Lo",1995-09-02,249293,61,31lq4uw273tilwa3z4kkps43adfu,2023-08-04T12:14:22Z,"","Legacy Recordings",0.669,0.809,7,-7.146,1,0.147,0.00137,0,0.38,0.572,97.885,4
0DiWol3AO6WpXZgp0goxAV,"One More Time","Discovery","Daft Punk",2001-03-12,320357,76,31lq4uw273tilwa3z4kkps43adfu,2023-08-04T12:16:35Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.613,0.697,2,-8.618,1,0.133,0.0194,0,0.332,0.476,122.746,4
303ccTay2FiDTZ9fZ2AdBt,"Music Sounds Better With You","Music Sounds Better With You","Stardust,Benjamin Diamond,Alan Braxe,Thomas Bangalter",1998-07-20,403293,69,31lq4uw273tilwa3z4kkps43adfu,2023-08-04T12:16:48Z,"french house","Because Music",0.735,0.72,1,-7.04,1,0.336,0.00105,0.15,0.382,0.364,124.174,4
4bz7uB4edifWKJXSDxwHcs,"Galvanize","Push The Button","The Chemical Brothers",2005-01-01,393813,66,31lq4uw273tilwa3z4kkps43adfu,2023-08-04T12:17:00Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.745,0.714,7,-3.681,1,0.0751,0.0141,0.0222,0.363,0.365,104.003,4
2mGxDOaHdBWnJY7V0In8Vx,"Getto Jam","Domino","Domino",1993-12-07,259280,42,31lq4uw273tilwa3z4kkps43adfu,2023-08-04T12:17:32Z,"g-funk,west coast hip hop","Century Park Records",0.802,0.547,9,-12.085,1,0.131,0.0312,0.00000134,0.326,0.492,86.576,4
6KOEK6SeCEZOQkLj5M1PxH,"California Gurls","Teenage Dream","Katy Perry,Snoop Dogg",2010-01-01,234653,72,31lq4uw273tilwa3z4kkps43adfu,2023-08-04T12:17:51Z,"pop,g-funk,west coast hip hop,gangster rap,hip hop,rap","Capitol Records",0.789,0.753,0,-3.71,1,0.0537,0.0038,0,0.18,0.403,125.007,4
5lQOzJmQladWC4kLQClssB,"Heart Of Glass - Single Version / Remastered","Heart Of Glass","Blondie",1979-01-03,252893,38,31lq4uw273tilwa3z4kkps43adfu,2023-08-04T12:18:30Z,"","Capitol Records",0.728,0.68,4,-8.027,1,0.0338,0.0011,0.0599,0.0725,0.441,114.686,4
