Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7cdnq45E9aP2XDStHg5vd7,"Cherry Bomb","The Runaways","The Runaways",1976,138706,65,125365983,2023-07-08T18:05:55Z,"proto-punk","Island Def Jam",0.501,0.813,11,-8.192,1,0.0639,0.0455,0.0000475,0.131,0.495,136.59,4
417c6vlCzP6ZpGm224tkXh,"Atom Bomb Baby","Presenting The Five Stars","The Five Stars",1957-02-11,136746,44,125365983,2023-07-08T18:07:17Z,"moroccan chaabi","Universal Digital Enterprises",0.515,0.616,7,-6.119,1,0.0309,0.628,0,0.379,0.911,81.006,4
3opVsyWVYEAFK9bJAG8Opa,"Boom Boom Pow","THE E.N.D. (THE ENERGY NEVER DIES)","Black Eyed Peas",2009-01-01,251440,64,125365983,2023-07-08T21:21:48Z,"","Interscope",0.866,0.857,9,-5.894,1,0.0664,0.13,0.0017,0.13,0.408,130.049,4
2rgHxOarlO4W35mg0IZ5u8,"This Town Ain't Big Enough For Both Of Us","Kimono My House","Sparks",1974-05,184600,48,125365983,2023-07-08T21:22:11Z,"glam rock,synthpop,art pop,art rock,new wave","UMC (Universal Music Catalogue)",0.465,0.731,2,-10.592,1,0.0724,0.448,0.00112,0.297,0.638,129.684,4
7IPzEPRs8Y3j0hieZ4wdYf,"Uranium Fever","Presenting Elton Britt","Elton Britt",1955-12-03,139133,49,125365983,2023-07-08T21:22:23Z,"traditional country","Universal Digital Enterprises",0.79,0.505,3,-8.247,1,0.143,0.837,0,0.0591,0.909,118.89,4
2W2QiVQs0TugOUUYWgnV8E,"X","Am I A Girl?","Poppy",2018-10-31,174483,48,125365983,2023-07-08T21:22:38Z,"","Mad Decent",0.495,0.856,6,-4.105,0,0.0918,0.0235,0.00313,0.261,0.482,114.169,4
2VEsmoek0sol9MnJFyoG9e,"Burnin' Up","A Little Bit Longer","Jonas Brothers",2008-08-12,175093,66,125365983,2023-07-08T21:22:56Z,"","Republic Records",0.667,0.954,2,-3.462,1,0.0817,0.0296,0,0.331,0.807,114.03,4
7p8HVe22aGW1XtO1hoDHGo,"99 Red Balloons","99 Luftballons","Nena",1984-04-08,230666,0,125365983,2023-07-08T21:23:11Z,"neue deutsche welle,schlager,german pop","BMG Rights Management GmbH",0.709,0.49,4,-6.935,1,0.0526,0.0689,0,0.114,0.566,96.985,4
2QJ9dLiolwZNPl5etYP2MI,"Combat Baby","Old World Underground, Where Are You Now?","Metric",2003-09-01,209760,51,125365983,2023-07-08T21:23:25Z,"","Everloving Records",0.649,0.914,9,-6.199,1,0.0455,0.00573,0.000165,0.0997,0.739,139.123,4
6QAztdj5jtr41PL56WcgvP,"The Bomb","Dance Fever","Florence + The Machine",2022-05-13,164566,52,125365983,2023-07-08T21:23:46Z,"baroque pop","Polydor Records",0.634,0.198,11,-8.68,1,0.0339,0.912,0.0000994,0.0875,0.299,110.79,4
1XsS266JiQtoqqLdlgD17V,"Miss Atomic Bomb","Battle Born","The Killers",2012-09-17,293506,53,125365983,2023-07-08T21:23:58Z,"alternative rock","Island Records",0.56,0.734,10,-7.094,1,0.0317,0.0273,0.0000212,0.253,0.332,132.953,4
3pYDZTJM2tVBUhIRifWVzI,"Blow","Cannibal (Expanded Edition)","Kesha",2010-11-19,219973,70,125365983,2023-07-08T21:24:15Z,"","RCA Records Label",0.753,0.729,11,-3.862,0,0.0392,0.00334,0.0000566,0.073,0.812,120.013,4
2ee9kqcX5qVkZwQmeJZVVC,"Hit Me With Your Rhythm Stick","Sex & Drugs & Rock & Roll","Ian Dury,The Blockheads",1987-01-01,223960,0,125365983,2023-07-08T21:24:45Z,"new wave","BMG Rights Management (UK) Limited",0.713,0.86,5,-7.845,0,0.0362,0.0704,0.00151,0.116,0.883,104.313,4
7aVUykGDZCRyLRKCQrtrbx,"Barbie & Ken","Barbie & Ken","Scene Queen,Set It Off",2022-08-25,135000,56,125365983,2023-07-08T21:25:11Z,"","Hopeless Records",0.686,0.691,8,-4.511,0,0.0558,0.00345,0.00000702,0.0597,0.509,104.016,4
0XyjtybwqSdqMAFfBEkmZf,"Rebel Girl","The Punk Singer (Original Motion Picture Soundtrack)","Bikini Kill",2015-10-13,157333,52,125365983,2023-07-08T21:25:22Z,"punk","Bikini Kill Records",0.435,0.939,8,-3.845,0,0.111,0.0122,0.00466,0.0614,0.559,134.938,4
74hIciJUZSalqkLVdf69PK,"Concrete","I Disagree","Poppy",2020-01-10,200743,45,125365983,2023-07-08T21:25:37Z,"","Sumerian Records",0.211,0.945,9,-5.404,1,0.345,0.0454,0.00129,0.248,0.22,175.126,4
22FniXvTKV9IC6IhxCpYve,"Hello Kitty","Worldwide Torture","Jazmin Bean",2020-11-11,151400,59,125365983,2023-07-08T21:25:53Z,"","Universal-Island Records Ltd.",0.453,0.796,9,-5.113,0,0.0605,0.0901,0,0.0319,0.11,104.784,4
2CLG8mc1f4Ottpgf0YoCYK,"Chemical Bomb","The Aquabats! vs the Floating Eye of Death! and Other Amazing Adventures, Vol. 1","The Aquabats!",1999-10-26,188866,34,125365983,2023-07-08T21:26:21Z,"ska,ska punk","Goldenvoice",0.567,0.622,1,-8.436,0,0.0382,0.666,0.00376,0.293,0.752,151.401,4
2oSpQ7QtIKTNFfA08Cy0ku,"It's The End Of The World As We Know It (And I Feel Fine)","Document (R.E.M. No. 5)","R.E.M.",1987-09-01,246933,66,125365983,2023-07-08T21:26:33Z,"jangle pop,alternative rock,rock","IRS",0.381,0.894,7,-8.638,1,0.037,0.0258,0,0.0251,0.797,205.528,4
3dUMuxNadGxCE3qXuhCwqa,"Dance Apocalyptic","The Electric Lady","Janelle Monáe",2013-09-06,205200,38,125365983,2023-07-08T21:27:30Z,"alternative r&b","Bad Boy/Wondaland",0.578,0.777,0,-7.572,1,0.243,0.261,0.00318,0.223,0.65,205.749,4
3X3FzrA32EbYvu3n3526w4,"Play Destroy","Am I A Girl?","Poppy,Grimes",2018-10-31,185278,49,125365983,2023-07-08T21:27:43Z,"art pop,indietronica","Mad Decent",0.531,0.936,2,-3.975,0,0.0786,0.00284,0.000173,0.665,0.556,120.057,4
0Ti2dlF2xLjXblvdU5fCxM,"Miss Murder","DECEMBERUNDERGROUND","AFI",2006-06-06,206586,68,125365983,2023-07-08T21:27:53Z,"punk,emo,skate punk,emo pop","Interscope",0.308,0.873,8,-4.542,1,0.0533,0.00022,0.000729,0.0974,0.686,143.519,4
3vEmpJQC2p8h0U3OiBufQm,"Army of Me","Post","Björk",1995-06-13,234333,53,125365983,2023-07-08T21:28:09Z,"art pop,trip hop","143/Lava/Atlantic",0.462,0.677,6,-9.262,1,0.0327,0.00786,0.0000715,0.226,0.468,172.192,4
6I9VzXrHxO9rA9A5euc8Ak,"Toxic","In The Zone","Britney Spears",2003-11-13,198800,81,125365983,2023-07-08T21:28:21Z,"pop","Jive",0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,4
2Lum7cLDAZGbDVLXHyisEa,"We Will Become Silhouettes","Give Up","The Postal Service",2003-02-19,300546,35,125365983,2023-07-08T21:28:35Z,"indietronica","Sub Pop Records",0.587,0.569,2,-8.044,1,0.0326,0.0304,0.0639,0.172,0.143,154.994,4
6FDGkw2X2Pmp4AaQP8x6mX,"Atomic Bomb","World Psychedelic Classics 5: Who Is William Onyeabor?","William Onyeabor",2013-10-29,479546,35,125365983,2023-07-08T21:28:57Z,"afrobeat","Luaka Bop",0.76,0.391,1,-8.73,1,0.0353,0.0286,0.00691,0.0582,0.965,116.873,4
0A0RBBTrgfq9eClnw6ZXT7,"Future Starts Slow","Blood Pressures","The Kills",2011-04-04,248200,55,125365983,2023-07-08T21:29:20Z,"garage rock","Domino Recording Co",0.677,0.743,6,-5.876,1,0.0611,0.0135,0.00222,0.0581,0.469,127.971,4
1El8fCqqanMELmkXUH3RAC,"Bikini Death - 2002 Remaster","1984","Republika",2011-11-29,269746,6,125365983,2023-07-08T21:29:43Z,"cold wave","Parlophone Poland",0.679,0.863,0,-7.053,1,0.0397,0.00356,0.0000321,0.0558,0.927,145.76,4
2Dc4MWMRcM7coMtXKjf7sL,"Nuclear War","A Fireside Chat With Lucifer","Sun Ra",2023-06-30,464386,27,125365983,2023-07-08T21:30:54Z,"free jazz,jazz,avant-garde,hard bop","Modern Harmonic",0.667,0.478,10,-10.19,1,0.131,0.783,0,0.347,0.383,86.38,4
0OMNQyneWmmZtTQpULYJcl,"It's Oh So Quiet","Post","Björk",1995-06-13,217733,49,125365983,2023-07-08T21:31:17Z,"art pop,trip hop","143/Lava/Atlantic",0.474,0.136,3,-14.114,1,0.0595,0.631,0,0.0717,0.2,124.412,3
5js0Xl9rBZstrrWxsRkWIy,"Atomic","III: Ghost Tigers Rise","Tiger Army",2004-06-29,196533,24,125365983,2023-07-08T21:31:55Z,"psychobilly,rockabilly,punk","Hellcat/Epitaph",0.455,0.918,8,-4.127,0,0.0484,0.000422,0.00396,0.177,0.728,127.658,4
4VgEM12OeaN3GyBV487Me7,"Holiday","Greatest Hits: God's Favorite Band","Green Day",2017-11-17,232680,61,125365983,2023-07-08T21:32:23Z,"punk,pop punk","Reprise",0.552,0.89,8,-3.409,1,0.0342,0.000143,0,0.888,0.716,146.525,4
1n6X8tdTSuQCyPABE8JjBm,"Atomic Playboys","Atomic Playboys","Steve Stevens",1989,348093,33,125365983,2023-07-08T21:32:36Z,"","Rhino/Warner Records",0.512,0.887,2,-10.547,1,0.0438,0.0119,0.00347,0.147,0.245,84.026,4
6xeMsEEUC7lhZc9xLty606,"Pink Rover","Bimbocore","Scene Queen",2022-04-29,118863,52,125365983,2023-07-08T21:32:59Z,"","Hopeless Records",0.495,0.725,1,-5.19,1,0.0627,0.000589,0.0217,0.429,0.419,198.238,4
4ZhPLoMzZwewHLLjV1J15c,"99 Luftballons","Nena","Nena",1983-09-23,232466,5,125365983,2023-07-08T21:33:14Z,"neue deutsche welle,schlager,german pop","BMG Rights Management GmbH",0.575,0.555,4,-7.495,1,0.0453,0.103,0.0000013,0.111,0.504,95.361,4
5QIbR39hAEDIOkr4ggh4xc,"Atomic","Eat To The Beat","Blondie",1979-09-28,280324,57,125365983,2023-07-08T21:33:28Z,"","Chrysalis\EMI Records (USA)",0.596,0.824,4,-4.893,0,0.0361,0.051,0.131,0.0586,0.786,135.171,4
78mjaBatbfvwx5KJwI036H,"Mz. Hyde","The Strange Case of... (Deluxe)","Halestorm",2012-04-09,202306,51,125365983,2023-07-08T21:33:50Z,"","Atlantic Records",0.558,0.929,2,-3.618,1,0.0638,0.00094,0.000248,0.389,0.502,137.868,4
1ndx3TRwjLDaIMoeF4Coh0,"Nice Guys","Blame Game","Beach Bunny",2021-01-15,182080,0,125365983,2023-07-08T21:34:05Z,"","Mom+Pop",0.514,0.768,9,-4.705,1,0.0501,0.0828,0.00000408,0.241,0.373,173.937,4
5ZrDlcxIDZyjOzHdYW1ydr,"Barbie Girl","Aquarium (Special Edition)","Aqua",1997-01-01,197960,74,125365983,2023-07-08T21:34:21Z,"europop,eurodance","Universal Music A/S",0.812,0.879,1,-10.998,0,0.0397,0.017,0.224,0.365,0.962,129.991,4
3ph6xHCshx5N8gLncLxm3O,"Radioactive","Electra Heart (Deluxe)","MARINA",2012-04-27,226962,43,125365983,2023-07-08T21:34:37Z,"","Atlantic Records UK",0.692,0.774,11,-4.308,0,0.0327,0.00584,0,0.0467,0.621,125.97,4
4LkCyp4LxvfLUWbRz1em5y,"I Eat Boys","I Eat Boys","chloe moriondo",2021-04-01,162866,32,125365983,2023-07-08T21:34:54Z,"bedroom pop,indie pop","Public Consumption",0.523,0.537,2,-4.958,1,0.0274,0.0499,0,0.222,0.167,91.728,4
7bJSbd2Upa4iYVHlbRKEJm,"Enola Gay","The Best Of Orchestral Manoeuvres In The Dark","Orchestral Manoeuvres In The Dark",1988-01-01,212400,52,125365983,2023-07-08T21:35:42Z,"new wave,synthpop","Virgin Records",0.567,0.555,2,-14.135,0,0.0327,0.00576,0.027,0.0683,0.958,143.093,4
1rW6UUZRQWW34j4zCQDkfX,"Bang Bang","Sweet Talker","Jessie J,Ariana Grande,Nicki Minaj",2014-10-13,199373,42,125365983,2023-07-08T21:36:23Z,"pop","Lava Music/Republic Records",0.706,0.783,0,-3.441,0,0.086,0.315,0,0.373,0.743,150.019,4
52kCx3YrlbnmKMIt5DEnNk,"Baby Says","Blood Pressures","The Kills",2011-04-04,268533,40,125365983,2023-07-08T21:36:48Z,"garage rock","Domino Recording Co",0.704,0.836,0,-5.26,1,0.0358,0.0209,0.513,0.226,0.521,119.731,4
5773KSWFzg9kCc8yazjbSt,"Deceptacon","Le Tigre","Le Tigre",1999-10-26,184626,66,125365983,2023-07-08T21:37:01Z,"electroclash","Mr. Lady Records, Le Tigre Records",0.603,0.864,4,-3.341,0,0.0668,0.055,0.00493,0.0986,0.616,160.488,4
7BClegkZnKHdiUIKMrePnM,"Nobody Asked Me (If I Was Okay)","Night Time, My Time","Sky Ferreira",2013-01-01,245866,35,125365983,2023-07-08T21:37:23Z,"","Capitol Records (CAP)",0.477,0.939,2,-4.35,1,0.0816,0.0000174,0.000682,0.559,0.405,137.976,4
