Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture Barbie]","What Was I Made For? [From The Motion Picture Barbie]","Billie Eilish",2023-07-13,222369,84,12152103723,2023-07-22T23:08:33Z,"","Darkroom/Interscope Records",0.391,0.084,0,-17.843,1,0.0317,0.953,0,0.0983,0.111,79.449,4
5XsAal7ZcWg1I5T4NcRjkv,"Halley's Comet","Happier Than Ever","Billie Eilish",2021-07-30,234761,74,12152103723,2023-07-22T23:12:45Z,"","Darkroom/Interscope Records",0.403,0.159,1,-16.728,0,0.104,0.961,0.0121,0.34,0.0381,72.38,4
33uKUpu9ZXsHhcxRLoxnWI,"I know it won't work","Good Riddance (Deluxe)","Gracie Abrams",2023-06-16,245629,75,12152103723,2023-07-22T23:12:59Z,"","Gracie Abrams, under exclusive license to Interscope Records",0.654,0.584,5,-8.95,0,0.0557,0.536,0.0000337,0.136,0.468,119.896,4
3GYlZ7tbxLOxe6ewMNVTkw,"TV","Guitar Songs","Billie Eilish",2022-07-21,281380,82,12152103723,2023-07-22T23:13:09Z,"","Darkroom/Interscope Records",0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214,4
6VzcQuzTNTMFnJ6rBSaLH9,"Fine Line","Fine Line","Harry Styles",2019-12-13,377960,75,12152103723,2023-07-22T23:13:17Z,"","Columbia",0.306,0.347,2,-8.5,1,0.0334,0.172,0.00013,0.0485,0.0511,120.996,4
1MgV7FIyNxIG7WzMRJV5HC,"my tears ricochet","folklore","Taylor Swift",2020-07-24,255893,78,12152103723,2023-07-22T23:13:20Z,"","Taylor Swift",0.469,0.263,0,-10.63,1,0.0329,0.806,0,0.0749,0.112,129.86,4
6uvh0In7u1Xn4HgxOfAn8O,"Matilda","Harry's House","Harry Styles",2022-05-20,245964,76,12152103723,2023-07-22T23:13:26Z,"","Columbia",0.507,0.294,2,-10,1,0.04,0.896,0.0000197,0.0966,0.386,114.199,4
7kt9e9LFSpN1zQtYEl19o1,"this is me trying","folklore","Taylor Swift",2020-07-24,195097,72,12152103723,2023-07-22T23:13:28Z,"","Taylor Swift",0.515,0.476,9,-9.843,1,0.0328,0.314,0.0000474,0.171,0.412,135.886,4
4ak9GGe6afmi2HbxEjvhIC,"Male Fantasy","Happier Than Ever","Billie Eilish",2021-07-30,194886,69,12152103723,2023-07-22T23:13:35Z,"","Darkroom/Interscope Records",0.687,0.288,2,-10.415,1,0.045,0.863,0,0.0986,0.308,110.927,4
6Uwi2Qk3H7fM4b4W4ExrAp,"Scott Street","Stranger in the Alps","Phoebe Bridgers",2017-09-22,305000,75,12152103723,2023-07-22T23:13:39Z,"","Dead Oceans",0.508,0.417,10,-9.632,1,0.0296,0.77,0.0928,0.0887,0.483,134.944,4
04mAOoQNsXmDJlyupJwmkO,"Waiting Room","Lost Ark Studio Compilation, Vol. 8","Phoebe Bridgers",2016-08-12,393962,73,12152103723,2023-07-22T23:13:47Z,"","Randm Records",0.531,0.289,2,-10.065,1,0.0286,0.339,0.000358,0.134,0.12,129.753,4
0pJW1Xw3aY4Eh6k5iuBkfI,"I Know The End","Punisher","Phoebe Bridgers",2020-06-18,344692,72,12152103723,2023-07-22T23:13:58Z,"","Dead Oceans",0.323,0.323,1,-10.268,1,0.0351,0.33,0.0229,0.233,0.256,111.826,4
4nyF5lmSziBAt7ESAUjpbx,"I miss you, I’m sorry","minor","Gracie Abrams",2020-07-14,167538,83,12152103723,2023-07-22T23:14:04Z,"","Gracie Abrams, under exclusive license to Interscope Records",0.445,0.455,7,-6.405,1,0.0575,0.731,0.00000147,0.124,0.151,109.885,5
4HOryCnbme0zBnF8LWij3f,"Getting Older","Happier Than Ever","Billie Eilish",2021-07-30,244221,71,12152103723,2023-07-22T23:14:06Z,"","Darkroom/Interscope Records",0.599,0.128,10,-17.261,1,0.109,0.974,0.121,0.115,0.367,159.679,4
46RNrAkGsqWTDrv2ZPOAbx,"Moon Song","Punisher","Phoebe Bridgers",2020-06-18,277676,68,12152103723,2023-07-22T23:14:10Z,"","Dead Oceans",0.339,0.243,1,-12.512,1,0.056,0.869,0.00369,0.107,0.183,154.909,3
5SHpuW2qjkQtFRpE6P9Nks,"The 30th","Guitar Songs","Billie Eilish",2022-07-21,216448,72,12152103723,2023-07-22T23:14:13Z,"","Darkroom/Interscope Records",0.387,0.135,7,-14.398,1,0.051,0.929,0,0.0948,0.21,82.987,4
3rJDsZjIaCfJQSqRUvl0BM,"Funeral","Stranger in the Alps","Phoebe Bridgers",2017-09-22,232373,66,12152103723,2023-07-22T23:14:15Z,"","Dead Oceans",0.218,0.263,11,-14.416,1,0.0376,0.947,0.00028,0.0919,0.307,170.724,4
30y5OpD8TPAru2wsyZDD4S,"That Funny Feeling","That Funny Feeling","Phoebe Bridgers",2021-10-04,400565,63,12152103723,2023-07-22T23:14:18Z,"","Dead Oceans",0.515,0.298,4,-11.499,1,0.0311,0.718,0.00000917,0.365,0.462,116.761,4
5BN59BDczcpxstFKILIH0q,"Savior Complex","Punisher","Phoebe Bridgers",2020-06-18,241640,64,12152103723,2023-07-22T23:14:33Z,"","Dead Oceans",0.377,0.44,4,-11.878,1,0.0325,0.931,0.0196,0.105,0.224,128.999,3
