Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4WGds8JfW57apo2HHLORop,"Barbie (Can You Play Ken?)","Barbie (Can You Play Ken?)","lilster",2024-04-25,173735,37,31nifezw5q7rfjupb36xohbvsc4m,2024-05-23T19:07:13Z,"jersey club","lilster",0.784,0.183,8,-14.796,1,0.0641,0.355,0.197,0.149,0.276,105.362,4
7BRD7x5pt8Lqa1eGYC4dzj,"CHIHIRO","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,303440,87,31nifezw5q7rfjupb36xohbvsc4m,2024-05-23T19:07:27Z,"","Darkroom/Interscope Records",0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,4
0KyAGiNGUytG5JLxJu4F6l,"Pretty Girl","Pretty Girl","Clairo",2017-08-04,178352,72,31nifezw5q7rfjupb36xohbvsc4m,2024-05-23T19:07:33Z,"bedroom pop","FADER Label",0.93,0.611,0,-4.406,1,0.0415,0.593,0.00124,0.0592,0.695,112.127,4
1F6IbA7di42uPc3cff8PXV,"Flaming Hot Cheetos","Flaming Hot Cheetos","Clairo",2017-06-14,123884,73,31nifezw5q7rfjupb36xohbvsc4m,2024-05-23T19:08:10Z,"bedroom pop","FADER Label",0.817,0.551,7,-9.33,0,0.133,0.865,0.000151,0.101,0.142,109.966,4
6dOtVTDdiauQNBQEDOtlAB,"BIRDS OF A FEATHER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,210373,96,31nifezw5q7rfjupb36xohbvsc4m,2024-05-23T19:07:37Z,"","Darkroom/Interscope Records",0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
7IL8PSVwLOJxqYne6azxQv,"Pretty Boy","Chip Chrome & The Mono-Tones","The Neighbourhood",2020-09-25,234093,73,31nifezw5q7rfjupb36xohbvsc4m,2024-05-23T19:18:26Z,"","Columbia",0.578,0.386,6,-11.464,1,0.0278,0.208,0.0453,0.307,0.569,154.902,4
3zksbXteOCeSusJ5Xltr3t,"Bubble Gum","Bubble Gum","Clairo",2019-02-22,175960,74,31nifezw5q7rfjupb36xohbvsc4m,2024-05-23T19:18:30Z,"bedroom pop","Independent",0.509,0.0167,9,-24.639,1,0.115,0.979,0.0000272,0.387,0.229,207.97,3
51ZQ1vr10ffzbwIjDCwqm4,"we can't be friends (wait for your love)","eternal sunshine","Ariana Grande",2024-03-08,228639,86,31nifezw5q7rfjupb36xohbvsc4m,2024-05-23T19:20:40Z,"pop","Republic Records",0.645,0.646,5,-8.334,1,0.0427,0.0615,0.0000304,0.074,0.295,115.842,4
5rPNVwYjVEgkq6YNPki4Zc,"BABYDOLL","BABYDOLL","Ari Abdul",2022-02-22,196235,75,31nifezw5q7rfjupb36xohbvsc4m,2024-05-23T19:21:20Z,"","Not specified",0.485,0.585,11,-5.097,0,0.0359,0.0483,0.0113,0.489,0.51,84.941,4
1xK59OXxi2TAAAbmZK0kBL,"Romantic Homicide","Romantic Homicide","d4vd",2022-07-20,132630,84,31nifezw5q7rfjupb36xohbvsc4m,2024-05-23T19:21:30Z,"","Darkroom/Interscope Records",0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,4
0YNtAadZvKBBEFARtfoCV8,"Compass","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,167960,64,31nifezw5q7rfjupb36xohbvsc4m,2024-05-23T19:22:00Z,"","Columbia",0.7,0.82,5,-5.499,0,0.0329,0.238,0.318,0.658,0.667,109.998,4
6TA5aymvVrtiPVbuAwmPIc,"Scary Love","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,222666,61,31nifezw5q7rfjupb36xohbvsc4m,2024-05-23T19:22:10Z,"","Columbia",0.595,0.636,5,-5.981,0,0.0312,0.0000945,0.0529,0.196,0.147,112.008,4
7DCQIOmpGV4nkHx7DQckJS,"Bloom Later","&","Jesse®",2017-11-10,160306,51,31nifezw5q7rfjupb36xohbvsc4m,2024-05-23T19:22:21Z,"","Columbia",0.513,0.318,0,-10.451,1,0.0314,0.796,0,0.177,0.249,81.923,3
5umpUlMmzgFbtGpDl6ErZQ,"Barbie & Ken","&","Jesse®",2017-11-10,172546,37,31nifezw5q7rfjupb36xohbvsc4m,2024-05-23T19:22:34Z,"","Columbia",0.761,0.513,11,-9.325,0,0.0846,0.08,0.000489,0.221,0.341,78.031,4
113xf7t4qNM7038YJvauik,"Nervous","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,245000,71,31nifezw5q7rfjupb36xohbvsc4m,2024-05-28T17:25:56Z,"","Columbia",0.589,0.614,0,-7.528,0,0.0426,0.0213,0.165,0.31,0.318,119.837,4
2Kt1XplPBQBsDKQDa6TssB,"Flawless","I Love You.","The Neighbourhood",2013-04-22,246493,66,31nifezw5q7rfjupb36xohbvsc4m,2024-05-28T17:25:59Z,"","Columbia",0.568,0.871,0,-3.453,1,0.0308,0.0553,0.51,0.303,0.374,119.99,4
5euumi7eqEgmxvCIJw2pSp,"Hot Rod","Fuzzybrain","Dayglow",2019-11-14,204014,64,31nifezw5q7rfjupb36xohbvsc4m,2024-05-28T17:26:00Z,"indie rock","Very Nice Records",0.707,0.768,7,-7.072,1,0.0323,0.0279,0.000292,0.169,0.832,139.985,4
7brQHA2CgQpcMBiOlfiXYb,"Afraid","I Love You.","The Neighbourhood",2013-04-22,251186,71,31nifezw5q7rfjupb36xohbvsc4m,2024-05-28T17:26:02Z,"","Columbia",0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,4
3aeJ1b9ayxl5mqUMGh5zhq,"Wires","I Love You. (10th Anniversary Edition)","The Neighbourhood",2013-04-23,193080,57,31nifezw5q7rfjupb36xohbvsc4m,2024-05-28T17:26:04Z,"","Columbia/Legacy",0.568,0.569,7,-6.013,0,0.0329,0.0004,0.102,0.342,0.265,72.991,4
0yyyapBjZ9Ek1vcpp3e9bj,"Everybody's Watching Me (Uh Oh)","I Love You.","The Neighbourhood",2013-04-22,238026,53,31nifezw5q7rfjupb36xohbvsc4m,2024-05-28T17:26:06Z,"","Columbia",0.491,0.944,4,-2.879,0,0.0558,0.0904,0.565,0.0963,0.493,150.105,4
2wXioTynVwrEWYRv6R6vEj,"Void","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,203666,64,31nifezw5q7rfjupb36xohbvsc4m,2024-05-28T17:26:11Z,"","Columbia",0.534,0.582,5,-7.912,1,0.0401,0.047,0.0328,0.0883,0.346,84.183,4
7uDUb37h7Xdhza1eWMkoJv,"Friends","Nostalgia - EP","Chase Atlantic",2015-02-21,230010,82,31nifezw5q7rfjupb36xohbvsc4m,2024-05-28T17:26:12Z,"","BMG Rights Management (US) LLC",0.328,0.608,11,-6.368,0,0.038,0.0117,0.00000645,0.108,0.0796,107.384,3
2VyaGJJI8dOiv36F8vHZIL,"Slow Down","Paradise - EP","Chase Atlantic",2016-12-20,212093,76,31nifezw5q7rfjupb36xohbvsc4m,2024-05-28T17:26:14Z,"","BMG Rights Management (US) LLC",0.473,0.78,10,-4.861,1,0.0358,0.0169,0.0000059,0.291,0.261,129.972,4
086myS9r57YsLbJpU0TgK9,"Why'd You Only Call Me When You're High?","AM","Arctic Monkeys",2013-09-09,161123,83,31nifezw5q7rfjupb36xohbvsc4m,2024-05-28T17:36:22Z,"indie,garage rock,indie rock","Domino Recording Co",0.691,0.631,2,-6.478,1,0.0368,0.0483,0.0000113,0.104,0.8,92.004,4
3UtwN7svr9Bonq7faI4FOJ,"Pls Cheat On Me","Pls Cheat On Me","Precious Pepala",2023-03-24,171022,17,31nifezw5q7rfjupb36xohbvsc4m,2024-06-03T15:38:31Z,"","Darkroom Records",0.55,0.643,9,-5.325,0,0.0345,0.00229,0.00000287,0.0713,0.631,171.876,4
18FE77kJAwPMcuCnBLUciS,"Bubble Wrap","Bubble Wrap","Precious Pepala",2023-05-12,171156,12,31nifezw5q7rfjupb36xohbvsc4m,2024-06-03T15:38:36Z,"","Darkroom Records",0.443,0.631,8,-7.457,0,0.0398,0.00617,0.00000417,0.196,0.38,144.992,3
4VWJqXO2lnHTPrDze7zeQe,"Eve","Eve","Precious Pepala",2023-09-22,201167,11,31nifezw5q7rfjupb36xohbvsc4m,2024-06-03T15:38:37Z,"","Darkroom Records",0.346,0.525,0,-7.103,0,0.0473,0.0745,0,0.15,0.189,171.335,3
5DNpSTHMlVO4OdiQJ1uG8v,"Fifth","Fifth","Precious Pepala",2023-07-14,155362,1,31nifezw5q7rfjupb36xohbvsc4m,2024-06-03T15:38:58Z,"","Darkroom Records",0.38,0.63,0,-7.164,1,0.0833,0.211,0,0.624,0.393,176,4
2iD1Ogu3Mck9MuMKIgIBVG,"My Eyes Only","My Eyes Only","Precious Pepala",2022-06-17,194545,3,31nifezw5q7rfjupb36xohbvsc4m,2024-06-03T15:39:04Z,"","Darkroom Records",0.475,0.542,0,-6.142,1,0.034,0.235,0,0.199,0.22,142.937,3
5E30LdtzQTGqRvNd7l6kG5,"Daddy Issues","Wiped Out!","The Neighbourhood",2015-10-30,260173,84,31nifezw5q7rfjupb36xohbvsc4m,2024-06-03T17:47:46Z,"","Columbia",0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4
7MlDNspYwfqnHxORufupwq,"Sex, Drugs, Etc.","Pineapple Sunrise","Beach Weather",2023-03-03,196784,81,31nifezw5q7rfjupb36xohbvsc4m,2024-06-03T23:09:16Z,"","8123 / Arista Records",0.57,0.842,4,-5.085,0,0.0381,0.0136,0.00876,0.524,0.47,143.975,4
6gqZzQyJfKqdc9boOILz4x,"Use Me (feat. 070 Shake)","Use Me","PVRIS,070 Shake",2020-08-28,203026,45,31nifezw5q7rfjupb36xohbvsc4m,2024-06-03T23:26:00Z,"","Warner Records",0.315,0.618,10,-6.71,0,0.053,0.0353,0.0118,0.113,0.226,79.175,4
6FnIiJp2p04cpuDHNr6H71,"Pictures","Pictures","ECÂF",2019-07-19,198931,40,31nifezw5q7rfjupb36xohbvsc4m,2024-06-03T23:26:05Z,"","ECÂF Music",0.759,0.619,9,-8.02,0,0.0655,0.0189,0.000063,0.106,0.296,125.994,4
2yXWN2e07gdaNrpXvb8Tab,"Barbie (Can You Play Ken?) - Slowed","Barbie (Sped Up + Slowed)","lilster",2024-05-20,194119,19,31nifezw5q7rfjupb36xohbvsc4m,2024-06-07T00:18:09Z,"jersey club","lilster",0.652,0.191,1,-14.757,1,0.0963,0.326,0.0984,0.0907,0.176,188.683,4
5PSl5QjJoQyrGz4NcNOYFU,"Barbie (Can You Play Ken?) - Sped Up","Barbie (Sped Up + Slowed)","lilster",2024-05-20,161456,12,31nifezw5q7rfjupb36xohbvsc4m,2024-06-07T00:18:56Z,"jersey club","lilster",0.783,0.248,9,-14.443,1,0.0469,0.324,0.504,0.12,0.108,113.366,4
7BRD7x5pt8Lqa1eGYC4dzj,"CHIHIRO","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,303440,87,31nifezw5q7rfjupb36xohbvsc4m,2024-06-07T15:17:40Z,"","Darkroom/Interscope Records",0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,4
1CsMKhwEmNnmvHUuO5nryA,"SKINNY","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,219733,78,31nifezw5q7rfjupb36xohbvsc4m,2024-06-07T15:17:47Z,"","Darkroom/Interscope Records",0.251,0.252,9,-14.478,1,0.0375,0.693,0.00706,0.0968,0.0395,69.988,4
3QaPy1KgI7nu9FJEQUgn6h,"WILDFLOWER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,261466,92,31nifezw5q7rfjupb36xohbvsc4m,2024-06-07T15:17:49Z,"","Darkroom/Interscope Records",0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
3hxIUxnT27p5WcmjGUXNwx,"Shut up My Moms Calling","Shut up My Moms Calling","Hotel Ugly",2020-02-10,164571,84,31nifezw5q7rfjupb36xohbvsc4m,2024-09-01T09:23:39Z,"","Hotel Ugly, under exclusive license to Amuseio AB",0.485,0.409,9,-10.711,0,0.101,0.325,0,0.103,0.376,138.419,4
,"undefined","undefined","undefined",,,,31nifezw5q7rfjupb36xohbvsc4m,2024-09-05T04:57:33Z,"","undefined",,,,,,,,,,,,
629DixmZGHc7ILtEntuiWE,"LUNCH","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,179586,84,31nifezw5q7rfjupb36xohbvsc4m,2024-10-04T19:32:47Z,"","Darkroom/Interscope Records",0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,4
2prqm9sPLj10B4Wg0wE5x9,"BLUE","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,343120,81,31nifezw5q7rfjupb36xohbvsc4m,2024-10-04T19:32:55Z,"","Darkroom/Interscope Records",0.349,0.337,7,-10.671,1,0.0407,0.29,0.172,0.139,0.0365,142.01,4
