Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
22sLuJYcvZOSoLLRYev1s5,"Material Girl","Celebration (double disc version)","Madonna",2009-09-18,240280,70,ydh78kuxqj3gbl2xulc71ebd7,2023-04-06T08:21:52Z,"","Warner Records",0.742,0.883,0,-3.419,1,0.0329,0.335,0.00000751,0.0964,0.978,136.506,4
4QTsX2ZDHS7QTeSIuyadHL,"Girls Just Wanna Have Fun","Pick 'n' Mix","Lolly",2000-09-11,173426,20,ydh78kuxqj3gbl2xulc71ebd7,2023-07-06T22:41:43Z,"","UMC (Universal Music Catalogue)",0.672,0.877,6,-5.602,1,0.0338,0.00605,0.00000127,0.103,0.81,121.013,4
6m2qba8pt0oa13nBLA2Nt2,"Survivor / I Will Survive","Glee: The Music, The Complete Season Three","Glee Cast",2012-08-28,208573,59,ydh78kuxqj3gbl2xulc71ebd7,2023-07-06T23:03:25Z,"christmas","Columbia",0.563,0.913,9,-4.384,0,0.225,0.00773,0,0.127,0.311,128.083,4
1oHNvJVbFkexQc0BpQp7Y4,"Starships","Pink Friday ... Roman Reloaded","Nicki Minaj",2011-01-01,210626,72,ydh78kuxqj3gbl2xulc71ebd7,2023-04-06T08:28:09Z,"","Nicki Minaj/Cash Money",0.747,0.716,11,-2.457,0,0.0751,0.135,0,0.251,0.751,125.006,4
2tUBqZG2AbRi7Q0BIrVrEj,"I Wanna Dance with Somebody (Who Loves Me)","Whitney","Whitney Houston",1987-06-02,291293,79,ydh78kuxqj3gbl2xulc71ebd7,2023-07-22T22:21:49Z,"","Arista/Legacy",0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,4
2ZI18qoTqFdSftkjP1olVY,"Last Friday Night (T.G.I.F.)","Teenage Dream","Katy Perry",2010-01-01,230733,36,ydh78kuxqj3gbl2xulc71ebd7,2023-04-06T08:59:35Z,"pop","Capitol Records",0.652,0.81,3,-3.789,0,0.0406,0.00129,0.0000291,0.667,0.732,126.022,4
3hlksXnvbKogFdPbpO9vel,"Super Bass","Pink Friday (Complete Edition)","Nicki Minaj",2010-11-22,200013,77,ydh78kuxqj3gbl2xulc71ebd7,2023-04-06T08:27:58Z,"","Nicki Minaj/Cash Money",0.723,0.86,11,-4.357,1,0.203,0.271,0.00000456,0.598,0.667,126.979,4
3TGRqZ0a2l1LRblBkJoaDx,"Call Me Maybe","Kiss (Deluxe)","Carly Rae Jepsen",2012-01-01,193400,71,ydh78kuxqj3gbl2xulc71ebd7,2023-04-06T09:02:07Z,"","Silent Records IGA",0.782,0.58,7,-6.548,1,0.0407,0.0114,0.00000228,0.108,0.66,120.021,4
3MjUtNVVq3C8Fn0MP3zhXa,"...Baby One More Time","...Baby One More Time (Digital Deluxe Version)","Britney Spears",1999-01-12,211066,80,ydh78kuxqj3gbl2xulc71ebd7,2023-04-06T07:45:01Z,"pop","Jive",0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4
6RRNNciQGZEXnqk8SQ9yv5,"You Need To Calm Down","Lover","Taylor Swift",2019-08-23,171360,75,ydh78kuxqj3gbl2xulc71ebd7,2023-04-06T07:43:53Z,"","Taylor Swift",0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,4
6KOEK6SeCEZOQkLj5M1PxH,"California Gurls","Teenage Dream","Katy Perry,Snoop Dogg",2010-01-01,234653,72,ydh78kuxqj3gbl2xulc71ebd7,2023-04-06T08:14:23Z,"pop,g-funk,west coast hip hop,gangster rap,hip hop,rap","Capitol Records",0.789,0.753,0,-3.71,1,0.0537,0.0038,0,0.18,0.403,125.007,4
3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next","thank u, next","Ariana Grande",2019-02-08,207320,78,ydh78kuxqj3gbl2xulc71ebd7,2023-04-06T08:13:18Z,"pop","Republic Records",0.72,0.654,1,-5.634,1,0.0647,0.227,0,0.101,0.411,106.976,4
5jSlcXdUGLWOV2pSfYYiBs,"All About That Bass","Title (Expanded Edition)","Meghan Trainor",2015-01-09,187866,54,ydh78kuxqj3gbl2xulc71ebd7,2023-04-06T08:33:02Z,"","Epic",0.812,0.869,9,-3.698,1,0.0503,0.044,0.0000041,0.118,0.963,134.087,4
5nCthAh3jt4xKuLJAifAaR,"Harleys In Hawaii","Harleys In Hawaii","Katy Perry",2019-10-16,185815,67,ydh78kuxqj3gbl2xulc71ebd7,2023-04-06T09:01:54Z,"pop","Capitol Records",0.722,0.756,10,-6.207,0,0.132,0.183,0.00000678,0.126,0.725,140.092,4
748mdHapucXQri7IAO8yFK,"Kiss Me More (feat. SZA)","Kiss Me More (feat. SZA)","Doja Cat,SZA",2021-04-09,208866,66,ydh78kuxqj3gbl2xulc71ebd7,2023-04-06T08:14:44Z,"r&b","Kemosabe Records/RCA Records",0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,4
