Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture Barbie]","What Was I Made For? [From The Motion Picture Barbie]","Billie Eilish",2023-07-13,222369,84,wqecvf5lbidcewn4mcnwap8tt,2024-11-11T16:43:59Z,"","Darkroom/Interscope Records",0.391,0.084,0,-17.843,1,0.0317,0.953,0,0.0983,0.111,79.449,4
1vYXt7VSjH9JIM5oRRo7vA,"Dance The Night - From Barbie The Album","Dance The Night (From Barbie The Album)","Dua Lipa",2023-05-25,176579,79,wqecvf5lbidcewn4mcnwap8tt,2024-11-11T16:43:59Z,"pop","Atlantic Records",0.671,0.845,11,-4.93,0,0.048,0.0207,0,0.329,0.775,110.056,4
5ZrDlcxIDZyjOzHdYW1ydr,"Barbie Girl","Aquarium (Special Edition)","Aqua",1997-01-01,197960,73,wqecvf5lbidcewn4mcnwap8tt,2024-11-11T16:43:59Z,"europop,eurodance","Universal Music A/S",0.812,0.879,1,-10.998,0,0.0397,0.017,0.224,0.365,0.962,129.991,4
749HNBEskSdXTKtGYvASFH,"Barbie World (with Aqua) [From Barbie The Album]","Barbie World (with Aqua) [From Barbie The Album]","Nicki Minaj,Ice Spice,Aqua",2023-06-22,109750,51,wqecvf5lbidcewn4mcnwap8tt,2024-11-11T16:43:59Z,"europop,eurodance","Atlantic Records",0.759,0.579,0,-8.398,1,0.248,0.514,0.0014,0.237,0.736,144.025,4
5VxmI3IdgAxWVvUnJoLuY2,"Speed Drive (From Barbie The Album)","Speed Drive (From Barbie The Album)","Charli xcx",2023-06-29,117809,67,wqecvf5lbidcewn4mcnwap8tt,2024-11-11T16:43:59Z,"hyperpop,art pop","Atlantic Records",0.652,0.879,0,-6.405,1,0.0784,0.00284,0.0896,0.0918,0.789,173.925,4
0CpfO9VNiW0OGIaZO6zO3n,"Angel (From Barbie The Album)","Angel (From Barbie The Album)","PinkPantheress",2023-06-08,123820,51,wqecvf5lbidcewn4mcnwap8tt,2024-11-11T16:43:59Z,"bedroom pop","Atlantic Records",0.676,0.693,2,-6.322,1,0.0548,0.18,0.108,0.194,0.617,115.015,4
7lcuUkp4LjPflvzPjemDzw,"Choose Your Fighter","Barbie The Album","Ava Max",2023-07-21,137514,61,wqecvf5lbidcewn4mcnwap8tt,2024-11-11T16:43:59Z,"","Atlantic Records",0.641,0.862,6,-5.166,0,0.0686,0.00393,0.0000241,0.234,0.64,139.948,4
2YXGbxICUdOUJe9OPlicy1,"Pink","Barbie The Album","Lizzo",2023-07-21,143833,55,wqecvf5lbidcewn4mcnwap8tt,2024-11-11T16:43:59Z,"","Atlantic Records",0.861,0.611,1,-7.891,1,0.0427,0.0764,0,0.0763,0.803,114.995,4
7njDhlprmHJ1I9pM0rxMON,"Barbie Dreams (feat. Kaliii) [From Barbie The Album]","Barbie Dreams (feat. Kaliii) [From Barbie The Album]","FIFTY FIFTY,Kaliii",2023-07-06,149438,49,wqecvf5lbidcewn4mcnwap8tt,2024-11-11T16:43:59Z,"","Atlantic Records",0.72,0.794,6,-2.644,1,0.0862,0.378,0,0.122,0.856,138.089,4
3zXIvb4nZ3cTdT8CsbTy3U,"I'm Just Ken","Barbie The Album","Ryan Gosling",2023-07-21,222633,59,wqecvf5lbidcewn4mcnwap8tt,2024-11-11T16:43:59Z,"","Atlantic Records",0.352,0.628,1,-6.259,1,0.0428,0.0264,0.0000474,0.0952,0.387,140.431,4
