Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4sOX1nhpKwFWPvoMMExi3q,"Primadonna","Electra Heart (Deluxe)","MARINA",2012-04-27,221075,70,crazedmarie,2022-05-04T13:59:09Z,"","Atlantic Records UK",0.66,0.689,4,-2.671,0,0.0337,0.0884,0,0.0922,0.427,127.98,4
3Vi5XqYrmQgOYBajMWSvCi,"Need to Know","Planet Her","Doja Cat",2021-06-25,210560,75,crazedmarie,2022-05-04T14:11:22Z,"","Kemosabe Records/RCA Records",0.664,0.609,1,-6.509,1,0.0707,0.304,0,0.0926,0.194,130.041,4
4YKk84L3JcnBxBySZ1J1T0,"Life Could Be Sweet","Life Could Be Sweet","Ayla D'lyla,Miss Madeline",2020-12-09,218069,0,crazedmarie,2022-05-04T16:03:08Z,"hyperpop","#1CUTIERECORDS",0.612,0.825,4,-6.983,0,0.068,0.001,0.000819,0.31,0.409,125.942,4
748mdHapucXQri7IAO8yFK,"Kiss Me More (feat. SZA)","Kiss Me More (feat. SZA)","Doja Cat,SZA",2021-04-09,208866,66,crazedmarie,2022-05-04T14:09:15Z,"r&b","Kemosabe Records/RCA Records",0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,4
0iGckQFyv6svOfAbAY9aWJ,"Hot N Cold","One Of The Boys","Katy Perry",2008-06-17,220226,75,crazedmarie,2022-05-04T14:14:50Z,"pop","Capitol Records",0.706,0.842,7,-3.956,1,0.0417,0.0000773,0,0.0688,0.861,132.032,4
5lWRaa0fBxDE5yU91npPq7,"Just A Girl","Tragic Kingdom","No Doubt",1995-10-10,209200,72,crazedmarie,2022-05-04T14:26:08Z,"","Trauma",0.638,0.906,2,-4.824,1,0.0504,0.0662,0.0000688,0.142,0.767,107.991,4
2qSkIjg1o9h3YT9RAgYN75,"Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,87,sinfulviolet,2024-04-12T17:24:24Z,"","Island Records",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
4ZMrs7Zg8PJfAQjxFzzKPq,"Ode to the Bouncer","Studio Killers (Special Edition)","Studio Killers",2020-12-14,207162,46,crazedmarie,2022-05-04T15:29:27Z,"","Studio Killers Records",0.638,0.973,11,-3.345,1,0.0529,0.0468,0.000303,0.0708,0.864,122.998,4
6IbnUaczZBT34DhaD6S18F,"Bubblegum Bitch","Electra Heart (Deluxe)","MARINA",2012-04-27,154666,73,crazedmarie,2022-05-04T14:08:18Z,"","Atlantic Records UK",0.495,0.856,0,-5.123,0,0.0311,0.000219,0,0.103,0.609,158.024,4
37pf8jSeCGlzgQPIfVHO6X,"Class Fight","K-12","Melanie Martinez",2019-09-06,161064,63,crazedmarie,2022-05-04T15:11:06Z,"","Atlantic Records",0.767,0.707,6,-8.444,1,0.0489,0.42,0.0000516,0.298,0.772,92.015,4
6phsPWlaoCvUzTGfGalw5g,"Rich Boyz","We Are Free EP","The Aquadolls",2013-04-02,100906,0,crazedmarie,2022-05-04T14:17:10Z,"","Burger Records",0.317,0.956,11,1.133,1,0.056,0.321,0.0553,0.449,0.646,118.836,3
5SmXEPnevlRjBPWBG7oKIi,"Honeymoon Avenue","Yours Truly","Ariana Grande",2013-01-01,339733,64,crazedmarie,2022-05-04T14:21:32Z,"pop","Universal Records",0.692,0.608,8,-5.233,0,0.041,0.218,0,0.348,0.448,125.005,4
4XE98WRGbBGRZ7jQ9wIwFt,"Fuck You","It's Not Me, It's You (Special Edition)","Lily Allen",2008-12-02,219893,58,crazedmarie,2022-05-04T13:58:54Z,"","Parlophone UK",0.775,0.904,1,-4.08,0,0.0437,0.0271,0.000303,0.06,0.84,130.009,4
4dbA5YRf5NYGFCtVeBAd6e,"Perfume","Perfume","Britney Spears",2013-11-05,239960,0,crazedmarie,2022-05-04T14:22:34Z,"pop","RCA Records Label",0.566,0.566,3,-6.318,1,0.0419,0.427,0,0.12,0.344,79.981,4
0N1U0GNbpGhnlTidrM0VTX,"Kiss N Tell","Animal","Kesha",2010,207653,0,crazedmarie,2022-05-04T14:24:50Z,"","RCA Records Label",0.754,0.7,4,-3.815,1,0.102,0.00236,0.0000647,0.214,0.96,144.02,4
5lLnDUK74pXYDLXEM6AIbe,"Kiss Me Thru the Phone","Crush","That Kid",2020-03-31,201783,35,crazedmarie,2022-05-04T15:18:00Z,"hyperpop","969852 Records DK",0.562,0.776,11,-5.384,1,0.318,0.305,0.00000141,0.218,0.627,157.13,4
7oIuSQBmwRbKYH1KGUzDAO,"Cool - Remastered 2019","Love. Angel. Music. Baby. (15th Anniversary Edition / Remastered 2019)","Gwen Stefani",2019-11-22,189280,37,crazedmarie,2022-05-04T14:25:42Z,"","Interscope",0.707,0.734,2,-3.279,1,0.0281,0.0372,0.000391,0.356,0.811,112.024,4
37EENqOKD6uxLwthqxhKLt,"Golden","Golden","Zella Day",2021-07-28,201653,31,crazedmarie,2022-05-04T15:27:45Z,"","Concord Records",0.726,0.761,5,-5.587,1,0.0307,0.0111,0.00000135,0.221,0.848,99.985,4
3Dv1eDb0MEgF93GpLXlucZ,"Say So","Hot Pink","Doja Cat",2019-11-07,237893,73,crazedmarie,2022-05-04T15:09:56Z,"","Kemosabe Records/RCA Records",0.787,0.673,11,-4.583,0,0.159,0.264,0.00000335,0.0904,0.779,110.962,4
74oXlQPr6x05HDrGVaiYXZ,"Naked in Manhattan","Naked in Manhattan","Chappell Roan",2022-02-18,211057,0,crazedmarie,2022-05-04T14:37:03Z,"","Chappell Roan",0.771,0.704,1,-5.098,1,0.0315,0.0835,0,0.0935,0.55,118.01,4
1vYXt7VSjH9JIM5oRRo7vA,"Dance The Night - From Barbie The Album","Dance The Night (From Barbie The Album)","Dua Lipa",2023-05-25,176579,79,crazedmarie,2023-05-26T16:39:58Z,"pop","Atlantic Records",0.671,0.845,11,-4.93,0,0.048,0.0207,0,0.329,0.775,110.056,4
5xSVRg9CYfWoR5GGXnngBV,"Fine Wine","DISCO (Deluxe)","Kylie Minogue",2020-11-06,164346,0,crazedmarie,2022-07-28T19:16:10Z,"dance pop","BMG Rights Management (UK) Ltd",0.78,0.881,1,-4.537,0,0.107,0.0795,0.00004,0.0869,0.906,120.032,4
6szae8TGTs5QgPqdDFblg1,"Pop Star","Pop Star","Coco & Clair Clair",2020-12-18,184222,0,crazedmarie,2022-05-04T14:38:31Z,"","Nice Girl World",0.891,0.67,0,-7.256,1,0.135,0.203,0.00273,0.11,0.938,128.046,4
6RRNNciQGZEXnqk8SQ9yv5,"You Need To Calm Down","Lover","Taylor Swift",2019-08-23,171360,75,crazedmarie,2022-05-04T14:31:36Z,"","Taylor Swift",0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,4
4sNwdacKyi2S26WrRtNama,"Oh No!","The Family Jewels","MARINA",2009-07-15,182586,68,crazedmarie,2022-05-04T16:05:35Z,"","WM UK",0.77,0.896,0,-3.971,1,0.039,0.0539,0,0.243,0.964,126.999,4
4DpNNXFMMxQEKl7r0ykkWA,"Play Date","Cry Baby (Deluxe Edition)","Melanie Martinez",2015-08-14,179867,72,crazedmarie,2022-05-04T14:42:10Z,"","Atlantic Records",0.68,0.729,5,-5.077,1,0.0475,0.612,0,0.224,0.446,123.97,4
1o9kTjiWJ5lTgKonUK6jAU,"Cherry (feat. Hayley Kiyoko)","Cherry (feat. Hayley Kiyoko)","FLETCHER,Hayley Kiyoko",2021-11-17,152511,50,crazedmarie,2022-05-04T15:14:09Z,"","Capitol Records",0.812,0.585,2,-4.644,1,0.0615,0.202,0.00216,0.245,0.611,118.037,4
2Y2q7PkD7lvuWr8YaZfWuv,"Rich Girl","Love. Angel. Music. Baby. (Deluxe Version)","Gwen Stefani,Eve",2004-11-12,236213,66,crazedmarie,2022-05-04T14:55:46Z,"","Interscope",0.856,0.746,7,-2.728,0,0.042,0.0292,0.0000153,0.206,0.761,98.018,4
79z9QkhHePTFsSeVw9uyj0,"Smile","Alright, Still (Deluxe)","Lily Allen",2006-07-14,196893,71,crazedmarie,2022-05-04T15:06:21Z,"","Parlophone UK",0.632,0.639,5,-5.938,1,0.0259,0.00143,0,0.221,0.733,95.506,4
7hredXafMauuh15FNDEPnQ,"Dance For Love","Dance For Love","Zella Day",2021-05-21,262536,29,crazedmarie,2022-07-01T15:43:37Z,"","Concord Records",0.696,0.758,6,-6.252,0,0.038,0.005,0.00197,0.135,0.87,107.998,4
