Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7mCcfePvtOSUEwTXmS2xIG,"Perfect Day","The Princess & The Popstar (Original Motion Picture Soundtrack)","Barbie,Mattel",2012-08-28,159801,40,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:49:20Z,"children's music","Mattel - Arts Music",0.469,0.918,8,-5.108,1,0.134,0.00542,0,0.0891,0.656,154.08,4
0LzrhCZFXW94Y8nwtTuRlw,"Hollaback Girl","Love. Angel. Music. Baby. (Deluxe Version)","Gwen Stefani",2004-11-12,199853,69,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:49:34Z,"","Interscope",0.926,0.916,10,-2.221,0,0.0929,0.35,0.00000601,0.0234,0.904,110.009,4
4Dio1t8RHzLv1nfPJTSZyP,"Whip My Hair","Whip My Hair","WILLOW",2010-10-26,195440,60,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:49:42Z,"","Roc Nation, LLC",0.552,0.98,9,-4.676,0,0.254,0.00159,0.00552,0.438,0.668,162.961,4
4fixebDZAVToLbUCuEloa2,"Womanizer","Circus (Deluxe Version)","Britney Spears",2008-12-02,224400,77,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:49:53Z,"pop","Jive",0.724,0.695,11,-5.226,1,0.0622,0.073,0,0.0889,0.235,139,4
6I9VzXrHxO9rA9A5euc8Ak,"Toxic","In The Zone","Britney Spears",2003-11-13,198800,81,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:50:03Z,"pop","Jive",0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,4
3MjUtNVVq3C8Fn0MP3zhXa,"...Baby One More Time","...Baby One More Time (Digital Deluxe Version)","Britney Spears",1999-01-12,211066,80,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:50:05Z,"pop","Jive",0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4
7jk7gqyEonmVVYahZN5zhW,"Circus","Circus (Deluxe Version)","Britney Spears",2008-12-02,192360,76,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:52:04Z,"pop","Jive",0.791,0.733,6,-5.215,0,0.052,0.147,0.000381,0.0713,0.761,114.98,4
1Je1IMUlBXcx1Fz0WE7oPT,"Wannabe","Spice","Spice Girls",1996-01-01,173026,79,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:52:13Z,"","Virgin Records",0.768,0.864,11,-6.149,1,0.0324,0.101,0,0.162,0.891,110.009,4
4y1LsJpmMti1PfRQV9AWWe,"Girls Just Want to Have Fun","She's So Unusual","Cyndi Lauper",1983-10-14,238266,79,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:52:18Z,"","Portrait",0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,4
22sLuJYcvZOSoLLRYev1s5,"Material Girl","Celebration (double disc version)","Madonna",2009-09-18,240280,70,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:52:25Z,"","Warner Records",0.742,0.883,0,-3.419,1,0.0329,0.335,0.00000751,0.0964,0.978,136.506,4
0GjEhVFGZW8afUYGChu3Rr,"Dancing Queen","Arrival","ABBA",1976,230400,82,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:52:45Z,"","Polar Music International AB",0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,4
6KOEK6SeCEZOQkLj5M1PxH,"California Gurls","Teenage Dream","Katy Perry,Snoop Dogg",2010-01-01,234653,72,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:54:02Z,"pop,g-funk,west coast hip hop,gangster rap,hip hop,rap","Capitol Records",0.789,0.753,0,-3.71,1,0.0537,0.0038,0,0.18,0.403,125.007,4
3hlksXnvbKogFdPbpO9vel,"Super Bass","Pink Friday (Complete Edition)","Nicki Minaj",2010-11-22,200013,77,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:54:13Z,"","Nicki Minaj/Cash Money",0.723,0.86,11,-4.357,1,0.203,0.271,0.00000456,0.598,0.667,126.979,4
0LohatbcUXRauoeMlR1jnS,"Pound The Alarm","Pink Friday ... Roman Reloaded","Nicki Minaj",2011-01-01,205640,59,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:54:17Z,"","Nicki Minaj/Cash Money",0.728,0.858,9,-3.686,1,0.0609,0.0403,0.00000409,0.0241,0.591,125.055,4
1oHNvJVbFkexQc0BpQp7Y4,"Starships","Pink Friday ... Roman Reloaded","Nicki Minaj",2011-01-01,210626,72,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:54:18Z,"","Nicki Minaj/Cash Money",0.747,0.716,11,-2.457,0,0.0751,0.135,0,0.251,0.751,125.006,4
5jzKL4BDMClWqRguW5qZvh,"Teenage Dream","Teenage Dream","Katy Perry",2010-01-01,227741,72,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:54:36Z,"pop","Capitol Records",0.719,0.798,10,-4.582,1,0.0361,0.0162,0.00000234,0.134,0.591,120.012,4
0SiywuOBRcynK0uKGWdCnn,"Bad Romance","The Fame Monster (Deluxe Edition)","Lady Gaga",2009-11-05,294573,81,xxq13rmkyit30do31u9alzgvq,2021-06-19T04:55:01Z,"art pop,pop","Interscope",0.695,0.921,0,-3.752,1,0.0363,0.00314,0.0000526,0.0842,0.714,119.007,4
