Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6ocbgoVGwYJhOv1GgI9NsF,"7 rings","thank u, next","Ariana Grande",2019-02-08,178626,82,ashley_7711,2020-02-25T19:05:49Z,"pop","Republic Records",0.777,0.317,1,-10.732,0,0.308,0.591,0,0.0881,0.33,139.848,4
1AAwAM9IjTlvi8x10kc2I1,"Supermodel (You Better Work)","Supermodel of the World","RuPaul",1993-06-08,239933,1,ashley_7711,2020-02-25T19:06:04Z,"","Tommy Boy Music, LLC",0.792,0.562,7,-11.379,1,0.0929,0.0152,0.0000748,0.428,0.592,126.222,4
1gZ7i4qxXkHZb1r6eioaAP,"Don't Cha","PCD","The Pussycat Dolls,Busta Rhymes",2005-01-01,272080,64,ashley_7711,2020-02-25T19:06:25Z,"east coast hip hop","Pussycat Dolls",0.88,0.637,1,-3.493,1,0.0893,0.0051,0.00000237,0.0959,0.568,119.979,4
27QvYgBk0CHOVHthWnkuWt,"Vogue","Celebration (double disc version)","Madonna",2009-09-18,316813,66,ashley_7711,2020-02-25T19:06:39Z,"","Warner Records",0.737,0.88,6,-6.449,1,0.0433,0.00379,0.00351,0.417,0.329,115.997,4
3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next","thank u, next","Ariana Grande",2019-02-08,207320,78,ashley_7711,2020-02-25T19:07:20Z,"pop","Republic Records",0.72,0.654,1,-5.634,1,0.0647,0.227,0,0.101,0.411,106.976,4
3NkJNL3WqO1Lqc3uNDxvCN,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Don’t Call Me Angel (Charlie’s Angels)","Ariana Grande,Miley Cyrus,Lana Del Rey",2019-09-13,190106,0,ashley_7711,2020-02-25T19:07:27Z,"pop","Republic Records",0.643,0.721,1,-5.248,1,0.0449,0.00268,0.00000651,0.0898,0.317,102.914,4
39qcvV4f0uqDMHxIkSb7tE,"Rich Girl","Love Angel Music Baby","Gwen Stefani,Eve",2004-10-27,236213,0,ashley_7711,2020-02-25T19:07:52Z,"","Interscope",0.855,0.747,7,-2.713,0,0.0424,0.0276,0.0000345,0.182,0.76,98.018,4
66ZcOcouenzZEnzTJvoFmH,"The Sweet Escape","The Sweet Escape","Gwen Stefani,Akon",2006-01-01,246466,72,ashley_7711,2020-02-25T19:08:02Z,"","Interscope",0.756,0.769,1,-3.502,1,0.0344,0.191,0,0.178,0.73,119.961,4
1D066zixBwqFYqBhKgdPzp,"Fergalicious","The Dutchess","Fergie,will.i.am",2006-09-13,292373,65,ashley_7711,2020-02-25T19:08:17Z,"","Will I Am / Fergie LP1",0.906,0.583,8,-7.721,0,0.317,0.0569,0,0.126,0.829,129.056,4
2s0ouHqJebHfiQ6C1GUFJd,"Milkshake - Radio Mix","Tasty","Kelis",2003-12-05,182626,55,ashley_7711,2020-02-25T19:08:22Z,"","Arista",0.891,0.77,1,-6.124,1,0.0439,0.00862,0.0315,0.155,0.819,112.997,4
4KTtYhxFtFL7mBwnjkKfLm,"Glamorous","The Dutchess","Fergie,Ludacris",2006-09-13,246573,68,ashley_7711,2020-02-25T19:08:28Z,"southern hip hop","Will I Am / Fergie LP1",0.81,0.755,0,-6.408,1,0.199,0.291,0,0.0857,0.625,130.991,4
7L1zJMkc9Ho7Ox0uSFC9TL,"Whine Up (feat. Elephant Man) - English Version","Whine Up (feat. Elephant Man) [English Version]","Kat Deluna,Elephant Man",2007-05-01,203573,39,ashley_7711,2020-02-25T19:08:58Z,"dancehall,ragga,reggae,riddim,soca","Epic",0.821,0.554,9,-5.993,1,0.0542,0.0586,0.00000281,0.172,0.472,125.011,4
2RSOzvKUnfDDrb2nQPfpQU,"Barbie Girl","Aquarium","Aqua",1997-01-01,197773,1,ashley_7711,2020-02-25T19:09:19Z,"europop,eurodance","Geffen*",0.81,0.957,1,-6.049,0,0.0364,0.0165,0.284,0.248,0.962,129.985,4
5Ssv6DaKrW0HczVqx6zXdl,"Diva","I AM...SASHA FIERCE","Beyoncé",2008-11-14,200613,76,ashley_7711,2020-02-25T19:10:26Z,"","Music World Music/Columbia",0.875,0.551,6,-6.744,0,0.317,0.0488,0.00728,0.0537,0.861,146.092,4
1MCNzi6cD6YS4c77I9Ur0l,"When I Grow Up","Doll Domination 2.0 (International Version)","The Pussycat Dolls",2009-01-01,245666,0,ashley_7711,2020-02-25T19:11:19Z,"","Universal Music Australia Pty. Ltd.",0.673,0.686,11,-5.745,0,0.0454,0.00154,0,0.376,0.34,118.43,4
7l94dyN2hX9c6wWcZQuOGJ,"Dangerous Woman","Dangerous Woman","Ariana Grande",2016-05-20,235946,2,ashley_7711,2020-02-25T19:13:14Z,"pop","Universal Records",0.664,0.602,4,-5.369,0,0.0412,0.0529,0,0.356,0.289,134.049,3
6KOEK6SeCEZOQkLj5M1PxH,"California Gurls","Teenage Dream","Katy Perry,Snoop Dogg",2010-01-01,234653,72,ashley_7711,2020-02-25T19:13:24Z,"pop,g-funk,west coast hip hop,gangster rap,hip hop,rap","Capitol Records",0.789,0.753,0,-3.71,1,0.0537,0.0038,0,0.18,0.403,125.007,4
0obBFrPYkSoBJbvHfUIhkv,"Sexy And I Know It","Sorry For Party Rocking (Deluxe Version)","LMFAO",2011-01-01,199480,62,ashley_7711,2020-02-25T19:13:42Z,"","Will I Am / A&M",0.708,0.861,7,-4.225,1,0.316,0.1,0,0.191,0.795,130.043,4
16Me2jlMlTX4xsps2j71mC,"Paparazzi","The Fame","Lady Gaga",2008-01-01,208306,0,ashley_7711,2020-02-25T19:14:05Z,"art pop,pop","Streamline/Interscope",0.763,0.693,5,-3.973,0,0.0438,0.111,0,0.101,0.399,114.912,4
0AH6WMe3OlAlUb5miXt2FQ,"Only Girl (In The World)","Loud","Rihanna",2010-11-16,235493,70,ashley_7711,2020-02-25T19:14:17Z,"","Def Jam Recordings",0.789,0.716,11,-4.241,0,0.0432,0.129,0.0000107,0.069,0.611,125.906,4
3MjUtNVVq3C8Fn0MP3zhXa,"...Baby One More Time","...Baby One More Time (Digital Deluxe Version)","Britney Spears",1999-01-12,211066,80,ashley_7711,2020-02-25T19:14:53Z,"pop","Jive",0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4
0Oe49j06Bjrxs8PltuVeaW,"On The Floor - Radio Edit","On The Floor","Jennifer Lopez,Pitbull",2011-02-18,230906,72,ashley_7711,2020-02-25T19:15:14Z,"","Nuyorican Productions / IDJ",0.758,0.686,11,-6.346,1,0.0792,0.0848,0.00133,0.142,0.444,130.008,4
25sgk305KZfyuqVBQIahim,"Sweet but Psycho","Sweet but Psycho","Ava Max",2018-08-17,187436,4,ashley_7711,2020-02-25T19:15:37Z,"","Atlantic Records",0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,4
4fixebDZAVToLbUCuEloa2,"Womanizer","Circus (Deluxe Version)","Britney Spears",2008-12-02,224400,77,ashley_7711,2020-02-25T19:16:00Z,"pop","Jive",0.724,0.695,11,-5.226,1,0.0622,0.073,0,0.0889,0.235,139,4
5OCJzvD7sykQEKHH7qAC3C,"God is a woman","Sweetener","Ariana Grande",2018-08-17,197546,74,ashley_7711,2020-02-25T19:16:16Z,"pop","Republic Records",0.602,0.658,1,-5.934,1,0.0558,0.0233,0.00006,0.237,0.268,145.031,4
3KliPMvk1EvFZu9cvkj8p1,"Work Bitch","Britney Jean (Deluxe Version)","Britney Spears",2013-11-30,247960,66,ashley_7711,2020-02-25T19:16:29Z,"pop","RCA Records Label",0.629,0.824,9,-6.53,1,0.159,0.155,0.000628,0.0651,0.852,128.01,4
5IVuqXILoxVWvWEPm82Jxr,"Crazy In Love (feat. JAY-Z)","Dangerously In Love","Beyoncé,JAY-Z",2003-06-24,236133,76,ashley_7711,2020-02-25T19:16:45Z,"hip hop,east coast hip hop,rap","Columbia",0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,4
2CpH1L4CUR47RARB3PgY1l,"You Don't Own Me (feat. G-Eazy)","You Don't Own Me","SAYGRACE,G-Eazy",2015-03-17,199314,56,ashley_7711,2020-02-25T19:17:12Z,"","Regime Music Societe/RCA Records",0.336,0.664,7,-5.68,1,0.102,0.166,0.00000131,0.0575,0.294,186.394,3
4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored","thank u, next","Ariana Grande",2019-02-08,190440,73,ashley_7711,2020-02-25T19:17:18Z,"pop","Republic Records",0.727,0.554,5,-5.29,0,0.0915,0.0421,0,0.106,0.335,170,4
6Qs4SXO9dwPj5GKvVOv8Ki,"Dancing With A Stranger (with Normani)","Dancing With A Stranger (with Normani)","Sam Smith,Normani",2019-01-11,171029,70,ashley_7711,2020-02-25T19:18:06Z,"soft pop","PLG - Capitol",0.741,0.52,8,-7.513,1,0.0656,0.447,0.00000197,0.222,0.347,102.998,4
1uigwk5hNV84zRd5YQQRTk,"Pocketful of Sunshine","Pocketful Of Sunshine","Natasha Bedingfield",2007-04-27,202906,74,ashley_7711,2020-02-25T19:19:37Z,"","Epic/Phonogenic",0.721,0.88,9,-3.896,0,0.0454,0.191,0,0.0769,0.655,110.021,4
5KBARWIxeMGkvUax9VtVC9,"My Type","ICY","Saweetie",2019-03-29,126446,70,ashley_7711,2020-02-25T19:19:53Z,"","ICY/Artistry Records/Warner Records",0.899,0.811,2,-6.294,1,0.258,0.000677,0,0.0672,0.587,105.038,4
4ulNKUFHijHiPD2rtrSNOC,"Me & My Girls","Revival (Deluxe)","Selena Gomez",2015-10-09,210506,46,ashley_7711,2020-02-25T19:20:41Z,"pop","Selena Gomez PS",0.637,0.947,2,-3.982,1,0.152,0.0152,0,0.0595,0.348,121.993,4
5PHPENfE3RVmHGAA2A7Hfx,"Sissy That Walk","Born Naked","RuPaul",2014-02-24,212693,1,ashley_7711,2020-02-25T19:20:48Z,"","RuCo, Inc",0.826,0.614,11,-4.22,1,0.0561,0.0191,0.0172,0.0865,0.591,126.046,4
6nzXkCBOhb2mxctNihOqbb,"Bad Girls","Matangi","M.I.A.",2013-01-01,227520,71,ashley_7711,2020-02-25T19:20:59Z,"","Interscope",0.639,0.912,1,-2.621,1,0.0615,0.00107,0,0.097,0.343,143.448,4
6KgBpzTuTRPebChN0VTyzV,"Good as Hell","Cuz I Love You (Super Deluxe)","Lizzo",2019-04-17,159735,67,ashley_7711,2020-02-25T19:22:15Z,"","Nice Life/Atlantic",0.682,0.919,0,-3.18,0,0.0875,0.256,0,0.442,0.535,95.982,4
19JdbdEwQI7bCxefMokZO8,"My Humps","Monkey Business","Black Eyed Peas",2005-01-01,326960,64,ashley_7711,2020-02-25T19:22:58Z,"","A&M",0.801,0.682,1,-5.919,0,0.225,0.111,0.0000156,0.109,0.586,123.95,4
3IcIIZMMS7UArJJPtEHXG8,"Obsessed","Memoirs of an imperfect Angel","Mariah Carey",2009-09-29,242200,68,ashley_7711,2020-02-25T19:23:15Z,"christmas","Def Jam Recordings",0.742,0.467,10,-5.557,0,0.0624,0.0458,0,0.826,0.366,86.442,4
7H6ev70Weq6DdpZyyTmUXk,"Say My Name","The Writing's On The Wall","Destiny's Child",1999-07-27,271333,76,ashley_7711,2020-02-25T19:23:42Z,"","Columbia",0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,4
6dshconh2KBbGxVh7GtSTC,"Booty","Booty","Jennifer Lopez,Iggy Azalea",2014-09-23,209699,55,ashley_7711,2020-02-25T19:24:30Z,"","Nuyorican Productions, Inc.",0.709,0.949,0,-4.155,1,0.0509,0.00296,0.00022,0.26,0.398,128.966,4
2H1l4JczUDbiWfQtQElB05,"Touch My Body","E=MC²","Mariah Carey",2008-01-01,204733,0,ashley_7711,2020-02-25T19:25:15Z,"christmas","Island Records",0.715,0.665,4,-7.736,0,0.0502,0.0996,0,0.224,0.84,78.502,4
2goLsvvODILDzeeiT4dAoR,"Believe","Believe","Cher",1998,239026,79,ashley_7711,2020-02-25T19:26:04Z,"","Warner Records",0.652,0.917,6,-6.72,1,0.0548,0.0082,0,0.0509,0.459,132.975,4
