Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
05wZ5RosKZ9Cfp2VQagCAu,"Barbie Girl","Pink Party Soundtrack","Aqua",2023-06-28,197960,45,223ie3oknuipnhjywcye6ka3i,2023-06-30T21:56:36Z,"europop,eurodance","UME - Global Clearing House",0.795,0.969,1,-3.227,0,0.0367,0.0138,0.163,0.162,0.959,129.985,4
741UUVE2kuITl0c6zuqqbO,"Barbie World (with Aqua) [From Barbie The Album]","Barbie World (with Aqua) [From Barbie The Album]","Nicki Minaj,Ice Spice,Aqua",2023-06-23,109750,69,223ie3oknuipnhjywcye6ka3i,2023-06-30T08:43:23Z,"europop,eurodance","Atlantic Records",0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,4
1vYXt7VSjH9JIM5oRRo7vA,"Dance The Night - From Barbie The Album","Dance The Night (From Barbie The Album)","Dua Lipa",2023-05-25,176579,79,223ie3oknuipnhjywcye6ka3i,2023-06-30T08:43:38Z,"pop","Atlantic Records",0.671,0.845,11,-4.93,0,0.048,0.0207,0,0.329,0.775,110.056,4
6ocbgoVGwYJhOv1GgI9NsF,"7 rings","thank u, next","Ariana Grande",2019-02-08,178626,82,223ie3oknuipnhjywcye6ka3i,2023-06-30T08:43:44Z,"pop","Republic Records",0.777,0.317,1,-10.732,0,0.308,0.591,0,0.0881,0.33,139.848,4
3hlksXnvbKogFdPbpO9vel,"Super Bass","Pink Friday (Complete Edition)","Nicki Minaj",2010-11-22,200013,77,223ie3oknuipnhjywcye6ka3i,2023-06-30T08:45:42Z,"","Nicki Minaj/Cash Money",0.723,0.86,11,-4.357,1,0.203,0.271,0.00000456,0.598,0.667,126.979,4
5VxmI3IdgAxWVvUnJoLuY2,"Speed Drive (From Barbie The Album)","Speed Drive (From Barbie The Album)","Charli xcx",2023-06-29,117809,67,223ie3oknuipnhjywcye6ka3i,2023-06-30T08:48:05Z,"hyperpop,art pop","Atlantic Records",0.652,0.879,0,-6.405,1,0.0784,0.00284,0.0896,0.0918,0.789,173.925,4
0CpfO9VNiW0OGIaZO6zO3n,"Angel (From Barbie The Album)","Angel (From Barbie The Album)","PinkPantheress",2023-06-08,123820,51,223ie3oknuipnhjywcye6ka3i,2023-06-30T08:48:10Z,"bedroom pop","Atlantic Records",0.676,0.693,2,-6.322,1,0.0548,0.18,0.108,0.194,0.617,115.015,4
6MZi5j60L80SZLBxN0bv8s,"WATATI (feat. Aldo Ranks) [From Barbie The Album]","WATATI (feat. Aldo Ranks) [From Barbie The Album]","KAROL G,Aldo Ranks",2023-06-01,166882,61,223ie3oknuipnhjywcye6ka3i,2023-06-30T08:48:16Z,"reggaeton,latin,urbano latino","Atlantic Records",0.893,0.851,3,-5.342,0,0.0979,0.145,0.0000649,0.319,0.959,110.002,4
3Dv1eDb0MEgF93GpLXlucZ,"Say So","Hot Pink","Doja Cat",2019-11-07,237893,73,223ie3oknuipnhjywcye6ka3i,2023-06-30T08:54:59Z,"","Kemosabe Records/RCA Records",0.787,0.673,11,-4.583,0,0.159,0.264,0.00000335,0.0904,0.779,110.962,4
4rPkN1FMzQyFNP9cLUGIIB,"Love Again","Future Nostalgia","Dua Lipa",2020-03-27,258004,72,223ie3oknuipnhjywcye6ka3i,2023-06-30T08:58:46Z,"pop","Warner Records",0.659,0.667,11,-4.668,0,0.0339,0.00173,0.0000285,0.1,0.468,115.982,4
2J4P46vCFm1rPkNkp9pZWX,"Ice Cream (with Selena Gomez)","Ice Cream (with Selena Gomez)","BLACKPINK,Selena Gomez",2020-08-28,175813,58,223ie3oknuipnhjywcye6ka3i,2023-06-30T09:01:00Z,"k-pop,pop","YG Entertainment/Interscope Records",0.79,0.729,9,-3.843,1,0.334,0.0342,0.0000931,0.0411,0.904,159.989,4
7ju97lgwC2rKQ6wwsf9no9,"Rain On Me (with Ariana Grande)","Chromatica","Lady Gaga,Ariana Grande",2020-05-29,182200,70,223ie3oknuipnhjywcye6ka3i,2023-06-30T09:02:58Z,"art pop,pop","Interscope",0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,4
3KMsGaN1xdoOaNQELy8vR8,"Bling Bling","Bling Bling","ALTÉGO",2023-03-31,119084,52,223ie3oknuipnhjywcye6ka3i,2023-06-30T09:09:15Z,"","Arista Records",0.782,0.901,11,-5.468,0,0.0602,0.0248,0.000197,0.0916,0.719,122.062,4
72LijybQsm7uNuBD1pBfUE,"Nothing Else Matters","Glory Days (Expanded Edition)","Little Mix",2016-11-18,235520,39,223ie3oknuipnhjywcye6ka3i,2023-06-30T09:12:30Z,"","Syco Music",0.524,0.797,2,-5.803,1,0.0918,0.0144,0,0.355,0.736,170.066,4
6jyXQ8HGI7ikECGA0670uo,"Fabulous","High School Musical 2 (Original Soundtrack)","Sharpay Evans,Ryan,Disney",2007-01-01,180693,57,223ie3oknuipnhjywcye6ka3i,2023-06-30T09:06:38Z,"","Walt Disney Records",0.827,0.761,8,-5.185,1,0.138,0.233,0,0.0453,0.703,131.996,4
748mdHapucXQri7IAO8yFK,"Kiss Me More (feat. SZA)","Kiss Me More (feat. SZA)","Doja Cat,SZA",2021-04-09,208866,66,223ie3oknuipnhjywcye6ka3i,2023-06-30T09:14:02Z,"r&b","Kemosabe Records/RCA Records",0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,4
