Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2qSkIjg1o9h3YT9RAgYN75,"Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,87,imjzweadgdlvw21mw524k2f0b,2024-05-07T21:19:04Z,"","Island Records",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
5ZrDlcxIDZyjOzHdYW1ydr,"Barbie Girl","Aquarium (Special Edition)","Aqua",1997-01-01,197960,73,imjzweadgdlvw21mw524k2f0b,2023-04-06T08:56:21Z,"europop,eurodance","Universal Music A/S",0.812,0.879,1,-10.998,0,0.0397,0.017,0.224,0.365,0.962,129.991,4
741UUVE2kuITl0c6zuqqbO,"Barbie World (with Aqua) [From Barbie The Album]","Barbie World (with Aqua) [From Barbie The Album]","Nicki Minaj,Ice Spice,Aqua",2023-06-23,109750,69,imjzweadgdlvw21mw524k2f0b,2023-07-18T21:56:41Z,"europop,eurodance","Atlantic Records",0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,4
7gaA3wERFkFkgivjwbSvkG,"yes, and?","yes, and?","Ariana Grande",2024-01-12,214994,73,imjzweadgdlvw21mw524k2f0b,2024-02-27T00:24:10Z,"pop","Republic Records",0.787,0.775,1,-6.614,1,0.0548,0.19,0.0000654,0.113,0.787,118.998,4
1vYXt7VSjH9JIM5oRRo7vA,"Dance The Night - From Barbie The Album","Dance The Night (From Barbie The Album)","Dua Lipa",2023-05-25,176579,79,imjzweadgdlvw21mw524k2f0b,2023-07-23T07:26:14Z,"pop","Atlantic Records",0.671,0.845,11,-4.93,0,0.048,0.0207,0,0.329,0.775,110.056,4
3WOhcATHxK2SLNeP5W3v1v,"Guess featuring billie eilish","Guess featuring billie eilish","Charli xcx,Billie Eilish",2024-08-01,143330,80,imjzweadgdlvw21mw524k2f0b,2024-09-01T14:08:01Z,"hyperpop,art pop","Atlantic Records",0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,4
5G2f63n7IPVPPjfNIGih7Q,"Taste","Short n' Sweet","Sabrina Carpenter",2024-08-23,157279,89,imjzweadgdlvw21mw524k2f0b,2024-09-01T14:08:26Z,"","Island Records",0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,4
6QTGiIuNopQu1iV2aa0fDS,"Pink (From Barbie The Album)","Pink (From Barbie The Album)","Lizzo",2023-07-21,143833,49,imjzweadgdlvw21mw524k2f0b,2023-07-23T07:26:26Z,"","Atlantic Records",0.861,0.611,1,-7.891,1,0.0427,0.0764,0,0.0763,0.803,114.995,4
6nQ1B216Liiydhgn2gar0o,"Material Girl","Imma Celebrity","Saucy Santana",2020-01-14,188965,52,imjzweadgdlvw21mw524k2f0b,2023-05-31T03:15:21Z,"","Saucy Santana / StreamCut",0.876,0.7,2,-7.137,1,0.282,0.0421,0,0.542,0.433,101.995,4
4QdX6pmNnJ5cleufWQIr5D,"Shut Up And Drive","Good Girl Gone Bad","Rihanna",2007-01-01,212280,64,imjzweadgdlvw21mw524k2f0b,2023-04-06T08:57:18Z,"","Def Jam Recordings",0.734,0.826,1,-4.909,1,0.0349,0.00101,0.129,0.197,0.74,132.96,4
