Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture Barbie]","What Was I Made For? [From The Motion Picture Barbie]","Billie Eilish",2023-07-13,222369,84,sarahkidwai,2023-07-25T03:58:56Z,"","Darkroom/Interscope Records",0.391,0.084,0,-17.843,1,0.0317,0.953,0,0.0983,0.111,79.449,4
26NX1wPt1TRCH536yocd6i,"If I Were a Boy","I AM...SASHA FIERCE","Beyoncé",2008-11-14,249146,62,sarahkidwai,2023-07-25T04:10:33Z,"","Music World Music/Columbia",0.632,0.518,6,-6.126,1,0.0313,0.107,0,0.354,0.427,90.007,4
7kt9e9LFSpN1zQtYEl19o1,"this is me trying","folklore","Taylor Swift",2020-07-24,195097,72,sarahkidwai,2023-07-25T04:05:50Z,"","Taylor Swift",0.515,0.476,9,-9.843,1,0.0328,0.314,0.0000474,0.171,0.412,135.886,4
3RIgHHpnFKj5Rni1shokDj,"Norman fucking Rockwell","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,248934,71,sarahkidwai,2023-07-25T04:07:13Z,"","Polydor Records",0.215,0.203,5,-12.65,1,0.0346,0.968,0.0585,0.0923,0.143,78.287,1
01K4zKU104LyJ8gMb7227B,"Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)","Red (Taylor's Version)","Taylor Swift,Phoebe Bridgers",2021-11-12,258812,69,sarahkidwai,2023-07-25T04:07:57Z,"","Taylor Swift",0.606,0.377,0,-9.455,1,0.0275,0.817,0,0.154,0.446,101.96,4
6RQ5IwG7uADz9LDWliJGjU,"Special","SOS","SZA",2022-12-09,158840,70,sarahkidwai,2023-07-25T04:08:35Z,"r&b","Top Dawg Entertainment/RCA Records",0.604,0.199,0,-11.831,1,0.05,0.777,0,0.109,0.191,76.134,4
0WFryfbNKPXVtVQlz5dZ8H,"hotline (edit)","hotline (edit)","Billie Eilish",2023-05-09,60719,75,sarahkidwai,2023-07-25T04:09:19Z,"","Darkroom/Interscope Records",0.516,0.254,9,-16.027,0,0.0589,0.816,0.855,0.189,0.304,56.829,4
1MgV7FIyNxIG7WzMRJV5HC,"my tears ricochet","folklore","Taylor Swift",2020-07-24,255893,78,sarahkidwai,2023-07-25T04:09:24Z,"","Taylor Swift",0.469,0.263,0,-10.63,1,0.0329,0.806,0,0.0749,0.112,129.86,4
7x8pIrhMu9FCmqqHNyuH0P,"cellophane","MAGDALENE","FKA twigs",2019-11-08,204066,56,sarahkidwai,2023-07-25T04:10:10Z,"art pop,alternative r&b","Young",0.431,0.284,2,-11.858,1,0.0432,0.871,0.000136,0.0899,0.229,98.317,1
3GYlZ7tbxLOxe6ewMNVTkw,"TV","Guitar Songs","Billie Eilish",2022-07-21,281380,82,sarahkidwai,2023-07-25T04:11:09Z,"","Darkroom/Interscope Records",0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214,4
6ILk4BRILPT1sx3cVNH9ib,"Amelie","Good Riddance","Gracie Abrams",2023-02-24,259592,0,sarahkidwai,2023-07-25T04:11:42Z,"","Gracie Abrams, under exclusive license to Interscope Records",0.511,0.253,2,-12.471,1,0.0339,0.888,0.000131,0.105,0.361,121.713,4
2mdEsXPu8ZmkHRRtAdC09e,"Cinnamon Girl","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,300683,82,sarahkidwai,2023-07-25T04:13:20Z,"","Polydor Records",0.294,0.337,6,-10.614,0,0.036,0.814,0.414,0.14,0.135,91.781,5
3zNFFDW3eBEQXwyreBODoj,"My Mother & I","My Mother & I","Lucy Dacus",2019-04-24,279032,40,sarahkidwai,2023-07-25T04:13:44Z,"","Matador",0.424,0.243,0,-15.128,1,0.0329,0.879,0.0242,0.0864,0.236,159.995,3
3cr3oAP4bQFNjZBV7ElKaB,"I Know The End","Punisher","Phoebe Bridgers",2020-06-18,344692,0,sarahkidwai,2023-07-25T04:14:14Z,"","Dead Oceans",0.328,0.32,1,-10.282,1,0.035,0.324,0.019,0.234,0.259,111.453,4
