Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture Barbie]","What Was I Made For? [From The Motion Picture Barbie]","Billie Eilish",2023-07-13,222369,84,22zrv3tvvizrjczqhkcsrkz6q,2023-07-21T12:02:44Z,"","Darkroom/Interscope Records",0.391,0.084,0,-17.843,1,0.0317,0.953,0,0.0983,0.111,79.449,4
30y5OpD8TPAru2wsyZDD4S,"That Funny Feeling","That Funny Feeling","Phoebe Bridgers",2021-10-04,400565,63,22zrv3tvvizrjczqhkcsrkz6q,2023-07-21T12:08:57Z,"","Dead Oceans",0.515,0.298,4,-11.499,1,0.0311,0.718,0.00000917,0.365,0.462,116.761,4
3GYlZ7tbxLOxe6ewMNVTkw,"TV","Guitar Songs","Billie Eilish",2022-07-21,281380,82,22zrv3tvvizrjczqhkcsrkz6q,2023-07-21T12:15:01Z,"","Darkroom/Interscope Records",0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214,4
5SHpuW2qjkQtFRpE6P9Nks,"The 30th","Guitar Songs","Billie Eilish",2022-07-21,216448,72,22zrv3tvvizrjczqhkcsrkz6q,2023-07-21T12:15:18Z,"","Darkroom/Interscope Records",0.387,0.135,7,-14.398,1,0.051,0.929,0,0.0948,0.21,82.987,4
01K4zKU104LyJ8gMb7227B,"Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)","Red (Taylor's Version)","Taylor Swift,Phoebe Bridgers",2021-11-12,258812,69,22zrv3tvvizrjczqhkcsrkz6q,2023-07-21T12:06:19Z,"","Taylor Swift",0.606,0.377,0,-9.455,1,0.0275,0.817,0,0.154,0.446,101.96,4
41zXlQxzTi6cGAjpOXyLYH,"idontwannabeyouanymore","dont smile at me","Billie Eilish",2017-12-22,203569,78,22zrv3tvvizrjczqhkcsrkz6q,2023-07-25T23:58:08Z,"","Darkroom",0.483,0.412,7,-8.461,1,0.0402,0.737,0,0.116,0.247,170.163,3
6RQ5IwG7uADz9LDWliJGjU,"Special","SOS","SZA",2022-12-09,158840,70,22zrv3tvvizrjczqhkcsrkz6q,2023-07-25T23:57:40Z,"r&b","Top Dawg Entertainment/RCA Records",0.604,0.199,0,-11.831,1,0.05,0.777,0,0.109,0.191,76.134,4
3lG6OtGDsYAOALxEmubQQm,"Happiness is a butterfly","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,272485,73,22zrv3tvvizrjczqhkcsrkz6q,2023-07-21T12:11:32Z,"","Polydor Records",0.467,0.119,2,-10.99,1,0.0401,0.969,0.0000014,0.0973,0.156,70.499,4
1scaOnahzG7o8pfwfsL784,"Chinese Satellite","Punisher","Phoebe Bridgers",2020-06-18,217070,56,22zrv3tvvizrjczqhkcsrkz6q,2023-07-21T12:04:27Z,"","Dead Oceans",0.301,0.452,10,-9.931,1,0.0452,0.742,0.0219,0.152,0.363,120.04,4
0ZNU020wNYvgW84iljPkPP,"mirrorball","folklore","Taylor Swift",2020-07-24,208977,71,22zrv3tvvizrjczqhkcsrkz6q,2023-07-21T12:10:28Z,"","Taylor Swift",0.553,0.413,2,-10.037,1,0.0334,0.687,0.00000233,0.0594,0.379,110.107,4
