Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1B70yeXyeY8iuuDAu9QJ3Q,"The Lost Temple","Dragon Age Inquisition","Trevor Morris",2014-11-17,410066,0,stxelim,2019-08-08T23:29:16Z,"medieval,soundtrack","EA TM Music",0.179,0.26,8,-20.168,1,0.0376,0.836,0.936,0.0961,0.0384,129.964,4
68KDq1R0WBL22JDXoobGud,"I Paid the Iron Price","Game of Thrones (Music from the HBO® Series) Season 3","Ramin Djawadi",2013-06-04,195546,0,stxelim,2019-08-08T23:29:16Z,"soundtrack","WaterTower Music",0.17,0.0399,9,-21.434,0,0.049,0.28,0.691,0.0721,0.0312,123.358,3
6MFHH8L07plhHSxCNcsUr7,"You Know Nothing","Game of Thrones (Music from the HBO® Series) Season 3","Ramin Djawadi",2013-06-04,199893,0,stxelim,2019-08-08T23:29:16Z,"soundtrack","WaterTower Music",0.099,0.132,7,-18.531,0,0.0417,0.816,0.849,0.0805,0.0321,75.09,3
3Qe3ZgNbPZa7dPc0k4XYfA,"I Have to Go North","Game of Thrones (Music from the HBO® Series) Season 3","Ramin Djawadi",2013-06-04,83013,0,stxelim,2019-08-08T23:29:16Z,"soundtrack","WaterTower Music",0.157,0.291,0,-16.988,0,0.0371,0.029,0.894,0.106,0.0698,78.739,4
3pjX81uzEwnoCVB3XkXr3X,"Heir to Winterfell","Game of Thrones (Music from the HBO® Series) Season 3","Ramin Djawadi",2013-06-04,134186,0,stxelim,2019-08-08T23:29:16Z,"soundtrack","WaterTower Music",0.0747,0.00773,7,-27.818,0,0.0476,0.843,0.94,0.167,0.0331,80.732,3
5L8WbHmA5rhh9EKs0PThzw,"Mhysa","Game of Thrones (Music from the HBO® Series) Season 3","Ramin Djawadi",2013-06-04,234933,0,stxelim,2019-08-08T23:29:16Z,"soundtrack","WaterTower Music",0.217,0.369,2,-14.343,0,0.0391,0.708,0.96,0.101,0.0373,144.144,3
75OqyCvaJNbCtZDOKGUN3B,"Breaker of Chains","Game of Thrones: Season 4 (Music from the HBO® Series)","Ramin Djawadi",2014-06-10,245240,0,stxelim,2019-08-08T23:29:16Z,"soundtrack","WaterTower Music",0.0942,0.163,5,-19.102,1,0.0428,0.336,0.861,0.0858,0.0283,87.886,4
5EJdYe6BXGQf3iBQNRiLZV,"The North Remembers","Game of Thrones: Season 4 (Music from the HBO® Series)","Ramin Djawadi",2014-06-10,153866,0,stxelim,2019-08-08T23:29:16Z,"soundtrack","WaterTower Music",0.172,0.0275,3,-26.116,1,0.049,0.982,0.839,0.0967,0.0362,116.881,4
4zbqVZxvLu0ZHogdOikVHU,"Craster's Keep","Game of Thrones: Season 4 (Music from the HBO® Series)","Ramin Djawadi",2014-06-10,126493,0,stxelim,2019-08-08T23:29:16Z,"soundtrack","WaterTower Music",0.392,0.124,0,-28.049,0,0.0308,0.856,0.887,0.0907,0.12,71.997,4
6wigSyLxm3ioUpCcRnKP1U,"The Real North","Game of Thrones: Season 4 (Music from the HBO® Series)","Ramin Djawadi",2014-06-10,123546,0,stxelim,2019-08-08T23:29:16Z,"soundtrack","WaterTower Music",0.0972,0.0751,0,-21.374,0,0.0487,0.118,0.92,0.115,0.0321,75.82,4
0auJIepOjK6fKaptiN6OiR,"Elves At the Mercy of Man","Dragon Age: Origins","EA Games Soundtrack,Inon Zur",2009-12-08,81680,0,stxelim,2019-08-08T23:29:16Z,"soundtrack","E.A.R.S. (EA Recordings)",0.155,0.125,11,-22.502,1,0.0346,0.862,0.99,0.108,0.0351,107.172,3
7FWaHxcYETslI7tabKADuF,"The Common Dwarf","Dragon Age: Origins","EA Games Soundtrack,Inon Zur",2009-12-08,84213,0,stxelim,2019-08-08T23:29:16Z,"soundtrack","E.A.R.S. (EA Recordings)",0.517,0.292,4,-21.507,0,0.0387,0.846,0.962,0.0874,0.382,110.076,4
39WCUFE2aCqOLm9M430Yhv,"The Dalish","Dragon Age: Origins","EA Games Soundtrack,Inon Zur",2009-12-08,78786,0,stxelim,2019-08-08T23:29:16Z,"soundtrack","E.A.R.S. (EA Recordings)",0.139,0.0711,6,-23.683,0,0.0341,0.82,0.908,0.112,0.0349,89.381,4
2Gop4Oofpnn14TVvdHRl3p,"Human Nobility","Dragon Age: Origins","EA Games Soundtrack,Inon Zur",2009-12-08,81493,0,stxelim,2019-08-08T23:29:16Z,"soundtrack","E.A.R.S. (EA Recordings)",0.174,0.197,9,-14.444,1,0.0357,0.358,0.973,0.186,0.0385,100.524,5
2dWug1PvYR1fMgeapTffs2,"The Party Camp","Dragon Age: Origins","EA Games Soundtrack,Inon Zur",2009-12-08,44240,0,stxelim,2019-08-08T23:29:16Z,"soundtrack","E.A.R.S. (EA Recordings)",0.151,0.142,4,-23.076,0,0.0431,0.305,0.914,0.123,0.0383,92.975,5
4u59hZN1iWKV1reIO4jeX4,"Burning the Past","Kingdom of Heaven (Original Motion Picture Soundtrack)","Harry Gregson-Williams",2005-04-26,165280,42,stxelim,2019-08-08T23:29:16Z,"soundtrack","Sony Classical",0.16,0.135,5,-27.346,1,0.04,0.806,0.853,0.112,0.044,85.261,3
7sWogTZ05uO5XegNaDIrks,"Northern Lights","Assassin's Creed Rogue (Original Game Soundtrack)","Elitsa Alexandrova,Assassin's Creed",2014-11-11,147853,21,stxelim,2019-08-08T23:29:16Z,"soundtrack,sea shanties","Ubisoft Music",0.421,0.1,2,-24.297,1,0.0467,0.853,0.919,0.136,0.112,139.8,4
2Mh0tEmwFguzg3fqskAv0c,"Cityscape","Assassin's Creed Rogue (Original Game Soundtrack)","Elitsa Alexandrova,Assassin's Creed",2014-11-11,54453,27,stxelim,2019-08-08T23:29:16Z,"soundtrack,sea shanties","Ubisoft Music",0.137,0.0303,6,-28.223,1,0.0529,0.982,0.642,0.0681,0.0284,141.582,3
7HXsYY8R9hfc7JU5TiLKGR,"Echoes of the Roman Ruins","Assassin's Creed Brotherhood (Original Game Soundtrack)","Jesper Kyd,Assassin's Creed",2010-11-16,171387,37,stxelim,2019-08-08T23:29:16Z,"soundtrack,sea shanties","Ubisoft Music",0.285,0.0974,2,-16.15,1,0.0455,0.575,0.893,0.108,0.0425,119.934,4
4eqGJB1a48c9mBMVUYQCJi,"Prosperity and Decay","Assassin's Creed Rogue (Original Game Soundtrack)","Elitsa Alexandrova,Assassin's Creed",2014-11-11,94346,28,stxelim,2019-08-08T23:29:16Z,"soundtrack,sea shanties","Ubisoft Music",0.173,0.00522,0,-28.923,1,0.0456,0.82,0.953,0.102,0.0307,79.826,4
6DHYWelHYuynVVPv2m58wl,"A Way of Life","The Last Samurai: Original Motion Picture Score","Hans Zimmer",2003-12-02,483706,57,stxelim,2019-08-08T23:29:16Z,"soundtrack","Elektra Records",0.0923,0.031,2,-29.351,0,0.0454,0.895,0.916,0.0766,0.0344,86.636,5
5h5HEHlrNZS1oOccRWLsGs,"Taken","The Last Samurai: Original Motion Picture Score","Hans Zimmer",2003-12-02,215986,43,stxelim,2019-08-08T23:29:16Z,"soundtrack","Elektra Records",0.153,0.235,7,-19.669,0,0.0517,0.787,0.869,0.112,0.0604,105.664,4
0W8BNfD6JCcqVUzpuBFUhn,"To Know My Enemy","The Last Samurai: Original Motion Picture Score","Hans Zimmer",2003-12-02,288826,41,stxelim,2019-08-08T23:29:16Z,"soundtrack","Elektra Records",0.0833,0.222,7,-19.98,0,0.0479,0.199,0.892,0.111,0.0368,71.013,3
0MeSuyL6pVnhzN4jrkDS0a,"The Last of Us (A New Dawn)","The Last of Us","Gustavo Santaolalla",2013-06-07,148120,38,stxelim,2019-08-08T23:29:16Z,"soundtrack","Masterworks",0.543,0.196,0,-22.947,1,0.0428,0.908,0.734,0.0919,0.0368,103.489,3
05704F5Uk32MIb9tX5omWQ,"All Gone (Aftermath)","The Last of Us","Gustavo Santaolalla,Alan Umstead",2013-06-07,64440,44,stxelim,2019-08-08T23:29:16Z,"soundtrack","Masterworks",0.155,0.0605,4,-22.496,0,0.0432,0.986,0.7,0.113,0.0373,85.449,3
