Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3O1kvcrdaJ5QQ1HzNifvqg,"Crashed Upon the Shield","Pillars of Eternity (Official Soundtrack)","Justin Bell",2015-03-24,60638,34,stxelim,2019-08-09T02:02:41Z,"medieval","Obsidian Entertainment",0.513,0.204,11,-12.278,0,0.0311,0.79,0.797,0.108,0.152,75.155,4
3WTawT3l0XBczMqxVbIn1c,"Symphony of the Void","Divinity: Original Sin 2 (Original Soundtrack)","Borislav Slavov",2018-03-23,209200,0,stxelim,2019-08-09T02:02:41Z,"medieval","Black Screen Records",0.347,0.425,5,-14.335,0,0.0474,0.911,0.971,0.137,0.109,144.982,5
666AhR6GOLBuVnlAhTte7e,"Dancing with the Source","Divinity: Original Sin 2 (Original Soundtrack)","Borislav Slavov",2018-03-23,146000,0,stxelim,2019-08-09T02:02:41Z,"medieval","Black Screen Records",0.585,0.554,4,-16.883,0,0.0594,0.912,0.856,0.0916,0.196,103.977,4
4rJSq9z60yScNTlJ4Lvpei,"Tooth and Claw","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,108816,47,stxelim,2019-08-09T02:02:41Z,"medieval,soundtrack","Bethesda Softworks",0.369,0.233,10,-21.201,0,0.0304,0.93,0.908,0.107,0.292,100.078,4
2MsJZoon1bDM3KC9RaoZxu,"Death or Sovngarde","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,180483,47,stxelim,2019-08-09T02:02:41Z,"medieval,soundtrack","Bethesda Softworks",0.0887,0.501,5,-10.382,0,0.0341,0.652,0.924,0.122,0.172,85.324,3
5p5Q14joitJC1nMxWlBkGm,"Steel on Steel","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,103000,46,stxelim,2019-08-09T02:02:41Z,"medieval,soundtrack","Bethesda Softworks",0.523,0.272,0,-19.346,0,0.0365,0.907,0.927,0.0953,0.142,115.046,3
6KarkdG6uQw710E0yNTXCS,"Caught off Guard","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,70608,41,stxelim,2019-08-09T02:02:41Z,"medieval,soundtrack","Bethesda Softworks",0.469,0.3,10,-16.688,0,0.029,0.952,0.95,0.238,0.18,96.037,3
6ls5c7j1IsXK3hX1buhkk4,"War","World of Warcraft Original Soundtrack","Jason Hayes",2004-11-23,48906,34,stxelim,2019-08-09T02:02:41Z,"medieval","Azeroth Music",0.401,0.808,0,-9.467,0,0.0341,0.556,0.561,0.339,0.568,147.327,3
425Vkd1jC6NkRg2UQTGDDt,"Blood and Steel","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,130384,42,stxelim,2019-08-09T02:02:41Z,"medieval,soundtrack","Bethesda Softworks",0.223,0.344,7,-14.59,1,0.0465,0.598,0.921,0.142,0.0397,125.389,3
2Fef1KP0yLaVtzUIE1P0kE,"Death Knell","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","Jeremy Soule",2006-03-20,69485,42,stxelim,2019-08-09T02:02:41Z,"medieval,soundtrack","Bethesda Softworks",0.465,0.338,7,-19.447,1,0.0363,0.943,0.793,0.11,0.233,70.092,4
6VrX52VugtvrrMdSsexmQa,"Fall of the Hammer","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","Jeremy Soule",2006-03-20,75807,41,stxelim,2019-08-09T02:02:41Z,"medieval,soundtrack","Bethesda Softworks",0.341,0.297,7,-21.278,0,0.0405,0.943,0.871,0.0991,0.301,74.985,4
413nwu2q5SEHtiHFXRkhgZ,"March of the Marauders","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","Jeremy Soule",2006-03-20,128130,38,stxelim,2019-08-09T02:02:41Z,"medieval,soundtrack","Bethesda Softworks",0.341,0.19,11,-23.789,1,0.0326,0.92,0.977,0.102,0.119,87.899,4
59HCr7pKisaiDOJPRNHSWg,"Defending the Gate","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","Jeremy Soule",2006-03-20,81031,40,stxelim,2019-08-09T02:02:41Z,"medieval,soundtrack","Bethesda Softworks",0.219,0.341,2,-23.339,0,0.0422,0.917,0.922,0.127,0.149,68.02,4
2Ue1TGY4X4KR0hcUTjMcBu,"Bloody Blades","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","Jeremy Soule",2006-03-20,74422,40,stxelim,2019-08-09T02:02:41Z,"medieval,soundtrack","Bethesda Softworks",0.378,0.193,3,-24.002,1,0.0284,0.952,0.923,0.117,0.546,152.716,4
5pOCgByIlCMqP0XrIpkhWB,"Daedra in Flight","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","Jeremy Soule",2006-03-20,61727,39,stxelim,2019-08-09T02:02:41Z,"medieval,soundtrack","Bethesda Softworks",0.383,0.524,1,-19.854,1,0.088,0.884,0.641,0.1,0.0383,74.737,4
5F6mNTPxGqCZMbRhs3mfRq,"Bloodlust","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","Jeremy Soule",2006-03-20,66899,39,stxelim,2019-08-09T02:02:41Z,"medieval,soundtrack","Bethesda Softworks",0.502,0.129,3,-23.827,0,0.0408,0.936,0.824,0.173,0.239,119.969,3
4YjWvWLzN7JY0fh9ZInVYU,"Churl's Revenge","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","Jeremy Soule",2006-03-20,68362,39,stxelim,2019-08-09T02:02:41Z,"medieval,soundtrack","Bethesda Softworks",0.482,0.447,4,-20.274,0,0.0371,0.911,0.908,0.109,0.0382,83.957,5
50V1DfsP64idxqKj4QQ8Wd,"Onslaught at the Gates","The Elder Scrolls Online Original Game Soundtrack","Brad Derrick",2014-04-02,124070,28,stxelim,2019-08-09T02:02:41Z,"medieval","Bethesda Softworks",0.368,0.506,4,-12.848,0,0.0363,0.46,0.959,0.0913,0.225,140.265,3
5nUunYevNE2iRmuX9EQjkL,"To Kill An Ogre","Dragon Age: Origins","EA Games Soundtrack",2009-12-08,189640,0,stxelim,2019-08-09T02:02:41Z,"soundtrack","E.A.R.S. (EA Recordings)",0.731,0.437,11,-12.377,0,0.0343,0.561,0.873,0.0832,0.349,120.017,3
4se7ZKxWTar7uTumcoBPiR,"Five Armies","The Descent","Kevin MacLeod",2014-12-25,155846,29,stxelim,2019-08-09T02:02:41Z,"","Incompetech",0.503,0.395,1,-11.396,1,0.0369,0.769,0.936,0.0886,0.0595,114.004,3
1XnvczSoMqghcCG0L81Chp,"The Dragon Thrashed and Wailed","Pillars of Eternity (Official Soundtrack)","Justin Bell",2015-03-24,110325,32,stxelim,2019-08-09T02:02:41Z,"medieval","Obsidian Entertainment",0.228,0.34,4,-10.64,1,0.0319,0.589,0.845,0.12,0.253,149.53,4
