Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5wKCedmy1WBzskSWFZDq4W,"Geralt Of Rivia - Live at Video Game Show 2016","The Witcher 3: Wild Hunt (Original Game Soundtrack) [Live at Video Game Show 2016]","Marcin Przybyłowicz,Mikołaj Stroiński,AUKSO Orchestra",2017-11-15,76970,18,stxelim,2023-07-12T17:48:22Z,"medieval,soundtrack,chamber music,minimalism","CD PROJEKT RED",0.622,0.481,2,-18.4,1,0.0367,0.851,0.949,0.204,0.737,123.099,4
7LMfYj7pnTz008dOgYLDAo,"Battle In The Sky","Dragon Age Inquisition (Original Game Soundtrack)","Trevor Morris",2014-11-17,65693,30,stxelim,2019-08-09T02:03:31Z,"medieval,soundtrack","EA Music",0.201,0.309,8,-13.256,1,0.0428,0.189,0.747,0.0832,0.073,99.166,3
0iBDmq6oyXDiCzaeB8jiit,"Descent into the Depths","Dungeons & Dragons - Official Roleplaying Soundtrack","Midnight Syndicate",2003-01-01,207893,27,stxelim,2019-08-09T02:03:31Z,"dark ambient","Entity Productions",0.0951,0.339,9,-16.066,0,0.0343,0.7,0.951,0.105,0.189,88.308,4
2SE2Az11cE3yKDhSV0ivTs,"Come Soft Winds of Death","Pillars of Eternity (Official Soundtrack)","Justin Bell",2015-03-24,87898,30,stxelim,2019-08-09T02:03:31Z,"medieval","Obsidian Entertainment",0.537,0.497,10,-14.01,0,0.0431,0.918,0.961,0.106,0.322,105.206,4
0rCbqcY9h84g8ryFn4wrZc,"Forged in War","Sword Coast Legends (Original Game Soundtrack)","Inon Zur",2015-10-20,127874,0,stxelim,2019-12-04T05:32:58Z,"soundtrack","Inon Zur",0.501,0.447,3,-12.058,1,0.0326,0.617,0.914,0.0887,0.41,80.111,3
7bs19CsXE6aCd1viPFAVMB,"Oath of Malacath","The Elder Scrolls Online Original Game Soundtrack","Brad Derrick",2014-04-02,114865,28,stxelim,2019-08-09T02:03:31Z,"medieval","Bethesda Softworks",0.119,0.609,2,-12.042,0,0.0456,0.67,0.894,0.112,0.317,86.673,4
60gZE15IXYQg0HuwnVFMYT,"The Elder One Theme","Dragon Age Inquisition","Trevor Morris",2014-11-17,268120,0,stxelim,2019-12-04T05:28:42Z,"medieval,soundtrack","EA TM Music",0.155,0.356,0,-17.313,0,0.0302,0.818,0.816,0.0828,0.0985,81.949,4
3uabGbaRM4pwQpBonOCkfG,"Abyssal Assault","Sword Coast Legends (Original Game Soundtrack)","Inon Zur",2015-10-20,125853,0,stxelim,2019-12-04T05:34:41Z,"soundtrack","Inon Zur",0.291,0.398,11,-11.642,0,0.0368,0.661,0.877,0.0715,0.13,163.809,4
595rhwAU1wfMNKBvI8A10m,"Demonic Onslaught","Sword Coast Legends (Original Game Soundtrack)","Inon Zur",2015-10-20,107083,0,stxelim,2019-12-04T05:35:25Z,"soundtrack","Inon Zur",0.315,0.496,0,-12.184,0,0.0425,0.632,0.972,0.0859,0.26,143.865,3
1Pp8pY2noYRin5D30X0KLT,"The Night Of Long Fangs","The Witcher 3: Wild Hunt - Blood and Wine (Official Soundtrack)","Mikolai Stroinski",2016-06-01,104000,43,stxelim,2023-07-12T17:39:21Z,"medieval,soundtrack","CD PROJEKT RED",0.463,0.482,2,-8.483,1,0.0278,0.141,0.257,0.395,0.354,67.034,4
0uILWw1ei2q66XO0jk3FH9,"Master of Fate","Beyond Skyrim: Bruma (Original Game Soundtrack)","Daniel Ran",2018-03-16,233685,10,stxelim,2023-07-11T16:55:59Z,"","2077743 Records DK2",0.0937,0.519,7,-9.968,0,0.0362,0.771,0.939,0.334,0.272,78.115,3
7zokqVx3MEn6qdIta2AykQ,"Guardians of the Past","Dragon Age Inquisition","Trevor Morris",2014-11-17,194866,0,stxelim,2019-08-09T02:03:31Z,"medieval,soundtrack","EA TM Music",0.224,0.528,1,-12.352,1,0.0445,0.248,0.897,0.122,0.118,128.849,4
1P6CqkJUnN6Eh8mt9bZ8cH,"Lair of the Great Wyrm","Dungeons & Dragons - Official Roleplaying Soundtrack","Midnight Syndicate",2003-01-01,209680,35,stxelim,2019-08-09T02:03:31Z,"dark ambient","Entity Productions",0.159,0.464,6,-15.093,0,0.0405,0.353,0.449,0.115,0.154,69.056,4
5gkzE2fWdIQDQ4zIpptMOa,"Orb of Destruction","Dragon Age Inquisition","Trevor Morris",2014-11-17,79973,0,stxelim,2019-12-04T05:27:14Z,"medieval,soundtrack","EA TM Music",0.361,0.488,5,-11.325,0,0.0382,0.073,0.898,0.151,0.251,103.731,3
72j6Xq9hby0Fxiz0ANWXDX,"Mournweald Encounter","Darkest Dungeon (Original Video Game Soundtrack)","Stuart Chatwood",2016-09-29,145323,0,stxelim,2023-05-02T21:37:21Z,"","Royal Peculiar Arts",0.58,0.948,7,-6.355,1,0.0461,0.0063,0.854,0.0808,0.197,124.039,4
2eOHlZV94DlYx0GJMyjIp6,"Conjunction Of The Spheres","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26,102000,35,stxelim,2023-07-11T16:19:06Z,"medieval,soundtrack","CD PROJEKT RED",0.157,0.696,2,-10.852,0,0.0489,0.0794,0.753,0.206,0.453,80.156,4
2z8XsDwB7fUFWuSpIcD0Ho,"Enter the Fire God","Guild Wars 2: Path of Fire (Original Soundtrack)","Wilbert Roget, II",2017-10-26,155583,0,stxelim,2019-12-04T05:31:12Z,"","ArenaNet, LLC.",0.298,0.772,5,-11.561,1,0.0778,0.13,0.886,0.318,0.141,138.04,4
6t2JXNAhPCk1GZjhI91eVl,"Turning the Tide","Sword Coast Legends (Original Game Soundtrack)","Inon Zur",2015-10-20,133333,0,stxelim,2019-12-04T05:36:17Z,"soundtrack","Inon Zur",0.388,0.549,2,-10.919,0,0.0416,0.371,0.848,0.162,0.496,95.761,4
21IHCOAxI93iKGClreFEat,"Master of Fate","Beyond Skyrim: Bruma (Original Game Soundtrack)","Daniel Ran",2018-03-16,233685,0,stxelim,2022-03-04T20:34:12Z,"","Materia Collective",0.108,0.52,7,-9.968,0,0.0357,0.767,0.938,0.334,0.271,84.833,3
4iKthKrZFJ173DDBZRUuw5,"By Death or Dream","Beyond Skyrim: Bruma (Original Game Soundtrack)","Daniel Ran",2018-03-16,217748,0,stxelim,2022-03-14T13:43:26Z,"","Materia Collective",0.229,0.481,10,-9.392,1,0.0322,0.76,0.962,0.158,0.206,80.031,4
469hGcjGxAt3gctyiQzo5s,"Seasons of War (Intro Movie)","World of Warcraft Original Soundtrack","Jason Hayes",2004-11-23,178773,39,stxelim,2019-08-09T02:03:31Z,"medieval","Azeroth Music",0.235,0.415,1,-14.414,0,0.0452,0.639,0.563,0.106,0.0851,106.161,3
7vtZziuSJVxPKr94ynLjYN,"Salvation","God of War (PlayStation Soundtrack)","Bear McCreary",2018-04-13,408213,33,stxelim,2019-12-17T05:52:46Z,"soundtrack,celtic","Sony Classical",0.064,0.205,2,-16.547,0,0.0429,0.725,0.933,0.0801,0.0311,57.183,4
0r5hmF6INzrZUNpLcWckzj,"Astel, Naturalborn of the Void","Elden Ring (Original Soundtrack)","Tai Tomisawa",2022-09-09,265084,0,stxelim,2022-12-21T13:25:27Z,"","Masterworks",0.157,0.443,7,-12.493,1,0.0377,0.0327,0.919,0.0953,0.0653,107.963,4
5rCvADcbfd5KxNbSfUViqk,"The Endless Night","Night of the Hunt: The Blood Moon","Alex Roe",2020-05-18,212350,18,stxelim,2023-07-12T15:48:09Z,"","Alex Roe",0.294,0.479,10,-11.866,0,0.0396,0.137,0.852,0.107,0.0461,127.917,4
2tPNKlsJ7Wc769AnnOaWvJ,"Vermintide End Times","Warhammer: End Times - Vermintide (Original Soundtrack)","Jesper Kyd",2019-10-18,238261,0,stxelim,2023-07-11T16:29:48Z,"soundtrack","Laced Records",0.41,0.435,10,-12.326,1,0.0372,0.367,0.911,0.11,0.185,143.912,3
5TjKVg63SZDjGq5EQKXEVx,"On Thin Ice","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Mikolai Stroinski",2015-08-26,97000,38,stxelim,2023-07-12T15:50:23Z,"medieval,soundtrack","CD PROJEKT RED",0.418,0.469,10,-10.385,1,0.0437,0.0276,0.00000334,0.112,0.303,75.937,4
7hlIXBl8qmYfh0gYScjtk2,"Godskin Apostles","Elden Ring (Original Soundtrack)","Tai Tomisawa",2022-09-09,274343,0,stxelim,2023-07-12T15:43:31Z,"","Masterworks",0.107,0.636,10,-8.946,0,0.0427,0.191,0.879,0.169,0.189,75.947,3
65CefKbmaG0ZkumWSFKbxC,"Cleric Beast","Bloodborne Original Soundtrack","SIE Sound Team",2015-04-22,184720,48,stxelim,2023-07-12T15:45:45Z,"japanese vgm,soundtrack","TEAM Entertainment",0.373,0.54,2,-12.506,1,0.047,0.393,0.868,0.421,0.0682,140.066,3
56G4mS1njaKZT6Pi9YyOyg,"Blood-starved Beast","Bloodborne Original Soundtrack","SIE Sound Team",2015-04-22,281693,40,stxelim,2023-07-12T15:45:55Z,"japanese vgm,soundtrack","TEAM Entertainment",0.456,0.71,9,-10.702,0,0.0448,0.235,0.896,0.266,0.0943,150.09,5
5MW94BfUE1XwVBQvU6QMrH,"Castellan Sylvan","Night of the Hunt: The Blood Moon","Alex Roe",2020-05-18,187500,13,stxelim,2023-07-12T15:49:18Z,"","Alex Roe",0.383,0.423,1,-12.122,1,0.0329,0.0113,0.83,0.129,0.0367,144.123,4
6UeP2RVlusNlJ7OU0oJ1jP,"Undying Kazimir","Night of the Hunt: The Blood Moon","Alex Roe",2020-05-18,293617,7,stxelim,2023-02-20T21:41:50Z,"","Alex Roe",0.0756,0.316,10,-13.446,0,0.0342,0.000486,0.865,0.118,0.0364,81.097,5
6v5KB329EF0zngFpQ71xvp,"Regal Ancestor Spirit","Elden Ring (Original Soundtrack)","Yuka Kitamura",2022-09-09,248851,0,stxelim,2022-12-21T13:18:27Z,"soundtrack","Masterworks",0.133,0.585,9,-11.686,1,0.0501,0.477,0.856,0.181,0.0784,84.265,4
5HNGaaVuhnJ4NBfJWF50Gp,"Godfrey, First Elden Lord","Elden Ring (Original Soundtrack)","Tai Tomisawa",2022-09-09,196874,0,stxelim,2023-07-12T15:42:05Z,"","Masterworks",0.264,0.648,0,-8.57,1,0.0434,0.172,0.922,0.0947,0.254,79.064,3
5kcvSMP2InRF4eZQIaMwLZ,"Sins and Gods - Revelation","Divinity: Original Sin 2 (Original Soundtrack)","Borislav Slavov",2018-03-23,147414,0,stxelim,2023-07-12T17:04:26Z,"medieval","Black Screen Records",0.159,0.152,8,-19.878,0,0.0398,0.958,0.957,0.0963,0.213,151.219,3
0aYbWstvduqCnAC1yZ0R4S,"A Threat from Nether Years","Baldur's Gate 3 (Original Game Soundtrack)","Borislav Slavov",2023-08-10,173373,41,stxelim,2023-08-10T17:18:38Z,"medieval","Borislav Slavov",0.493,0.485,7,-12.745,1,0.0374,0.881,0.872,0.146,0.378,130.01,4
1SCZhTOsqGp6lHS54jJOdt,"Gather Your Allies!","Baldur's Gate 3 (Original Game Soundtrack)","Borislav Slavov",2023-08-10,219552,41,stxelim,2023-08-10T18:03:01Z,"medieval","Borislav Slavov",0.417,0.543,6,-10.282,0,0.0348,0.713,0.918,0.143,0.231,125.005,4
5D1tZVEhS54xQsBxHgEmtO,"Elder Brain","Baldur's Gate 3 (Original Game Soundtrack)","Borislav Slavov",2023-08-10,234434,39,stxelim,2023-08-11T02:22:18Z,"medieval","Borislav Slavov",0.445,0.342,11,-12.85,0,0.0324,0.485,0.925,0.114,0.0577,129.959,4
6R2XELBRCWt9Or4fhh6koW,"Symphony of the Void","Divinity: Original Sin 2 (Original Soundtrack)","Borislav Slavov",2018-03-23,209200,0,stxelim,2023-08-16T15:45:34Z,"medieval","Black Screen Records",0.234,0.425,5,-14.335,0,0.0548,0.912,0.971,0.137,0.103,144.961,3
