Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3Q6gFXrEvnGmg0UTF9Asef,"Hunters Haven","Borne in Blood","Alex Roe",2014-10-21,300000,13,stxelim,2023-02-20T20:27:42Z,"","Alex Roe",0.183,0.0806,10,-20.799,0,0.0418,0.96,0.947,0.0981,0.0361,67.863,3
2eb7JIzWw2SWP0GGPw4VmG,"Promises","Diablo IV Original Soundtrack","Ted Reedy",2023-06-06,105573,24,stxelim,2023-07-11T16:45:44Z,"","Azeroth Music",0.196,0.188,9,-19.329,0,0.0391,0.892,0.976,0.104,0.0349,79.848,4
4gBHzGriOL9bhAH5H5TcvI,"Go Tomorrow","The Haunting of Hill House (Music from the Netflix Horror Series)","The Newton Brothers",2018-10-12,157986,46,stxelim,2019-08-08T17:46:58Z,"soundtrack","Paramount Music",0.175,0.000922,2,-32.269,1,0.047,0.983,0.928,0.0843,0.0564,77.133,1
6iQlhdxIB45INfZE4Brhma,"Back Hall","Amnesia: The Dark Descent Ost","Mikko Tarmia",2011-05-18,82094,0,stxelim,2019-08-08T21:36:40Z,"dark ambient","The Sound of Fiction",0.236,0.0991,2,-23.405,0,0.0468,0.924,0.874,0.0853,0.0389,84.536,4
6EIBtHDAaTbMFWZy915U7i,"Come Home","The Haunting of Hill House (Music from the Netflix Horror Series)","The Newton Brothers",2018-10-12,311626,35,stxelim,2019-08-08T17:45:45Z,"soundtrack","Paramount Music",0.162,0.00374,5,-27.989,1,0.0517,0.928,0.68,0.0707,0.0351,136.912,4
73E1KgkXmrxyOREKgJIVTy,"Intro / Menu","The Old City (Original Soundtrack)","Atrium Carceri",2015-02-28,128181,35,stxelim,2023-07-12T15:11:56Z,"dark ambient,ambient,drone","Cryo Chamber",0.267,0.065,7,-24.246,1,0.0336,0.823,0.947,0.113,0.0391,87.093,4
3eJag286SrftkReZluReQZ,"Widow's Lament","Beyond Skyrim: Bruma (Original Game Soundtrack)","Daniel Ran",2018-03-16,312816,20,stxelim,2023-07-11T16:55:09Z,"","2077743 Records DK2",0.166,0.114,9,-20.625,0,0.04,0.841,0.916,0.0773,0.0376,68.812,5
1GDQr2W1SuxEFYcjgtZoeG,"Shapeless","Beyond Skyrim: Bruma (Original Game Soundtrack)","Daniel Ran",2018-03-16,145757,0,stxelim,2022-04-18T21:37:31Z,"","Materia Collective",0.258,0.0198,9,-22.45,0,0.0406,0.986,0.927,0.0998,0.0761,170.178,4
4MQlkQ6U6R2itl3AggPppI,"Edith's Theme","What Remains of Edith Finch (Original Soundtrack)","Jeff Russo",2018-01-09,196713,34,stxelim,2022-01-14T00:39:23Z,"soundtrack","Annapurna Interactive",0.161,0.0316,2,-28.79,0,0.0418,0.992,0.924,0.0759,0.0315,73.524,5
1PxxmksHcCVPdiUePbq7Al,"The End","The Haunting of Hill House (Music from the Netflix Horror Series)","The Newton Brothers",2018-10-12,168293,34,stxelim,2019-08-08T17:49:04Z,"soundtrack","Paramount Music",0.334,0.0191,11,-26.318,0,0.0372,0.958,0.91,0.138,0.0353,68.721,3
1pVx3zjopE4zUPhiOlMJrH,"The End","Amnesia: The Dark Descent Ost","Mikko Tarmia",2011-05-18,124691,0,stxelim,2019-08-08T21:39:08Z,"dark ambient","The Sound of Fiction",0.23,0.0365,7,-21.395,0,0.0402,0.879,0.979,0.0993,0.0378,79.001,4
6h1iTaCIs0zOzxfSbNOERx,"Beginning of the End Movement I","The Haunting of Hill House (Music from the Netflix Horror Series)","The Newton Brothers",2018-10-12,208386,37,stxelim,2019-08-08T18:11:04Z,"soundtrack","Paramount Music",0.237,0.0486,5,-22.715,1,0.0497,0.942,0.962,0.0988,0.0335,73.707,4
1vpNnmCtlGfEoeaE3WDQfj,"Baldur","Uthuling Hyl","Osi And The Jupiter",2017-09-08,395337,0,stxelim,2022-03-14T13:42:46Z,"neofolk","Eisenwald",0.104,0.352,9,-15.31,0,0.0422,0.194,0.858,0.0904,0.0373,90.265,3
