Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2OUGsO7kZyYsDBrYuQlwtg,"Lion's Pride","World of Warcraft: Taverns of Azeroth Original Soundtrack","David Arkenstone,Jason Hayes",2007-10-08,141466,41,stxelim,2018-03-09T05:01:34Z,"celtic,new age,medieval","Azeroth Music",0.724,0.458,1,-11.174,0,0.0342,0.0642,0.0279,0.261,0.868,90.977,3
644es5aYPJghtZLjM1rmSP,"Concerning Hobbits","The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack)","Howard Shore",2001-11-19,175040,65,stxelim,2018-03-09T05:16:12Z,"soundtrack","Reprise",0.488,0.0629,2,-21.524,1,0.0342,0.843,0.406,0.133,0.175,104.311,4
4ZcGNJQU3lNpBgxoWcggMm,"Misty Mountains","The Hobbit: An Unexpected Journey (Original Motion Picture Soundtrack) [Special Edition]","Richard Armitage,The Dwarf Cast",2012-12-11,102740,0,stxelim,2018-03-09T05:04:01Z,"","WaterTower Music",0.193,0.0128,2,-31.549,0,0.0332,0.867,0.000326,0.112,0.234,93.173,1
0eRB7ddmEr5shpIZHn5zQs,"Old Town","Fable II (Original Soundtrack)","Russell Shaw",2008,181533,0,stxelim,2018-03-09T05:05:45Z,"","Sumthing Else Music Works",0.425,0.0589,9,-19.787,0,0.037,0.985,0.888,0.0953,0.0399,113.203,4
6SelrHqApgh9hehINIHd3k,"Stonefire","World of Warcraft: Taverns of Azeroth Original Soundtrack","David Arkenstone",2007-10-08,160253,42,stxelim,2018-03-09T05:02:39Z,"celtic,new age,medieval","Azeroth Music",0.538,0.281,11,-10.966,0,0.0283,0.693,0.0314,0.134,0.462,104.931,3
74Ix0nRV1YTSd3GcRlhTso,"Blunt the Knives - Exclusive Bonus Track","The Hobbit: An Unexpected Journey (Original Motion Picture Soundtrack) [Special Edition]","The Dwarf Cast",2012-12-11,61880,0,stxelim,2018-03-09T05:15:53Z,"","WaterTower Music",0.533,0.697,10,-11.089,0,0.511,0.694,0,0.617,0.317,121.052,4
08m0MIad094kPXhjwWi6Gu,"Tavern Music","Dragon Age 2","Inon Zur",2011-03-08,131773,0,stxelim,2018-03-09T05:26:41Z,"soundtrack","EA TM Music",0.484,0.702,4,-7.134,0,0.105,0.16,0.742,0.166,0.843,113.48,3
6x6SC6rtMZXMNjj8lyyK7e,"Brightwall","Fable III (Original Soundtrack)","Russell Shaw",2010,175426,0,stxelim,2018-03-09T05:15:39Z,"","Sumthing Else Music Works",0.236,0.21,9,-16.99,0,0.0327,0.95,0.935,0.0828,0.0671,97.564,3
3oxBOeTEYnDgLRziyN7Dnw,"Bowerstone Market","Fable II (Original Soundtrack)","Russell Shaw",2008,268480,0,stxelim,2018-03-09T05:05:17Z,"","Sumthing Else Music Works",0.768,0.0746,2,-24.051,0,0.0636,0.987,0.842,0.144,0.108,133.079,3
0v6C2Oxq3MhcZOvDiBoQGk,"Sera (feat. Elizaveta & Nick Stoubis)","Dragon Age: Inquisition (The Bard Songs) [feat. Elizaveta & Nick Stoubis]","Raney Shockne,Elizaveta,Nick Stoubis",2015-02-17,105253,0,stxelim,2018-03-09T05:14:58Z,"medieval","EA TM Music",0.635,0.521,7,-5.452,1,0.0339,0.871,0,0.11,0.84,153.769,3
53p7FbJl1LlUO4XEqcdXkO,"Shady Rest","World of Warcraft: Taverns of Azeroth Original Soundtrack","David Arkenstone",2007-10-08,169360,35,stxelim,2018-03-09T05:02:49Z,"celtic,new age,medieval","Azeroth Music",0.207,0.222,11,-13.912,0,0.0394,0.952,0.11,0.119,0.129,167.219,4
55buH330Th0sIQUXyZTunF,"New Tristram","Diablo III Soundtrack","Russell Brower,Laurence Juber,Matt Uelmen",2012-05-15,315786,39,stxelim,2018-05-31T03:58:17Z,"","Azeroth Music",0.239,0.188,0,-18.873,0,0.0368,0.759,0.95,0.151,0.0854,79.218,4
4SIUFW9T5yDw7OIiCbkOmB,"Temple of the Moon","World of Warcraft: Taverns of Azeroth Original Soundtrack","David Arkenstone",2007-10-08,249693,38,stxelim,2018-03-09T05:03:01Z,"celtic,new age,medieval","Azeroth Music",0.252,0.28,9,-14.126,0,0.0361,0.972,0.177,0.607,0.0373,75.495,3
0JP97EPP5NkoemtNNjQYPR,"Around the Fire","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,189929,52,stxelim,2018-03-09T05:12:38Z,"medieval,soundtrack","Bethesda Softworks",0.441,0.135,2,-24.465,1,0.0337,0.323,0.836,0.202,0.359,80.01,4
4SFcuHDFVPjBFSJwi2YcIr,"Lullaby Of Woe","Lullaby Of Woe","Marcin Przybyłowicz",2015-08-26,150206,46,stxelim,2018-03-09T05:26:11Z,"medieval,soundtrack","CD PROJEKT RED",0.378,0.0697,7,-24.444,0,0.0313,0.914,0.00181,0.123,0.133,144.788,3
6sqtADeE0EGissedFjUqgd,"Tarren Mill","World of Warcraft: Taverns of Azeroth Original Soundtrack","David Arkenstone",2007-10-08,132693,30,stxelim,2018-03-09T05:03:08Z,"celtic,new age,medieval","Azeroth Music",0.578,0.144,2,-19.525,1,0.0522,0.958,0.975,0.105,0.0405,140.182,4
6BG6rbPZp6lEXy7KN2mCDg,"The Bannered Mare","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,148060,55,stxelim,2018-03-09T05:13:54Z,"medieval,soundtrack","Bethesda Softworks",0.299,0.125,2,-27.471,0,0.0373,0.879,0.865,0.0942,0.323,81.36,3
0zCqrZ8SEdkzSmhFlRTHlQ,"Wolven Storm - English","Wolven Storm (English)","Marcin Przybyłowicz",2015-08-26,198400,49,stxelim,2018-03-09T05:10:11Z,"medieval,soundtrack","CD PROJEKT RED",0.547,0.0818,2,-17.015,0,0.0456,0.955,0.00000161,0.073,0.593,150.243,4
2SfoAvU0B9Vuo2avaMtj0i,"Reaver Mansion","Fable III (Original Soundtrack)","Russell Shaw",2010,673120,0,stxelim,2018-03-09T05:09:40Z,"","Sumthing Else Music Works",0.358,0.0949,9,-20.768,0,0.0438,0.971,0.909,0.0913,0.178,90.016,4
2rw2tXV1bzqBKGxAypFr1A,"Downstream (Shira Kammen)","Music from Braid","Sieber, Kammen, Fulton and Schatz",2009-04-09,396853,38,stxelim,2018-03-09T06:32:02Z,"","Magnatune",0.23,0.187,2,-18.085,1,0.0454,0.573,0.0332,0.117,0.165,149.351,3
