Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6v5KB329EF0zngFpQ71xvp,"Regal Ancestor Spirit","Elden Ring (Original Soundtrack)","Yuka Kitamura",2022-09-09,248851,0,stxelim,2024-03-11T16:15:14Z,"soundtrack","Masterworks",0.133,0.585,9,-11.686,1,0.0501,0.477,0.856,0.181,0.0784,84.265,4
45mG9ywi5sbbxjA2Rdv95L,"Huddled in the Shadows","The Banner Saga","Austin Wintory",2014-01-12,182065,43,stxelim,2024-10-28T14:16:19Z,"soundtrack","T-65b Records",0.064,0.29,9,-11.664,0,0.0397,0.955,0.749,0.112,0.0381,63.917,4
2w2jIxbLg70QADSrTErp1o,"The Nightmare Ends (From Bloodborne) [Hunter's Dream]","Legacy (Soulsborne Remixed)","Ryan Amon,Alex Roe",2017-06-02,351052,22,stxelim,2024-03-04T06:08:27Z,"soundtrack","Alex Roe",0.076,0.248,10,-12.213,0,0.0405,0.885,0.921,0.0492,0.0313,80.8,4
3HZlq0kyCzWvPF3rpg3rF4,"Return to Slumber","Demon's Souls Original Soundtrack","SIE Sound Team",2020-11-26,269945,36,stxelim,2024-03-04T15:17:16Z,"japanese vgm,soundtrack","Sony Interactive Entertainment Inc.",0.0779,0.193,0,-14.589,0,0.0459,0.96,0.0878,0.0966,0.0389,60.005,4
4yOw22Wzs6fJqixWJxh0IG,"The Darkest of Days","Frostpunk (Original Soundtrack)","Piotr Musiał",2018-10-18,281917,41,stxelim,2024-03-04T15:52:04Z,"medieval","11 bit studios",0.0885,0.322,5,-14.111,0,0.042,0.839,0.946,0.141,0.0398,86.582,4
1TOfRFYOr4xGrrTW4laPb9,"Streets of New London","Frostpunk (Original Soundtrack)","Piotr Musiał",2018-10-18,238387,38,stxelim,2024-03-04T15:16:09Z,"medieval","11 bit studios",0.122,0.296,0,-15.528,0,0.0458,0.915,0.961,0.0936,0.0375,82.626,4
4S7VEMhFKQfk9WEvizWCsW,"The Night Unfurls","Bloodborne Original Soundtrack","SIE Sound Team",2015-04-22,125880,42,stxelim,2024-03-04T06:01:24Z,"japanese vgm,soundtrack","TEAM Entertainment",0.0949,0.167,0,-17.181,1,0.0402,0.391,0.91,0.137,0.0323,88.374,3
24C5qahJzbklGCu4mZnEKv,"Kindle the Soul 'Acoustic' (From Dark Souls) [Firelink Shrine]","Legacy (Soulsborne Remixed)","Motoi Sakuraba,Alex Roe",2017-06-02,347666,35,stxelim,2024-03-04T16:16:18Z,"soundtrack","Alex Roe",0.396,0.162,1,-17.014,1,0.0349,0.499,0.906,0.117,0.038,112.044,4
2ykpGxtio3h7TN2pe31YFi,"Under an Ancient Sun","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,221649,54,stxelim,2024-01-16T14:13:44Z,"medieval,soundtrack","Bethesda Softworks",0.148,0.152,5,-26.059,0,0.0418,0.73,0.813,0.176,0.0317,80.916,4
24apUkoouMhDw1RsNqFREO,"Abyss Watchers (From Dark Souls III)","Embers and Ashes: Melancholy Music from the Souls Series","TPR",2018-05-31,295093,31,stxelim,2024-09-10T15:51:29Z,"","TPR",0.275,0.108,5,-21.936,0,0.0355,0.973,0.873,0.109,0.123,177.138,3
45vRjGVd3MGQJdV76QzOet,"Song of Despair: The Lord of Frenzied Flame (from Elden Ring)","Song of Despair: The Lord of Frenzied Flame (from Elden Ring)","Shoi Miyazawa,Alex Roe",2024-08-16,227509,36,stxelim,2024-08-20T14:54:42Z,"soundtrack","Materia Collective",0.12,0.262,4,-12.403,0,0.0384,0.328,0.791,0.127,0.0389,82.67,3
7gHoBaCjO8GdMe4uuPLFd3,"Remembrance: Elden Ring (From Elden Ring) [Remix]","Remembrance: Elden Ring (From Elden Ring) [Remix]","Alex Roe",2022-03-29,219583,30,stxelim,2024-12-12T17:56:08Z,"","Alex Roe",0.17,0.371,10,-10.344,0,0.0401,0.656,0.93,0.0842,0.0508,113.959,3
1wtOebCNsn6Cl80gQSdz9D,"Kyovashad","Diablo IV Original Soundtrack","Leo Kaliski",2023-06-06,254586,33,stxelim,2024-12-12T17:57:24Z,"","Azeroth Music",0.225,0.241,0,-14.796,1,0.0339,0.792,0.88,0.142,0.0494,92.925,4
3Sgh448VIWHMr0HiiNwsAs,"Miquella's Promise","Miquella's Promise","Solas Composer",2022-11-04,144093,17,stxelim,2025-01-06T16:42:34Z,"","Solas Composer",0.134,0.103,5,-18.339,0,0.0338,0.935,0.706,0.13,0.0391,57.21,3
02CU3XfPTc1uHtvfktfSQJ,"Exodus","A Plague Tale: Innocence (Original Soundtrack)","Olivier Deriviere",2019-05-13,115360,19,stxelim,2025-01-28T05:32:10Z,"soundtrack","Ameo Publishing",0.162,0.0299,9,-26.843,0,0.0374,0.354,0.77,0.107,0.0386,102.263,3
