Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4pu0n2iukajTeXDFQBzYbP,"The Planets, Op. 32: Saturn, the Bringer of Old Age","The 50 Darkest Pieces of Classical Music","Gustav Holst,Walter Susskind,St. Louis Symphony",2020-10-30,562538,15,stxelim,2023-02-20T16:38:58Z,"classical,orchestra","Warner Music Group - X5 Music Group",0.141,0.00964,0,-27.178,1,0.0382,0.925,0.914,0.0861,0.0308,101.943,3
6S1ozoWvHaQHriIKyYC8t9,"Nightfall","The Dead Matter: Cemetery Gates","Midnight Syndicate",2008-01-01,220240,22,stxelim,2023-02-20T16:38:58Z,"dark ambient","Entity Productions",0.568,0.0938,0,-25.243,1,0.0325,0.917,0.904,0.364,0.118,99.947,4
6SSjVwARTrXkCVVxSCUlwz,"Hollow Knight","Hollow Knight (Original Soundtrack)","Christopher Larkin",2017-02-10,96875,52,stxelim,2023-02-20T16:38:58Z,"soundtrack","Christopher Larkin",0.221,0.0278,0,-26.8,0,0.0392,0.973,0.945,0.106,0.136,87.691,5
4gCnaT6NKQmR3hqEeHp30t,"Dirtmouth","Hollow Knight (Original Soundtrack)","Christopher Larkin",2017-02-10,115009,56,stxelim,2023-02-20T16:38:58Z,"soundtrack","Christopher Larkin",0.118,0.0829,4,-18.472,0,0.0385,0.976,0.944,0.109,0.07,171.015,3
3QaFRJIXefCIaKk99rReFC,"Resting Grounds","Hollow Knight (Original Soundtrack)","Christopher Larkin",2017-02-10,132399,51,stxelim,2023-02-20T16:38:58Z,"soundtrack","Christopher Larkin",0.264,0.0911,0,-22.502,0,0.0317,0.976,0.926,0.127,0.148,66.772,4
16obHUJN0KaqVyCaV3GwFX,"Reflection","Hollow Knight (Original Soundtrack)","Christopher Larkin",2017-02-10,99138,54,stxelim,2023-02-20T16:38:58Z,"soundtrack","Christopher Larkin",0.198,0.156,5,-18.861,1,0.0359,0.941,0.963,0.352,0.0375,77.375,4
3x1y0cK2chNjcBhv3hWU6v,"Haunted Corridor","Mirror of the Night","Adrian Von Ziegler",2011-11-11,224653,18,stxelim,2023-02-20T16:38:58Z,"celtic,medieval","Adrian von Ziegler",0.359,0.0578,10,-24.752,0,0.0295,0.775,0.8,0.111,0.0954,64.319,3
0vG196b4eQQzkBw4CmlOh1,"A Cold Presence","Mirror of the Night","Adrian Von Ziegler",2011-11-11,146546,13,stxelim,2023-02-20T16:38:58Z,"celtic,medieval","Adrian von Ziegler",0.184,0.131,10,-17.176,0,0.0298,0.857,0.922,0.105,0.0347,71.624,4
6iYkxpleXCdOk2gvIYedkY,"White Specter","Queen of Thorns","Adrian Von Ziegler",2014-10-30,169820,30,stxelim,2023-02-20T16:38:58Z,"celtic,medieval","Adrian Von Ziegler",0.148,0.186,3,-16.134,0,0.0357,0.454,0.863,0.178,0.0373,77.359,4
6DMBzSLA8fVNtn4dwPfGtU,"Disguise","Disguise","Alexander Rollins",2018-06-15,200167,14,stxelim,2023-02-20T16:38:58Z,"","Alexander Rollins",0.235,0.0544,5,-21.163,0,0.0358,0.976,0.864,0.109,0.0336,79.156,4
6DlpB8scOgVYKn7hXOibnx,"Requiem, K. 626: Lacrimosa dies illa","The 50 Darkest Pieces of Classical Music","Wolfgang Amadeus Mozart,David Parry,London Philharmonic Orchestra,London Philharmonic Choir",2020-10-30,169493,9,stxelim,2023-02-20T16:38:58Z,"classical,requiem,opera,classical piano,chamber music,orchestra,choral","Warner Music Group - X5 Music Group",0.174,0.2,7,-14.482,0,0.0352,0.99,0.952,0.176,0.0398,95.555,4
2DHJ8sNbGcYYJRnego2KBb,"In Lily's Honour","Amnesia: A Machine for Pigs (Original Game Soundtrack)","Jessica Curry",2013-09-10,52865,12,stxelim,2023-02-20T16:38:58Z,"","thechineseroom",0.158,0.0247,2,-18.411,1,0.0435,0.931,0.702,0.102,0.338,135.012,3
4odaTt0ZcHQAifVHM3dSYD,"Cemetery Waltz","Halloween","Two Steps from Hell",2012-10-01,68975,9,stxelim,2023-02-20T16:38:58Z,"orchestra","Two Steps from Hell",0.287,0.095,0,-17.313,0,0.0377,0.985,0.973,0.127,0.0386,109.402,3
4hQZ3q10boA4ICzCx4MYJX,"Prologue","Dracula Untold (Original Motion Picture Soundtrack)","Ramin Djawadi",2014-10-07,146933,0,stxelim,2023-02-20T16:38:58Z,"soundtrack","Back Lot Music",0.32,0.154,0,-23.419,1,0.0441,0.6,0.0863,0.363,0.0539,73.647,3
3V5M82fOTkJMawtMd1WTUC,"The Arrival","Let the Right One In (Original Motion Picture Soundtrack) [Låt den rätte komma in]","Johan Söderqvist",2008-11-11,165790,0,stxelim,2023-02-20T16:38:58Z,"soundtrack","MovieScore Media",0.192,0.166,1,-21.361,1,0.0339,0.492,0.749,0.166,0.0381,71.332,3
6nCFbejqhsmXA0W3TjlEyF,"Hunter's Dream","『Bloodborne』 オリジナルサウンドトラック","SIE Sound Team",2015-04-22,214986,16,stxelim,2023-02-20T16:38:58Z,"japanese vgm,soundtrack","TEAM Entertainment",0.106,0.0721,8,-29.75,0,0.0431,0.953,0.499,0.193,0.0353,91.059,4
1Bjc1mgD0RSbP439TkcgLZ,"Moonlit Melody","『Bloodborne』 オリジナルサウンドトラック","SIE Sound Team",2015-04-22,209666,12,stxelim,2023-02-20T16:38:58Z,"japanese vgm,soundtrack","TEAM Entertainment",0.0928,0.0196,5,-28.922,1,0.0427,0.977,0.193,0.12,0.0363,86.171,3
6iQlhdxIB45INfZE4Brhma,"Back Hall","Amnesia: The Dark Descent Ost","Mikko Tarmia",2011-05-18,82094,0,stxelim,2023-02-20T16:38:58Z,"dark ambient","The Sound of Fiction",0.236,0.0991,2,-23.405,0,0.0468,0.924,0.874,0.0853,0.0389,84.536,4
0oijnNaaOsATfhz3y4O2ci,"Are We Alone?","Frostpunk (Original Soundtrack)","Piotr Musiał",2018-10-18,233784,42,stxelim,2023-02-20T16:38:58Z,"medieval","11 bit studios",0.0838,0.319,2,-17.362,0,0.0409,0.916,0.978,0.0914,0.0562,83.145,3
1v1SsSSkFQhdO8QayjBR45,"Nocturnal","Chapter II (Remastered)","Dreyma",2021-06-27,374668,19,stxelim,2023-02-20T16:38:58Z,"","984802 Records DK",0.0765,0.149,4,-24.072,0,0.0453,0.97,0.882,0.0811,0.0325,81.276,4
7lapc98n37BIjbPtSl7pU3,"The Great Hall","Fable Legends:The Rosewood","Russell Shaw",2016-05-20,254284,23,stxelim,2023-02-20T16:39:17Z,"","Microsoft Studios Music",0.249,0.0544,5,-23.487,0,0.0421,0.994,0.968,0.0642,0.0327,136.261,4
0NuF62m2SrBeRR3YcGz2OV,"Dear Reader","Moss (Original Game Soundtrack)","Jason Graves",2018-08-03,351467,30,stxelim,2023-02-20T16:41:06Z,"soundtrack","Materia Collective",0.0685,0.0648,2,-22.057,1,0.0423,0.98,0.668,0.124,0.0371,70.866,3
3Q6gFXrEvnGmg0UTF9Asef,"Hunters Haven","Borne in Blood","Alex Roe",2014-10-21,300000,13,stxelim,2023-02-20T17:12:52Z,"","Alex Roe",0.183,0.0806,10,-20.799,0,0.0418,0.96,0.947,0.0981,0.0361,67.863,3
37FodUAHp0SFaO2YS1Bpfb,"Macabre Respite","Borne in Blood","Alex Roe",2014-10-21,233573,17,stxelim,2023-02-20T20:00:28Z,"","Alex Roe",0.168,0.159,8,-19.743,1,0.0394,0.705,0.946,0.101,0.0319,103.819,3
4m1O87UP5gIFVpHFmB63Xw,"Milton's Tower","What Remains of Edith Finch (Original Soundtrack)","Joel Corelitz,Jeff Russo",2018-01-09,56000,38,stxelim,2023-02-20T20:09:38Z,"soundtrack","Annapurna Interactive",0.414,0.00893,1,-27.565,1,0.0432,0.991,0.944,0.09,0.0439,89.867,3
5TSnXUenbBTtUrI8kMZwhW,"Iiardnia Village","Night of the Hunt: The Blood Moon","Alex Roe",2020-05-18,205090,16,stxelim,2023-02-20T21:38:00Z,"","Alex Roe",0.118,0.0858,10,-23.129,0,0.0417,0.0312,0.372,0.143,0.0318,77.41,3
73E1KgkXmrxyOREKgJIVTy,"Intro / Menu","The Old City (Original Soundtrack)","Atrium Carceri",2015-02-28,128181,35,stxelim,2023-07-11T15:34:32Z,"dark ambient,ambient,drone","Cryo Chamber",0.267,0.065,7,-24.246,1,0.0336,0.823,0.947,0.113,0.0391,87.093,4
0l9fkUJNv6jJEPNzyb1jaW,"A Deeper Dream","Black Corner Den","Atrium Carceri,Cities Last Broadcast",2017-09-01,301424,35,stxelim,2023-07-11T15:35:22Z,"dark ambient,ambient,drone","Cryo Chamber",0.285,0.112,11,-25.273,0,0.0414,0.971,0.859,0.12,0.0346,67.881,4
5jh8HCyMeZPja11lzmeWJw,"Lone Harvest","Darkness","Kevin MacLeod",2015-07-28,60055,13,stxelim,2023-02-20T16:38:58Z,"","Incompetech",0.347,0.0256,0,-24.412,1,0.0399,0.919,0.777,0.101,0.183,66.315,4
