Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7Dv9M4GLXGCMonmibbGX0J,"God Give Me Voice, God Guide My Hand","Outlast II (Original Game Soundtrack)","Samuel Laflamme",2017-04-20,60226,17,stxelim,2019-08-08T17:23:27Z,"","Red Barrels / Samuel Laflamme",0.167,0.0165,3,-30.186,1,0.0447,0.989,0.856,0.106,0.0273,128.949,3
0voKsH8V45vDd2mqiey1XS,"You Never Let Me Go","Outlast II (Original Game Soundtrack)","Samuel Laflamme",2017-04-20,492647,16,stxelim,2019-08-08T17:23:27Z,"","Red Barrels / Samuel Laflamme",0.0623,0.16,7,-27.791,1,0.0687,0.813,0.915,0.0925,0.0294,66.517,4
2yHa5dpJJSD3Pe0lUqpwYN,"Dark Water","Amnesia: The Dark Descent Ost","Mikko Tarmia",2011-05-18,77494,0,stxelim,2019-08-08T21:36:08Z,"dark ambient","The Sound of Fiction",0.137,0.0932,3,-33.111,0,0.0435,0.931,0.935,0.104,0.0385,72.643,4
65frATgV6h4Jk7exwJyJvV,"Psychopath","Creepy Music","Morphia Productions,Horror Music",2018-06-01,126000,0,stxelim,2019-08-08T18:29:51Z,"","Morphia Productions",0.12,0.0829,5,-30.138,1,0.0372,0.683,0.946,0.117,0.117,77.076,3
0IYXbvPgrQUJXMqSGpodIG,"Momentous Times Are Upon Us","Outlast II (Original Game Soundtrack)","Samuel Laflamme",2017-04-20,163937,20,stxelim,2019-08-08T17:23:27Z,"","Red Barrels / Samuel Laflamme",0.227,0.307,10,-21.321,0,0.0601,0.356,0.842,0.115,0.0964,93.015,1
0DMh8DiAGl9BIfvElD7rZT,"William's Confession","The Witch (Original Soundtrack Album)","Mark Korven",2016-02-19,248430,0,stxelim,2019-08-08T18:50:30Z,"","Milan Records",0.07,0.0616,8,-24.514,1,0.0471,0.738,0.885,0.113,0.0237,68.405,4
6GZ0xP3avdfHQ69z0t7Ve6,"Brackenbury","Pillars of Eternity (Official Soundtrack)","Justin Bell",2015-03-24,108193,32,stxelim,2019-08-08T17:24:23Z,"medieval","Obsidian Entertainment",0.136,0.115,5,-24.257,1,0.0399,0.504,0.848,0.103,0.0415,142.482,3
4sOH2sTByoYytmt7Cq43Vl,"Tension","The Elder Scrolls IV: Oblivion: Original Game Soundtrack","Jeremy Soule",2006-03-20,152006,40,stxelim,2019-08-08T17:24:35Z,"medieval,soundtrack","Bethesda Softworks",0.235,0.237,6,-27.605,1,0.1,0.139,0.901,0.0873,0.0338,67.906,4
0SFWcamLEyYV9EtYz91oHG,"Into Darkness","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,172743,45,stxelim,2019-08-08T21:44:21Z,"medieval,soundtrack","Bethesda Softworks",0.15,0.01,11,-41.372,0,0.0398,0.943,0.84,0.0957,0.0323,81.605,4
0V9QChEi72OSY7tVt5ifWl,"Portal to the Past","Fallout 4 (Original Game Soundtrack)","Inon Zur",2015-11-06,217159,31,stxelim,2019-08-08T17:23:52Z,"soundtrack","Bethesda Softworks",0.127,0.0772,6,-28.518,0,0.0365,0.824,0.943,0.113,0.0349,80.531,4
4vvPVIi5ZiCGlsh0URnUkg,"Swarm Ambiance","Outlast (Original Game Soundtrack)","Samuel Laflamme",2013-12-18,142887,25,stxelim,2019-08-08T17:35:55Z,"","Samuel Laflamme",0.17,0.125,8,-14.915,1,0.0413,0.979,0.979,0.128,0.0244,124.641,5
1kHRAkteGVjpsexEKyLtUA,"The Origins of Murder Victim Jane Doe","Outlast II (Original Game Soundtrack)","Samuel Laflamme",2017-04-20,92977,20,stxelim,2019-08-08T18:40:49Z,"","Red Barrels / Samuel Laflamme",0.185,0.213,2,-17.912,1,0.0464,0.154,0.808,0.501,0.0735,77.699,4
3YRlH3Lf2V6lk8TOAw1IAd,"Unlocking the Seal","The Untold","Atrium Carceri",2013-11-01,243015,0,stxelim,2019-08-08T18:54:27Z,"dark ambient,ambient,drone","Cryo Chamber",0.188,0.262,5,-19.096,1,0.0456,0.767,0.846,0.136,0.0333,118.895,3
7xRSfFU5L3BMKWQoCf5yYj,"The Way Down","The Untold","Atrium Carceri",2013-11-01,135000,0,stxelim,2019-08-08T18:54:52Z,"dark ambient,ambient,drone","Cryo Chamber",0.134,0.156,9,-21.829,0,0.0515,0.462,0.965,0.12,0.0678,101.428,4
4qRr0ZmMucoWULlwZEkP2S,"The Enduring Pride","The Order: 1886 (Video Game Soundtrack)","Jason Graves",2015-02-16,136520,14,stxelim,2019-08-08T20:57:43Z,"soundtrack","Sony Classical",0.174,0.0324,0,-22.618,0,0.042,0.491,0.786,0.13,0.17,107.333,4
3X7oVk4fg5BmwosWPRAmLW,"The Rampage","The Order: 1886 (Video Game Soundtrack)","Jason Graves",2015-02-16,198466,5,stxelim,2019-08-08T20:58:43Z,"soundtrack","Sony Classical",0.187,0.242,2,-17.56,1,0.0521,0.535,0.942,0.185,0.0477,129.968,3
