Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6St3lmctuMxsfSvzMDs2cr,"Main Theme","Outlast (Original Game Soundtrack)","Samuel Laflamme",2013-12-18,106704,29,stxelim,2019-08-08T17:25:54Z,"","Samuel Laflamme",0.0807,0.415,0,-14.275,1,0.0407,0.00445,0.803,0.129,0.033,170.929,3
6UJAYVjz2wVz2e61xikj5p,"Welcome to the Asylum","Outlast (Original Game Soundtrack)","Samuel Laflamme",2013-12-18,81052,27,stxelim,2019-08-08T17:26:14Z,"","Samuel Laflamme",0.163,0.197,0,-17.924,0,0.0436,0.377,0.787,0.22,0.0263,67.768,4
73j0wARvthhc87QnWWrVGY,"Arrival","Outlast (Original Game Soundtrack)","Samuel Laflamme",2013-12-18,37632,22,stxelim,2019-08-08T17:28:06Z,"","Samuel Laflamme",0.119,0.368,11,-17.514,1,0.0405,0.648,0.387,0.198,0.039,57.216,4
2gOWaZiwjUoPvrzIlYwSAn,"Main Hall","Outlast (Original Game Soundtrack)","Samuel Laflamme",2013-12-18,52762,16,stxelim,2019-08-08T17:28:27Z,"","Samuel Laflamme",0.166,0.478,0,-14.295,1,0.0406,0.95,0.909,0.113,0.0289,128.114,1
3wfPpEwgoSUGIThGtGw3Z7,"Wake Up","Outlast (Original Game Soundtrack)","Samuel Laflamme",2013-12-18,41920,13,stxelim,2019-08-08T17:37:45Z,"","Samuel Laflamme",0.181,0.432,0,-16.863,0,0.059,0.936,0.967,0.0931,0.0568,103.364,4
7CkKA6OIvyt8ZLKXexTUJf,"Finale","Outlast (Original Game Soundtrack)","Samuel Laflamme",2013-12-18,110860,21,stxelim,2019-08-08T17:41:58Z,"","Samuel Laflamme",0.12,0.247,0,-16.566,0,0.0429,0.344,0.87,0.11,0.0291,96.392,3
1VwrnHBdrWJZOwWv99XjHh,"Silent Footsteps","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,171219,52,stxelim,2019-08-08T21:26:04Z,"medieval,soundtrack","Bethesda Softworks",0.197,0.029,8,-35.98,1,0.0402,0.935,0.956,0.0829,0.03,75.359,3
1q2Mit91oCqQtuO8TJa77S,"Death in the Darkness","The Elder Scrolls V: Skyrim: Original Game Soundtrack","Jeremy Soule",2013-01-31,155669,43,stxelim,2019-08-08T21:42:13Z,"medieval,soundtrack","Bethesda Softworks",0.203,0.0136,4,-42.062,0,0.0397,0.92,0.91,0.113,0.0325,63.421,3
0SMKzTJ7OQdIADSyWN6l62,"Hail, Paemon!","Hereditary (Original Motion Picture Soundtrack)","Colin Stetson",2018-06-08,55280,0,stxelim,2019-08-08T18:49:24Z,"","Milan Records",0.234,0.239,1,-14.661,1,0.051,0.919,0.951,0.11,0.0301,130.637,4
0wmFYeQNFbcxf2fFJUTDtU,"Firelink Shrine","Dark Souls 3","Yuka Kitamura",2016-01-01,186626,0,stxelim,2019-08-08T19:38:35Z,"soundtrack","BANDAI NAMCO Entertainment",0.152,0.129,5,-22.314,0,0.0373,0.971,0.674,0.107,0.0381,106.012,4
2m4eqMXomNZWO6Z26lLtNc,"Premonition","Dark Souls 3","Yuka Kitamura",2016-01-01,126320,0,stxelim,2019-08-08T19:42:09Z,"soundtrack","BANDAI NAMCO Entertainment",0.147,0.129,0,-26.405,0,0.0386,0.891,0.908,0.0965,0.0602,137.879,3
1sASrsTThIW04adr1sgfTh,"Moonlit Melody","Bloodborne Original Soundtrack","SIE Sound Team",2015-04-22,209666,47,stxelim,2019-08-08T18:38:42Z,"japanese vgm,soundtrack","TEAM Entertainment",0.0928,0.0196,5,-28.922,1,0.0427,0.977,0.193,0.12,0.0363,86.171,3
0514vhH4KBZmNHHVZWfmXD,"Hunter's Dream","Bloodborne Original Soundtrack","SIE Sound Team",2015-04-22,214986,48,stxelim,2019-08-08T21:31:24Z,"japanese vgm,soundtrack","TEAM Entertainment",0.106,0.0721,8,-29.75,0,0.0431,0.953,0.499,0.193,0.0353,91.059,4
1K4aTCGpWV247Prt4LYbmc,"The Quarantine Zone (20 Years Later)","The Last of Us","Gustavo Santaolalla",2013-06-07,220200,42,stxelim,2019-08-08T21:00:55Z,"soundtrack","Masterworks",0.473,0.142,0,-19.351,0,0.0336,0.81,0.882,0.12,0.0337,115.48,3
1YURhiu1WrYaqIJvHJbXnA,"Duskwood","World of Warcraft Original Soundtrack","Jason Hayes",2004-11-23,362640,38,stxelim,2019-08-08T21:09:43Z,"medieval","Azeroth Music",0.126,0.201,4,-22.12,1,0.0391,0.912,0.955,0.0967,0.0357,173.986,4
6Yqzv93nEdkWRQJ7KTtm7o,"Graveyard","World of Warcraft Original Soundtrack","Jason Hayes",2004-11-23,68866,36,stxelim,2019-08-08T21:10:40Z,"medieval","Azeroth Music",0.209,0.19,10,-17.759,0,0.0472,0.972,0.985,0.122,0.0299,128.865,5
5i21CCjCItGpyBqwz1zMsj,"Lurking","World of Warcraft Original Soundtrack","Jason Hayes",2004-11-23,61933,32,stxelim,2019-08-08T21:11:29Z,"medieval","Azeroth Music",0.166,0.181,0,-23.583,1,0.0507,0.906,0.852,0.11,0.0288,180.443,5
1bPxPkG8Y3Q69P1EbPKjZI,"SHA (Spirits of Hatred)","World of Warcraft: Mists of Pandaria Soundtrack","Russell Brower,Derek Duke,Jeremy Soule",2012-09-25,230576,25,stxelim,2019-08-08T21:13:28Z,"soundtrack,medieval","Azeroth Music",0.0767,0.433,0,-13.236,1,0.041,0.826,0.951,0.114,0.0351,74.406,3
73pvSNr6EyE4zfMWVylFA0,"Relic Uncovered","Dungeons & Dragons - Official Roleplaying Soundtrack","Midnight Syndicate",2003-01-01,107413,35,stxelim,2019-08-08T21:32:51Z,"dark ambient","Entity Productions",0.265,0.101,10,-26.712,0,0.0459,0.967,0.915,0.148,0.0337,73.558,4
0m7BsgVH4X7omfcQjOf9Ah,"Menu Theme","Amnesia: The Dark Descent Ost","Mikko Tarmia",2011-05-18,76302,0,stxelim,2019-08-08T21:43:22Z,"dark ambient","The Sound of Fiction",0.176,0.136,10,-26.501,1,0.0383,0.91,0.986,0.19,0.0325,64.921,4
4pMU7qUL0D4l24BZU5oDO2,"Darkness","Amnesia: The Dark Descent Ost","Mikko Tarmia",2011-05-18,75500,0,stxelim,2019-08-08T21:34:50Z,"dark ambient","The Sound of Fiction",0.318,0.204,11,-26.7,1,0.0378,0.437,0.903,0.119,0.141,79.958,4
2MG8QFAOyNAuwSZWRjoWWU,"Grand Hall","Amnesia: The Dark Descent Ost","Mikko Tarmia",2011-05-18,86886,0,stxelim,2019-08-08T21:35:37Z,"dark ambient","The Sound of Fiction",0.194,0.0853,3,-24.112,1,0.0417,0.812,0.93,0.113,0.0293,77.507,4
6wLbK623nSY31z8mTQMF1c,"Ending: Agrippa","Amnesia: The Dark Descent Ost","Mikko Tarmia",2011-05-18,115970,0,stxelim,2019-08-08T21:38:05Z,"dark ambient","The Sound of Fiction",0.0971,0.0644,8,-23.228,1,0.0398,0.943,0.994,0.116,0.0223,81.344,4
1wSquFjMWJrVGZboZRE62Y,"The Darkening Ground","Lush Mechanique","Jami Sieber",1994,192706,13,stxelim,2019-08-08T21:41:22Z,"","Out Front Music",0.0658,0.00634,0,-25.954,1,0.043,0.84,0.958,0.115,0.04,77.284,1
7qZINZuRcFDnSlSLQ2mwYu,"The Villain","Pathfinder Adventures (Official Soundtrack)","Justin Bell",2017-09-01,66090,31,stxelim,2019-08-08T23:51:15Z,"medieval","Obsidian Entertainment",0.313,0.14,0,-23.051,1,0.0314,0.898,0.955,0.105,0.0929,142.72,3
1N3d2c4v5oj0ZGG8k92fML,"The Guise of Man","Diablo III Reaper of Souls Soundtrack","Derek Duke",2014-03-25,375809,19,stxelim,2019-08-22T15:09:56Z,"soundtrack","Azeroth Music",0.0633,0.129,10,-21.034,1,0.0419,0.353,0.955,0.147,0.0321,68.703,4
2PrgDWONNECpbcLj63001p,"Destiny","Constantine (Original Motion Picture Score)","Brian Tyler,Klaus Badelt",2005-02-15,120693,20,stxelim,2019-08-22T15:10:01Z,"soundtrack","Varese Sarabande",0.166,0.101,9,-26.261,1,0.043,0.456,0.927,0.636,0.0352,127.798,4
