Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
52rBlpbOfAsx0BJCHePk5i,"Hearts Of Stone - Live at Video Game Show 2016","The Witcher 3: Wild Hunt (Original Game Soundtrack) [Live at Video Game Show 2016]","Marcin Przybyłowicz,Mikołaj Stroiński,AUKSO Orchestra",2017-11-15,172624,17,stxelim,2021-02-05T05:32:22Z,"medieval,soundtrack,chamber music,minimalism","CD PROJEKT RED",0.353,0.44,7,-16.099,0,0.0415,0.919,0.932,0.0994,0.0583,140.107,3
4tbxIB1eGjP78jnVKZIUCZ,"Silver For Monsters - Live at Video Game Show 2016","The Witcher 3: Wild Hunt (Original Game Soundtrack) [Live at Video Game Show 2016]","Marcin Przybyłowicz,Mikołaj Stroiński,AUKSO Orchestra,Percival Schuttenbach",2017-11-15,129750,24,stxelim,2021-02-05T05:30:23Z,"medieval,soundtrack,chamber music,minimalism,folk metal","CD PROJEKT RED",0.393,0.694,2,-13.237,1,0.0366,0.424,0.644,0.183,0.567,180.056,4
5TjKVg63SZDjGq5EQKXEVx,"On Thin Ice","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Mikolai Stroinski",2015-08-26,97000,38,stxelim,2021-02-05T05:33:03Z,"medieval,soundtrack","CD PROJEKT RED",0.418,0.469,10,-10.385,1,0.0437,0.0276,0.00000334,0.112,0.303,75.937,4
2eOHlZV94DlYx0GJMyjIp6,"Conjunction Of The Spheres","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26,102000,35,stxelim,2021-02-05T05:33:12Z,"medieval,soundtrack","CD PROJEKT RED",0.157,0.696,2,-10.852,0,0.0489,0.0794,0.753,0.206,0.453,80.156,4
6t2JXNAhPCk1GZjhI91eVl,"Turning the Tide","Sword Coast Legends (Original Game Soundtrack)","Inon Zur",2015-10-20,133333,0,stxelim,2021-02-05T05:33:47Z,"soundtrack","Inon Zur",0.388,0.549,2,-10.919,0,0.0416,0.371,0.848,0.162,0.496,95.761,4
5wKCedmy1WBzskSWFZDq4W,"Geralt Of Rivia - Live at Video Game Show 2016","The Witcher 3: Wild Hunt (Original Game Soundtrack) [Live at Video Game Show 2016]","Marcin Przybyłowicz,Mikołaj Stroiński,AUKSO Orchestra",2017-11-15,76970,18,stxelim,2021-02-05T05:30:08Z,"medieval,soundtrack,chamber music,minimalism","CD PROJEKT RED",0.622,0.481,2,-18.4,1,0.0367,0.851,0.949,0.204,0.737,123.099,4
4FpvbC2X7hpOQM5yDwpifm,"The Hunter + The Storm","The Dark Crystal: Age Of Resistance, Vol. 1 (Music from the Netflix Original Series)","Daniel Pemberton",2019-08-30,154240,0,stxelim,2021-02-05T05:34:20Z,"soundtrack","Varèse Sarabande",0.143,0.446,2,-17.028,1,0.0411,0.203,0.92,0.102,0.0722,139.921,4
41vKkO3GAQw5yCTBaouXSP,"The Beast Of Beauclair","The Witcher 3: Wild Hunt - Blood and Wine (Official Soundtrack)","Marcin Przybyłowicz",2016-06-01,97500,40,stxelim,2023-05-02T21:41:46Z,"medieval,soundtrack","CD PROJEKT RED",0.366,0.903,7,-8.277,1,0.0505,0.00254,0.855,0.532,0.138,90.042,4
4M3xwNsO3Ns8dNxklSCyjO,"Peaks Pass","God of War (PlayStation Soundtrack)","Bear McCreary",2018-04-13,153826,36,stxelim,2021-07-22T13:17:02Z,"soundtrack,celtic","Sony Classical",0.441,0.411,1,-12.365,1,0.0434,0.086,0.904,0.11,0.0456,180.175,4
3bO9PHn59DrHomRxBw9qqA,"Claws And Scales","Thronebreaker: The Witcher Tales (Original Game Soundtrack)","P.T. Adamczyk",2018-12-05,167899,26,stxelim,2023-05-03T03:15:32Z,"","CD PROJEKT RED",0.399,0.463,10,-19.542,1,0.0343,0.048,0.873,0.213,0.545,150.032,4
