Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5tmhUzJuP7XwqCHglyqnt8,"Geralt Of Rivia","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26,141993,53,stxelim,2019-06-11T02:32:28Z,"medieval,soundtrack","CD PROJEKT RED",0.258,0.569,4,-12.678,0,0.051,0.451,0.956,0.11,0.0651,85.015,4
761SMhVKJlJlUCUveNcq1m,"Kaer Morhen","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26,155109,56,stxelim,2019-06-11T03:52:27Z,"medieval,soundtrack","CD PROJEKT RED",0.396,0.329,2,-13.481,0,0.032,0.796,0.878,0.126,0.0561,139.853,4
0Kj4xPVUgSzfYxfLY96xBl,"Wake Up, Ciri","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Mikolai Stroinski",2015-08-26,94200,47,stxelim,2019-06-11T02:32:37Z,"medieval,soundtrack","CD PROJEKT RED",0.138,0.267,2,-11.934,0,0.035,0.896,0.693,0.256,0.0332,80.15,3
7szFQ4HWhfQwd5mDq2UKE4,"Aen Seidhe","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Mikolai Stroinski",2015-08-26,156003,48,stxelim,2019-06-11T02:32:47Z,"medieval,soundtrack","CD PROJEKT RED",0.491,0.418,2,-12.189,1,0.0249,0.198,0.48,0.125,0.2,100.096,4
3Hb9YjZLYBLikxJ1kd4BMa,"Spikeroog","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Mikolai Stroinski",2015-08-26,185699,56,stxelim,2019-06-11T02:33:04Z,"medieval,soundtrack","CD PROJEKT RED",0.14,0.176,2,-13.891,0,0.0389,0.968,0.894,0.0791,0.0467,148.846,4
5bhZCxZo9ejcqInKNvbL73,"King Bran's Final Voyage","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26,132436,48,stxelim,2019-06-11T02:33:24Z,"medieval,soundtrack","CD PROJEKT RED",0.063,0.201,2,-19.771,0,0.0468,0.794,0.92,0.578,0.0397,73.75,1
7GfoGMbKkDnY3e44ahZarZ,"The Hunter's Path","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26,172031,47,stxelim,2019-06-11T02:34:20Z,"medieval,soundtrack","CD PROJEKT RED",0.263,0.359,7,-15.127,0,0.0325,0.281,0.913,0.118,0.0391,179.807,4
6ZYWXmwrDehLhGW355yKIc,"Fate Calls","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Mikolai Stroinski",2015-08-26,118050,47,stxelim,2019-06-11T02:34:46Z,"medieval,soundtrack","CD PROJEKT RED",0.157,0.149,10,-17.168,1,0.0402,0.971,0.633,0.241,0.0359,71.905,1
0Lc3coQTcMMJiiEFi7BG2z,"The Vagabond","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26,167935,52,stxelim,2019-06-11T02:34:53Z,"medieval,soundtrack","CD PROJEKT RED",0.374,0.0743,2,-19.916,0,0.0319,0.841,0.815,0.106,0.0661,130.403,4
6tSqyn7JhHxyLbwG8zGu2T,"Yes, I Do...","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Mikolai Stroinski",2015-08-26,93529,48,stxelim,2019-06-11T02:35:14Z,"medieval,soundtrack","CD PROJEKT RED",0.178,0.165,7,-14.994,1,0.0367,0.972,0.449,0.179,0.0805,134.952,4
4DxxiT2TskPH0Xd6znaqZM,"After The Storm","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Mikolai Stroinski",2015-08-26,90983,51,stxelim,2019-06-11T02:35:31Z,"medieval,soundtrack","CD PROJEKT RED",0.164,0.134,2,-15.64,0,0.0364,0.958,0.959,0.0934,0.04,77.71,3
554gPYGKoueKOCXvUw8fwS,"Farewell, Old Friend","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26,172756,46,stxelim,2019-06-11T02:35:49Z,"medieval,soundtrack","CD PROJEKT RED",0.169,0.203,2,-16.686,0,0.0428,0.543,0.394,0.101,0.0461,127.4,4
1B031n8CmpDxhcmXTZlUPE,"In The Giant's Shadow","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26,169845,38,stxelim,2019-06-11T02:36:30Z,"medieval,soundtrack","CD PROJEKT RED",0.164,0.13,7,-20.008,1,0.0399,0.287,0.79,0.119,0.033,129.365,4
1UiiNExaBWS3nfKDf6P1wr,"I Name Thee Dea And Embrace Thee As My Daughter","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Marcin Przybyłowicz",2015-08-26,80500,40,stxelim,2019-06-11T02:37:35Z,"medieval,soundtrack","CD PROJEKT RED",0.214,0.0574,7,-22.568,0,0.0438,0.996,0.948,0.0834,0.038,72.5,3
51ZflqPt0Y2tagl6vqjIXK,"The Wolf And The Swallow","The Witcher 3: Wild Hunt (Original Game Soundtrack)","Mikolai Stroinski",2015-08-26,156000,47,stxelim,2019-06-11T02:37:51Z,"medieval,soundtrack","CD PROJEKT RED",0.0801,0.251,2,-16.602,0,0.043,0.808,0.822,0.102,0.0351,174.406,3
60OoAy8YumVv3YnSQVblTe,"Reaper's Coast","Divinity: Original Sin 2 (Original Soundtrack)","Borislav Slavov",2018-03-23,226659,0,stxelim,2019-06-11T03:43:58Z,"medieval","Black Screen Records",0.123,0.0792,4,-21.867,0,0.0416,0.979,0.774,0.111,0.0392,174.108,3
67GJTtb5JKSyesuMDyz3JN,"Amber Ale","Divinity: Original Sin 2 (Original Soundtrack)","Borislav Slavov",2018-03-23,222956,0,stxelim,2019-06-11T03:44:40Z,"medieval","Black Screen Records",0.836,0.37,9,-12.759,0,0.0452,0.877,0.82,0.108,0.27,126.041,4
1UBDj9c5iAIRMUj9ZTMIQj,"Driftwood","Divinity: Original Sin 2 (Original Soundtrack)","Borislav Slavov",2018-03-23,224891,0,stxelim,2019-06-11T03:44:40Z,"medieval","Black Screen Records",0.3,0.106,9,-19.731,0,0.0386,0.893,0.877,0.145,0.0954,110.07,4
3VtaRLmPezoknCI5mQg5gt,"Path of the Godwoken","Divinity: Original Sin 2 (Original Soundtrack)","Borislav Slavov",2018-03-23,193560,0,stxelim,2019-06-11T03:44:49Z,"medieval","Black Screen Records",0.153,0.14,5,-21.473,0,0.0377,0.937,0.897,0.264,0.0383,144.483,3
0D1MrTL5cKZBSlVQ7hl5jU,"Red Prince Theme","Divinity: Original Sin 2 (Original Soundtrack)","Borislav Slavov",2018-03-23,180840,0,stxelim,2019-06-20T05:23:40Z,"medieval","Black Screen Records",0.557,0.421,0,-13.695,1,0.0308,0.715,0.849,0.119,0.146,146.105,4
1lyMwzxaRR9j9Ns5yIeKQl,"Divine's Lament","Divinity: Original Sin 2 (Original Soundtrack)","Borislav Slavov",2018-03-23,261260,0,stxelim,2019-06-11T03:49:11Z,"medieval","Black Screen Records",0.397,0.155,7,-16.949,1,0.0308,0.801,0.831,0.0983,0.202,91.119,4
4yLZi72NKiJeO0mtZu1loE,"The Queen's High Seas - Beast's Theme","Divinity: Original Sin 2 (Original Soundtrack)","Borislav Slavov",2018-03-23,153400,0,stxelim,2019-06-11T03:50:02Z,"medieval","Black Screen Records",0.557,0.242,9,-16.166,0,0.0401,0.614,0.0379,0.0903,0.377,177.983,4
2UqTXI2aalxbdI1auZMGHU,"Crazy Troubled Senses","Divinity: Original Sin 2 (Original Soundtrack)","Borislav Slavov",2018-03-23,164330,0,stxelim,2019-06-11T03:51:35Z,"medieval","Black Screen Records",0.383,0.123,2,-24.751,1,0.0319,0.733,0.943,0.109,0.0387,103.706,4
6o5vbYgIn0AFi65e1H3Z5g,"A Nearly Peaceful Place","The Witcher 2: Assassins Of Kings (Enhanced Edition) [Original Game Soundtrack]","Krzysztof Wierzynkiewicz",2015-09-09,246064,48,stxelim,2019-06-11T03:53:39Z,"medieval","CD PROJEKT RED",0.0722,0.269,7,-13.629,0,0.0383,0.514,0.136,0.117,0.0383,77.38,1
6NzQEA8xQr17y1onew7MPz,"Flotsam At Sunrise","The Witcher 2: Assassins Of Kings (Enhanced Edition) [Original Game Soundtrack]","Adam Skorupa,Krzysztof Wierzynkiewicz",2015-09-09,132816,37,stxelim,2019-06-11T03:54:20Z,"medieval","CD PROJEKT RED",0.414,0.31,9,-12.602,0,0.0273,0.0929,0.0331,0.0977,0.145,75.015,3
2TLO035tumZKpxxeDlKYQb,"A Tavern On The Riverbank","The Witcher 2: Assassins Of Kings (Enhanced Edition) [Original Game Soundtrack]","Adam Skorupa,Krzysztof Wierzynkiewicz",2015-09-09,103516,47,stxelim,2019-06-11T03:55:59Z,"medieval","CD PROJEKT RED",0.473,0.375,2,-11.912,0,0.0277,0.122,0.331,0.0803,0.132,82.458,3
3aAeD4aD0PdM3gilTQscqj,"Peaceful Moments","The Witcher (Original Game Soundtrack)","Adam Skorupa",2015-09-09,310000,45,stxelim,2019-06-11T03:57:10Z,"medieval","CD PROJEKT RED",0.542,0.362,11,-13.333,0,0.0283,0.569,0.927,0.18,0.367,119.999,4
2SbHDqxefXnysUVJHbJbov,"Dwarven Stone Upon Dwarven Stone","The Witcher 2: Assassins Of Kings (Enhanced Edition) [Original Game Soundtrack]","Adam Skorupa",2015-09-09,453000,44,stxelim,2019-06-11T03:57:10Z,"medieval","CD PROJEKT RED",0.435,0.168,9,-16.137,0,0.0294,0.866,0.845,0.0947,0.0642,80.013,3
6zcP5A5Xv6bvCUpwXrswKa,"Nascence","Journey (Original Video Game Soundtrack)","Austin Wintory",2012-04-10,106960,0,stxelim,2019-06-11T03:59:11Z,"soundtrack","Sony Computer Entertainment America LLC",0.203,0.112,11,-18.029,0,0.0418,0.936,0.935,0.126,0.0374,72.483,4
7q4HeVYqt1XNOEaTpuQdB3,"Threshold","Journey (Original Video Game Soundtrack)","Austin Wintory",2012-04-10,365196,0,stxelim,2019-06-11T03:59:11Z,"soundtrack","Sony Computer Entertainment America LLC",0.212,0.184,1,-22,0,0.0374,0.956,0.949,0.12,0.107,129.099,3
5gU6jPURdqd1aiOwp53XBd,"Love Scene","Dragon Age 2","Inon Zur",2011-03-08,99213,0,stxelim,2019-06-11T04:02:43Z,"soundtrack","EA TM Music",0.142,0.282,6,-14.666,0,0.0333,0.705,0.835,0.166,0.0864,59.999,3
2CGve0rVTNd35qcZgpxCzx,"Hawke Family Theme","Dragon Age 2","Inon Zur",2011-03-08,120960,0,stxelim,2019-06-11T04:02:48Z,"soundtrack","EA TM Music",0.319,0.159,4,-18.002,0,0.0379,0.937,0.841,0.111,0.15,113.822,4
7yVg6NPRYk485cSbagD5PO,"Viscount","Dragon Age 2","Inon Zur",2011-03-08,89306,0,stxelim,2019-06-11T04:03:19Z,"soundtrack","EA TM Music",0.114,0.0947,7,-19.378,1,0.0383,0.618,0.943,0.108,0.0856,94.429,3
1IJ3pSCbzhoaiOhs1VeQ6r,"Dusk Of A Northern Kingdom","The Witcher (Original Game Soundtrack)","Adam Skorupa",2015-09-09,274960,39,stxelim,2019-06-19T19:18:19Z,"medieval","CD PROJEKT RED",0.235,0.13,0,-21.006,1,0.0371,0.925,0.751,0.102,0.0736,140.542,4
0hv8o1BAlQrFTVDLqYVGk9,"River Of Life","The Witcher (Original Game Soundtrack)","Pawel Blaszczak",2015-09-09,321586,44,stxelim,2019-06-19T19:18:44Z,"medieval","CD PROJEKT RED",0.0818,0.191,4,-14.532,0,0.0358,0.976,0.867,0.134,0.0382,75.344,4
3ZuUTfBprIf6INrZi7WjSC,"Dead City","The Witcher (Original Game Soundtrack)","Adam Skorupa",2015-09-09,484000,31,stxelim,2019-06-19T19:19:31Z,"medieval","CD PROJEKT RED",0.177,0.259,7,-16.439,1,0.0367,0.706,0.927,0.11,0.0377,119.744,4
2V1t5urCnSfvKLK8mOxSA6,"Withered Roses","The Witcher (Original Game Soundtrack)","Adam Skorupa",2015-09-09,76000,23,stxelim,2019-06-19T19:23:08Z,"medieval","CD PROJEKT RED",0.21,0.259,7,-17.903,0,0.0356,0.925,0.982,0.104,0.0381,96.299,4
7jxA6KwFkBg701OdZRw2GH,"Do You Remember?","The Witcher (Original Game Soundtrack)","Adam Skorupa",2015-09-09,92226,38,stxelim,2019-06-19T19:23:24Z,"medieval","CD PROJEKT RED",0.207,0.189,10,-16.279,1,0.0416,0.841,0.966,0.0902,0.0352,72.238,4
7AoQUfwO5OIGEuB8YLSa93,"The Dike","The Witcher (Original Game Soundtrack)","Pawel Blaszczak",2015-09-09,424786,36,stxelim,2019-06-19T19:24:00Z,"medieval","CD PROJEKT RED",0.134,0.142,11,-17.327,0,0.0382,0.93,0.868,0.0935,0.0648,79.761,4
5CzUczzpkkYLWzdPX213kq,"Leo's Farewell","The Witcher (Original Game Soundtrack)","Adam Skorupa",2015-09-09,106360,32,stxelim,2019-06-19T19:24:36Z,"medieval","CD PROJEKT RED",0.179,0.173,2,-14.635,0,0.0406,0.926,0.79,0.0911,0.07,62.908,4
4VIEBaTh4FGNDuSaz84FiO,"Silver Sword","The Witcher (Original Game Soundtrack)","Pawel Blaszczak",2015-09-09,93000,35,stxelim,2019-06-19T19:24:51Z,"medieval","CD PROJEKT RED",0.173,0.113,5,-18.62,0,0.0403,0.958,0.0201,0.112,0.0389,128.13,3
0tfQe4IV9M31umHmZjpkBL,"Into The Fields","The Witcher 2: Assassins Of Kings (Enhanced Edition) [Original Game Soundtrack]","Adam Skorupa",2015-09-09,347565,27,stxelim,2019-06-19T19:32:27Z,"medieval","CD PROJEKT RED",0.289,0.244,9,-18.962,0,0.0351,0.797,0.915,0.139,0.0357,119.948,4
0wBG9YDABW2VJPotR1WPez,"An Army Lying In Wait","The Witcher 2: Assassins Of Kings (Enhanced Edition) [Original Game Soundtrack]","Krzysztof Wierzynkiewicz",2015-09-09,233004,31,stxelim,2019-06-19T19:32:38Z,"medieval","CD PROJEKT RED",0.177,0.359,9,-16.761,1,0.0394,0.632,0.884,0.127,0.0645,119.79,3
