Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2iUmqdfGZcHIhS3b9E9EWq,"Everybody Talks","Picture Show","Neon Trees",2012-01-01,177280,79,kschwarting06,2023-02-09T17:38:21Z,"","Mercury Records",0.471,0.924,8,-3.906,1,0.0584,0.00301,0,0.313,0.716,154.962,4
2RiBogNRfulkNf7fVbPOrJ,"Saturday Sun","Nation of Two","Vance Joy",2018-02-23,214720,70,kschwarting06,2023-02-09T17:38:30Z,"folk pop","Atlantic Records",0.637,0.864,8,-4.381,1,0.0468,0.484,0,0.222,0.706,99.995,4
3gbBpTdY8lnQwqxNCcf795,"Pompeii","Bad Blood","Bastille",2013-01-01,214147,71,kschwarting06,2023-02-09T17:38:38Z,"","EMI (Virgin)",0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,4
3rPtS4nfpy7PsARctAWpzd,"Best Friend","Best Friend","Rex Orange County",2017-01-25,262231,75,kschwarting06,2023-02-09T17:38:55Z,"bedroom pop","Rex Orange County",0.576,0.714,6,-5.247,1,0.0595,0.395,0,0.115,0.321,144.981,4
34RmzDXMv0ELSQTK4pNvX3,"Sunkissed","Now and Then","khai dreams",2019-10-11,126464,61,kschwarting06,2023-02-09T17:39:14Z,"","Khai Dreams",0.766,0.354,6,-9.486,1,0.0543,0.595,0,0.381,0.792,153.902,4
24kirWnsEEyGgbl2NuhSVz,"Endless Summer","Endless Summer","Grizfolk",2018-03-23,212600,41,kschwarting06,2023-02-09T17:39:31Z,"","The Vagabonds Trail",0.498,0.727,4,-6.116,1,0.0308,0.0562,0,0.609,0.441,79.994,4
5ngcqrs4Xq915GUqNtNNr5,"Young Blood","Busyhead","Noah Kahan",2019-06-14,208533,68,kschwarting06,2023-02-09T17:39:56Z,"","Republic Records",0.671,0.463,11,-8.534,1,0.0439,0.391,0,0.162,0.347,85.002,4
6XcfKZvJio9Z0fQy11GnNX,"broken","finding it hard to smile","lovelytheband",2018-08-03,204878,66,kschwarting06,2023-02-09T17:41:11Z,"","RED MUSIC",0.666,0.728,7,-5.808,1,0.0419,0.00175,0.00000426,0.0429,0.51,122.996,4
1fBl642IhJOE5U319Gy2Go,"Animal","Habits","Neon Trees",2010-01-01,212293,71,kschwarting06,2023-02-09T17:43:03Z,"","Mercury Records",0.482,0.833,5,-5.611,1,0.0449,0.000346,0,0.365,0.74,148.039,4
0hfSkCacuuQFL1sjPP16Li,"Reverie","Reverie","Andy Martin",2022-08-12,204458,38,kschwarting06,2024-08-14T18:35:52Z,"","Corduroy",0.696,0.784,7,-7.455,1,0.0295,0.024,0.00000222,0.374,0.887,125.975,4
5jiYx70OBzEI99jx1Gn3FN,"Sober Up (feat. Rivers Cuomo)","The Click","AJR,Rivers Cuomo",2017-06-09,218763,1,kschwarting06,2023-02-09T17:41:25Z,"","S-Curve Records",0.648,0.62,5,-4.938,1,0.0276,0.284,0,0.0833,0.772,93.011,4
2Yer0p7uB2lVBUAtANuuQp,"Magic In The Hamptons (feat. Lil Yachty)","Magic In The Hamptons (feat. Lil Yachty)","Social House,Lil Yachty",2018-06-08,164640,71,kschwarting06,2023-02-09T17:42:08Z,"","Silent Records / Social House",0.769,0.479,1,-5.339,1,0.0385,0.66,0,0.0914,0.803,96.051,4
4djIFfof5TpbSGRZUpsTXq,"Talk Too Much","How Will You Know If You Never Try","COIN",2017-04-21,187133,67,kschwarting06,2023-02-09T17:42:25Z,"","StarTime International/Columbia",0.598,0.888,4,-5.119,1,0.0807,0.00947,0,0.347,0.482,103.966,4
2AYEOC02WLhUiOoaig2SEH,"Out of My League","More Than Just a Dream (Deluxe Edition)","Fitz and The Tantrums",2013-05-07,209386,75,kschwarting06,2023-02-09T17:43:23Z,"","Elektra (NEK)",0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,4
2ihCaVdNZmnHZWt0fvAM7B,"Little Talks","My Head Is An Animal","Of Monsters and Men",2012-01-01,266600,81,kschwarting06,2023-02-09T17:43:39Z,"folk pop,indie folk","Universal Records",0.457,0.757,1,-5.177,1,0.032,0.0206,0,0.146,0.417,102.961,4
6HTVZeVQ9J6Uiq6tHESxU9,"Welcome Home, Son","Ghost","Radical Face",2007-03-02,287634,72,kschwarting06,2023-02-09T17:43:57Z,"indie folk","Bear Machine",0.586,0.494,6,-10.759,1,0.0307,0.723,0.789,0.142,0.401,144.973,3
5Hroj5K7vLpIG4FNCRIjbP,"Best Day Of My Life","Oh, What A Life","American Authors",2014-01-01,194240,80,kschwarting06,2023-02-09T17:44:10Z,"","Island Records",0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000227,0.0558,0.536,100.012,4
1obisQNOcikRvTdStbW3pG,"Go Big Or Go Home","What We Live For","American Authors",2016-07-01,169026,55,kschwarting06,2023-02-09T17:44:21Z,"","Island Records",0.665,0.875,1,-4.272,1,0.0426,0.00939,0,0.0897,0.66,122.008,4
0GO8y8jQk1PkHzS31d699N,"Tongue Tied","Never Trust a Happy Song","GROUPLOVE",2011-09-02,218013,80,kschwarting06,2023-02-09T17:43:29Z,"indie","Canvasback/ATL",0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4
4CycKC0Pb3udczAaLDcdwD,"A Few Years More","A Few Years More","Lexi Cline",2023-06-02,158805,13,kschwarting06,2024-09-11T23:28:38Z,"","Lexi Cline",0.71,0.631,11,-7.578,1,0.0495,0.0609,0.0000526,0.0894,0.491,133.183,4
2nMGBquQK7FTThBjAMgBJh,"Toothaches","Toothaches","Andy Martin",2023-09-27,222226,31,kschwarting06,2024-08-14T18:35:57Z,"","Corduroy",0.633,0.587,0,-11.334,1,0.0373,0.023,0.00000473,0.172,0.42,125.024,4
64AxL9enXcTGTTbD4bytlx,"Geronimo","I'm Too Sexy to Be Single","So You Say",2015-05-11,224936,41,kschwarting06,2023-02-09T17:44:40Z,"","So You Say",0.664,0.694,7,-8.275,1,0.0461,0.28,0.0000157,0.106,0.448,142.012,4
68iMa9Rn3GABw0MeCgk0eX,"Everybody Talks","Everybody Talks - Single","Whisper",2012-03-15,179516,34,kschwarting06,2023-02-09T17:44:45Z,"","Icover Records",0.546,0.845,3,-4.423,1,0.0417,0.00563,0,0.267,0.637,155.065,4
2muo3YkKa2LZwX2xkU6bpg,"Fine By Me (I'm Just Saying It's Fine By Me)","On Tour (Since More Than 100 Years and Locked Out of Heaven)","The Worst Cover Band Of The World",2012-11-20,172872,23,kschwarting06,2023-02-09T17:44:49Z,"","THE WORST COVER BAND OF THE WORLD",0.722,0.743,11,-4.761,1,0.049,0.0913,0,0.159,0.903,90.028,4
1RwOfQVG3j2igcIRUrfhsz,"Exactly Where I'm Supposed to Be","Exactly Where I'm Supposed to Be","Andy Martin",2024-10-09,168517,35,kschwarting06,2024-10-22T05:15:36Z,"","Andy Martin",0.675,0.759,10,-11.438,1,0.0287,0.0161,0.000169,0.221,0.85,120.012,4
0KAiuUOrLTIkzkpfpn9jb9,"Drive By","California 37","Train",2012-04-17,195973,82,kschwarting06,2023-02-09T17:45:30Z,"soft pop","Columbia",0.765,0.837,1,-3.113,0,0.032,0.00107,0.0000106,0.0801,0.721,122.028,4
3DamFFqW32WihKkTVlwTYQ,"Fireflies","Ocean Eyes","Owl City",2009-01-01,228346,79,kschwarting06,2023-02-09T17:45:35Z,"","Universal Records",0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,4
56fljzsnWxuCp70LBsMuPD,"Summer Paradise (feat. MKTO) - Single Version","Summer Paradise (feat. MKTO)","Simple Plan,MKTO",2013-05-28,233578,47,kschwarting06,2023-02-09T17:46:16Z,"pop punk,punk,emo","Atlantic Records",0.492,0.842,2,-5.412,1,0.187,0.0117,0,0.142,0.593,172,4
2GiJYvgVaD2HtM8GqD9EgQ,"Electric Love","Dopamine","BØRNS",2015-10-16,218106,80,kschwarting06,2023-02-09T17:47:15Z,"","UMGRI Interscope",0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
5dONhl6aXFuN86UBdayF6W,"Olivia","Made In The A.M. (Deluxe Edition)","One Direction",2015-11-13,177973,66,kschwarting06,2023-02-09T17:47:20Z,"","Syco Music",0.64,0.681,6,-5.362,1,0.0334,0.0438,0,0.166,0.676,118.069,4
4sNG6zQBmtq7M8aeeKJRMQ,"Brazil","What Do You Think About the Car?","Declan McKenna",2017-04-13,252306,82,kschwarting06,2023-02-09T17:51:20Z,"","Columbia",0.687,0.617,4,-5.213,1,0.0287,0.0941,0.0000127,0.0898,0.665,121.079,4
3MYXlkluRyR2Hg18JFm9Xy,"I Don't Wanna Go Out","I Don't Wanna Go Out","Andy Martin",2023-11-22,186880,28,kschwarting06,2024-08-14T18:36:04Z,"","Andy Martin",0.598,0.792,6,-12.538,0,0.1,0.02,0.00000496,0.178,0.947,166.017,4
57RA3JGafJm5zRtKJiKPIm,"Are You Bored Yet? (feat. Clairo)","Nothing Happens","Wallows,Clairo",2019-03-22,178000,80,kschwarting06,2023-02-09T17:48:23Z,"indie,bedroom pop","Atlantic Records",0.682,0.683,8,-6.444,0,0.0287,0.156,0.0000232,0.273,0.64,120.023,4
5bgwqaRSS3M8WHWruHgSL5,"8TEEN","American Teen","Khalid",2017-04-27,228600,73,kschwarting06,2023-02-09T17:49:09Z,"","Right Hand Music Group, LLC/RCA Records",0.83,0.585,1,-5.802,1,0.0366,0.225,0.00209,0.0576,0.642,105.03,4
2f0pn9DkEJwAzXApnFh5cr,"Someone To You","Where The Shadow Ends","BANNERS",2019-10-04,219801,76,kschwarting06,2023-02-09T17:49:47Z,"","Island Records",0.52,0.903,2,-5.497,1,0.042,0.00517,0,0.254,0.652,74.988,4
6N88pJJzx22yxYqrQOQlkM,"Sunkissed Dreamland","Sunkissed Dreamland","Summerdrive",2022-05-13,218533,9,kschwarting06,2024-09-25T04:27:47Z,"","Summerdrive LLC",0.582,0.862,4,-4.359,1,0.0604,0.000169,0,0.292,0.588,154.001,4
3d8y0t70g7hw2FOWl9Z4Fm,"Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,10,kschwarting06,2023-02-09T17:50:12Z,"folk pop,indie folk","Dualtone Music Group",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.02,4
3mN9RcQg6oSPDSumrYNLFa,"Take Yours, I'll Take Mine","The Home We Built","Matthew Mole",2013-07-29,223680,56,kschwarting06,2023-02-09T17:50:23Z,"christian folk","Universal Music (Pty) Ltd.",0.68,0.609,3,-8.948,1,0.0437,0.549,0,0.337,0.398,138.096,4
7KWGfnsUU4Ri46TIvjpAPx,"Home - 2019 - Remaster","Up From Below (10th Anniversary Edition) [2019 - Remaster]","Edward Sharpe & The Magnetic Zeros",2009-07-07,306373,2,kschwarting06,2023-02-09T17:50:33Z,"","Vagrant Records",0.53,0.634,2,-5.759,1,0.0311,0.249,0.000622,0.0979,0.106,111.615,4
6liNJDyWJjyHAgDnAX95bw,"Fire and the Flood","Dream Your Life Away (Special Edition)","Vance Joy",2014-09-08,249382,10,kschwarting06,2023-02-09T17:50:55Z,"folk pop","Atlantic Records",0.596,0.827,5,-4.402,1,0.0372,0.0242,0,0.0958,0.329,115.034,4
5r5cp9IpziiIsR6b93vcnQ,"Walking On A Dream","Walking On A Dream (10th Anniversary Edition)","Empire Of The Sun",2008-10-03,198440,81,kschwarting06,2023-02-17T17:38:12Z,"","EMI Recorded Music Australia Pty Ltd",0.871,0.701,5,-5.594,0,0.0458,0.257,0.00000752,0.0589,0.716,126.975,4
0BVUA3FXqQLvZb7r4T22NJ,"Home","7 Layers","Dotan",2014-01-31,268466,68,kschwarting06,2023-02-17T19:14:27Z,"folk pop","7 Layers B.V.",0.755,0.705,4,-8.941,0,0.0427,0.0701,0.000103,0.0394,0.301,129.986,4
7nDFTHHwfe32a8qdp9XqPy,"False Confidence","Busyhead","Noah Kahan",2019-06-14,223400,74,kschwarting06,2023-02-19T17:43:15Z,"","Republic Records",0.414,0.663,6,-7.77,1,0.0456,0.163,0,0.138,0.33,108.98,4
4P9Q0GojKVXpRTJCaL3kyy,"All Of The Girls You Loved Before","All Of The Girls You Loved Before","Taylor Swift",2019-08-23,221407,74,kschwarting06,2023-03-19T19:35:33Z,"","Taylor Swift",0.729,0.467,2,-9.682,1,0.0419,0.71,0.0000453,0.129,0.401,96.042,3
1YLJVmuzeM2YSUkCCaTNUB,"Dog Days Are Over","Lungs (Deluxe Edition)","Florence + The Machine",2009,251840,76,kschwarting06,2023-05-19T00:01:50Z,"baroque pop","Universal-Island Records Ltd.",0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,4
4vp2J1l5RD4gMZwGFLfRAu,"I Gotta Feeling","THE E.N.D. (THE ENERGY NEVER DIES)","Black Eyed Peas",2009-01-01,289133,6,kschwarting06,2023-05-26T00:50:56Z,"","Interscope",0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,4
7BcOUi4FQ3wBLmNTW0yfCR,"The Spins","K.I.D.S.","Mac Miller,Empire Of The Sun",2010-08-13,195873,71,kschwarting06,2023-06-15T06:16:38Z,"","Rostrum Records",0.794,0.766,9,-3.894,0,0.0377,0.0135,0,0.0785,0.55,127.006,4
5bs5GopDitBx9xjoHHRDoo,"Beige","Goodpain","Yoke Lore",2017-06-16,204213,52,kschwarting06,2023-07-11T21:15:06Z,"","Arts & Crafts",0.47,0.67,10,-7.526,1,0.0783,0.393,0.041,0.117,0.219,83.856,4
3ekNuTF3UpOvIZCfiejpnC,"Stubborn Love","The Lumineers","The Lumineers",2012-04-03,279000,10,kschwarting06,2023-08-27T02:51:07Z,"folk pop,indie folk","Dualtone Music Group",0.598,0.561,0,-11.676,1,0.0376,0.611,0.0417,0.196,0.231,115.011,4
3z7kvwJVRfA4HCOfm9ngog,"Rivers and Roads","The Head And The Heart","The Head And The Heart",2011-01-11,284000,16,kschwarting06,2023-08-27T02:51:40Z,"indie folk,folk pop,folk","The Head And The Heart",0.49,0.18,0,-9.764,1,0.0344,0.7,0.0000396,0.0762,0.182,136.455,3
74f6wUWx9guNSKaQeaIfOz,"Undertow","Undertow","Mariano Mallia",2023-06-09,228292,26,kschwarting06,2024-09-25T04:34:56Z,"","Paris Sunset Music Group",0.572,0.673,8,-6.428,1,0.114,0.0474,0,0.174,0.708,164.095,4
60ZGteAEtPCnGE6zevgUcd,"Mountain Sound","My Head Is An Animal","Of Monsters and Men",2012-01-01,211453,66,kschwarting06,2023-08-27T02:51:54Z,"folk pop,indie folk","Universal Records",0.379,0.879,1,-4.336,0,0.0362,0.0421,0.00449,0.146,0.37,102.021,4
