Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
56xHMIfQPoe0prrSi3BGhf,"Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)","Olivia Rodrigo",2023-11-03,205483,72,swdq4oay5c2gviwsabdae2yur,2023-12-14T06:06:26Z,"","Olivia Rodrigo",0.409,0.347,11,-8.159,0,0.0359,0.834,0.00000455,0.121,0.199,141.332,4
3Nl5OkkmS5DaBZvuYofpAt,"the grudge","GUTS","Olivia Rodrigo",2023-09-08,189386,76,swdq4oay5c2gviwsabdae2yur,2023-12-14T06:06:28Z,"","Olivia Rodrigo PS",0.511,0.313,10,-9.32,1,0.0846,0.905,0,0.0832,0.331,126.962,4
5KD6AEm19QnMbfWpfoOHMl,"Now That We Don't Talk (Taylor's Version) (From The Vault)","1989 (Taylor's Version)","Taylor Swift",2023-10-26,146436,76,swdq4oay5c2gviwsabdae2yur,2023-12-14T06:06:30Z,"","Taylor Swift",0.8,0.509,0,-9.386,1,0.034,0.16,0.0000305,0.0834,0.0768,109.994,4
2gyxAWHebV7xPYVxqoi86f,"get him back!","GUTS","Olivia Rodrigo",2023-09-08,211141,78,swdq4oay5c2gviwsabdae2yur,2023-12-14T06:06:34Z,"","Olivia Rodrigo PS",0.553,0.847,5,-5.736,1,0.187,0.0143,0,0.561,0.733,162.024,4
1kuGVB7EU95pJObxwvfwKS,"vampire","GUTS","Olivia Rodrigo",2023-09-08,219724,85,swdq4oay5c2gviwsabdae2yur,2023-12-14T06:06:37Z,"","Olivia Rodrigo PS",0.484,0.53,5,-5.821,1,0.0538,0.154,0,0.263,0.323,136.848,4
3IX0yuEVvDbnqUwMBB3ouC,"bad idea right?","GUTS","Olivia Rodrigo",2023-09-08,184783,79,swdq4oay5c2gviwsabdae2yur,2023-12-14T06:06:40Z,"","Olivia Rodrigo PS",0.631,0.881,9,-3.545,1,0.0995,0.00177,0.0000045,0.0639,0.808,129.981,4
3b5MPNYlX8ztJowxAwzTai,"Winner","Winner","Conan Gray",2023-08-25,217209,53,swdq4oay5c2gviwsabdae2yur,2023-12-14T06:06:50Z,"","Republic Records",0.418,0.49,0,-4.956,1,0.0295,0.164,0,0.34,0.177,139.64,4
5CscrLqFBgPfZR8fGtikov,"making the bed","GUTS","Olivia Rodrigo",2023-09-08,198866,74,j063zjl0w6v88aawt4shyu6es,2023-12-14T06:09:08Z,"","Olivia Rodrigo PS",0.55,0.409,7,-7.718,1,0.0316,0.386,0,0.122,0.252,133.099,4
6QT6j7rKt7Vk3IuV2AUO9W,"lacy","GUTS","Olivia Rodrigo",2023-09-08,177212,79,j063zjl0w6v88aawt4shyu6es,2023-12-14T06:09:09Z,"","Olivia Rodrigo PS",0.395,0.367,3,-7.653,1,0.0324,0.815,0,0.11,0.426,77.968,4
7fesNTgTEMEH0ye8MOgEDY,"teenage dream","GUTS","Olivia Rodrigo",2023-09-08,222358,71,j063zjl0w6v88aawt4shyu6es,2023-12-14T06:09:10Z,"","Olivia Rodrigo PS",0.426,0.218,0,-11.705,1,0.0341,0.835,0,0.108,0.116,135.205,4
34sOdxWu9FljH84UXdRwu1,"all-american bitch","GUTS","Olivia Rodrigo",2023-09-08,165833,76,j063zjl0w6v88aawt4shyu6es,2023-12-14T06:09:11Z,"","Olivia Rodrigo PS",0.421,0.695,6,-4.346,1,0.0428,0.218,0.00000297,0.155,0.45,156.344,4
