Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7a86XRg84qjasly9f6bPSD,"We Are Young (feat. Janelle Monáe)","Some Nights","fun.,Janelle Monáe",2012-02-21,250626,76,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:22:31Z,"alternative r&b","Fueled By Ramen",0.378,0.638,10,-5.576,1,0.075,0.02,0.0000766,0.0849,0.735,184.086,4
3JvrhDOgAt6p7K8mDyZwRd,"Riptide","Dream Your Life Away (Special Edition)","Vance Joy",2014-09-08,204280,21,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:22:53Z,"folk pop","Atlantic Records",0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
3d8y0t70g7hw2FOWl9Z4Fm,"Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,10,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:23:18Z,"folk pop,indie folk","Dualtone Music Group",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.02,4
6vECYJHxYmm3Ydt3fF01pE,"Stolen Dance","Sadnecessary","Milky Chance",2014-06-20,313684,7,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:23:45Z,"","Neon",0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,4
4nVBt6MZDDP6tRVdQTgxJg,"Story of My Life","Midnight Memories (Deluxe)","One Direction",2013-11-25,245493,86,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:24:12Z,"","Syco Music",0.6,0.663,3,-5.802,1,0.0477,0.225,0,0.119,0.286,121.07,4
4cluDES4hQEUhmXj6TXkSo,"What Makes You Beautiful","Up All Night","One Direction",2012-05-25,199986,85,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:24:18Z,"","Syco Music UK",0.726,0.787,4,-2.494,1,0.0737,0.009,0,0.0596,0.888,124.99,4
2K87XMYnUMqLcX3zvtAF4G,"Drag Me Down","Made In The A.M. (Deluxe Edition)","One Direction",2015-11-13,192120,79,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:24:36Z,"","Syco Music",0.731,0.703,0,-5.672,0,0.0368,0.111,0,0.0657,0.595,138.111,4
72C7aUQECOhNtnD0AC36ua,"They Don't Know About Us","Take Me Home: Yearbook Edition","One Direction",2012-11-09,201693,0,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:24:56Z,"","Syco Music UK",0.512,0.754,0,-6.031,1,0.0549,0.135,0,0.0881,0.336,147.89,4
3NLnwwAQbbFKcEcV8hDItk,"Perfect","Made In The A.M. (Deluxe Edition)","One Direction",2015-11-13,230333,81,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:25:55Z,"","Syco Music",0.648,0.822,11,-5.231,0,0.0749,0.0598,0,0.119,0.397,99.933,4
5dONhl6aXFuN86UBdayF6W,"Olivia","Made In The A.M. (Deluxe Edition)","One Direction",2015-11-13,177973,66,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:26:20Z,"","Syco Music",0.64,0.681,6,-5.362,1,0.0334,0.0438,0,0.166,0.676,118.069,4
5T7ZFtCcOgkpjxcuaeZbw0,"Best Song Ever","Midnight Memories (Deluxe)","One Direction",2013-11-25,200106,77,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:27:05Z,"","Syco Music",0.652,0.877,1,-2.986,1,0.0465,0.0227,0,0.0789,0.486,118.491,4
0AkQbXGN4KG34TS7xLrM68,"Kiss You","Take Me Home: Yearbook Edition","One Direction",2012-11-09,182960,5,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:28:17Z,"","Syco Music UK",0.63,0.934,4,-2.559,1,0.0589,0.0186,0,0.324,0.905,89.992,4
6Z8R6UsFuGXGtiIxiD8ISb,"Safe And Sound","In A Tidal Wave Of Mystery (Deluxe Edition)","Capital Cities",2013,192789,21,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:30:12Z,"","Capital Cities",0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,5
3gbBpTdY8lnQwqxNCcf795,"Pompeii","Bad Blood","Bastille",2013-01-01,214147,71,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:30:31Z,"","EMI (Virgin)",0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,4
3DamFFqW32WihKkTVlwTYQ,"Fireflies","Ocean Eyes","Owl City",2009-01-01,228346,79,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:31:00Z,"","Universal Records",0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,4
2GiJYvgVaD2HtM8GqD9EgQ,"Electric Love","Dopamine","BØRNS",2015-10-16,218106,80,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:34:10Z,"","UMGRI Interscope",0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
2Z5wXgysowvzl0nKGNGU0t,"Out of My League","More Than Just a Dream","Fitz and The Tantrums",2013-05-07,209386,73,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:34:26Z,"","Elektra (NEK)",0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,4
3bnVBN67NBEzedqQuWrpP4,"Tear in My Heart","Blurryface","Twenty One Pilots",2015-05-15,188493,76,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:35:01Z,"","Fueled By Ramen",0.655,0.632,2,-4.802,1,0.0489,0.0189,0,0.0722,0.447,120.113,4
3IQF4xCQUPicbA4hWfTxPo,"I Lived","Native","OneRepublic",2013-01-01,234546,76,31u7cp5t5354tb7ioa2otbpfzori,2020-07-22T04:35:18Z,"soft pop","Mosley / Interscope",0.593,0.85,9,-5.456,1,0.0447,0.0678,0,0.271,0.344,119.984,4
