Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6AI3ezQ4o3HUoP6Dhudph3,"Not Like Us","Not Like Us","Kendrick Lamar",2024-05-04,274192,96,w6ys3352jp272c9x3udm76elv,2025-02-15T04:33:48Z,"hip hop,west coast hip hop","Kendrick Lamar, under exclusive license to Interscope Records",0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
3XpgLBx3TGuDIFV5gUaR0w,"Only Hope","A Walk To Remember Music From The Motion Picture","Mandy Moore",2002-01-15,233306,54,w6ys3352jp272c9x3udm76elv,2025-02-15T04:37:42Z,"","Epic/Sony Music Soundtrax",0.246,0.301,8,-8.714,0,0.0281,0.876,0.0000119,0.109,0.193,77.572,3
2tHwzyyOLoWSFqYNjeVMzj,"Please Please Please","Short n' Sweet","Sabrina Carpenter",2024-08-23,186365,87,carterrhett,2025-02-15T04:37:58Z,"","Island Records",0.675,0.586,9,-6.086,1,0.0531,0.257,0,0.104,0.621,107.015,4
0W4NhJhcqKCqEP2GIpDCDq,"Love","The Way It Is","Keyshia Cole",2005-01-01,255333,82,carterrhett,2025-02-15T04:38:01Z,"r&b","A&M (UC)",0.688,0.518,5,-4.285,1,0.0283,0.0642,0,0.1,0.314,116.714,4
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry","The Secret of Us","Gracie Abrams",2024-06-21,157146,90,carterrhett,2025-02-15T04:38:09Z,"","Gracie Abrams, under exclusive license to Interscope Records",0.53,0.406,10,-7.507,1,0.033,0.656,0,0.133,0.338,115.94,3
5tKlIgkTo8QZBVLGkyhEso,"You Might Think - From Cars 2/Soundtrack Version","Cars 2 (Original Soundtrack)","Weezer",2011-01-01,187266,55,w6ys3352jp272c9x3udm76elv,2025-02-15T04:40:02Z,"alternative rock","Walt Disney Records",0.715,0.758,2,-7.52,1,0.0319,0.0162,0.0294,0.119,0.978,133.622,4
5G2f63n7IPVPPjfNIGih7Q,"Taste","Short n' Sweet","Sabrina Carpenter",2024-08-23,157279,91,w6ys3352jp272c9x3udm76elv,2025-02-15T04:41:16Z,"","Island Records",0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,4
7ne4VBA60CxGM75vw0EYad,"That’s So True","The Secret of Us (Deluxe)","Gracie Abrams",2024-10-18,166300,96,carterrhett,2025-02-15T04:38:12Z,"","Gracie Abrams, under exclusive license to Interscope Records",0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
3sW3oSbzsfecv9XoUdGs7h,"Enchanted (Taylor's Version)","Speak Now (Taylor's Version)","Taylor Swift",2023-07-07,353253,78,carterrhett,2025-02-15T04:38:41Z,"","Taylor Swift",0.52,0.553,8,-3.546,1,0.0269,0.016,0,0.165,0.227,81.949,4
3U5JVgI2x4rDyHGObzJfNf,"Unwritten","Unwritten","Natasha Bedingfield",2004-08-30,259333,87,carterrhett,2025-02-15T04:38:49Z,"","Sony Music CG",0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,4
