Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0LQtEJt7x0s6knb6RKdRYc,"Chicken Fried","The Foundation","Zac Brown Band",2008-11-17,238146,76,12183964204,2021-11-13T12:38:48Z,"country,acoustic country","Home Grown Music",0.566,0.713,6,-4.25,1,0.0418,0.645,0,0.114,0.805,169.861,4
2Fs18NaCDuluPG1DHGw1XG,"Life is a Highway","Me And My Gang","Rascal Flatts",2006-01-01,276320,74,12183964204,2021-11-13T12:37:58Z,"country","Lyric Street",0.582,0.952,5,-3.848,1,0.0731,0.00324,0,0.223,0.655,103.027,4
003vvx7Niy0yvhvHt4a68B,"Mr. Brightside","Hot Fuss","The Killers",2004,222973,88,12183964204,2021-11-13T12:38:00Z,"alternative rock","Island Records",0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,4
62AuGbAkt8Ox2IrFFb8GKV,"Sweet Caroline","Sweet Caroline","Neil Diamond",1969-06-06,203573,77,12183964204,2021-11-13T12:38:04Z,"","Geffen",0.529,0.127,11,-16.066,1,0.0274,0.614,0.000133,0.237,0.579,63.05,4
4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,216773,84,12183964204,2021-11-13T12:37:55Z,"soft pop","Columbia",0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,4
4bHsxqR3GMrXTxEPLuK5ue,"Don't Stop Believin'","Escape (Bonus Track Version)","Journey",1981,250986,16,12183964204,2021-11-13T12:38:09Z,"album rock,classic rock","Columbia",0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,4
1fDsrQ23eTAVFElUMaf38X,"American Pie","American Pie","Don McLean",1971,516893,77,12183964204,2021-11-13T12:38:12Z,"","Capitol Records",0.529,0.482,4,-11.709,0,0.0599,0.7,0,0.0842,0.492,138.453,4
3cfOd4CMv2snFaKAnMdnvK,"All Star","Astro Lounge","Smash Mouth",1999-06-08,200373,79,12183964204,2021-11-13T12:38:15Z,"","Interscope",0.731,0.867,11,-5.881,1,0.032,0.0394,0,0.0861,0.776,104.02,4
0KAiuUOrLTIkzkpfpn9jb9,"Drive By","California 37","Train",2012-04-17,195973,82,12183964204,2021-11-13T12:38:18Z,"soft pop","Columbia",0.765,0.837,1,-3.113,0,0.032,0.00107,0.0000106,0.0801,0.721,122.028,4
2NniAhAtkRACaMeYt48xlD,"50 Ways to Say Goodbye","California 37","Train",2012-04-17,247946,69,12183964204,2021-11-13T12:38:25Z,"soft pop","Columbia",0.591,0.935,6,-2.664,1,0.0478,0.000284,0.000278,0.142,0.736,140.043,4
4RCWB3V8V0dignt99LZ8vH,"Hey There Delilah","All That We Needed","Plain White T's",2005-01-25,232533,79,12183964204,2021-11-13T12:38:28Z,"","Fearless Records",0.658,0.291,2,-10.572,1,0.0292,0.872,0,0.114,0.295,103.962,4
0C9jZPUv4SuaXkuEQw6L40,"I'm A Believer","Smash Mouth","Smash Mouth",2001-01-01,185306,68,12183964204,2021-11-13T12:38:38Z,"","Interscope",0.549,0.981,11,-3.558,0,0.059,0.0178,0.0000018,0.438,0.873,82.331,4
7e89621JPkKaeDSTQ3avtg,"Sweet Home Alabama","Second Helping (Expanded Edition)","Lynyrd Skynyrd",1974-04-15,283800,81,12183964204,2021-11-13T12:38:41Z,"southern rock,classic rock,rock","Geffen*",0.596,0.606,7,-12.145,1,0.0255,0.181,0.000327,0.0863,0.886,97.785,4
2hKdd3qO7cWr2Jo0Bcs0MA,"Drops of Jupiter (Tell Me)","Drops Of Jupiter","Train",2001-03-27,259933,82,12183964204,2021-11-13T12:39:01Z,"soft pop","Columbia/Legacy",0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,4
6OnfBiiSc9RGKiBKKtZXgQ,"We Built This City","Knee Deep In The Hoopla","Starship",1985-09-10,296080,76,12183964204,2021-11-13T12:39:10Z,"","Rhino",0.661,0.908,5,-4.897,1,0.039,0.052,0,0.0708,0.656,144.091,4
2374M0fQpWi3dLnB54qaLX,"Africa","Toto IV","TOTO",1982-04-08,295893,87,12183964204,2021-11-13T12:39:13Z,"soft rock","Columbia",0.671,0.373,9,-18.064,1,0.0323,0.257,0.0000801,0.0481,0.732,92.718,4
3EiMqTrDJ4aq6jv5wzaEpR,"Jessie's Girl","Jessie's Girl","Jessies Girl",2020-11-30,189889,25,12183964204,2021-11-13T12:39:16Z,"","Rachelle Productions",0.642,0.591,11,-5.679,0,0.0375,0.00172,0,0.226,0.782,132.958,4
5uHYcK0nbEYgRaFTY5BqnP,"Magic (feat. Rivers Cuomo)","B.o.B Presents: The Adventures of Bobby Ray","B.o.B,Rivers Cuomo",2010-04-27,196133,65,12183964204,2021-11-13T12:39:20Z,"","Rebel Rock/Grand Hustle/Atlantic",0.549,0.932,8,-4.11,0,0.343,0.0127,0,0.347,0.787,82.439,4
3G7tRC24Uh09Hmp1KZ7LQ2,"I'm a Believer - 2006 Remaster","More of The Monkees (Deluxe Edition)","The Monkees",1967-01-09,167373,74,12183964204,2021-11-13T12:39:32Z,"","Rhino",0.526,0.775,0,-6.05,1,0.0352,0.707,0.0000205,0.217,0.962,80.106,4
3dPdxFx3tWdJdZJqFJEo3u,"Summer Rain","Runaway Horses (Remastered & Expanded Special Edition)","Belinda Carlisle",1989-10-17,332653,45,12183964204,2021-11-13T12:40:04Z,"","Edsel",0.722,0.858,5,-7.808,1,0.031,0.0399,0.0000024,0.0896,0.942,128.865,4
6Amt2E3nanH9lhZnas9oOs,"Run to Paradise","Big Bad Noise","Choirboys",1987,251586,60,12183964204,2021-11-13T12:40:12Z,"","WM Australia",0.698,0.71,9,-8.569,1,0.0452,0.161,0.0828,0.0489,0.691,138.797,4
6zSpb8dQRaw0M1dK8PBwQz,"Cold Heart - PNAU Remix","Cold Heart (PNAU Remix)","Elton John,Dua Lipa,PNAU",2021-08-13,202735,82,12183964204,2021-11-13T12:40:23Z,"pop","EMI",0.796,0.798,1,-6.312,1,0.0317,0.034,0.0000419,0.0952,0.942,116.032,4
53BHUFdQphHiZUUG3nx9zn,"Bang!","Bang!","AJR",2020-02-12,170858,2,12183964204,2021-11-13T12:40:32Z,"","S-Curve Records",0.74,0.516,1,-6.233,0,0.0507,0.0183,0,0.0558,0.698,139.918,4
1yKu2MhpwzDXXH2tzG6xoa,"Beverly Hills","Make Believe","Weezer",2005-05-10,196093,71,12183964204,2021-11-13T12:40:43Z,"alternative rock","Geffen",0.693,0.823,5,-3.761,1,0.0726,0.0932,0,0.328,0.741,87.904,4
5gb9UJkh8TfrNMRYOJNbew,"Gives You Hell","When The World Comes Down","The All-American Rejects",2008-01-01,213106,69,12183964204,2021-11-13T12:40:51Z,"pop punk,emo,emo pop","Interscope",0.718,0.691,4,-6.44,1,0.0387,0.0159,0,0.0627,0.552,100.008,4
77loZpT5Y5PRP1S451P9Yz,"The Reason","The Reason (15th Anniversary Deluxe)","Hoobastank",2003-12-09,232800,10,12183964204,2021-11-13T12:40:56Z,"nu metal","Island Def Jam",0.474,0.671,4,-4.649,1,0.0289,0.0129,0,0.159,0.0682,82.94,4
2g2a5kDeZexbUTD8abcvm6,"Lifestyles of the Rich & Famous","The Young and The Hopeless","Good Charlotte",2002-10-04,190173,69,12183964204,2021-11-13T12:41:17Z,"pop punk,punk,emo,emo pop","Epic/Daylight",0.62,0.93,1,-3.685,1,0.0374,0.00043,0,0.0686,0.609,106.22,4
5oQcOu1omDykbIPSdSQQNJ,"1985","A Hangover You Don't Deserve","Bowling For Soup",2004,193000,71,12183964204,2021-11-13T12:41:25Z,"pop punk,punk","Jive",0.606,0.887,4,-4.404,1,0.0598,0.000242,0,0.337,0.903,119.974,4
27L8sESb3KR79asDUBu8nW,"Stacy's Mom","Welcome Interstate Managers","Fountains Of Wayne",2003-01-01,197986,75,12183964204,2021-11-13T12:41:30Z,"power pop","S-Curve Records",0.774,0.75,11,-4.927,0,0.0412,0.00207,0.0000178,0.0808,0.927,118.015,4
70wYA8oYHoMzhRRkARoMhU,"When You Were Young","Sam's Town","The Killers",2006-09-27,220426,78,12183964204,2021-11-13T12:41:36Z,"alternative rock","Island Records",0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.433,4
1yjY7rpaAQvKwpdUliHx0d,"Still into You","Paramore","Paramore",2013-04-05,216013,81,12183964204,2021-11-13T12:41:46Z,"pop punk,emo,emo pop","Fueled By Ramen",0.602,0.923,5,-3.763,1,0.044,0.0098,0,0.0561,0.765,136.01,4
6GG73Jik4jUlQCkKg9JuGO,"The Middle","Bleed American","Jimmy Eat World",2001-07-17,165853,81,12183964204,2021-11-13T12:41:55Z,"emo,pop punk,emo pop","Interscope",0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,4
5cY8y2XgOfkAh4kSWLFKkz,"I Write Sins Not Tragedies","A Fever You Can't Sweat Out","Panic! At The Disco",2005-09-27,185586,71,12183964204,2021-11-13T12:41:59Z,"emo","Fueled By Ramen/ADA",,,,,,,,,,,,
5pKCDm2fw4k6D6C5Rk646C,"Tears Don't Fall","The Poison","Bullet For My Valentine",2005,348386,67,12183964204,2021-11-13T12:42:04Z,"metalcore,metal,screamo","20-20 Entertainment LLC",0.214,0.931,7,-3.347,0,0.143,0.000705,0.00000309,0.0797,0.233,162.115,4
6kopmMZiyLmw7h66uXcXR7,"Valerie (feat. Amy Winehouse) - Version Revisited","Version","Mark Ronson,Amy Winehouse",2007-04-16,219413,82,12183964204,2021-11-13T12:42:11Z,"","Columbia",0.699,0.83,1,-4.898,1,0.0633,0.00243,0.00024,0.0995,0.889,105.809,4
4ZtFanR9U6ndgddUvNcjcG,"good 4 u","SOUR","Olivia Rodrigo",2021-05-21,178146,83,12183964204,2021-11-13T12:42:25Z,"","Olivia Rodrigo PS",0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,4
6KgtcmCF9Ky68XC7ezxl3s,"Rumors (feat. Cardi B)","Rumors (feat. Cardi B)","Lizzo,Cardi B",2021-08-13,172832,61,12183964204,2021-11-13T12:42:38Z,"","Nice Life/Atlantic",0.827,0.731,4,-5.524,0,0.088,0.13,0,0.418,0.607,118.992,4
0DmAvNCAK08oCi7miSZUIY,"Lasting Lover","Lasting Lover","Sigala,James Arthur",2020-09-04,218358,65,12183964204,2021-11-13T12:42:52Z,"soft pop","Ministry of Sound Recordings",0.676,0.786,1,-4.529,1,0.0478,0.197,0,0.0943,0.483,125.983,4
2HJvW99WQacT35i0jDUpTi,"I'm Still Standing - Remastered","Diamonds (Deluxe)","Elton John",2017-11-10,184546,0,12183964204,2021-11-13T12:43:05Z,"","UMC (Universal Music Catalogue)",0.467,0.927,10,-5.951,0,0.18,0.391,0.00674,0.142,0.761,177.501,4
1kdxZYbXrqBX2hWtw3VFQF,"Jump (For My Love)","Break Out","The Pointer Sisters",1983-11-06,267226,51,12183964204,2021-11-13T12:43:11Z,"disco","RCA Records Label",0.842,0.697,10,-13.796,0,0.0654,0.161,0.000101,0.583,0.916,134.533,4
2dO88mixgzqmgy56wFUVSY,"I Think We're Alone Now","Tiffany","Tiffany",1987-01-01,228840,0,12183964204,2021-11-13T12:43:18Z,"","Universal Music Group",0.75,0.723,7,-12.117,1,0.0485,0.0247,0.00414,0.0215,0.946,130.515,4
2IZZqH4K02UIYg5EohpNHF,"Zombie","No Need To Argue","The Cranberries",1994-10-03,306426,9,12183964204,2021-11-13T12:43:23Z,"","Island Records",0.307,0.635,7,-8.957,1,0.0339,0.0154,0.00483,0.366,0.304,166.973,4
