Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7LP4Es66zdY7CyjepqmvAg,"Down","All Or Nothing","Jay Sean,Lil Wayne",2009-01-01,212106,4,12158852066,2020-07-18T01:52:03Z,"rap,hip hop","Cash Money",0.657,0.695,2,-4.493,1,0.0321,0.0108,0,0.0822,0.683,65.997,4
3ibKnFDaa3GhpPGlOUj7ff,"Let Me Love You","Let Me Love You","Mario",2004-09-21,256733,74,12158852066,2020-07-18T01:52:36Z,"r&b","J Records",0.656,0.578,7,-8.97,0,0.0922,0.235,0,0.118,0.556,94.514,4
7uKcScNXuO3MWw6LowBjW1,"1, 2 Step (feat. Missy Elliott)","Goodies","Ciara,Missy Elliott",2004-09-27,203786,77,12158852066,2020-07-18T01:52:47Z,"hip hop","So So Def",0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,4
6e40mgJiCid5HRAGrbpGA6,"I Want It That Way","The Hits--Chapter One","Backstreet Boys",2001-10-23,213600,67,12158852066,2020-07-18T01:52:52Z,"","Jive",0.689,0.702,6,-5.642,0,0.0261,0.216,0,0.159,0.484,99.031,4
13xxBnXOuiBxVxJI458B0i,"Unfaithful","A Girl Like Me","Rihanna",2006-04-10,226973,71,12158852066,2020-07-18T01:52:57Z,"","Def Jam Recordings",0.588,0.391,0,-8.607,0,0.0334,0.839,0,0.227,0.349,144.069,4
3SwlakM6VX47IwG0Wll5ek,"Promiscuous","The Best of Nelly Furtado (Deluxe)","Nelly Furtado,Timbaland",2010-01-01,242373,56,12158852066,2020-07-18T01:53:08Z,"","Interscope",0.807,0.97,10,-6.056,0,0.0477,0.0536,0.000066,0.149,0.876,114.298,4
3tvWMBIblzT5FSjKtIeRR1,"Whatever You Like","Paper Trail","T.I.",2008-09-08,249533,2,12158852066,2020-07-18T01:53:19Z,"southern hip hop","Grand Hustle/Atlantic",0.68,0.687,9,-6.162,0,0.0709,0.0161,0,0.261,0.467,150.053,4
6lV2MSQmRIkycDScNtrBXO,"Airplanes (feat. Hayley Williams of Paramore)","B.o.B Presents: The Adventures of Bobby Ray","B.o.B,Hayley Williams",2010-04-27,180480,75,12158852066,2020-07-18T01:53:32Z,"art pop","Rebel Rock/Grand Hustle/Atlantic",0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,4
0I3q5fE6wg7LIfHGngUTnV,"Ms. Jackson","Stankonia","Outkast",2000-10-31,270506,83,12158852066,2020-07-18T01:53:36Z,"southern hip hop,hip hop","Arista/LaFace Records",0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,4
2PpruBYCo4H7WOBJ7Q2EwM,"Hey Ya!","Speakerboxxx/The Love Below","Outkast",2003,235213,83,12158852066,2020-07-18T01:53:40Z,"southern hip hop,hip hop","Arista",0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,4
