Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5bgwqaRSS3M8WHWruHgSL5,"8TEEN","American Teen","Khalid",2017-04-27,228600,73,t6xt5dabbvac4a11udm1lnsur,2020-12-06T03:11:01Z,"","Right Hand Music Group, LLC/RCA Records",0.83,0.585,1,-5.802,1,0.0366,0.225,0.00209,0.0576,0.642,105.03,4
5HQVUIKwCEXpe7JIHyY734,"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg,Wiz Khalifa,Bruno Mars",2011-10-11,207333,76,t6xt5dabbvac4a11udm1lnsur,2020-12-06T03:11:11Z,"g-funk,west coast hip hop,gangster rap,hip hop,rap","Rostrum/Atlantic",0.715,0.655,0,-6.425,1,0.137,0.0525,0,0.115,0.531,95.078,4
1PS1QMdUqOal0ai3Gt7sDQ,"Gold Digger","Late Registration","Kanye West,Jamie Foxx",2005-08-30,207626,80,t6xt5dabbvac4a11udm1lnsur,2020-12-06T03:11:40Z,"rap","Roc-A-Fella",0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,4
7EQGXaVSyEDsCWKmUcfpLk,"Die Young","Warrior (Expanded Edition)","Kesha",2012-11-30,211920,81,t6xt5dabbvac4a11udm1lnsur,2020-12-06T03:11:51Z,"","Kemosabe Records/RCA Records",0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,4
1EzrEOXmMH3G43AXT1y7pA,"I'm Yours","We Sing. We Dance. We Steal Things.","Jason Mraz",2008-05-12,242946,78,t6xt5dabbvac4a11udm1lnsur,2020-12-06T03:15:01Z,"soft pop,acoustic pop","Atlantic Records/ATG",0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4
2oRQmJitqUIwovf3Ttg4sw,"Hey Ya!","Kiss R&B Digital Downloads","Outkast",2006-11-06,236026,44,t6xt5dabbvac4a11udm1lnsur,2020-12-06T03:15:20Z,"southern hip hop,hip hop","Sony BMG Music UK",0.714,0.946,0,-4.779,1,0.0556,0.0672,0.000486,0.187,0.966,79.52,4
4bO6IzKXMWhmncfIO9GBq2,"C'Mon","Warrior (Expanded Edition)","Kesha",2012-11-30,214306,61,t6xt5dabbvac4a11udm1lnsur,2020-12-06T03:14:53Z,"","Kemosabe Records/RCA Records",0.558,0.781,1,-5.448,0,0.0963,0.00657,0.00144,0.102,0.286,126.025,4
0GO8y8jQk1PkHzS31d699N,"Tongue Tied","Never Trust a Happy Song","GROUPLOVE",2011-09-02,218013,80,t6xt5dabbvac4a11udm1lnsur,2020-12-06T03:15:28Z,"indie","Canvasback/ATL",0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4
3avYqdwHKEq8beXbeWCKqJ,"Last Friday Night (T.G.I.F.)","Teenage Dream","Katy Perry",2010-01-01,230733,78,t6xt5dabbvac4a11udm1lnsur,2020-12-06T03:16:06Z,"pop","Capitol Records",0.652,0.81,3,-3.789,0,0.0406,0.00129,0.0000291,0.667,0.732,126.022,4
5rgy6ghBq1eRApCkeUdJXf,"We Are Young (feat. Janelle Monáe)","Some Nights","fun.,Janelle Monáe",2012-02-14,250626,79,t6xt5dabbvac4a11udm1lnsur,2020-12-06T03:16:14Z,"alternative r&b","Fueled By Ramen",0.378,0.638,10,-5.576,1,0.075,0.02,0.0000766,0.0849,0.735,184.086,4
