Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5oBarQJHCnHLzyezz0XzFx,"Two Beers In","Those Days Are Gone","Free Throw",2014-09-16,135625,61,woodymackenzie12,2024-10-02T18:29:01Z,"midwest emo,math rock,emo,emo pop,pop punk","Two Spot Records and Many Hats Distribution",0.676,0.533,4,-6.556,1,0.0384,0.0251,0.000431,0.135,0.487,112.444,3
29TPjc8wxfz4XMn21O7VsZ,"Sky","Whole Lotta Red","Playboi Carti",2020-12-25,193234,81,woodymackenzie12,2024-10-02T18:29:05Z,"rage rap","AWGE/Interscope Records",0.785,0.903,2,-4.184,1,0.21,0.258,0,0.169,0.565,139.98,4
7epEb4JHieug0GQUXMP1d9,"Heaven Sent","Chemical Miracle","Trophy Eyes",2016-10-14,216000,40,woodymackenzie12,2024-10-02T18:31:01Z,"pop punk,melodic hardcore,emo,emo pop","Hopeless Records",0.378,0.916,6,-1.174,1,0.0658,0.189,0,0.275,0.415,115.219,4
3hhbDnFUb2bicI2df6VurK,"River","Coming Home (Deluxe)","Leon Bridges",2015-06-23,240200,76,woodymackenzie12,2024-10-02T18:31:22Z,"retro soul","Columbia",0.635,0.184,8,-10.785,1,0.0456,0.665,0,0.146,0.177,128.424,4
3t5OV1asJHmOlf23T08CLv,"Lady May","Purgatory","Tyler Childers",2017-08-04,183533,76,woodymackenzie12,2024-10-02T18:31:44Z,"country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446,4
1VZQYv1EhvZAwKYYdgmcdf,"High Tops","High Tops","Del Water Gap",2018-10-11,238200,16,woodymackenzie12,2024-10-02T18:32:04Z,"","The Charles Atlas Company",0.557,0.458,7,-5.127,1,0.0306,0.0499,0.0000592,0.176,0.262,128.129,4
20I8RduZC2PWMWTDCZuuAN,"Take Me Out","Franz Ferdinand","Franz Ferdinand",2004-02-16,237026,82,woodymackenzie12,2024-10-02T18:35:33Z,"indie rock","Domino Recording Co",0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,4
2hKdd3qO7cWr2Jo0Bcs0MA,"Drops of Jupiter (Tell Me)","Drops Of Jupiter","Train",2001-03-27,259933,82,woodymackenzie12,2024-10-02T18:35:41Z,"soft pop","Columbia/Legacy",0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,4
64tCsJOa1BkDS09PuqTEy6,"Be My Baby","Dirty Dancing (Original Motion Picture Soundtrack)","The Ronettes",1987-09-24,159760,52,woodymackenzie12,2024-10-02T18:35:52Z,"christmas","RCA Records Label",0.511,0.619,4,-12.806,1,0.037,0.17,0.00000106,0.0664,0.823,129.484,4
5FZxsHWIvUsmSK1IAvm2pp,"Best of You","In Your Honor","Foo Fighters",2005-06-14,255626,75,woodymackenzie12,2024-10-02T18:36:02Z,"rock,post-grunge,alternative rock,grunge,modern rock","RCA Records Label",0.366,0.94,1,-5.119,0,0.0696,0.000769,0.0000942,0.188,0.369,130.198,4
6Nq5lE0CeOAAAqN4qhkbZU,"Suga Suga","Tha Smokin' Nephew","Baby Bash,Frankie J",2003-01-01,239026,73,woodymackenzie12,2024-10-02T18:57:24Z,"","Universal Records",0.662,0.748,5,-3.041,0,0.268,0.688,0.00000858,0.0841,0.535,82.331,4
2oDqmfa2g8W893LlwJG1qu,"Closer","The Downward Spiral","Nine Inch Nails",1994-03-08,373000,6,woodymackenzie12,2024-10-02T18:57:32Z,"industrial rock,industrial,industrial metal,alternative metal,electronic rock,nu metal","TVT Records",0.547,0.714,10,-8.628,0,0.044,0.000242,0.636,0.122,0.541,89.996,4
6IZvVAP7VPPnsGX6bvgkqg,"PRIDE.","DAMN.","Kendrick Lamar",2017-04-14,275253,85,woodymackenzie12,2024-10-02T18:57:45Z,"hip hop,west coast hip hop","Aftermath",0.665,0.535,4,-7.056,0,0.0572,0.0786,0.0000168,0.154,0.37,138.842,4
1auxYwYrFRqZP7t3s7w4um,"Ni**as In Paris","Watch The Throne","JAY-Z,Kanye West",2011-08-08,219333,81,woodymackenzie12,2024-10-02T18:57:58Z,"hip hop,east coast hip hop,rap","Roc Nation/RocAFella/IDJ",0.789,0.858,1,-5.542,1,0.311,0.127,0,0.349,0.775,140.022,4
1AWQoqb9bSvzTjaLralEkT,"Rock Your Body","Justified","Justin Timberlake",2002-11-04,267266,81,woodymackenzie12,2024-10-02T18:58:12Z,"","Jive",0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,4
1D23GEeQ32aqLw5ZnY3Ivp,"COOLEST MONKEY IN THE JUNGLE","BEWARE THE BOOK OF ELI","Ski Mask The Slump God,SahBabii",2018-05-11,152213,53,woodymackenzie12,2024-10-02T18:58:26Z,"melodic rap","Victor VM",0.893,0.676,9,-4.867,0,0.227,0.324,0,0.0968,0.804,125.923,4
1ThmUihH9dF8EV08ku5AXN,"Faucet Failure","STOKELEY","Ski Mask The Slump God",2018-11-30,145626,69,woodymackenzie12,2024-10-02T18:58:32Z,"","Republic Records",0.935,0.552,10,-9.373,0,0.335,0.111,0,0.0952,0.616,99.993,4
7y9yjpRtZajYzVpXHRjwGz,"No More ?'s","Eazy-Duz-It","Eazy-E",1988-09-13,234360,73,woodymackenzie12,2024-10-02T18:58:45Z,"gangster rap,west coast hip hop,g-funk","FRONTLINE CATALOG (P81)",0.935,0.805,7,-4.782,1,0.225,0.0143,0.00000153,0.298,0.624,105.641,4
7sPt2cfrg7DrVP52zfvS1i,"Gin N Juice (feat. Dat Nigga Daz)","Doggystyle","Snoop Dogg,Daz Dillinger",1993,211493,4,woodymackenzie12,2024-10-02T18:58:54Z,"g-funk,west coast hip hop,gangster rap,hip hop,rap","Death Row Records",0.549,0.853,7,-4.293,1,0.188,0.0285,0.000296,0.618,0.346,94.695,4
6KIKRz9eSTXdNsGUnomdtW,"Straight Outta Compton","Straight Outta Compton","N.W.A.",1988-08-08,258687,72,woodymackenzie12,2024-10-02T18:59:01Z,"gangster rap,west coast hip hop,hip hop,rap,g-funk","Priority Records",0.834,0.878,8,-9.484,1,0.15,0.0461,0,0.334,0.418,102.848,4
