Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0mEdbdeRFQwBhN4xfyIeUM,"Can't Tell Me Nothing","Graduation","Kanye West",2007-09-11,271600,82,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:21:26Z,"rap","Roc-A-Fella",0.587,0.62,5,-6.133,0,0.042,0.0122,0,0.82,0.106,79.928,4
1auxYwYrFRqZP7t3s7w4um,"Ni**as In Paris","Watch The Throne","JAY-Z,Kanye West",2011-08-08,219333,81,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:21:51Z,"hip hop,east coast hip hop,rap","Roc Nation/RocAFella/IDJ",0.789,0.858,1,-5.542,1,0.311,0.127,0,0.349,0.775,140.022,4
3GCdLUSnKSMJhs4Tj6CV3s,"All The Stars (with SZA)","Black Panther The Album Music From And Inspired By","Kendrick Lamar,SZA",2018-02-09,232186,95,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:22:04Z,"hip hop,west coast hip hop,r&b","Black Panther (TDE/DMG) PS",0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4
2aibwv5hGXSgw7Yru8IYTO,"Snow (Hey Oh)","Stadium Arcadium","Red Hot Chili Peppers",2006-05-09,334666,79,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:22:19Z,"funk rock,alternative rock,rock","Warner Records",0.427,0.9,11,-3.674,1,0.0499,0.116,0.0000175,0.119,0.599,104.655,4
1f2V8U1BiWaC9aJWmpOARe,"By the Way","By the Way (Deluxe Edition)","Red Hot Chili Peppers",2002-07-09,216933,76,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:23:22Z,"funk rock,alternative rock,rock","Warner Records",0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,4
2PpruBYCo4H7WOBJ7Q2EwM,"Hey Ya!","Speakerboxxx/The Love Below","Outkast",2003,235213,83,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:23:29Z,"southern hip hop,hip hop","Arista",0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,4
1Y373MqadDRtclJNdnUXVc,"Paranoid - 2012 - Remaster","Paranoid (Remaster)","Black Sabbath",1970-09-18,168405,73,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:23:36Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock,classic rock","Rhino/Warner Records",0.412,0.658,4,-12.051,0,0.0708,0.0000452,0.000774,0.176,0.454,163.071,4
42T2QQv3xgBlpQxaSP7lnK,"One Last Breath","Weathered","Creed",2001-01-01,238240,83,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:23:45Z,"post-grunge","The Bicycle Music Company",0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602,4
6Qyc6fS4DsZjB2mRW9DsQs,"Iris","Dizzy up the Girl","The Goo Goo Dolls",1998,289533,90,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:23:50Z,"","Warner Records",0.315,0.715,11,-8.072,0,0.0362,0.00125,0.00000797,0.0942,0.497,155.925,3
0nnwn7LWHCAu09jfuH1xTA,"Slide","Dizzy up the Girl","The Goo Goo Dolls",1998,212066,73,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:23:54Z,"","Warner Records",0.395,0.843,8,-4.476,1,0.0374,0.00483,0,0.0404,0.481,112.423,4
1L94M3KIu7QluZe63g64rv,"Alive","Ten","Pearl Jam",1991-08-27,340907,76,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:24:09Z,"grunge,rock,post-grunge","Epic/Legacy",0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,4
43DeSV93pJPT4lCZaWZ6b1,"The Boys Are Back In Town","Jailbreak (Deluxe Edition)","Thin Lizzy",1976,266720,73,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:24:19Z,"classic rock,hard rock","UMC (Universal Music Catalogue)",0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,4
6Vjk8MNXpQpi0F4BefdTyq,"Kashmir - Remaster","Physical Graffiti (Deluxe Edition)","Led Zeppelin",1975-02-24,517125,71,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:24:25Z,"classic rock,rock,hard rock,rock and roll","Atlantic Records",0.483,0.615,2,-8.538,1,0.0497,0.452,0.000414,0.0512,0.594,80.576,3
62nQ8UZVqR2RMvkJHkcO2o,"Jeremy","Ten","Pearl Jam",1991-08-27,318226,72,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:24:29Z,"grunge,rock,post-grunge","Epic/Legacy",0.285,0.846,2,-6.472,1,0.0438,0.0404,0,0.182,0.287,108.808,4
6QewNVIDKdSl8Y3ycuHIei,"Even Flow","Ten","Pearl Jam",1991-08-27,292580,79,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:24:39Z,"grunge,rock,post-grunge","Epic/Legacy",0.394,0.944,10,-6.506,0,0.0761,0.00178,0.00000454,0.298,0.265,105.338,4
420JGkyLfLUZcgBHKiIK9v,"45","Leave a Whisper (Deluxe Edition)","Shinedown",2003-05-27,250093,69,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:24:44Z,"post-grunge,alternative metal,rock,acoustic rock","Atlantic Records",0.446,0.657,7,-4.494,1,0.0262,0.0022,0,0.189,0.215,152.132,3
69uxyAqqPIsUyTO8txoP2M,"Adventure of a Lifetime","A Head Full of Dreams","Coldplay",2015-12-04,263786,84,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:24:55Z,"","Parlophone UK",0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,4
6nek1Nin9q48AVZcWs9e9D,"Paradise","Mylo Xyloto","Coldplay",2011-10-24,278719,85,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:25:13Z,"","Parlophone UK",0.449,0.585,5,-6.761,1,0.0268,0.0509,0.0000875,0.0833,0.212,139.631,4
1Es7AUAhQvapIcoh3qMKDL,"Timeless (feat. Playboi Carti)","Timeless","The Weeknd,Playboi Carti",2024-09-27,256000,86,31yob3s5lefapfsk5rbm5ds66nsi,2025-02-16T02:27:49Z,"rage rap","XO / Republic Records",0.769,0.722,11,-5.485,0,0.0507,0.0584,0.00000256,0.111,0.57,119.973,4
