Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0EM5QNh3QWeMkGWidvLjvO,"A Door Made of Light, Pt. II","Helluland","Northumbria",2015-04-30,174732,26,31hc7ce37wzpxfvfn2lxk2daj76q,2023-07-21T16:45:21Z,"dark ambient,drone,ambient","Cryo Chamber",0.2,0.107,9,-25.782,0,0.0395,0.926,0.965,0.0677,0.0422,74.68,4
6qOvdIGdMAm7mvzrhIDHGI,"Beginning To End: Act III","Beginning To End: Act III","Hendyamps Studios",2023-04-21,158045,0,31hc7ce37wzpxfvfn2lxk2daj76q,2023-07-21T16:45:32Z,"","Hendyamps Records",0.166,0.236,0,-14.9,0,0.0376,0.951,0.922,0.125,0.0392,83.098,4
2nBqwc3h3psFgPF1J0v24T,"American Prometheus","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,157306,58,31hc7ce37wzpxfvfn2lxk2daj76q,2023-07-21T16:46:08Z,"soundtrack","Back Lot Music",0.114,0.14,1,-21.308,0,0.0361,0.646,0.435,0.0701,0.0585,80.438,4
5I1Mu9aNdqSkA43Mv9gidC,"Still Valley I","Vinland","Northumbria",2018-10-02,496349,20,31hc7ce37wzpxfvfn2lxk2daj76q,2023-07-21T16:46:21Z,"dark ambient,drone,ambient","Cryo Chamber",0.0663,0.28,0,-17.612,0,0.0459,0.403,0.829,0.0904,0.0347,75.299,1
3oHSL6pt9LpNrQZuQGu9wL,"Requiem, K. 626: Lacrimosa","Mozart: Requiem Realisations","Wolfgang Amadeus Mozart,Michael Finnissy,Academy of Ancient Music,Stephen Cleobury,Choir of King's College, Cambridge",2013-04-08,169666,57,31hc7ce37wzpxfvfn2lxk2daj76q,2023-07-21T16:46:46Z,"classical,requiem,opera,classical piano,chamber music,avant-garde,choral,christmas","Kings College Cambridge",0.162,0.0898,2,-23.269,0,0.0354,0.944,0.917,0.187,0.0413,132.047,3
6mO8yRaU3fnQphf3f2wPZD,"visions of the end times","beyond our death","nowt",2022-07-20,363220,13,31hc7ce37wzpxfvfn2lxk2daj76q,2023-07-21T16:47:03Z,"dark ambient","nowt",0.109,0.107,3,-25.699,1,0.0349,0.694,0.866,0.129,0.0314,92.567,4
7qm6j7mhZKsv3RGanY4b7Z,"Power Stays In The Shadows","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,250866,43,31hc7ce37wzpxfvfn2lxk2daj76q,2023-07-21T16:47:11Z,"soundtrack","Back Lot Music",0.328,0.0801,1,-20.891,0,0.0367,0.935,0.896,0.128,0.0348,80.002,4
5NwmODyk4rlXKDPJ7iJzBn,"A Lonely Strain","Onyx","Apocryphos,Atrium Carceri,Kammarheit",2015-09-22,572916,31,31hc7ce37wzpxfvfn2lxk2daj76q,2023-07-21T16:47:18Z,"dark ambient,drone,ambient","Cryo Chamber",0.172,0.165,10,-22.588,0,0.041,0.899,0.96,0.115,0.0333,65.042,3
7nYZlOq4JtGeF9fs8Zs66j,"A Lowly Shoe Salesman","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,214093,56,31hc7ce37wzpxfvfn2lxk2daj76q,2023-07-21T16:47:55Z,"soundtrack","Back Lot Music",0.197,0.0451,1,-27.629,0,0.0356,0.978,0.943,0.105,0.0328,86.568,4
6oJFUjqz8yKCBDunPRMQBX,"Oppenheimer","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,136520,50,31hc7ce37wzpxfvfn2lxk2daj76q,2023-07-21T16:48:06Z,"soundtrack","Back Lot Music",0.0778,0.257,2,-15.948,1,0.0368,0.843,0.914,0.143,0.0372,73.488,4
