Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2FUsJlVhEVknPi83MPKZw4,"La lecon particuliere - Slowed","La lecon particuliere","Fironn",2023-04-10,122517,45,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:13:54Z,"","Fironn",0.169,0.456,4,-9.384,0,0.033,0.307,0.942,0.315,0.211,125.949,3
4VnDmjYCZkyeqeb0NIKqdA,"Can You Hear The Music","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,110160,68,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:14:13Z,"soundtrack","Back Lot Music",0.19,0.435,4,-12.456,0,0.0334,0.233,0.938,0.1,0.0643,138.515,4
6ZFbXIJkuI1dVNWvzJzown,"Time","Inception (Music from the Motion Picture)","Hans Zimmer",2010-07-09,275556,71,dkfxrtcvsz09syhua0fy029rh,2023-12-12T09:47:12Z,"soundtrack","WaterTower Music",0.286,0.0968,7,-16.806,1,0.0323,0.178,0.696,0.0861,0.0395,62.881,4
4LIM4qmpHABufePRrLWbiM,"QKThr","Drukqs","Aphex Twin",2001-10-22,87466,65,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:14:29Z,"idm,ambient,electronica","Warp Records",0.451,0.0223,1,-26.117,1,0.0461,0.993,0.768,0.13,0.0573,79.042,3
7K1SROWMb0thuxaPENxD1u,"Can You Remember The Rain - Sequence Remix","Can You Remember The Rain (Sequence Remix)","Garrett Atterberry",2020-08-20,186723,0,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:15:54Z,"","FAIRCHILD RECORDS",0.454,0.466,7,-7.354,1,0.0363,0.156,0.218,0.162,0.228,144.378,4
1xRCmlU2GyzGem2vw4glxK,"Arrival of the Birds","The Crimson Wing: Mystery Of The Flamingos","The Cinematic Orchestra,London Metropolitan Orchestra",2008-01-01,158346,51,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:15:34Z,"nu jazz,downtempo","Walt Disney Records",0.39,0.123,3,-17.706,0,0.0394,0.944,0.918,0.0915,0.0579,129.947,3
09I8yYd9egMHOLDRFenYrV,"Quantum Mechanics","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,180013,55,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:16:17Z,"soundtrack","Back Lot Music",0.33,0.276,4,-14.716,0,0.061,0.508,0.338,0.062,0.0892,99.496,3
2nBqwc3h3psFgPF1J0v24T,"American Prometheus","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,157306,58,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:16:48Z,"soundtrack","Back Lot Music",0.114,0.14,1,-21.308,0,0.0361,0.646,0.435,0.0701,0.0585,80.438,4
6RK3IsiUW6YaSMEodbO4tk,"Solitude - Felsmann + Tiley Reinterpretation","Solitude (Felsmann + Tiley Reinterpretation)","M83,Felsmann + Tiley",2020-05-14,222354,66,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:19:08Z,"indietronica","naïve",0.367,0.202,0,-11.342,1,0.0313,0.668,0.145,0.109,0.0362,121.865,4
4yX2SVMLL3MV9kIYqS8B76,"Manhattan Project","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,181106,51,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:21:23Z,"soundtrack","Back Lot Music",0.574,0.542,9,-17.691,0,0.0415,0.691,0.941,0.11,0.0563,99.955,4
3NQtYTbGk64fHf8ZIppj69,"Destroyer Of Worlds","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,174760,59,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:21:32Z,"soundtrack","Back Lot Music",0.266,0.203,1,-17.412,0,0.035,0.559,0.941,0.148,0.0368,63.822,3
6oJFUjqz8yKCBDunPRMQBX,"Oppenheimer","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,136520,50,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:21:33Z,"soundtrack","Back Lot Music",0.0778,0.257,2,-15.948,1,0.0368,0.843,0.914,0.143,0.0372,73.488,4
7nYZlOq4JtGeF9fs8Zs66j,"A Lowly Shoe Salesman","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,214093,56,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:17:00Z,"soundtrack","Back Lot Music",0.197,0.0451,1,-27.629,0,0.0356,0.978,0.943,0.105,0.0328,86.568,4
7qm6j7mhZKsv3RGanY4b7Z,"Power Stays In The Shadows","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,250866,43,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:17:07Z,"soundtrack","Back Lot Music",0.328,0.0801,1,-20.891,0,0.0367,0.935,0.896,0.128,0.0348,80.002,4
1s9i7W8zx7Nxx78MUIsvjV,"Outro","Hurry up, We're Dreaming","M83",2011-10-17,247026,69,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:19:23Z,"indietronica","M83 Recording Inc",0.162,0.256,2,-11.296,1,0.0346,0.0332,0.0923,0.0621,0.0784,108.893,4
6GyFP1nfCDB8lbD2bG0Hq9,"Midnight City","Hurry up, We're Dreaming","M83",2011-10-17,243960,77,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:19:21Z,"indietronica","M83 Recording Inc",0.507,0.729,11,-5.399,0,0.0393,0.0182,0.0000014,0.0658,0.272,105.013,4
0h4LfHZuXNNYUMgkuCQRmy,"Fission","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,278600,52,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:21:17Z,"soundtrack","Back Lot Music",0.151,0.0727,6,-21.829,0,0.037,0.989,0.833,0.0894,0.0354,80.002,4
08wnOyN1wyMaNrup3m353f,"My Tears Are Becoming a Sea","Hurry up, We're Dreaming","M83",2011-10-17,151826,64,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:19:27Z,"indietronica","M83 Recording Inc",0.162,0.353,8,-11.286,0,0.0509,0.0993,0.274,0.575,0.0551,110.76,1
6mO8yRaU3fnQphf3f2wPZD,"visions of the end times","beyond our death","nowt",2022-07-20,363220,13,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:16:55Z,"dark ambient","nowt",0.109,0.107,3,-25.699,1,0.0349,0.694,0.866,0.129,0.0314,92.567,4
3oHSL6pt9LpNrQZuQGu9wL,"Requiem, K. 626: Lacrimosa","Mozart: Requiem Realisations","Wolfgang Amadeus Mozart,Michael Finnissy,Academy of Ancient Music,Stephen Cleobury,Choir of King's College, Cambridge",2013-04-08,169666,57,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:17:03Z,"classical,requiem,opera,classical piano,chamber music,avant-garde,choral,christmas","Kings College Cambridge",0.162,0.0898,2,-23.269,0,0.0354,0.944,0.917,0.187,0.0413,132.047,3
0UJEym12sdx3m5UlY2HYfp,"Armstrong Cabin","First Man (Original Motion Picture Soundtrack)","Justin Hurwitz",2018-10-12,75706,62,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:17:26Z,"","Back Lot Music",0.442,0.197,7,-27.176,0,0.0485,0.989,0.84,0.109,0.0748,115.622,1
3By9jCy6b4dv5XnlhvIWwx,"Dies Irae","Verdi Requiem","Giuseppe Verdi,Carmen Giannattasio,Veronica Simeoni,Alxander Timchenko,Carlo Colombara,Yuri Temirkanov,St. Petersburg Philharmonic Orchestra",2009,134746,55,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:18:11Z,"opera,classical,requiem,classical piano","Signum Records",0.272,0.346,0,-14.01,0,0.0317,0.926,0.931,0.0772,0.24,79.773,4
6JgHKt0WwdwlXIht6M0mqa,"I'm So Tired","Instrument Soundtrack","Fugazi",1999-04-01,118933,63,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:18:25Z,"post-hardcore,punk,noise rock,hardcore punk","Dischord Records",0.328,0.13,6,-15.094,1,0.0307,0.892,0.0129,0.122,0.169,78.454,4
4rjzj1MpfUd5wa8B1jVNLX,"Dark is the Night - Soviet Song Тёмная ночь","Dark is the Night - Soviet Song Тёмная ночь","Negatiator",2022-10-20,168414,0,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:18:28Z,"","4108572 Records DK",0.379,0.0558,0,-26.035,1,0.0382,0.988,0.916,0.261,0.354,99.74,4
2Y0iGXY6m6immVb2ktbseM,"Little Dark Age","Little Dark Age","MGMT",2018-02-09,299960,75,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:18:49Z,"indie,indietronica","Columbia",0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4
6VObnIkLVruX4UVyxWhlqm,"Skyfall","Skyfall","Adele Adkins,Paul Epworth,Adele,J.A.C. Redford",2012-10-04,286480,82,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:19:05Z,"soft pop","XL Recordings/Columbia",0.346,0.552,0,-6.864,0,0.0282,0.417,0,0.114,0.0789,75.881,4
6pWgRkpqVfxnj3WuIcJ7WP,"Cornfield Chase","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]","Hans Zimmer",2014-11-18,126959,75,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:19:36Z,"soundtrack","WaterTower Music",0.18,0.226,9,-16.457,0,0.042,0.951,0.982,0.0998,0.048,94.079,4
3MmRfG64qt04Efx9gK9Ec8,"Dagger","Souvlaki","Slowdive",1993,218253,59,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:19:58Z,"shoegaze,dream pop,slowcore","Creation Records",0.506,0.212,8,-21.046,0,0.0325,0.625,0.918,0.117,0.265,146.355,4
3FzK2g50oLcx8vqETwOn07,"Love Songs on the Radio","Ask Me Tomorrow","Mojave 3",1995-10-16,348400,57,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:20:02Z,"slowcore,dream pop,shoegaze","4AD",0.457,0.25,2,-15.669,1,0.0269,0.899,0.0896,0.109,0.0739,145.879,4
5QmdK8QFbY8TLVKPuJzexD,"Dark Beach","Abyss","Pastel Ghost",2015-03-10,222000,25,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:20:31Z,"witch house,darkwave","Cleopatra Records",0.534,0.919,7,-7.318,1,0.0355,0.284,0.591,0.092,0.153,130.03,4
0uMZbmAAgOhdMrv25iPEH6,"Goth","White Light","Sidewalks and Skeletons",2015-03-05,207120,73,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:20:34Z,"witch house,darkwave","Sidewalks and Skeletons",0.558,0.697,1,-9.171,1,0.0325,0.00339,0.585,0.1,0.172,115.024,4
0pUVeEgZuNyFzIMKp67RbS,"Eyes Without A Face","Rebel Yell","Billy Idol",1983-11-01,299240,77,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:20:44Z,"","CAPITOL CATALOG MKT (C92)",0.54,0.816,9,-6.197,1,0.0421,0.0177,0.00226,0.276,0.658,85.563,4
0XLuEqiUfVFfEbpEPLdQv5,"Oblivion","Oblivion (Remixes)","Your Anxiety Buddy",2022-10-13,183857,24,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:20:57Z,"","Your Anxiety Buddy",0.559,0.138,11,-15.017,1,0.0312,0.943,0.0000319,0.102,0.148,120.49,4
7glKwbR1DyuIuE6XvZvJbQ,"#3","Selected Ambient Works Volume II","Aphex Twin",1994-03-07,464293,60,dkfxrtcvsz09syhua0fy029rh,2023-07-26T22:21:44Z,"idm,ambient,electronica","Warp Records",0.159,0.071,6,-27.109,0,0.0409,0.911,0.856,0.107,0.0602,146.977,5
