Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2Y0iGXY6m6immVb2ktbseM,"Little Dark Age","Little Dark Age","MGMT",2018-02-09,299960,75,zwmcixyj3cp4sxe8hok5zyuto,2023-05-14T08:45:41Z,"indie,indietronica","Columbia",0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4
68gWoQNuYBUlSQxWU1MWD3,"Little Dark Age - Slowed","Little Dark Age - Slowed","ethereal",2021-07-21,124565,0,zwmcixyj3cp4sxe8hok5zyuto,2023-05-14T08:45:50Z,"","ethereal",0.517,0.492,5,-15.807,0,0.0539,0.0819,0.388,0.61,0.706,150.791,4
6VObnIkLVruX4UVyxWhlqm,"Skyfall","Skyfall","Adele Adkins,Paul Epworth,Adele,J.A.C. Redford",2012-10-04,286480,82,zwmcixyj3cp4sxe8hok5zyuto,2023-05-14T08:52:08Z,"soft pop","XL Recordings/Columbia",0.346,0.552,0,-6.864,0,0.0282,0.417,0,0.114,0.0789,75.881,4
4cgGUNjhlYYXKRjFX8M0DN,"Metal Gear Solid Main Theme〜The World Needs Only One Big Boss!","METAL GEAR 20th ANNIVERSARY METAL GEAR MUSIC COLLECTION","Harry Gregson-Williams,日比野則彦",2007-07-18,347413,33,zwmcixyj3cp4sxe8hok5zyuto,2023-05-14T08:52:30Z,"soundtrack","Konami Digital Entertainment Co.,Ltd.",0.325,0.665,9,-12.57,1,0.0924,0.0198,0.66,0.0803,0.0432,77.887,4
5kHYc77kAgfw1K59dFyZP6,"Second Coming","Virtutes Instrumenti","Kevin MacLeod",2015-07-28,131787,14,zwmcixyj3cp4sxe8hok5zyuto,2023-05-14T08:52:55Z,"","Incompetech",0.145,0.2,4,-14.367,0,0.0343,0.641,0.853,0.301,0.0363,139.199,3
3svmi1v7HMlyYb7Pnossz6,"Fahrradsattel","Kohlrübenwinter","Pisse",2016-09-19,109049,44,zwmcixyj3cp4sxe8hok5zyuto,2023-05-14T08:53:02Z,"","Phantom Records",0.676,0.937,2,-7.756,1,0.0754,0.264,0.742,0.698,0.655,120.161,4
5Opw9qaBtwwaq0lnulnVTR,"Полюшко-поле","Песни нашей Родины. Выпуск 1","The Red Army Choir",2008-01-01,171720,33,zwmcixyj3cp4sxe8hok5zyuto,2023-05-14T08:53:35Z,"","АО "Фирма Мелодия"",0.509,0.325,10,-18.667,0,0.0959,0.939,0.00806,0.0992,0.302,133.212,4
6Xorz2n2aLAPjWP5ikor4Y,"Song of Plains","United Colors of the World","Tacettin Ocak,Ataç Aydın",1990-12-06,216373,12,zwmcixyj3cp4sxe8hok5zyuto,2023-05-14T08:54:10Z,"","ADA MÜZİK",0.558,0.688,2,-11.05,0,0.0334,0.81,0.661,0.227,0.669,106.83,4
2H98IxLVQIRKFdHSX8oMpP,"If the World Hates You (Dark Beach Super Slowed)","If the World Hates You (Dark Beach Super Slowed)","Shodri",2023-03-05,99527,0,zwmcixyj3cp4sxe8hok5zyuto,2023-05-14T11:58:11Z,"","Shodri",0.679,0.373,11,-22.64,0,0.0397,0.441,0.873,0.115,0.6,132.622,4
3BOQDjSv5ANlwvK97WDSyK,"Kerosene - Slowed","Kerosene (Slowed)","fam0uz",2022-12-11,142105,1,zwmcixyj3cp4sxe8hok5zyuto,2023-05-14T12:00:35Z,"phonk","fam0uz",0.789,0.659,11,-8.095,1,0.29,0.0713,0.557,0.535,0.849,76.012,4
