Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4VnDmjYCZkyeqeb0NIKqdA,"Can You Hear The Music","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,110160,68,22zgzznk2vx7wahtekilxvgri,2023-07-23T17:44:40Z,"soundtrack","Back Lot Music",0.19,0.435,4,-12.456,0,0.0334,0.233,0.938,0.1,0.0643,138.515,4
62KZRwymXq9Rgm8Cm5UCfx,"The World We Knew (Over And Over)","The World We Knew","Frank Sinatra",1967-08,167053,69,22zgzznk2vx7wahtekilxvgri,2023-07-23T17:45:36Z,"christmas,big band,adult standards,swing music,vocal jazz,jazz","FRANK SINATRA DIGITAL REPRISE",0.337,0.419,10,-12.212,0,0.0297,0.755,0.0000343,0.156,0.492,92.815,3
3NQtYTbGk64fHf8ZIppj69,"Destroyer Of Worlds","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,174760,59,22zgzznk2vx7wahtekilxvgri,2023-07-23T17:45:22Z,"soundtrack","Back Lot Music",0.266,0.203,1,-17.412,0,0.035,0.559,0.941,0.148,0.0368,63.822,3
4JE6agBLHGA5TaF6FlqfBD,"As the World Caves In","As the World Caves In","Matt Maltese",2017-03-06,218754,66,22zgzznk2vx7wahtekilxvgri,2023-07-23T17:45:15Z,"","Cafe Bleu Recordings",0.331,0.45,10,-5.362,1,0.034,0.365,0.00464,0.22,0.18,123.829,4
6oJFUjqz8yKCBDunPRMQBX,"Oppenheimer","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,136520,50,22zgzznk2vx7wahtekilxvgri,2023-07-23T17:45:42Z,"soundtrack","Back Lot Music",0.0778,0.257,2,-15.948,1,0.0368,0.843,0.914,0.143,0.0372,73.488,4
1scIYTBV3xIM475LYQKclp,"World on Fire","World on Fire","Nina June",2021-04-09,243000,0,22zgzznk2vx7wahtekilxvgri,2023-07-23T17:46:09Z,"","Nettwerk Records",0.477,0.408,7,-9.192,1,0.0261,0.566,0.00628,0.207,0.103,97.959,4
74swl9fzUVt9Lw7FSrnKoP,"Something More Important","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,205666,42,22zgzznk2vx7wahtekilxvgri,2023-07-23T17:50:21Z,"soundtrack","Back Lot Music",0.131,0.118,2,-25.428,0,0.057,0.887,0.909,0.115,0.0294,97.721,4
4Na0siMtWOW9pJoWJ1Ponv,"Exit Music (For a Film)","OK Computer","Radiohead",1997-05-28,267186,0,22zgzznk2vx7wahtekilxvgri,2023-07-23T22:33:02Z,"art rock,alternative rock","XL Recordings",0.293,0.276,7,-11.353,1,0.0351,0.229,0.119,0.167,0.196,121.603,4
4yX2SVMLL3MV9kIYqS8B76,"Manhattan Project","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,181106,51,22zgzznk2vx7wahtekilxvgri,2023-07-23T22:58:45Z,"soundtrack","Back Lot Music",0.574,0.542,9,-17.691,0,0.0415,0.691,0.941,0.11,0.0563,99.955,4
0a1gmlG2b5ORYIbxOcoBO8,"If The World Falls To Pieces","If The World Falls To Pieces","Young Summer",2020-09-25,166719,0,22zgzznk2vx7wahtekilxvgri,2023-07-24T02:18:37Z,"","Wehearnoise Records",0.356,0.147,5,-12.653,1,0.0319,0.822,0.000084,0.102,0.0607,136.197,4
