Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6oJFUjqz8yKCBDunPRMQBX,"Oppenheimer","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,136520,50,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T04:54:42Z,"soundtrack","Back Lot Music",0.0778,0.257,2,-15.948,1,0.0368,0.843,0.914,0.143,0.0372,73.488,4
3NQtYTbGk64fHf8ZIppj69,"Destroyer Of Worlds","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,174760,59,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T04:54:47Z,"soundtrack","Back Lot Music",0.266,0.203,1,-17.412,0,0.035,0.559,0.941,0.148,0.0368,63.822,3
2OKaVFK4nA73l00gmncpcm,"SILO Main Title","SILO: Season 1 (Apple TV+ Original Series Soundtrack)","Atli Örvarsson",2023-05-05,99441,42,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T04:55:12Z,"","Platoon",0.368,0.417,5,-14.077,0,0.0315,0.537,0.955,0.115,0.0363,102.055,4
2Y0iGXY6m6immVb2ktbseM,"Little Dark Age","Little Dark Age","MGMT",2018-02-09,299960,75,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T04:55:49Z,"indie,indietronica","Columbia",0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4
0QTjsOyGrbM1dwxIoV8Zm3,"Kerosene - Slowed + Bass Boosted","Kerosene (Slowed + Bass Boosted)","deprezz",2023-05-13,142198,1,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T04:55:59Z,"phonk","deprezz",0.774,0.545,10,-7.903,0,0.187,0.0385,0.834,0.3,0.572,76.021,4
1PEKGePNN1XrdKG2QQDUCv,"this feeling (Slowed + Reverb)","this feeling (Slowed + Reverb)","Øneheart",2022-04-29,114857,52,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T04:56:29Z,"dark ambient","Øneheart",0.125,0.0102,1,-36.178,0,0.0405,0.91,0.864,0.144,0.0364,148.097,4
6aJ6BPEKWgTXetTpt2l8wB,"After Dark Slowed - Slowed","After Dark Slowed","SignX",2023-07-09,282389,0,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T04:56:50Z,"","SignX",0.59,0.355,1,-16.943,1,0.0354,0.000134,0.00355,0.0835,0.0441,127.589,4
0Y5NA0lTbus2AoeMy12hEP,"Lay All Your Love on Me (Slowed and Reverb)","Lay All Your Love on Me (Slowed and Reverb)","Putin's Bird",2020-09-20,343399,19,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T04:56:59Z,"","Putin's Bird",0.742,0.443,10,-13.094,0,0.029,0.00313,0.336,0.113,0.485,106.438,4
0U19E71w5rrYTwnqOTVKrp,"Trinity","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,472853,45,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T04:57:35Z,"soundtrack","Back Lot Music",0.344,0.206,7,-20.091,1,0.042,0.874,0.859,0.134,0.075,143.887,4
1EJUCdDSBSwcjTFSV4cCDG,"Oppenheimer Trailer Music - Epic Version","Oppenheimer Trailer Music (Epic Version)","Jamie Evans Music",2023-01-19,161365,0,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T04:57:54Z,"","Jamie Evans Music",0.178,0.301,1,-13.917,1,0.0415,0.0186,0.934,0.0762,0.0352,119.472,1
0h4LfHZuXNNYUMgkuCQRmy,"Fission","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,278600,52,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T04:58:00Z,"soundtrack","Back Lot Music",0.151,0.0727,6,-21.829,0,0.037,0.989,0.833,0.0894,0.0354,80.002,4
4YuGwi0qTFEnv27opGD5ZG,"Fusion","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,235493,49,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T04:58:09Z,"soundtrack","Back Lot Music",0.744,0.235,5,-19.81,0,0.0507,0.766,0.931,0.0917,0.0393,140.092,5
3nfj9Fdbl30TvcZE9sU0Vx,"Suffer With Me","Suffer With Me","líue",2019-01-14,207936,59,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T04:58:24Z,"phonk","1120498 Records DK",0.564,0.95,8,-3.82,1,0.101,0.00911,0.0686,0.589,0.215,161.451,4
7w6qVTMb48hwNZrJNa3cVB,"Never Let Go (Of Me) - Slowed","Never Let Go (Of Me) [Sped Up + Slowed Remixes]","Baltra",2017-08-25,94028,42,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T04:58:42Z,"lo-fi house","96 and Forever",0.535,0.605,1,-9.547,1,0.0607,0.515,0.898,0.135,0.426,195.403,4
11Dk6JUxgxD9lr8d0uPcVL,"Ground Zero","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,261346,43,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T04:59:39Z,"soundtrack","Back Lot Music",0.659,0.297,1,-24.195,1,0.0437,0.13,0.852,0.126,0.0351,130.013,4
4VnDmjYCZkyeqeb0NIKqdA,"Can You Hear The Music","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,110160,68,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T05:00:33Z,"soundtrack","Back Lot Music",0.19,0.435,4,-12.456,0,0.0334,0.233,0.938,0.1,0.0643,138.515,4
4OWa2dOlmtvMDhFrFL0QA1,"La leçon particulière - Bande originale du film La leçon particulière","Mayerling","Francis Lai,Christian Gaubert",2003-01-01,105560,66,31kbpupjdxkymzdxjj63ys4mgo7a,2023-08-10T05:00:50Z,"stutter house","Universal Music Division Decca Records France",0.185,0.469,2,-7.729,0,0.0314,0.00652,0.909,0.201,0.422,150.319,3
