Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4VnDmjYCZkyeqeb0NIKqdA,"Can You Hear The Music","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,110160,68,314gazdqcjn4uw6miabyorlo5azq,2023-09-05T02:56:43Z,"soundtrack","Back Lot Music",0.19,0.435,4,-12.456,0,0.0334,0.233,0.938,0.1,0.0643,138.515,4
09I8yYd9egMHOLDRFenYrV,"Quantum Mechanics","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,180013,55,314gazdqcjn4uw6miabyorlo5azq,2023-09-05T02:57:06Z,"soundtrack","Back Lot Music",0.33,0.276,4,-14.716,0,0.061,0.508,0.338,0.062,0.0892,99.496,3
2NGhKPZdZk2pPZinWphTzh,"November","Voyager - Essential Max Richter","Max Richter,Mari Samuelsen,Konzerthausorchester Berlin,Jonathan Stockhammer",2019-10-04,367240,51,314gazdqcjn4uw6miabyorlo5azq,2023-09-05T02:57:55Z,"neoclassical,minimalism,classical,ambient,orchestra","Deutsche Grammophon (DG)",0.436,0.442,0,-11.429,1,0.0481,0.523,0.184,0.101,0.137,120.283,4
3kfv7UwooO8rulCxDfZyxf,"Restless","Nocturnal Animals (Original Motion Picture Soundtrack)","Abel Korzeniowski",2016-11-04,81040,37,314gazdqcjn4uw6miabyorlo5azq,2023-09-05T03:04:26Z,"","Back Lot Music",0.157,0.334,11,-17.121,0,0.0468,0.912,0.74,0.12,0.0395,133.627,4
64ZxBE1ZgK4C0lGljXzDcG,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 Winter: I. Allegro non molto","Vivaldi: The Four Seasons","Antonio Vivaldi,Joshua Bell,Academy of St. Martin in the Fields",2008,204146,55,314gazdqcjn4uw6miabyorlo5azq,2023-09-05T02:57:29Z,"classical,chamber music,orchestra","Sony Classical",0.48,0.163,5,-19.117,0,0.0645,0.81,0.754,0.093,0.212,158.366,4
4mw5oRBKNBfNV0dXAOIcne,"Beethoven: Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio","Beethoven: Symphonies Nos. 1 - 9","Ludwig van Beethoven,Wiener Philharmoniker,Sir Simon Rattle",2003-01-01,444386,28,314gazdqcjn4uw6miabyorlo5azq,2023-09-05T05:56:12Z,"classical,classical piano,chamber music,opera,orchestra,requiem","Warner Classics",0.36,0.23,0,-17.437,0,0.0441,0.954,0.806,0.164,0.222,99.745,4
6UyBRgGyuglYgRHkDOZ0Es,"Beethoven: Symphony No. 5 in C Minor, Op. 67: III. Allegro -","Beethoven: Symphonies Nos. 1 - 9","Ludwig van Beethoven,Wiener Philharmoniker,Sir Simon Rattle",2003-01-01,287613,26,314gazdqcjn4uw6miabyorlo5azq,2023-09-05T05:57:04Z,"classical,classical piano,chamber music,opera,orchestra,requiem","Warner Classics",0.299,0.0827,0,-22.493,0,0.0504,0.902,0.238,0.702,0.247,88.296,4
0HRyrj2c5TN8R4I4rehpSg,"Adagio in C Minor","Succession: Season 1 (HBO Original Series Soundtrack)","Nicholas Britell",2019-08-09,90013,56,314gazdqcjn4uw6miabyorlo5azq,2023-09-05T02:59:04Z,"","Milan",0.159,0.0809,0,-17.866,0,0.0421,0.87,0.961,0.105,0.0363,131.447,4
4Sm07UQmtFmBG7ayxOXmEt,"Andante in C Minor","Succession: Season 1 (HBO Original Series Soundtrack)","Nicholas Britell",2019-08-09,117005,51,314gazdqcjn4uw6miabyorlo5azq,2023-09-05T03:00:02Z,"","Milan",0.227,0.126,0,-17.627,0,0.0418,0.74,0.963,0.114,0.0383,102.463,4
1UvaZaHkh3D9AkmBrrnbFg,"Lacrimosa","Requiem - Music To Die For","Wolfgang Amadeus Mozart,Lisa Beckley,Elena Filipova,Magdaléna Hajóssyová,Peter Mikulas,Michel Piquemal,Gloria Scalchi,Michel Piquemal Vocal Ensemble,Hungarian State Opera Chorus,Oxford Schola Cantorum,Slovak Philharmonic Chorus,Hungarian State Opera Orchestra,Orchestre De La Cite,Oxford Camerata,Slovak Philharmonic",1999-04-26,205493,57,314gazdqcjn4uw6miabyorlo5azq,2023-09-05T02:58:10Z,"classical,requiem,opera,classical piano,chamber music,choral,medieval,gregorian chant,orchestra","Naxos",0.0847,0.0856,2,-24.716,0,0.0405,0.964,0.592,0.289,0.0764,84.245,4
2L2qyEu9XnNd6WqsDdORwb,"Chaconne in G Minor","Vitali: Chaconne in G Minor - Tedesco: The Lark - Fauré: Sonata No. 1, Op. 13, in A","Tomaso Antonio Vitali,Jascha Heifetz,Richard Ellsasser",1959,571773,38,314gazdqcjn4uw6miabyorlo5azq,2023-09-05T03:08:43Z,"classical,chamber music","RCA Red Seal",0.17,0.437,7,-9.835,0,0.0372,0.569,0.881,0.513,0.0679,80.349,4
2XV0DcwIjSTUyUBoqZnd7C,"Requiem canticles: I. Praeludium","Stravinsky: Threni & Requiem Canticles","Igor Stravinsky,Royal Flemish Philharmonic,Philippe Herreweghe",2016-05-20,70746,10,314gazdqcjn4uw6miabyorlo5azq,2023-09-05T02:57:40Z,"classical,neoclassical,orchestra,requiem,choral","Phi",0.637,0.104,1,-26.789,1,0.0524,0.887,0.577,0.112,0.201,128.786,4
3NQtYTbGk64fHf8ZIppj69,"Destroyer Of Worlds","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,174760,59,314gazdqcjn4uw6miabyorlo5azq,2023-09-05T02:58:29Z,"soundtrack","Back Lot Music",0.266,0.203,1,-17.412,0,0.035,0.559,0.941,0.148,0.0368,63.822,3
6oJFUjqz8yKCBDunPRMQBX,"Oppenheimer","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,136520,50,314gazdqcjn4uw6miabyorlo5azq,2023-09-05T02:58:33Z,"soundtrack","Back Lot Music",0.0778,0.257,2,-15.948,1,0.0368,0.843,0.914,0.143,0.0372,73.488,4
4sCgQZkwhYlB1a8ocpiWRr,"Cello Concerto in E Minor, RV 409: II. Allegro","Vivaldi: Concertos for 2 Cellos","Antonio Vivaldi,Julian Lloyd Webber,Jiaxin Lloyd Webber,European Union Chamber Orchestra,Hanspeter Hofmann",2014-10-07,61266,56,314gazdqcjn4uw6miabyorlo5azq,2023-10-19T01:23:14Z,"classical,chamber music","Naxos",0.396,0.229,4,-18.866,0,0.0365,0.988,0.645,0.153,0.834,144.615,4
0C1RaT1eyqvoeqskbaTg3E,"The Secret History","Kerry Muzzey: The Architect","The Chamber Orchestra Of London,Andrew Skeet",2014-08-26,302095,0,314gazdqcjn4uw6miabyorlo5azq,2023-11-30T03:54:05Z,"orchestra","Kirbyko Music LLC",0.228,0.22,3,-14.032,0,0.0357,0.893,0.171,0.119,0.0383,123.69,4
1Xf4sNtMKc1xiUhuIPAUg2,"Prélude in E minor, Op. 28, No. 4","The Pianist (Original Motion Picture Soundtrack)","Frédéric Chopin,Janusz Olejniczak",2002-07-17,146760,59,314gazdqcjn4uw6miabyorlo5azq,2023-11-30T03:22:42Z,"classical piano,classical","Sony Classical",0.388,0.00269,4,-32.97,0,0.0516,0.995,0.869,0.063,0.0397,63.386,4
0IsKMHr152VeRfJe25P216,"Variations on an Original Theme, Op. 36, Enigma: Theme - Andante","Elgar: Enigma Variations, Introduction & Allegro","Edward Elgar,Sir Colin Davis,London Symphony Orchestra",2007-06-05,85124,24,314gazdqcjn4uw6miabyorlo5azq,2023-11-30T03:24:41Z,"classical,orchestra,opera,requiem","Lso Live",0.143,0.0089,7,-34.774,0,0.0437,0.967,0.622,0.113,0.0385,90.514,3
7B4HbpZCSfLzKGapKzlUPD,"Pachelbel: Canon and Gigue for Three Violins and Continuo in D Major: Canon","Mozart: Academy in Concert","Johann Pachelbel,Sir Neville Marriner,Academy of St. Martin in the Fields",1986,301586,52,314gazdqcjn4uw6miabyorlo5azq,2023-11-30T03:26:13Z,"classical,orchestra,chamber music","Warner Classics",0.128,0.132,2,-17.67,1,0.0353,0.744,0.942,0.107,0.0988,85.314,4
1BncfTJAWxrsxyT9culBrj,"Experience","In A Time Lapse","Ludovico Einaudi,Daniel Hope,I Virtuosi Italiani",2013-01-01,315426,75,314gazdqcjn4uw6miabyorlo5azq,2023-11-30T03:53:32Z,"neoclassical,classical","Decca (UMO) (Classics)",0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,4
