Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2yBVeksU2EtrPJbTu4ZslK,"What a Fool Believes","Minute by Minute","The Doobie Brothers",1978,223866,69,siyf4luj9rhyipph6cjwxh7xv,2023-05-01T05:06:26Z,"classic rock,soft rock,southern rock","Rhino/Warner Records",0.758,0.378,8,-15.308,0,0.0449,0.284,0,0.049,0.985,120.736,4
7hQJA50XrCWABAu5v6QZ4i,"Don't Stop Me Now - Remastered 2011","Jazz (Deluxe Remastered Version)","Queen",1978-11-10,209413,72,siyf4luj9rhyipph6cjwxh7xv,2023-05-01T05:06:46Z,"classic rock,rock,glam rock","Hollywood Records",0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271,4
1jDJFeK9x3OZboIAHsY9k2,"I'm Still Standing","Too Low For Zero","Elton John",1983-05-30,183440,81,siyf4luj9rhyipph6cjwxh7xv,2023-05-01T05:06:52Z,"","EMI",0.505,0.904,6,-6.863,1,0.179,0.355,0.118,0.14,0.773,176.811,4
44AyOl4qVkzS48vBsbNXaC,"Can't Help Falling in Love","Blue Hawaii","Elvis Presley",1961-10-20,182360,78,siyf4luj9rhyipph6cjwxh7xv,2023-05-01T05:06:59Z,"rockabilly,rock and roll","RCA/Legacy",0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,3
3CPbULPwafXsNNi0YA2Buy,"Good to Be Out of the Rain","A Taste of Ibiza: The Best of Gary B","Gary B",2013-03-27,278179,35,siyf4luj9rhyipph6cjwxh7xv,2023-05-01T05:07:07Z,"lounge","Luminous",0.465,0.818,4,-7.313,0,0.042,0.0498,0.34,0.127,0.228,119.995,4
1nFtiJxYdhtFfFtfXBv06s,"Something In The Way","Nevermind (Remastered)","Nirvana",1991-09-26,232146,67,siyf4luj9rhyipph6cjwxh7xv,2023-05-01T05:07:31Z,"grunge,rock","Geffen",0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4
7Lmf6vbhGpgC60KHIICkRX,"I'll Be Lucky Someday - Remastered 2001","By The Time I Get To Phoenix (Remastered)","Glen Campbell",1967,146933,36,siyf4luj9rhyipph6cjwxh7xv,2023-05-01T05:07:44Z,"","Capitol Nashville",0.336,0.26,7,-13.694,0,0.0302,0.0892,0.0000528,0.168,0.283,96.475,3
2BY7ALEWdloFHgQZG6VMLA,"Brandy (You're a Fine Girl)","Looking Glass","Looking Glass",1972,186826,75,siyf4luj9rhyipph6cjwxh7xv,2023-05-01T05:07:51Z,"","Epic/Legacy",0.716,0.625,1,-11.369,0,0.0601,0.396,0.0000197,0.134,0.826,125.276,4
7kv7zBjMtVf0eIJle2VZxn,"Southern Nights","Southern Nights","Glen Campbell",1977-01-01,180026,70,siyf4luj9rhyipph6cjwxh7xv,2023-05-01T05:07:59Z,"","Capitol Records",0.697,0.813,11,-8.89,0,0.0315,0.0989,0.0232,0.583,0.85,95.301,4
6S3JlDAGk3uu3NtZbPnuhS,"Baby Blue - Remastered 2010","Straight Up (Remastered 2010 / Deluxe Edition)","Badfinger",1971-12-13,217346,59,siyf4luj9rhyipph6cjwxh7xv,2023-05-01T05:08:10Z,"power pop,jangle pop","EMI Catalogue",0.623,0.876,11,-7.788,1,0.066,0.0189,0.0134,0.0728,0.515,124.431,4
