Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4OWa2dOlmtvMDhFrFL0QA1,"La leçon particulière - Bande originale du film La leçon particulière","Mayerling","Francis Lai,Christian Gaubert",2003-01-01,105560,66,31qvlx77epyjq5cn3lzg7oex3s6i,2023-06-30T18:16:16Z,"stutter house","Universal Music Division Decca Records France",0.185,0.469,2,-7.729,0,0.0314,0.00652,0.909,0.201,0.422,150.319,3
7l6DGKjdaXnwzQoFHsDJxy,"The Apple (From The Imitation Game Soundtrack)","The Imitation Game (Original Motion Picture Soundtrack)","Alexandre Desplat,London Symphony Orchestra",2014-11-07,140840,23,31qvlx77epyjq5cn3lzg7oex3s6i,2023-07-02T19:15:36Z,"soundtrack,classical,orchestra,opera","Sony Classical",0.1,0.0276,9,-19.689,0,0.0419,0.949,0.881,0.1,0.0371,53.613,3
1LpZP3BXZokmhMi0IN73yY,"Between the Buttons","Olympic","French 79",2016-10-21,317520,44,31qvlx77epyjq5cn3lzg7oex3s6i,2023-07-02T19:15:48Z,"french house","Alter K",0.182,0.366,5,-12.305,0,0.0337,0.146,0.796,0.221,0.037,94.993,4
4OWa2dOlmtvMDhFrFL0QA1,"La leçon particulière - Bande originale du film La leçon particulière","Mayerling","Francis Lai,Christian Gaubert",2003-01-01,105560,66,31qvlx77epyjq5cn3lzg7oex3s6i,2023-07-02T19:16:41Z,"stutter house","Universal Music Division Decca Records France",0.185,0.469,2,-7.729,0,0.0314,0.00652,0.909,0.201,0.422,150.319,3
4LIM4qmpHABufePRrLWbiM,"QKThr","Drukqs","Aphex Twin",2001-10-22,87466,65,31qvlx77epyjq5cn3lzg7oex3s6i,2023-07-04T22:30:06Z,"idm,ambient,electronica","Warp Records",0.451,0.0223,1,-26.117,1,0.0461,0.993,0.768,0.13,0.0573,79.042,3
4HDMr1ELj5yZYVE9klMCxl,"Hometown (intro)","Joshua","French 79",2019-11-08,101846,42,31qvlx77epyjq5cn3lzg7oex3s6i,2023-07-04T22:31:54Z,"french house","Alter K",0.234,0.204,5,-18.896,1,0.0459,0.928,0.882,0.153,0.0404,111.769,4
1DQMdY5podqawS2w4WJdwj,"Aleph","Maryland (Disorder)","Gesaffelstein",2015-05-16,286826,39,31qvlx77epyjq5cn3lzg7oex3s6i,2023-07-16T10:50:41Z,"","Parlophone (France)",0.494,0.894,8,-6.061,1,0.044,0.0341,0.905,0.0887,0.369,162.035,4
1lb3H41lbvAN28N7yqRNL9,"Idea 10","Idea 10","Gibran Alcocer",2022-07-09,128000,75,31qvlx77epyjq5cn3lzg7oex3s6i,2023-07-16T10:51:47Z,"","Gibran Alcocer / Kurate Music",0.339,0.242,7,-20.446,0,0.0383,0.978,0.871,0.104,0.711,87.053,3
3NQtYTbGk64fHf8ZIppj69,"Destroyer Of Worlds","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,174760,59,31qvlx77epyjq5cn3lzg7oex3s6i,2023-07-22T22:44:26Z,"soundtrack","Back Lot Music",0.266,0.203,1,-17.412,0,0.035,0.559,0.941,0.148,0.0368,63.822,3
2bDKnHekbl5fZ7mH8WEHvs,"Oppenheimer Theme (Epic Version)","Oppenheimer Theme (Epic Version)","MattyBor",2023-07-07,122979,22,31qvlx77epyjq5cn3lzg7oex3s6i,2023-07-22T22:51:09Z,"","2263302 Records DK",0.171,0.459,1,-10.176,1,0.0528,0.0899,0.934,0.383,0.0534,120.996,3
2nBqwc3h3psFgPF1J0v24T,"American Prometheus","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,157306,58,31qvlx77epyjq5cn3lzg7oex3s6i,2023-07-23T17:19:00Z,"soundtrack","Back Lot Music",0.114,0.14,1,-21.308,0,0.0361,0.646,0.435,0.0701,0.0585,80.438,4
5pBRL3nevpdxv3wbc5lRcx,"The Trial","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,332746,40,31qvlx77epyjq5cn3lzg7oex3s6i,2023-07-23T17:19:05Z,"soundtrack","Back Lot Music",0.54,0.138,2,-24.477,1,0.0368,0.899,0.922,0.098,0.0395,119.936,3
11Dk6JUxgxD9lr8d0uPcVL,"Ground Zero","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,261346,43,31qvlx77epyjq5cn3lzg7oex3s6i,2023-07-23T17:19:09Z,"soundtrack","Back Lot Music",0.659,0.297,1,-24.195,1,0.0437,0.13,0.852,0.126,0.0351,130.013,4
1nK1EbZNymcKExc01JavKR,"Kitty Comes To Testify","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,292853,44,31qvlx77epyjq5cn3lzg7oex3s6i,2023-07-23T17:19:12Z,"soundtrack","Back Lot Music",0.45,0.208,0,-18.293,0,0.0426,0.564,0.892,0.132,0.0387,139.947,4
7eJnqjloMsQGrYOYIfDNTR,"run run run (slowed + reverb)","run run run (remixes)","rebug",2023-06-14,93850,35,31qvlx77epyjq5cn3lzg7oex3s6i,2023-07-27T09:23:45Z,"","The System",0.627,0.366,0,-14.859,0,0.119,0.68,0.915,0.447,0.283,126.648,4
2Y0iGXY6m6immVb2ktbseM,"Little Dark Age","Little Dark Age","MGMT",2018-02-09,299960,75,31qvlx77epyjq5cn3lzg7oex3s6i,2023-07-27T17:10:08Z,"indie,indietronica","Columbia",0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4
62KZRwymXq9Rgm8Cm5UCfx,"The World We Knew (Over And Over)","The World We Knew","Frank Sinatra",1967-08,167053,69,31qvlx77epyjq5cn3lzg7oex3s6i,2023-08-06T07:41:53Z,"christmas,big band,adult standards,swing music,vocal jazz,jazz","FRANK SINATRA DIGITAL REPRISE",0.337,0.419,10,-12.212,0,0.0297,0.755,0.0000343,0.156,0.492,92.815,3
424DkevE18QJazwlljiTD4,"Le Monde - From Talk to Me","Talk to Me (Original Soundtrack)","Richard Carter",2023-08-04,134853,61,31qvlx77epyjq5cn3lzg7oex3s6i,2023-09-07T15:17:08Z,"","A24 Music",0.768,0.469,11,-13.277,1,0.0985,0.135,0.863,0.112,0.5,97.65,3
0UJEym12sdx3m5UlY2HYfp,"Armstrong Cabin","First Man (Original Motion Picture Soundtrack)","Justin Hurwitz",2018-10-12,75706,62,31qvlx77epyjq5cn3lzg7oex3s6i,2023-09-25T11:00:29Z,"","Back Lot Music",0.442,0.197,7,-27.176,0,0.0485,0.989,0.84,0.109,0.0748,115.622,1
5wjyNFCjiOimVGXFCfsZFA,"Memento Mori","Don't Look Up (Soundtrack from the Netflix Film)","Nicholas Britell",2021-12-10,86815,27,31qvlx77epyjq5cn3lzg7oex3s6i,2023-09-26T06:09:18Z,"","Republic Records",0.545,0.107,5,-24.831,0,0.0266,0.901,0.938,0.109,0.0387,102.959,3
2nltARCkZyrzjQANViDpuX,"Jacob and the Stone","Minari (Original Motion Picture Soundtrack)","Emile Mosseri",2021-02-12,98560,71,31qvlx77epyjq5cn3lzg7oex3s6i,2023-10-21T11:55:42Z,"","Masterworks",0.193,0.171,1,-18.494,1,0.0368,0.915,0.942,0.119,0.105,84.067,4
09I8yYd9egMHOLDRFenYrV,"Quantum Mechanics","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,180013,55,31qvlx77epyjq5cn3lzg7oex3s6i,2023-10-21T11:55:53Z,"soundtrack","Back Lot Music",0.33,0.276,4,-14.716,0,0.061,0.508,0.338,0.062,0.0892,99.496,3
7A9l2AElHS3jM8EeESsesm,"Message from Home","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]","Hans Zimmer",2014-11-18,100877,53,31qvlx77epyjq5cn3lzg7oex3s6i,2023-12-05T18:15:33Z,"soundtrack","WaterTower Music",0.232,0.00108,7,-42.044,1,0.0346,0.951,0.431,0.346,0.21,83.854,4
