Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4OWa2dOlmtvMDhFrFL0QA1,"La leçon particulière - Bande originale du film La leçon particulière","Mayerling","Francis Lai,Christian Gaubert",2003-01-01,105560,66,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T11:52:54Z,"stutter house","Universal Music Division Decca Records France",0.185,0.469,2,-7.729,0,0.0314,0.00652,0.909,0.201,0.422,150.319,3
0y1QJc3SJVPKJ1OvFmFqe6,"Way down We Go","A/B","KALEO",2016-06-10,213706,79,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T11:53:35Z,"","Elektra (NEK)",0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,4
2R3heksil8zmzSFUwYQIPC,"Empathy","Crystal Castles (II)","Crystal Castles",2010-01-01,251106,67,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T11:54:08Z,"witch house,electroclash,new rave,indietronica,alternative dance","[PIAS] Recordings Catalogue",0.511,0.903,7,-5.523,0,0.0306,0.12,0.515,0.431,0.332,109.958,4
2Y0iGXY6m6immVb2ktbseM,"Little Dark Age","Little Dark Age","MGMT",2018-02-09,299960,75,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T11:53:49Z,"indie,indietronica","Columbia",0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4
1A7qPfbcyRVEdcZiwTFhZI,"Memory Reboot","Memory Reboot","VØJ,Narvent",2023-01-13,209416,70,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T11:54:30Z,"phonk,drift phonk,synthwave","VØJ",0.469,0.894,8,-6.341,1,0.0428,0.00024,0.000194,0.125,0.456,81.377,4
1DQMdY5podqawS2w4WJdwj,"Aleph","Maryland (Disorder)","Gesaffelstein",2015-05-16,286826,39,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T11:55:28Z,"","Parlophone (France)",0.494,0.894,8,-6.061,1,0.044,0.0341,0.905,0.0887,0.369,162.035,4
1UcyzhmBDfdw07DiuT7DEG,"The Perfect Girl - The Motion Retrowave Remix","The Perfect Girl (The Motion Retrowave Remix)","Mareux,The Motion",2022-05-16,181016,59,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T11:55:35Z,"darkwave,synthwave","Revolution Records",0.594,0.759,6,-7.883,0,0.0512,0.000835,0.879,0.077,0.164,118.062,4
1YXV3fSpNgxXSfhsEgRmtb,"Untitled #13","Untitled #13","glwzbll",2023-04-04,115054,58,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T11:55:45Z,"phonk","Phonk Point",0.598,0.971,7,-4.926,1,0.0611,0.0136,0.892,0.0669,0.549,149.993,4
4VnDmjYCZkyeqeb0NIKqdA,"Can You Hear The Music","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,110160,68,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T11:57:09Z,"soundtrack","Back Lot Music",0.19,0.435,4,-12.456,0,0.0334,0.233,0.938,0.1,0.0643,138.515,4
1SHB1hp6267UK9bJQUxYvO,"Судно (Борис Рижий)","Этажи","Molchat Doma",2018-09-07,141394,71,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T12:02:15Z,"sovietwave,post-punk,darkwave,cold wave","Sacred Bones Records",0.484,0.75,1,-4.176,1,0.0685,0.697,0.862,0.105,0.467,159.992,4
5gZRAgVm4EBAZErobpYsLf,"We Are Unloved","Guilty of Love","Unloved",2016-03-04,153573,0,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T12:03:01Z,"","Unloved Records",0.348,0.462,9,-11.069,1,0.0549,0.539,0.932,0.101,0.0356,134.027,4
2TjdnqlpwOjhijHCwHCP2d,"The Great Gig in the Sky","The Dark Side of the Moon","Pink Floyd",1973-03-01,283872,71,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T12:30:39Z,"progressive rock,psychedelic rock,classic rock,symphonic rock,art rock,rock","Pink Floyd Records",0.274,0.217,5,-13.814,1,0.0345,0.767,0.896,0.0832,0.181,116.334,4
1zhZzC08dfpyuFdct8Oj1Z,"Eleanor Rigby - Remastered 2009","The Beatles 1962 - 1966 (Remastered)","The Beatles",1973-04-01,128160,33,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T12:39:46Z,"classic rock,psychedelic rock","EMI Catalogue",0.574,0.257,4,-10.145,0,0.0395,0.936,0.0000456,0.275,0.811,137.787,4
6RK3IsiUW6YaSMEodbO4tk,"Solitude - Felsmann + Tiley Reinterpretation","Solitude (Felsmann + Tiley Reinterpretation)","M83,Felsmann + Tiley",2020-05-14,222354,66,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T13:11:38Z,"indietronica","naïve",0.367,0.202,0,-11.342,1,0.0313,0.668,0.145,0.109,0.0362,121.865,4
08wnOyN1wyMaNrup3m353f,"My Tears Are Becoming a Sea","Hurry up, We're Dreaming","M83",2011-10-17,151826,64,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T16:13:55Z,"indietronica","M83 Recording Inc",0.162,0.353,8,-11.286,0,0.0509,0.0993,0.274,0.575,0.0551,110.76,1
1xsYj84j7hUDDnTTerGWlH,"Dream On","Aerosmith","Aerosmith",1973-01-05,267596,80,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T16:16:10Z,"classic rock,rock","Aerosmith P&D - Sony",0.392,0.476,1,-7.583,1,0.0249,0.397,0.000163,0.309,0.234,78.031,4
14QX1ckbDIhqetvu5VZ3cP,"In This Shirt","Mirror Mirror","The Irrepressibles",2010-10-01,335146,69,rp5jll9o6d6zg4mk9ulossmw8,2023-08-31T12:31:50Z,"","Of Naked Design Recordings",0.293,0.394,9,-9.581,1,0.0299,0.691,0.382,0.157,0.0384,80.168,4
3NQtYTbGk64fHf8ZIppj69,"Destroyer Of Worlds","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,174760,59,rp5jll9o6d6zg4mk9ulossmw8,2023-09-02T14:17:09Z,"soundtrack","Back Lot Music",0.266,0.203,1,-17.412,0,0.035,0.559,0.941,0.148,0.0368,63.822,3
4uqS7Z7FHqBQdqLk3BCN4k,"The Architect","Kerry Muzzey: The Architect","The Chamber Orchestra Of London,Andrew Skeet",2014-08-26,333418,0,rp5jll9o6d6zg4mk9ulossmw8,2023-09-04T12:38:46Z,"orchestra","Kirbyko Music LLC",0.57,0.468,2,-12.931,0,0.0314,0.811,0.818,0.0908,0.287,128.037,4
