Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1nFtiJxYdhtFfFtfXBv06s,"Something In The Way","Nevermind (Remastered)","Nirvana",1991-09-26,232146,67,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:29:40Z,"grunge,rock","Geffen",0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4
3Jq9rsqmRtqcVKtzP9dnxZ,"The Man Comes Around","American IV: The Man Comes Around","Johnny Cash",2002-01-01,266733,60,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:12:05Z,"country","American Recordings Catalog P&D",0.635,0.584,0,-7.912,1,0.144,0.52,0.0951,0.962,0.753,97.067,4
1HsNpSdZTvocX8g27O1JBD,"Go to the Light","Bitter Drink, Bitter Moon","Murder By Death",2012-09-25,220066,0,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:11:58Z,"gothic country,folk punk,alt country","Bloodshot Records",0.399,0.393,1,-11.311,0,0.0396,0.629,0.719,0.133,0.345,129.233,4
2bDKnHekbl5fZ7mH8WEHvs,"Oppenheimer Theme (Epic Version)","Oppenheimer Theme (Epic Version)","MattyBor",2023-07-07,122979,22,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:01:27Z,"","2263302 Records DK",0.171,0.459,1,-10.176,1,0.0528,0.0899,0.934,0.383,0.0534,120.996,3
2Y0iGXY6m6immVb2ktbseM,"Little Dark Age","Little Dark Age","MGMT",2018-02-09,299960,75,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:17:24Z,"indie,indietronica","Columbia",0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4
2P9nh9pTK96dE0b6NBbTSs,"Dark Was the Night, Cold Was the Ground","Dark Was The Night (Mojo Workin'- Blues For The Next Generation)","Blind Willie Johnson",1928,198560,42,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:12:25Z,"blues,classic blues,country blues","Columbia/Legacy",0.394,0.0406,9,-23.179,1,0.044,0.968,0.0453,0.0976,0.2,116.117,1
1xADYlM5rjnbJvAW2tc0qF,"Ain't No Grave","American VI: Ain't No Grave","Johnny Cash",2010-01-01,173266,56,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:11:32Z,"country","American Recordings Catalog P&D",0.52,0.35,9,-10.713,0,0.052,0.894,0.000778,0.0895,0.39,79.647,4
1aQATkk5J6MPG9stQWK2tK,"I Don't Want To Set The World On Fire - Single Version","20th Century Masters: The Millennium Collection: Best Of The Ink Spots","The Ink Spots",1999-11-02,186333,41,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:10:51Z,"adult standards","Geffen",0.556,0.0692,5,-18.568,1,0.0761,0.99,0.00206,0.166,0.258,85.568,4
7BY005dacJkbO6EPiOh2wb,"House Of The Rising Sun","The Animals","The Animals",1964-01-01,271280,69,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:13:09Z,"classic rock","ABKCO Music & Records, Inc.",0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,3
68gWoQNuYBUlSQxWU1MWD3,"Little Dark Age - Slowed","Little Dark Age - Slowed","ethereal",2021-07-21,124565,0,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:17:32Z,"","ethereal",0.517,0.492,5,-15.807,0,0.0539,0.0819,0.388,0.61,0.706,150.791,4
67mbvNgp8qmt4GHpZgN7Ze,"Firestarter","Firestarter","Torre Florim",2012-09-14,216500,40,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:14:39Z,"","Cloud 9 Music",0.453,0.628,2,-8.319,1,0.0427,0.349,0.123,0.246,0.396,80.074,4
754WgEesWgssZG3XzU9XcG,"Nuclear","Man On The Rocks","Mike Oldfield",2014-01-01,303986,50,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:15:15Z,"progressive rock,new age,symphonic rock","EMI",0.402,0.525,5,-6.456,0,0.0301,0.0345,0.000287,0.134,0.31,135.104,4
0zCgWGmDF0aih5qexATyBn,"After Dark","Time","Mr.Kitty",2014-08-08,257147,19,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:18:17Z,"witch house,darkwave","Juggernaut Music Group",0.579,0.601,8,-10.492,1,0.0322,0.0673,0.414,0.0778,0.0392,140.019,4
0cWPe8mPRyLMxxe94eRVzs,"In the House - In a Heartbeat","In the House - In a Heartbeat","John Murphy",2013-11-11,258173,53,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:16:16Z,"","Taped Noise",0.433,0.111,2,-15.301,0,0.035,0.0208,0.801,0.0594,0.0354,75.651,4
46UhMQh0Jw8WRZjC6ur3Pj,"The World Is Gonna End Tonight","Far Cry 5 Presents: Into the Flames (Original Game Soundtrack)","Dan Romer,Peter Harper",2018-03-02,186840,36,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:27:36Z,"soundtrack","Ubisoft Music",0.641,0.816,1,-4.637,0,0.0289,0.391,0.0000358,0.131,0.833,128.043,4
4w9TJQQqKXeLMZyzmLVpRI,"WASTE - Slowed Version","WASTE","KXLLSWXTCH",2022-11-11,134000,57,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:19:12Z,"dark trap","KILL! / EMPIRE",0.602,0.195,8,-12.406,1,0.0321,0.832,0.0332,0.0954,0.0885,119.001,4
3hqvKNnZZtGuSddXhLEaKJ,"Silver Lights","Coconuts","Coconuts",2010-03-09,394066,37,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:21:48Z,"","No Quarter",0.248,0.55,6,-6.205,1,0.0343,0.000768,0.79,0.228,0.412,95.842,4
0MsO4gI9GoAiny07RvAtGO,"You Are the Blood","Cathedral","Castanets",2004-10-19,249160,33,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:22:21Z,"","Asthmatic Kitty",0.301,0.784,1,-10.468,0,0.199,0.475,0.359,0.176,0.344,139.336,4
2FJyRsWesaxh5nOTDQWBMw,"End Of The World","End Of The World","Aphrodite's Child",1969-06-07,196760,37,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:22:41Z,"progressive rock,psychedelic rock,baroque pop,krautrock,art rock","Cobalt Music - Helladisc S.A. (GR)",0.302,0.409,1,-9.449,0,0.0338,0.253,0.0483,0.0762,0.226,82.224,4
381Hy4x1rsWKJaxEHFYots,"In the House In a Heartbeat","In the House In a Heartbeat","Metro Exodus,FFM",2017-07-27,256399,42,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:23:28Z,"","Feel For Music",0.465,0.515,2,-9.829,0,0.0404,0.0022,0.889,0.104,0.0988,75.017,4
6ZmfA7VqjrH3NlmGdKSqCl,"Wolf River","Hear Me Out","Reignwolf",2019-03-01,74064,45,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:24:24Z,"blues rock","Reignwolf",0.353,0.129,9,-16.527,1,0.0334,0.912,0.797,0.106,0.12,121.461,3
4c86vSmmzcIO4x21LuD7XM,"Help Me Faith","Far Cry 5 Presents: Into the Flames (Original Game Soundtrack)","Dan Romer,Madi Diaz",2018-03-02,238000,34,wg89l600m3bvsb2mw8tq0ickf,2023-07-18T18:27:08Z,"soundtrack","Ubisoft Music",0.4,0.496,1,-7.002,0,0.0295,0.681,0.00000106,0.0742,0.208,178.796,3
