Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7jPdqwZug0ovtDZsY5uK4T,"I'm Just Ken (From Barbie The Album)","I’m Just Ken (From Barbie The Album)","Ryan Gosling",2023-07-21,222633,53,jobu93,2023-07-21T15:35:19Z,"","Atlantic Records",0.352,0.628,1,-6.259,1,0.0428,0.0264,0.0000474,0.0952,0.387,140.431,4
2Ua0LbHaSRmtvEsRHr9WR8,"Atom Bomb Baby","Atom Bomb Baby","The Five Stars",2015-12-02,136727,43,jobu93,2023-07-21T15:14:17Z,"moroccan chaabi","O.L.D Ltd",0.49,0.615,7,-6.041,1,0.0327,0.578,0,0.298,0.913,80.459,4
0riEqqgCIT9lyecfqyQ1pK,"Uranium Fever","Uranium Rock - Fallout 4 Radio","Elton Britt",2015-12-02,139154,40,jobu93,2023-07-21T15:15:07Z,"traditional country","O.L.D Ltd",0.79,0.504,3,-8.23,1,0.122,0.83,0,0.0563,0.924,118.962,4
3Cx4yrFaX8CeHwBMReOWXI,"We Didn't Start the Fire","Storm Front","Billy Joel",1989-10-17,287733,73,jobu93,2023-07-21T15:07:48Z,"soft rock","Columbia",0.712,0.967,7,-5.206,1,0.047,0.0771,0,0.356,0.895,145.024,4
2uRxXraNeeLPSeCYjUbN6D,"We Will All Go Together When We Go (Stereo Mix)","The Conducted Tom Lehrer","Tom Lehrer",2023-04-20,156852,31,jobu93,2023-07-21T15:12:35Z,"comedy,dark cabaret","Needlejuice Records",0.626,0.309,0,-13.304,1,0.105,0.896,0,0.145,0.626,120.254,4
38iU2jg98IZZEIJPrP7aWD,"Till the World Ends","Femme Fatale (Deluxe Version)","Britney Spears",2011-03-28,237946,63,jobu93,2023-07-21T15:17:42Z,"pop","Jive",0.693,0.705,8,-5.747,1,0.0665,0.0228,0,0.202,0.45,131.951,4
62yJjFtgkhUrXktIoSjgP2,"Radioactive","Night Visions","Imagine Dragons",2012-09-04,186813,78,jobu93,2023-07-21T15:08:34Z,"","Kid Ina Korner / Interscope",0.448,0.784,9,-3.686,1,0.0625,0.0999,0.000108,0.668,0.237,136.239,4
0mmveflIg5uKskiCOdRV3e,"Heartaches By The Number","20 Greatest Hits","Guy Mitchell",1995-01-01,154295,45,jobu93,2023-07-21T15:22:04Z,"","PnR",0.584,0.589,5,-11.203,1,0.0718,0.463,0.0000153,0.069,0.842,172.484,4
5DTOOkooKFUvWj1XQTFa09,"The End of the World","The Essential Skeeter Davis","Skeeter Davis",1994-05-23,157573,64,jobu93,2023-07-21T15:30:30Z,"","RCA Records Label Nashville",0.232,0.216,10,-10.674,1,0.0314,0.936,0.00000493,0.246,0.432,94.268,3
4ZhPLoMzZwewHLLjV1J15c,"99 Luftballons","Nena","Nena",1983-09-23,232466,5,jobu93,2023-07-21T15:08:45Z,"neue deutsche welle,schlager,german pop","BMG Rights Management GmbH",0.575,0.555,4,-7.495,1,0.0453,0.103,0.0000013,0.111,0.504,95.361,4
777zXDJpBufzttU4AJ2dGO,"I Don't Want To Set The World On Fire","The Anthology","The Ink Spots",1998-06-16,181066,65,jobu93,2023-07-21T15:07:22Z,"adult standards","Geffen",0.445,0.146,5,-16.064,1,0.0333,0.962,0.0000105,0.249,0.332,86.637,4
7u9eQXm4pzbvNLRyDegMOl,"Civilization (Bongo, Bongo, Bongo) - Single Version","The Very Best Of Danny Kaye","Danny Kaye,The Andrews Sisters,Vic Schoen & His Orchestra",1987-01-01,182040,48,jobu93,2023-07-21T15:08:11Z,"christmas,big band,swing music","Geffen",0.628,0.282,8,-12.768,1,0.316,0.648,0,0.0974,0.874,155.098,4
1Zi2ezNOqt9y9irC11xYpN,"Eve Of Destruction","Eve Of Destruction","Barry McGuire",1965-01-01,215826,54,jobu93,2023-07-21T15:10:16Z,"folk rock","Geffen",0.613,0.307,2,-17.385,1,0.0414,0.387,0.00000452,0.087,0.789,117.305,4
3JOVTQ5h8HGFnDdp4VT3MP,"Mad World","Trading Snakeoil for Wolftickets","Gary Jules,Michael Andrews",2001-01-01,189506,65,jobu93,2023-07-21T15:11:09Z,"","Down Up Down Music",0.344,0.0585,3,-17.212,1,0.0373,0.976,0.000362,0.103,0.323,174.149,4
2lk4TRo9KSqyEqNOM8T02S,"Bomb Iran (1980)","I Know What It Means to Miss New Orleans","Vince Vance & The Valiants",1995-02-15,154426,36,jobu93,2023-07-21T15:19:50Z,"christmas","Waldoxy Records",0.595,0.63,5,-12.934,1,0.0942,0.508,0.0103,0.0976,0.97,157.209,4
6jSOQzZ92aPKN0p2m09y2n,"Maybe","The Anthology","The Ink Spots",1998-06-16,182733,55,jobu93,2023-07-21T15:28:30Z,"adult standards","Geffen",0.407,0.0944,5,-17.809,1,0.0288,0.992,0.611,0.105,0.199,92.145,4
0AQquaENerGps8BQmbPw14,"Big Iron","Gunfighter Ballads And Trail Songs","Marty Robbins",1959,235733,67,jobu93,2023-07-27T00:41:34Z,"","Columbia/Legacy",0.726,0.474,1,-7.834,0,0.0491,0.803,0,0.258,0.57,116.027,4
