Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4VnDmjYCZkyeqeb0NIKqdA,"Can You Hear The Music","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,110160,68,qafz5u7et0i55zwujprzfgeng,2023-08-15T23:28:01Z,"soundtrack","Back Lot Music",0.19,0.435,4,-12.456,0,0.0334,0.233,0.938,0.1,0.0643,138.515,4
2sg4fI2gIMwlrP1l11abWg,"Bloody Mary (Refrain Dum Dum Da-Di-Da) - Remix","Bloody Mary (Refrain Dum Dum Da-Di-Da) [Remix]","Ishu Music",2023-06-29,230292,0,qafz5u7et0i55zwujprzfgeng,2023-08-16T00:05:10Z,"","Ishu Music",0.419,0.648,5,-7.649,0,0.0318,0.00218,0.000759,0.523,0.367,79.991,4
0nF8oWjZiJClPC1a8y3Ra2,"La Leçon Particulière - Slowed & Reverb","La Leçon Particulière (Slowed & Reverb)","Kaushal Shekhawat",2023-06-14,123115,0,qafz5u7et0i55zwujprzfgeng,2023-08-16T00:28:44Z,"","Kaushal Shekhawat",0.269,0.477,4,-8.875,0,0.034,0.0334,0.848,0.186,0.305,128.485,3
1UcyzhmBDfdw07DiuT7DEG,"The Perfect Girl - The Motion Retrowave Remix","The Perfect Girl (The Motion Retrowave Remix)","Mareux,The Motion",2022-05-16,181016,59,qafz5u7et0i55zwujprzfgeng,2023-08-16T00:54:55Z,"darkwave,synthwave","Revolution Records",0.594,0.759,6,-7.883,0,0.0512,0.000835,0.879,0.077,0.164,118.062,4
09I8yYd9egMHOLDRFenYrV,"Quantum Mechanics","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,180013,55,qafz5u7et0i55zwujprzfgeng,2023-08-15T23:30:17Z,"soundtrack","Back Lot Music",0.33,0.276,4,-14.716,0,0.061,0.508,0.338,0.062,0.0892,99.496,3
06cn5ZdNWO2maJ0HrxXqXK,"Kerosene (Slowed - Reverb)","Kerosene (Slowed - Reverb)","Seames Life",2023-07-14,386606,0,qafz5u7et0i55zwujprzfgeng,2023-08-16T00:59:38Z,"","Felcrz",0.563,0.329,1,-18.94,1,0.38,0.366,0.754,0.118,0.494,93.033,5
5YciOakY5dB5dULkiLdCaf,"Stop Crying Your Heart Out","Heathen Chemistry","Oasis",2002-02-03,303133,71,qafz5u7et0i55zwujprzfgeng,2023-08-16T00:57:19Z,"britpop,madchester,rock","Big Brother",0.38,0.572,2,-5.334,1,0.03,0.0768,0.0000024,0.0776,0.0878,74.987,4
2G6N99ANS6NGn9BusRUmCx,"Spot Holes 2","Spider-Man: Across the Spider-Verse (Original Score)","Daniel Pemberton",2023-06-02,71013,41,qafz5u7et0i55zwujprzfgeng,2023-08-15T23:52:09Z,"soundtrack","Sony Classical",0.219,0.444,0,-12.895,1,0.0421,0.564,0.961,0.0868,0.0557,119.96,3
72qSU1mTkBpwokctNf6KNv,"Resonance - Slowed & Reverb","Resonance (Slowed & Reverb)","noturgf",2023-01-07,318169,62,qafz5u7et0i55zwujprzfgeng,2023-08-16T00:39:35Z,"","noturgf",0.652,0.457,1,-13.775,1,0.0294,0.841,0.913,0.157,0.0733,113.974,3
4wEuNvb7oG8oZYrZPZ9rPr,"Me and the Birds","Contemporary Movement","Duster",2000-08-22,95226,66,qafz5u7et0i55zwujprzfgeng,2023-08-15T23:40:55Z,"slowcore,shoegaze","Numero Group",0.475,0.531,8,-6.552,0,0.0317,0.752,0.0634,0.53,0.223,119.643,4
4XO7cvcaK0GoXnGF7cvTon,"You're My Heart, You're My Soul","V.a.p.o.r.w.a.v.e","CREEPY.VIDEO.0",2023-01-03,201485,0,qafz5u7et0i55zwujprzfgeng,2023-08-15T23:46:28Z,"breakcore","CREEPY.VIDEO.0",0.627,0.682,8,-8.927,1,0.0349,0.59,0.42,0.133,0.745,99.93,4
5NoWsueSKPZ9zKcx5jeDnl,"Way Down We Go (Insrumental)","Way Down We Go (Insrumental)","Akash Khaira",2023-07-07,50662,0,qafz5u7et0i55zwujprzfgeng,2023-08-16T00:26:22Z,"","Akash Khaira",0.524,0.394,10,-12.651,0,0.0511,0.874,0.445,0.109,0.534,71.337,4
0U19E71w5rrYTwnqOTVKrp,"Trinity","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,472853,45,qafz5u7et0i55zwujprzfgeng,2023-08-15T23:34:14Z,"soundtrack","Back Lot Music",0.344,0.206,7,-20.091,1,0.042,0.874,0.859,0.134,0.075,143.887,4
1MgUO3pQb34sgSUIEaiJHl,"Little Dark Age Slowed","Little Dark Age Slowed","Krishan Singh",2023-07-07,336994,0,qafz5u7et0i55zwujprzfgeng,2023-08-16T00:35:13Z,"","Krishan Singh",0.585,0.591,4,-7.964,1,0.189,0.0255,0.00112,0.245,0.548,172.909,4
2nIg85E9jxwAiSg1gbofza,"L’Amour Impitoyable","ベルセルク 黄金時代篇 MEMORIAL EDITION ORIGINAL SOUNDTRACK Disc 1","Shiro SAGISU",2023-03-29,140026,42,qafz5u7et0i55zwujprzfgeng,2023-08-15T23:52:49Z,"anime,soundtrack","Aniplex Inc.",0.32,0.171,7,-14.493,1,0.037,0.954,0.76,0.118,0.0386,111.268,4
4OWa2dOlmtvMDhFrFL0QA1,"La leçon particulière - Bande originale du film La leçon particulière","Mayerling","Francis Lai,Christian Gaubert",2003-01-01,105560,66,qafz5u7et0i55zwujprzfgeng,2023-08-16T00:28:48Z,"stutter house","Universal Music Division Decca Records France",0.185,0.469,2,-7.729,0,0.0314,0.00652,0.909,0.201,0.422,150.319,3
3NQtYTbGk64fHf8ZIppj69,"Destroyer Of Worlds","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,174760,59,qafz5u7et0i55zwujprzfgeng,2023-08-15T23:38:55Z,"soundtrack","Back Lot Music",0.266,0.203,1,-17.412,0,0.035,0.559,0.941,0.148,0.0368,63.822,3
2szNdEE7gfJrg44urI6EJC,"Aleph - Slowed","Aleph (Slowed)","fam0uz",2023-05-16,330025,0,qafz5u7et0i55zwujprzfgeng,2023-08-16T00:39:00Z,"phonk","fam0uz",0.681,0.566,4,-8.991,1,0.0374,0.0355,0.902,0.147,0.505,130.021,4
