Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
66QSf0BtY2z75P9MWbNIUG,"Tired","Tired","CJ SO COOL",2018-06-21,186431,0,soccerballroom-us,2023-07-06T07:22:27Z,"","So Cool Ent",0.616,0.451,2,-11.179,1,0.43,0.322,0,0.0838,0.259,88.7,4
3WibbMr6canxRJXhNtAvLU,"B.O.B. - Bombs Over Baghdad","Stankonia","Outkast",2000-10-31,304226,59,soccerballroom-us,2023-07-06T07:24:04Z,"southern hip hop,hip hop","Arista/LaFace Records",0.746,0.978,9,-5.324,1,0.0978,0.0555,0.0000411,0.026,0.653,153.809,4
4fxF8ljwryMZX5c9EKrLFE,"Boombastic","Boombastic","Shaggy",1995-07-11,249933,70,soccerballroom-us,2023-07-06T07:24:32Z,"reggae","Virgin Records",0.867,0.538,2,-16.183,1,0.361,0.242,0.0000175,0.316,0.781,158.328,4
6iBkh5oOVWlRQ4WFx3B84r,"Roll Out The Barrel","Polka's They Don't Get No Better","Myron Floren",2008-06-24,131000,20,soccerballroom-us,2023-07-06T07:26:26Z,"polka","Polka City Records",0.723,0.696,0,-14.945,1,0.0354,0.416,0.11,0.0364,0.929,122.861,4
3opVsyWVYEAFK9bJAG8Opa,"Boom Boom Pow","THE E.N.D. (THE ENERGY NEVER DIES)","Black Eyed Peas",2009-01-01,251440,64,soccerballroom-us,2023-07-06T07:26:41Z,"","Interscope",0.866,0.857,9,-5.894,1,0.0664,0.13,0.0017,0.13,0.408,130.049,4
3s7MCdXyWmwjdcWh7GWXas,"Violent Crimes","ye","Kanye West",2018-06-01,215320,81,soccerballroom-us,2023-07-06T07:29:46Z,"rap","Getting Out Our Dreams, Inc./Def Jam Recordings",0.669,0.419,1,-6.724,0,0.522,0.376,0,0.187,0.0397,109.813,4
741UUVE2kuITl0c6zuqqbO,"Barbie World (with Aqua) [From Barbie The Album]","Barbie World (with Aqua) [From Barbie The Album]","Nicki Minaj,Ice Spice,Aqua",2023-06-23,109750,69,soccerballroom-us,2023-07-06T07:30:01Z,"europop,eurodance","Atlantic Records",0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,4
6IEXjer2qbXhRLFv99NQQv,"Pound Town 2 (feat. Nicki Minaj & Tay Keith)","Pound Town 2 (feat. Nicki Minaj & Tay Keith)","Sexyy Red,Nicki Minaj,Tay Keith",2023-05-26,194047,51,soccerballroom-us,2023-07-06T07:30:56Z,"memphis rap","Heavy On It/Open Shift/gamma.",0.637,0.634,2,-8.126,1,0.426,0.174,0,0.149,0.49,178.037,4
0lEjxUUlKqjqXrVlIHFduD,"P power (feat. Drake)","DS4EVER","Gunna,Drake",2022-01-13,193346,73,soccerballroom-us,2023-07-06T07:32:00Z,"melodic rap,rap,hip hop","300 Entertainment",0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251,4
1FKG2wgJ75wS9MFNVZFiWd,"POCKET ROCKET","POCKET ROCKET","Cochise",2021-08-20,131500,61,soccerballroom-us,2023-07-06T07:46:23Z,"rage rap","Columbia",0.711,0.646,2,-5.444,0,0.225,0.0216,0,0.0921,0.778,160.931,3
6uvMKqNlrSvcC4NaKnrwjZ,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne,Russ Millions,ArrDee,E1 (3x3),ZT (3x3),Bugzy Malone,Buni,Fivio Foreign,Darkoo",2021-04-22,278085,59,soccerballroom-us,2023-07-06T07:48:21Z,"uk drill,drill,grime,afroswing,brooklyn drill,new york drill,afrobeats,afrobeat","Atlantic Records UK",0.883,0.674,11,-8.043,0,0.357,0.21,0,0.0678,0.73,141.02,4
7sliFe6W30tPBPh6dvZsIH,"Area Codes","Area Codes","Kaliii",2023-03-17,139325,69,soccerballroom-us,2023-07-06T11:13:32Z,"","Atlantic Records",0.823,0.388,1,-10.867,1,0.491,0.0187,0,0.0876,0.507,154.569,4
5BmB3OaQyYXCqRyN8iR2Yi,"SLUT ME OUT","SLUT ME OUT","NLE Choppa",2022-04-22,123672,68,soccerballroom-us,2023-07-06T11:13:45Z,"","Warner Records",0.938,0.606,6,-6.396,0,0.419,0.117,0,0.528,0.706,121.108,4
