Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1EJUCdDSBSwcjTFSV4cCDG,"Oppenheimer Trailer Music - Epic Version","Oppenheimer Trailer Music (Epic Version)","Jamie Evans Music",2023-01-19,161365,0,yirnick,2023-07-13T08:24:51Z,"","Jamie Evans Music",0.178,0.301,1,-13.917,1,0.0415,0.0186,0.934,0.0762,0.0352,119.472,1
0ztMiLlP2IU4ZNBr0Ouedo,"Geigerzähler / Radioaktivität","3-D Der Katalog (German Version)","Kraftwerk",2017-05-26,405815,30,yirnick,2023-07-13T08:25:14Z,"krautrock,neue deutsche welle,synthpop,electronic,new wave,electro","Parlophone UK",0.714,0.645,9,-11.41,0,0.044,0.0404,0.798,0.0944,0.21,126.064,4
3iB7lzsBC7PdJLU9k2nttT,"Vamos a la Playa - 1983","Best of Righeira (Le meilleur des annees 80)","Righeira",2012,217327,47,yirnick,2023-07-13T08:25:43Z,"italo disco,italo dance","La Bionda Music",0.944,0.73,9,-9.527,0,0.0457,0.162,0.000699,0.114,0.864,128.967,4
2rBHnIxbhkMGLpqmsNX91M,"Bombtrack","Rage Against The Machine - XX (20th Anniversary Special Edition)","Rage Against The Machine",1992,243453,64,yirnick,2023-07-13T08:37:30Z,"rap metal,rap rock,alternative metal,nu metal","Epic/Legacy",0.459,0.926,4,-3.415,1,0.155,0.0239,0.0000193,0.183,0.569,151.534,4
1ZfTEvakuUJW07EexDypyZ,"Bombti","Red / Yellow / Blue","De Staat",2023-06-02,150102,22,yirnick,2023-07-13T08:38:06Z,"","Virgin Music Label And Artist Services Benelux",0.811,0.692,1,-8.126,1,0.11,0.0137,0.0000259,0.13,0.926,119.821,4
62yJjFtgkhUrXktIoSjgP2,"Radioactive","Night Visions","Imagine Dragons",2012-09-04,186813,78,yirnick,2023-07-13T08:39:24Z,"","Kid Ina Korner / Interscope",0.448,0.784,9,-3.686,1,0.0625,0.0999,0.000108,0.668,0.237,136.239,4
4ZhPLoMzZwewHLLjV1J15c,"99 Luftballons","Nena","Nena",1983-09-23,232466,5,yirnick,2023-07-13T08:41:38Z,"neue deutsche welle,schlager,german pop","BMG Rights Management GmbH",0.575,0.555,4,-7.495,1,0.0453,0.103,0.0000013,0.111,0.504,95.361,4
0XWhnq6doFbUFMLO7PINo2,"Atom Bomb","Atom Bomb","Christian Locke",2021-05-28,206596,34,yirnick,2023-07-13T08:42:58Z,"","Rosey Records",0.601,0.646,6,-7.739,1,0.0261,0.000574,0.02,0.0706,0.643,104.018,4
4VnDmjYCZkyeqeb0NIKqdA,"Can You Hear The Music","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,110160,68,yirnick,2023-08-08T12:35:06Z,"soundtrack","Back Lot Music",0.19,0.435,4,-12.456,0,0.0334,0.233,0.938,0.1,0.0643,138.515,4
3NQtYTbGk64fHf8ZIppj69,"Destroyer Of Worlds","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,174760,59,yirnick,2023-08-08T12:35:11Z,"soundtrack","Back Lot Music",0.266,0.203,1,-17.412,0,0.035,0.559,0.941,0.148,0.0368,63.822,3
6uVfZn6kPLDPoKEzxm6ClN,"Oppenheimer's Song","Oppenheimer's Song","Tim, the storyteller",2023-07-21,220235,0,yirnick,2023-08-16T20:29:44Z,"","Tim, the storyteller",0.271,0.679,9,-9.038,0,0.0488,0.557,0.927,0.189,0.0635,127.479,3
6oJFUjqz8yKCBDunPRMQBX,"Oppenheimer","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,136520,50,yirnick,2023-09-17T10:40:42Z,"soundtrack","Back Lot Music",0.0778,0.257,2,-15.948,1,0.0368,0.843,0.914,0.143,0.0372,73.488,4
