Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4VnDmjYCZkyeqeb0NIKqdA,"Can You Hear The Music","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,110160,68,q10heperxygiai6hrorvyflfh,2023-07-24T13:10:33Z,"soundtrack","Back Lot Music",0.19,0.435,4,-12.456,0,0.0334,0.233,0.938,0.1,0.0643,138.515,4
2nBqwc3h3psFgPF1J0v24T,"American Prometheus","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,157306,58,q10heperxygiai6hrorvyflfh,2023-07-24T13:13:14Z,"soundtrack","Back Lot Music",0.114,0.14,1,-21.308,0,0.0361,0.646,0.435,0.0701,0.0585,80.438,4
3NQtYTbGk64fHf8ZIppj69,"Destroyer Of Worlds","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,174760,59,q10heperxygiai6hrorvyflfh,2023-07-24T13:19:39Z,"soundtrack","Back Lot Music",0.266,0.203,1,-17.412,0,0.035,0.559,0.941,0.148,0.0368,63.822,3
3JbVKGhp0WXqO3DK8Xeg0n,"Los Alamos","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,158573,49,q10heperxygiai6hrorvyflfh,2023-07-24T13:25:04Z,"soundtrack","Back Lot Music",0.511,0.399,2,-21.55,0,0.043,0.889,0.86,0.136,0.0341,100.033,4
1EJUCdDSBSwcjTFSV4cCDG,"Oppenheimer Trailer Music - Epic Version","Oppenheimer Trailer Music (Epic Version)","Jamie Evans Music",2023-01-19,161365,0,q10heperxygiai6hrorvyflfh,2023-07-24T14:04:18Z,"","Jamie Evans Music",0.178,0.301,1,-13.917,1,0.0415,0.0186,0.934,0.0762,0.0352,119.472,1
6OHOYEMQfPKWZY4Uxxybnh,"Winter (from The Four Seasons)","A Calendar Of Classics - February","Antonio Vivaldi",2007-11-03,134133,53,q10heperxygiai6hrorvyflfh,2023-07-24T14:08:27Z,"classical","K-Tel",0.501,0.348,5,-8.952,0,0.0471,0.867,0.669,0.189,0.267,137.515,4
6pWgRkpqVfxnj3WuIcJ7WP,"Cornfield Chase","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]","Hans Zimmer",2014-11-18,126959,75,q10heperxygiai6hrorvyflfh,2023-07-24T14:08:41Z,"soundtrack","WaterTower Music",0.18,0.226,9,-16.457,0,0.042,0.951,0.982,0.0998,0.048,94.079,4
0Sg3UL7f40ulmTh0Xwr6qY,"Mountains","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]","Hans Zimmer",2014-11-18,219092,60,q10heperxygiai6hrorvyflfh,2023-07-24T14:08:43Z,"soundtrack","WaterTower Music",0.304,0.0585,9,-16.949,0,0.0351,0.59,0.928,0.0982,0.0371,119.975,4
1gLLVtr9kIjmyoRzENZ11w,"First Step","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]","Hans Zimmer",2014-11-18,107767,56,q10heperxygiai6hrorvyflfh,2023-07-24T14:08:55Z,"soundtrack","WaterTower Music",0.163,0.084,9,-19.007,0,0.0329,0.433,0.95,0.102,0.0345,71.028,4
6ZFbXIJkuI1dVNWvzJzown,"Time","Inception (Music from the Motion Picture)","Hans Zimmer",2010-07-09,275556,71,q10heperxygiai6hrorvyflfh,2023-07-24T14:08:58Z,"soundtrack","WaterTower Music",0.286,0.0968,7,-16.806,1,0.0323,0.178,0.696,0.0861,0.0395,62.881,4
1AKIi40li4kyJHQKOuF3Qz,"POSTERITY","Tenet (Original Motion Picture Soundtrack) [Deluxe Edition]","Ludwig Göransson",2020-09-02,762216,40,q10heperxygiai6hrorvyflfh,2023-07-24T14:09:02Z,"soundtrack","WaterTower Music",0.399,0.604,1,-14.874,1,0.0545,0.145,0.825,0.103,0.0386,118.339,4
2AwBq3Ecjq5IfpC5f897VY,"Solas","Solas","Jamie Duffy",2022-02-04,192593,58,q10heperxygiai6hrorvyflfh,2023-07-24T14:28:36Z,"","Rubyworks Ltd. under exclusive license to Amuseio AB",0.309,0.335,4,-16.708,0,0.0365,0.964,0.889,0.0932,0.356,84.623,4
0byPyCPX9mfGMiAGVZxasq,"Carol Of The Bells","Warmer In The Winter (Deluxe Edition)","Lindsey Stirling",2018-10-19,166093,65,q10heperxygiai6hrorvyflfh,2023-07-24T14:37:36Z,"","Concord Records",0.227,0.66,4,-5.993,0,0.0759,0.0274,0.000538,0.0787,0.27,167.956,3
1Ojz92vyPK4fJ5K8RVnV5u,"The Four Seasons: Concerto No. 2 in G Minor, RV 315 L'estate (summer): III. Presto","Vivaldi: The Four Seasons • Concertos for Bassoon & Violin 'in tromba marina'","Antonio Vivaldi,Adrian Chandler,La Serenissima",2015-09-04,167880,60,q10heperxygiai6hrorvyflfh,2023-07-24T15:19:50Z,"classical","AVIE Records",0.34,0.489,7,-15.316,1,0.0412,0.83,0.91,0.141,0.468,157.024,3
0ROMalDdNg3L2HoZP4qFyJ,"The Four Seasons: Concerto No. 4 in F Minor, RV 297 L'inverno (winter): I. Allegro non molto","Vivaldi: The Four Seasons • Concertos for Bassoon & Violin 'in tromba marina'","Antonio Vivaldi,Adrian Chandler,La Serenissima",2015-09-04,201853,61,q10heperxygiai6hrorvyflfh,2023-07-24T15:20:32Z,"classical","AVIE Records",0.4,0.247,5,-18.249,0,0.0423,0.818,0.64,0.119,0.394,162.078,4
