Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7xfSCgVOkQJhVxnqzepATH,"Moonlight Sonata (First Movement from Piano Sonata No. 14, Op. 27 No. 2)","Peaceful Moments (One Hour of Relaxing Instrumentals)","Ludwig van Beethoven,Luke Woodapple",2017-08-04,294883,51,eih8a0mani2ppfhht0haxuptu,2023-12-19T02:18:48Z,"classical,classical piano,chamber music","Quiet Moods",0.216,0.199,1,-20.583,0,0.044,0.991,0.916,0.095,0.339,178.876,3
4VnDmjYCZkyeqeb0NIKqdA,"Can You Hear The Music","Oppenheimer (Original Motion Picture Soundtrack)","Ludwig Göransson",2023-07-21,110160,68,eih8a0mani2ppfhht0haxuptu,2023-12-19T02:18:48Z,"soundtrack","Back Lot Music",0.19,0.435,4,-12.456,0,0.0334,0.233,0.938,0.1,0.0643,138.515,4
6pWgRkpqVfxnj3WuIcJ7WP,"Cornfield Chase","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]","Hans Zimmer",2014-11-18,126959,75,eih8a0mani2ppfhht0haxuptu,2023-12-19T02:18:48Z,"soundtrack","WaterTower Music",0.18,0.226,9,-16.457,0,0.042,0.951,0.982,0.0998,0.048,94.079,4
0yfMign5fsLtw5I4pK73ge,"Solas","Solas","Gibran Alcocer",2022-11-11,146000,64,eih8a0mani2ppfhht0haxuptu,2023-12-19T02:18:48Z,"","Gibran Alcocer / Kurate Music",0.187,0.324,4,-17.517,0,0.0331,0.919,0.928,0.143,0.413,166.32,3
2NGhKPZdZk2pPZinWphTzh,"November","Voyager - Essential Max Richter","Max Richter,Mari Samuelsen,Konzerthausorchester Berlin,Jonathan Stockhammer",2019-10-04,367240,51,eih8a0mani2ppfhht0haxuptu,2023-12-19T02:18:48Z,"neoclassical,minimalism,classical,ambient,orchestra","Deutsche Grammophon (DG)",0.436,0.442,0,-11.429,1,0.0481,0.523,0.184,0.101,0.137,120.283,4
5qKsO3yTvW4I3vXcvuCibe,"Imperium (Slowed)","Imperium","Caleb Bryant",2023-06-01,155357,41,eih8a0mani2ppfhht0haxuptu,2023-12-19T02:18:48Z,"","Caleb Bryant",0.139,0.413,1,-13.977,0,0.0376,0.00476,0.953,0.118,0.0381,87.166,3
4WmB04GBqS4xPMYN9dHgBw,"Day One (Interstellar Theme)","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]","Hans Zimmer",2014-11-18,199422,68,eih8a0mani2ppfhht0haxuptu,2023-12-19T02:18:48Z,"soundtrack","WaterTower Music",0.311,0.0173,9,-27.788,0,0.0348,0.927,0.964,0.0727,0.0658,95.985,3
5NoWsueSKPZ9zKcx5jeDnl,"Way Down We Go (Insrumental)","Way Down We Go (Insrumental)","Akash Khaira",2023-07-07,50662,0,eih8a0mani2ppfhht0haxuptu,2023-12-19T02:18:48Z,"","Akash Khaira",0.524,0.394,10,-12.651,0,0.0511,0.874,0.445,0.109,0.534,71.337,4
2FUsJlVhEVknPi83MPKZw4,"La lecon particuliere - Slowed","La lecon particuliere","Fironn",2023-04-10,122517,45,eih8a0mani2ppfhht0haxuptu,2023-12-19T02:18:48Z,"","Fironn",0.169,0.456,4,-9.384,0,0.033,0.307,0.942,0.315,0.211,125.949,3
1s9i7W8zx7Nxx78MUIsvjV,"Outro","Hurry up, We're Dreaming","M83",2011-10-17,247026,69,eih8a0mani2ppfhht0haxuptu,2023-12-19T02:18:48Z,"indietronica","M83 Recording Inc",0.162,0.256,2,-11.296,1,0.0346,0.0332,0.0923,0.0621,0.0784,108.893,4
