Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5DiXcVovI0FcY2s0icWWUu,"Mr. Jones","August And Everything After","Counting Crows",1993-01-01,272293,80,eddieahrenhoerster,2018-03-25T05:07:47Z,"","DGC",0.578,0.817,0,-6.541,1,0.0363,0.183,0.00000285,0.285,0.734,141.621,4
0cuq829zRNq4AEdmDJA4aw,"Two Princes","Pocket Full Of Kryptonite (Anniversary Edition)","Spin Doctors",1991,256946,71,eddieahrenhoerster,2018-03-25T05:08:16Z,"","Epic/Legacy",0.544,0.905,7,-10.732,1,0.0646,0.00165,0.00000197,0.0532,0.825,103.594,4
0nnwn7LWHCAu09jfuH1xTA,"Slide","Dizzy up the Girl","The Goo Goo Dolls",1998,212066,73,eddieahrenhoerster,2018-03-25T05:08:20Z,"","Warner Records",0.395,0.843,8,-4.476,1,0.0374,0.00483,0,0.0404,0.481,112.423,4
2KVwlelhxKUy8LVV6JypH3,"Push","Yourself or Someone Like You","Matchbox Twenty",1996-10-01,238666,73,eddieahrenhoerster,2018-03-25T05:08:33Z,"post-grunge","Lava/Atlantic",0.42,0.672,6,-7.902,1,0.027,0.0067,0,0.108,0.476,168.019,4
7mnGQesk1TzQLzQ9bYWZPR,"She's so High","Tal Bachman","Tal Bachman",1999-02-23,224693,73,eddieahrenhoerster,2018-03-25T05:08:42Z,"","Columbia",0.537,0.84,9,-4.626,1,0.0363,0.2,0.00000215,0.0998,0.211,124.269,4
42et6fnHCw1HIPSrdPprMl,"Semi-Charmed Life","Third Eye Blind","Third Eye Blind",1997-04-08,268360,76,eddieahrenhoerster,2018-03-25T05:08:44Z,"","Rhino/Elektra",0.64,0.864,7,-6.576,1,0.0314,0.00832,0,0.123,0.701,102.026,4
500Tkm3vJmVtdUwdCVxCTb,"Run-Around","Four","Blues Traveler",1994-01-01,279800,68,eddieahrenhoerster,2018-03-25T05:08:46Z,"","A&M",0.628,0.867,7,-7.307,1,0.0604,0.0865,0,0.126,0.877,151.695,4
3354J49VpkbZJho7Ztdzpw,"Jumper - 1998 Edit","Third Eye Blind","Third Eye Blind",1997-04-08,272973,71,eddieahrenhoerster,2018-03-25T05:08:51Z,"","Rhino/Elektra",0.599,0.543,0,-9.226,1,0.0302,0.0129,0.00204,0.291,0.624,91.105,4
2ouURa1AIXp3AvkS52Jry5,"Every Morning","14:59","Sugar Ray",1999-01-12,219866,71,eddieahrenhoerster,2018-03-25T05:08:52Z,"","RT Industries",0.833,0.679,8,-4.496,1,0.0365,0.0834,0.00258,0.0769,0.975,109.917,4
1C0pmryC2MdXfa7MZ9uIrU,"One Week","Stunt","Barenaked Ladies",1998-07-07,169760,1,eddieahrenhoerster,2018-03-25T05:08:52Z,"","Reprise",0.702,0.898,9,-6.003,1,0.0373,0.00854,0.000154,0.0917,0.731,112.845,4
