Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
00IrSynHsun7DpDrLkRIjM,"The Boy In the Bubble","Graceland (25th Anniversary Deluxe Edition)","Paul Simon",1986-08-12,239693,52,kim_j0ng_illest,2019-07-19T14:12:29Z,"singer-songwriter","Legacy Recordings",0.62,0.703,2,-7.854,1,0.0836,0.479,0,0.14,0.559,136.155,4
1MlmYflHA4WFqnu2v42Kme,"One Less Set Of Footsteps","Life And Times","Jim Croce",1973-01-01,166973,0,kim_j0ng_illest,2019-07-19T14:12:49Z,"folk rock,singer-songwriter","Rhino",0.697,0.677,0,-7.802,1,0.0294,0.169,0,0.0803,0.955,143.329,4
7H7cWKQa3KpySFitL8bSkc,"Good Ole Boys Like Me","Portrait","Don Williams",1979-10-19,255880,55,kim_j0ng_illest,2019-07-20T02:51:11Z,"country,traditional country","MCA Nashville",0.658,0.324,9,-17.556,1,0.0282,0.712,0.00266,0.158,0.47,107.456,4
2cNTnf90oAqCGtLCssSSYe,"That's How I Got To Memphis","Greatest Hits","Tom T. Hall",1972-01-15,183666,31,kim_j0ng_illest,2019-07-19T14:15:19Z,"traditional country,honky tonk","Mercury Records",0.671,0.353,4,-17.154,1,0.0439,0.327,0.138,0.125,0.723,109.656,4
3cg0dJfrQB66Qf2YthPb6G,"The Thrill Is Gone","Deuces Wild","B.B. King,Tracy Chapman",1997-11-04,301133,62,kim_j0ng_illest,2019-07-19T17:05:47Z,"blues,classic blues,jazz blues,soul blues,blues rock","Geffen",0.692,0.493,9,-9.662,0,0.0325,0.0934,0.00166,0.128,0.28,86.644,4
33SYREaDG4dXUivj9iFaTj,"Burning Love","The Best of The '68 Comeback Special (Live)","Elvis Presley",2019-02-15,169640,41,kim_j0ng_illest,2019-07-19T23:16:59Z,"rockabilly,rock and roll","RCA/Legacy",0.667,0.752,2,-10.695,1,0.0282,0.102,0.00513,0.26,0.97,143.512,4
5fgkjhICZnqFctrV0AyuQD,"Walking in Memphis","Marc Cohn","Marc Cohn",1991-02-08,252613,69,kim_j0ng_illest,2019-07-19T23:19:15Z,"","Rhino",0.567,0.512,0,-8.831,1,0.0357,0.545,0,0.296,0.334,130.271,4
4a2uqVlpRChHj32EjJLu7G,"Nose On The Grindstone (OurVinyl Sessions)","Tyler Childers | OurVinyl Sessions","Tyler Childers,OurVinyl",2017-05-30,204000,76,kim_j0ng_illest,2019-07-20T02:48:14Z,"country,red dirt,alt country,texas country,bluegrass","OurVinyl TV, Inc.",0.488,0.284,10,-11.039,1,0.0551,0.735,0,0.319,0.398,149.952,3
1uuqRaSJAiQ6VB8BWblXWJ,"Okie From Muskogee","Greatest Hits - Finest Performances","Merle Haggard",1995-01-01,160138,0,kim_j0ng_illest,2019-07-20T02:47:57Z,"country,traditional country,honky tonk","Sun Record Company",0.684,0.416,4,-12.967,1,0.0536,0.462,0,0.384,0.738,142.385,4
1ku4L6AywP1gY36BKYRvg0,"Gin, Smoke, Lies","Goodbye Normal Street","Turnpike Troubadours",2012-05-08,277613,57,kim_j0ng_illest,2019-07-20T02:48:41Z,"red dirt,texas country,alt country,country,americana","Bossier City Records",0.501,0.721,0,-7.252,1,0.0372,0.00987,0.0000404,0.101,0.81,174.02,4
2fiSEPcdV1uQ7rluWlnLo4,"Rapid Roy (The Stock Car Boy)","Photographs & Memories: His Greatest Hits","Jim Croce",1974-01-01,162826,0,kim_j0ng_illest,2019-07-20T02:47:41Z,"folk rock,singer-songwriter","Rhino",0.654,0.839,4,-8.846,1,0.0341,0.458,0.00546,0.121,0.971,89.186,4
4TnUKixNWMfajncgdSwFoi,"Amarillo By Morning","Strait From The Heart","George Strait",1982-01-01,173466,73,kim_j0ng_illest,2019-07-20T02:50:09Z,"country,traditional country,honky tonk","Geffen*",0.606,0.361,9,-16.031,1,0.0346,0.264,0.0000339,0.38,0.621,121.059,4
4f8hBeMXMvssn6HtFAtblo,"El Paso","Gunfighter Ballads And Trail Songs","Marty Robbins",1959,259306,64,kim_j0ng_illest,2019-07-23T16:43:16Z,"","Columbia/Legacy",0.654,0.452,2,-9.709,1,0.03,0.835,0.0000289,0.16,0.691,106.662,3
4K1imZQQ0yKtJ40vGmUajS,"Girl from the North Country","Nashville Skyline","Bob Dylan,Johnny Cash",1969-04-09,220400,68,kim_j0ng_illest,2019-07-23T17:08:50Z,"folk rock,folk,singer-songwriter,roots rock,country rock,country","Columbia",0.607,0.142,7,-23.455,1,0.0382,0.843,0.000197,0.121,0.305,118.867,4
2kG5litgxXvx6ZRgwO1v7W,"Sedona","Little Neon Limelight","Houndmouth",2015-03-17,239880,1,kim_j0ng_illest,2019-07-23T17:10:03Z,"","Rough Trade",0.396,0.677,3,-7.513,1,0.0354,0.0372,0.000137,0.112,0.249,135.177,4
