Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6Nq5lE0CeOAAAqN4qhkbZU,"Suga Suga","Tha Smokin' Nephew","Baby Bash,Frankie J",2003-01-01,239026,73,5cl3znpju3g2c8yystd3o4a80,2021-01-02T11:08:31Z,"","Universal Records",0.662,0.748,5,-3.041,0,0.268,0.688,0.00000858,0.0841,0.535,82.331,4
3bi8yEuK44vLcbjHkPH0u1,"2 Heads","2 Heads","Coleman Hell",2015-04-07,213706,48,5cl3znpju3g2c8yystd3o4a80,2021-01-02T11:08:32Z,"","Columbia",0.733,0.565,0,-8.515,1,0.0367,0.0621,0.000324,0.104,0.35,120.006,4
5qGIfWDRdyO67LCTqA2sEn,"Heads Will Roll - A-Trak Remix Radio Edit","Good Morning Music: Wake Up Workout","Yeah Yeah Yeahs,A-Trak",2019-05-10,203920,69,5cl3znpju3g2c8yystd3o4a80,2021-01-02T11:08:34Z,"indie rock,disco house","UME - Global Clearing House",0.68,0.805,8,-3.232,0,0.0801,0.0134,0.0558,0.237,0.865,132.005,4
1gAPybZsQhhr7L8WgDneyj,"All I Need","All I Need","Slushii,Aviella",2020-09-25,225750,53,5cl3znpju3g2c8yystd3o4a80,2021-01-02T11:08:35Z,"future bass,edm","Monstercat",0.82,0.948,4,-3.154,1,0.092,0.00374,0.943,0.068,0.551,123.991,4
5NlFXQ0si6U87gXs6hq81B,"Candy","Take The Crown (Deluxe Edition)","Robbie Williams",2012-11-05,201053,68,5cl3znpju3g2c8yystd3o4a80,2021-01-02T11:08:35Z,"","Farrell Music Ltd",0.715,0.791,10,-6.63,1,0.0414,0.0368,0,0.0694,0.879,116.043,4
5RugEn59RTnWE4IM4uBaC9,"Up All Night","Up All Night","R3HAB,MOTi,Fiora",2018-10-26,161904,0,5cl3znpju3g2c8yystd3o4a80,2021-01-02T11:08:36Z,"slap house,edm,big room,future house,chillstep,drum and bass,melodic bass","CYB3RPVNK",0.678,0.916,2,-3.344,0,0.12,0.017,0.000876,0.277,0.412,125.944,4
1zi7xx7UVEFkmKfv06H8x0,"One Dance","Views","Drake,Wizkid,Kyla",2016-05-06,173986,86,5cl3znpju3g2c8yystd3o4a80,2021-01-02T11:08:37Z,"rap,hip hop,afrobeats,afrobeat,afropop,azonto,afroswing,afropiano,dancehall","Cash Money Records/Young Money Ent./Universal Rec.",0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,4
2aibwv5hGXSgw7Yru8IYTO,"Snow (Hey Oh)","Stadium Arcadium","Red Hot Chili Peppers",2006-05-09,334666,79,5cl3znpju3g2c8yystd3o4a80,2021-01-02T11:08:39Z,"funk rock,alternative rock,rock","Warner Records",0.427,0.9,11,-3.674,1,0.0499,0.116,0.0000175,0.119,0.599,104.655,4
4fzsfWzRhPawzqhX8Qt9F3,"Stronger","Graduation","Kanye West",2007-09-11,311866,13,5cl3znpju3g2c8yystd3o4a80,2021-01-02T11:08:38Z,"rap","Roc-A-Fella",0.617,0.717,10,-7.858,0,0.153,0.00564,0,0.408,0.49,103.992,4
27OeeYzk6klgBh83TSvGMA,"WITHOUT YOU","F*CK LOVE (SAVAGE)","The Kid LAROI",2020-11-06,161384,5,5cl3znpju3g2c8yystd3o4a80,2021-01-02T11:08:40Z,"","Columbia",0.662,0.413,0,-7.357,1,0.0299,0.213,0,0.134,0.467,93.005,4
2uhEKg8kIzpdvz4gyy6x8W,"Only Love","Every Kingdom","Ben Howard",2011-01-01,249173,69,5cl3znpju3g2c8yystd3o4a80,2021-01-02T11:08:41Z,"indie folk,folk pop","Universal-Island Records Ltd.",0.547,0.486,8,-9.941,1,0.14,0.295,0.00143,0.119,0.338,80.338,4
7dsImih2L25fa6qjNphBI7,"Turn off the Lights","Turn off the Lights","Chris Lake,Alexis Roberts",2018-02-23,210546,66,5cl3znpju3g2c8yystd3o4a80,2021-01-02T11:08:42Z,"tech house,house,bass house","Black Book",0.825,0.745,11,-5.49,0,0.0754,0.0467,0.0000319,0.198,0.888,125.004,4
2BJSMvOGABRxokHKB0OI8i,"Shoota (feat. Lil Uzi Vert)","Die Lit","Playboi Carti,Lil Uzi Vert",2018-05-11,153800,76,5cl3znpju3g2c8yystd3o4a80,2021-01-02T11:08:45Z,"rage rap,melodic rap","AWGE Label",0.673,0.649,1,-8.433,0,0.196,0.188,0,0.122,0.47,153.075,4
6LyWPRjhT7zERlo66gZ6LN,"Bump & Grind (Bassline Riddim)","Bump & Grind (Bassline Riddim)","Vato Gonzalez,Scrufizzer",2018-02-02,155666,46,5cl3znpju3g2c8yystd3o4a80,2021-01-02T11:08:46Z,"future house,electro house,bass house,bassline,grime","Polydor Records",0.846,0.879,1,-5.522,1,0.0925,0.512,0.0000303,0.0703,0.612,126.081,4
4gRAniZdYF2zVrDUsNC9tU,"raingurl","raingurl","Yaeji",2017-10-30,237231,1,5cl3znpju3g2c8yystd3o4a80,2021-01-02T11:08:47Z,"","GODMODE",0.929,0.572,6,-6.928,0,0.0506,0.017,0.00353,0.122,0.288,128.014,4
