Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Match?,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4VQNCzfZ3MdHEwwErNXpBo,All Eyez On Me (ft. Big Syke),All Eyez On Me,"2Pac,Big Syke",2/13/96,307773,79,31td6lssg6mckgjbkbww6nrvgij4,2022-07-31T10:30:26Z,"gangster rap,west coast hip hop,g-funk,hip hop",,"Amaru Entertainment, Inc./Interscope Records",0.872,0.723,1,-5.968,1,0.247,0.0293,0,0.327,0.843,93.279,4
3G0yz3DZn3lfraledmBCT0,P.I.M.P.,Get Rich Or Die Tryin',50 Cent,2/6/03,249480,78,31td6lssg6mckgjbkbww6nrvgij4,2021-03-27T23:30:47Z,east coast hip hop,2000s,Shady Records,0.712,0.772,10,-3.024,0,0.346,0.0521,0.00000435,0.0368,0.848,84.722,4
7iL6o9tox1zgHpKUfh9vuC,In Da Club,Get Rich Or Die Tryin',50 Cent,2/6/03,193466,82,31td6lssg6mckgjbkbww6nrvgij4,2021-03-27T23:30:54Z,east coast hip hop,2000s,Shady Records,0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,4
5D2mYZuzcgjpchVY1pmTPh,Candy Shop,The Massacre,"50 Cent,Olivia",3/3/05,209106,80,31td6lssg6mckgjbkbww6nrvgij4,2022-07-31T10:51:28Z,east coast hip hop,2000s,Aftermath/Shady,0.613,0.574,11,-7.961,1,0.467,0.0253,0.0000313,0.38,0.755,125.18,5
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,Hunting High and Low,a-ha,6/1/85,225280,87,31td6lssg6mckgjbkbww6nrvgij4,2020-06-05T11:20:12Z,"new wave,synthpop",,Rhino,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
2N3U8uTYhjX2KwGT0pf5x0,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",AT.LONG.LAST.A$AP,"A$AP Rocky,Rod Stewart,Miguel,Mark Ronson",5/26/15,260986,81,31td6lssg6mckgjbkbww6nrvgij4,2021-09-25T16:26:13Z,"rap,soft rock,r&b",B,A$AP Worldwide/Polo Grounds Music/RCA Records,0.394,0.661,4,-8.684,1,0.192,0.00996,0,0.343,0.335,149.818,4
3Dy4REq8O09IlgiwuHQ3sk,Waterloo,Waterloo,ABBA,1974,168960,74,31td6lssg6mckgjbkbww6nrvgij4,2023-01-02T21:40:12Z,"europop, swedish pop",,Polar Music International AB,0.445,0.949,2,-4.682,1,0.0471,0.395,0.00000818,0.0902,0.653,147.604,4
4euAGZTszWPrriggYK0HG9,Lay All Your Love On Me,Super Trouper,ABBA,1980,274466,78,31td6lssg6mckgjbkbww6nrvgij4,2022-06-07T16:48:03Z,"europop, swedish pop",,Polar Music International AB,0.678,0.727,2,-7.844,0,0.0258,0.117,0.00396,0.354,0.71,133.481,4
0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,Arrival,ABBA,1976,230400,85,31td6lssg6mckgjbkbww6nrvgij4,2022-06-07T16:48:22Z,"europop, swedish pop",,Polar Music International AB,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,4
6UIwfaQh9RP2anZ5OMQPfX,Mamma Mia,ABBA Gold,ABBA,1/1/08,210960,0,31td6lssg6mckgjbkbww6nrvgij4,2022-08-10T18:45:07Z,"europop, swedish pop",,Universal Music Group,0.732,0.814,2,-5.327,1,0.0313,0.393,0.000257,0.355,0.838,137.575,4
3vkQ5DAB1qQMYO4Mr9zJN6,Gimme! Gimme! Gimme! (A Man After Midnight),Voulez-Vous,ABBA,1979,292613,81,31td6lssg6mckgjbkbww6nrvgij4,2023-01-07T10:11:04Z,"europop, swedish pop",,Polar Music International AB,0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,4
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,Highway to Hell,AC/DC,7/27/79,208400,84,31td6lssg6mckgjbkbww6nrvgij4,2020-06-05T11:21:14Z,"rock,hard rock,classic rock,rock and roll",B,Columbia,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4
57bgtoPSgt236HzfBOd8kj,Thunderstruck,The Razors Edge,AC/DC,9/24/90,292880,85,31td6lssg6mckgjbkbww6nrvgij4,2022-07-20T14:03:44Z,"rock,hard rock,classic rock,rock and roll",B,Columbia,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,4
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,Back In Black,AC/DC,7/25/80,255493,84,31td6lssg6mckgjbkbww6nrvgij4,2023-07-09T20:53:48Z,"rock,hard rock,classic rock,rock and roll",B,Columbia,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4
55u2QYOVGloqOFqcN5k6hp,Olé - Stadium Anthem Mix,Olé (Stadium Anthem Mix),Adelén,5/12/14,199009,48,31td6lssg6mckgjbkbww6nrvgij4,2022-05-24T18:46:00Z,soft pop,2000s,Universal Music AS Distributed Labels,0.59,0.87,0,-4.172,1,0.0635,0.0657,0,0.384,0.615,127.953,4
3di5hcvxxciiqwMH1jarhY,Set Fire to the Rain,21,Adele,1/24/11,242973,83,31td6lssg6mckgjbkbww6nrvgij4,2022-06-08T05:22:09Z,soft pop,2000s,XL Recordings,0.603,0.67,2,-3.882,0,0.0249,0.00408,0.00000168,0.112,0.446,107.993,4
4OSBTYWVwsQhGLF9NHvIbR,Rolling in the Deep,21,Adele,1/24/11,228093,81,31td6lssg6mckgjbkbww6nrvgij4,2022-06-08T05:22:15Z,soft pop,2000s,XL Recordings,0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,4
0ENSn4fwAbCGeFGVUbXEU3,Hello,Hello,Adele,10/23/15,295493,0,31td6lssg6mckgjbkbww6nrvgij4,2022-09-16T17:01:35Z,soft pop,2000s,XL Recordings/Columbia,0.481,0.451,5,-6.095,0,0.0347,0.336,0,0.0872,0.289,157.966,4
6QPKYGnAW9QozVz2dSWqRg,Someone Like You,21,Adele,1/19/11,285240,3,31td6lssg6mckgjbkbww6nrvgij4,2022-10-03T14:10:14Z,soft pop,2000s,XL Recordings,0.554,0.321,9,-8.251,1,0.028,0.893,0,0.0996,0.288,135.047,4
6VObnIkLVruX4UVyxWhlqm,Skyfall,Skyfall,Adele,10/4/12,286480,85,31td6lssg6mckgjbkbww6nrvgij4,2023-05-11T16:32:38Z,soft pop,2000s,XL Recordings/Columbia,0.346,0.552,0,-6.864,0,0.0282,0.417,0,0.114,0.0789,75.881,4
6O5TrlFWTYvznd9fMC0VvU,When We Were Young,25,Adele,11/20/15,290900,79,31td6lssg6mckgjbkbww6nrvgij4,2024-11-24T16:30:59Z,"scandipop, norwegian pop",,XL Recordings,0.376,0.595,3,-5.936,1,0.0496,0.303,0,0.095,0.265,144.361,4
5MxNLUsfh7uzROypsoO5qe,Dream On,Aerosmith,Aerosmith,1/5/73,266960,11,31td6lssg6mckgjbkbww6nrvgij4,2023-04-23T20:46:02Z,"classic rock,rock",B,Columbia,0.307,0.433,1,-10.057,1,0.029,0.388,0.0000908,0.332,0.224,160.9,4
5D2L026JQTKC2gcq3qkYpj,Fairytale,Fairytales,Alexander Rybak,5/29/09,183093,0,31td6lssg6mckgjbkbww6nrvgij4,2021-06-29T14:58:21Z,"alt z, dance pop, pop",B,Parlophone Norway,0.587,0.715,2,-6.414,0,0.0271,0.434,0.0000185,0.32,0.589,107.964,4
2BTSWfjaTMYWCxhmVRhqLK,Mr. Saxobeat,Sundown (Original Motion Picture Soundtrack),Alexandra Stan,5/6/16,195105,2,31td6lssg6mckgjbkbww6nrvgij4,2023-05-12T22:09:56Z,romanian pop,,Ultra Records,0.72,0.925,4,-4.165,0,0.0511,0.0276,0.000238,0.14,0.781,127.004,4
4e6ZN0EcEqYx74BTC5xQzy,The Man,Lift Your Spirit,Aloe Blacc,1/1/13,255906,66,31td6lssg6mckgjbkbww6nrvgij4,2020-06-09T23:12:26Z,"pop soul, r&b",,Interscope,0.533,0.755,11,-7.25,0,0.0419,0.0332,0,0.233,0.472,86.034,4
3oUphdZVPyrsprZ8FgbmQS,I Need A Dollar,Good Things,Aloe Blacc,9/28/10,243053,68,31td6lssg6mckgjbkbww6nrvgij4,2022-06-12T14:20:21Z,"pop soul, r&b",,Stones Throw Records,0.84,0.481,6,-7.123,0,0.0336,0.199,0,0.0873,0.955,95.497,4
6XHNIbru8xGohLzHNgxQvF,Forever Young - 2019 Remaster,Forever Young (Super Deluxe Edition; 2019 Remaster),Alphaville,1984,226000,66,31td6lssg6mckgjbkbww6nrvgij4,2023-03-17T15:09:15Z,synthpop,,WM Germany,0.483,0.471,9,-9.711,0,0.0284,0.397,0.000336,0.331,0.291,137.012,4
5Hroj5K7vLpIG4FNCRIjbP,Best Day Of My Life,"Oh, What A Life",American Authors,1/1/14,194240,80,31td6lssg6mckgjbkbww6nrvgij4,2022-08-04T17:33:52Z,"pop rock, modern rock",B,Island Records,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000227,0.0558,0.536,100.012,4
6fZgEkoLO6wKBnuwwZ3OTJ,What's In It For Me,This Is Me Now,Amy Diamond,5/18/05,195682,47,31td6lssg6mckgjbkbww6nrvgij4,2023-03-10T20:26:41Z,christmas,2000s,Bonnier Music,0.632,0.805,2,-4.786,0,0.0634,0.0136,0,0.0776,0.783,92.904,4
2T3jgoAMbBXiMMD8pSc6QL,This Is The Life,This Is The Life (eDeluxe),Amy Macdonald,1/1/07,184413,78,31td6lssg6mckgjbkbww6nrvgij4,2025-01-15T15:41:43Z,"scottish, singer-songwriter",RTM,EMI,0.628,0.882,1,-5.024,0,0.0323,0.259,0,0.065,0.853,95.083,4
1L5tZi0izXsi5Kk5OJf4W0,Rehab,Back To Black,Amy Winehouse,10/27/06,213760,65,31td6lssg6mckgjbkbww6nrvgij4,2022-08-10T18:42:21Z,"british soul, neo soul",,Universal-Island Records Ltd.,0.434,0.872,0,-2.974,1,0.0702,0.0473,0.00000183,0.396,0.732,71.515,4
3FAclTFfvUuQYnEsptbK8w,Back To Black,Back To Black (Deluxe Edition),Amy Winehouse,2006,241293,82,31td6lssg6mckgjbkbww6nrvgij4,2024-04-24T18:26:13Z,"british soul, neo soul",,Universal-Island Records Ltd.,0.434,0.422,7,-13.964,0,0.0375,0.134,0.0000205,0.0861,0.377,123.201,4
